State,designatedArea,disasterType,Freq,FEMA_Object_ID
West Virginia,Boone,Chemical,1,2334
West Virginia,Cabell,Chemical,1,2578
West Virginia,Kanawha,Chemical,1,2336
West Virginia,Lincoln,Chemical,1,2337
West Virginia,Jackson,Chemical,1,2583
West Virginia,Clay,Chemical,1,2580
West Virginia,Putnam,Chemical,1,2588
West Virginia,Roane,Chemical,1,2590
West Virginia,Logan,Chemical,1,2338
