County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over,FID
Arkansas,Izard,51.5,48.5,5.78,14.5,6.13,9.07,11.21,14.57,15.17,13.41,10.16,95.77,1.53,0.12,0.4,0,0,1.75,1.31,94.69,40.77,28.64,17.62,8.23,4.76,203
Arkansas,Jackson,49.62,50.38,6.96,14.92,8.33,12.45,13.27,15.35,12.85,8.99,6.88,80.82,16.7,0.6,0.07,0.05,0.36,1.51,2.21,79.08,46.33,25.96,15.13,5.66,6.92,209
Arkansas,Miller,49.24,50.76,8.54,17.07,9.2,12.31,12.94,13.89,12.29,7.85,5.92,71.84,24.03,0.56,0.61,0,0.31,1.69,2.41,70.3,33.15,27.92,19.06,9.95,9.92,287
Arkansas,Johnson,49.57,50.43,8.34,17.89,10.14,11.01,12.23,14.1,11.61,8.22,6.46,93.75,1.58,0.88,0.16,0.05,0.31,1.85,11.24,83.2,42.8,29.96,13.75,6.05,7.43,218
Arkansas,Lafayette,48.31,51.69,6.95,17.75,7.6,9.04,10.73,15.25,13.29,11.51,7.89,62.21,38.44,0.08,0,0.07,0.1,0.65,1.43,61.05,47.42,21.73,13.41,9.73,7.71,222
Arkansas,Lawrence,48.62,51.38,7.1,17.47,8.79,9.6,12.04,14.34,12.53,9.99,8.15,96.9,0.26,0.85,0,0,0.24,1.31,0.91,96.37,43.91,29.93,16.64,4.17,5.35,230
Arkansas,Lee,55.7,44.3,6.71,15.21,8.99,12.66,13.56,14.03,13.42,8.26,7.16,43.13,56.69,1.41,0.27,0,1.06,0.18,1.65,42.54,46.36,27.25,18.77,2.5,5.12,237
Arkansas,Lincoln,60.15,39.85,6.04,14.59,10.7,14.28,15.11,15.5,11.33,6.69,5.75,65.97,30.62,0.44,0.06,0,1.99,1.42,2.6,65.69,39.07,29.13,10.65,10.89,10.25,244
Arkansas,Madison,50.14,49.86,7.49,18.06,7.17,10.06,12.57,15.3,13.74,9.14,6.46,94.01,0.31,0.87,0.46,0,1.32,1.69,4.28,91.18,33.22,30.11,20.41,7.1,9.16,277
Arkansas,Marion,49.76,50.24,5.46,13.57,6.03,6.83,10.6,15.93,17.77,14.87,8.93,97.46,0,1.06,0.31,0,0.52,1.41,1.33,96.63,37.6,31.99,15.65,9.24,5.51,282
Arkansas,Little River,48.61,51.39,7.19,17.87,7.31,10.01,12.31,14.25,13.95,10.15,6.95,74,21.13,1.47,0,0,1.92,1.28,1.69,73.9,36.78,29.27,14.3,11.66,7.99,251
Arkansas,Logan,50.1,49.9,7.22,18.84,7.12,9.24,12.18,15.09,13.13,9.71,7.48,95.38,0.78,0.99,1.58,0,0.57,1.71,2.42,93.52,33.09,29.28,18.68,9.4,9.55,258
Arkansas,Lonoke,49.2,50.8,8.58,20.25,8.17,12.6,14.28,14.32,10.65,6.7,4.45,86.68,6.15,0.51,0.6,0,0.77,1.62,2.98,84.94,22.85,26.33,21.29,14.58,14.94,268
Arkansas,Ouachita,47.39,52.61,8.22,16.53,7.83,9.59,11.13,15.46,14.19,8.86,8.18,57.62,40.49,0.31,0.15,0,0.38,1.73,1.58,56.72,40.61,26.38,17.6,7.85,7.56,316
Arkansas,Mississippi,48.4,51.6,9.17,20.39,8.89,11.62,12.05,14.13,11.53,6.85,5.38,64.03,34.16,0.14,0.57,0,0.5,1.33,3.47,61.45,38.05,27.12,17.6,7.87,9.36,294
Arkansas,Monroe,47.8,52.2,7.25,16.7,7.51,8.57,10.98,15.33,14.75,10.12,8.79,59.85,42.56,0.49,1.13,0,0.11,0.07,1.51,58.66,43.87,31.25,10.74,8.14,5.99,300
Arkansas,Montgomery,49.86,50.14,6.31,16.03,6.22,7.62,11.08,15.32,15.01,12.91,9.5,94,0.07,2.33,0,0,1.97,1.65,3.28,93.1,35.7,29.28,18.12,9.65,7.25,304
Arkansas,Nevada,49.01,50.99,7.95,17.21,7.65,9.85,11.75,14.24,13.72,9.73,7.92,66.27,33.29,0.29,0.5,0,0.02,1.32,0.47,65.8,33.5,27.53,24.14,5.58,9.25,307
Arkansas,Newton,50.49,49.51,6.17,15.7,6.85,9.08,10.73,14.89,16.16,12.23,8.19,95.97,0.34,0.44,0.05,0,0.25,3.72,0.44,95.77,45.94,29.79,14.43,6.44,3.4,311
Arkansas,Pike,49.59,50.41,7.67,18.45,7.56,9.64,12.68,14.36,12.27,10.12,7.25,89.45,3.49,1.28,0.12,0,4.67,0.95,5.81,88.22,38.7,28.04,17.52,8.12,7.61,327
Arkansas,Perry,49.62,50.38,6.85,17.61,7.45,9.33,13.23,15.43,13.37,9.56,7.16,95.43,2.5,0.22,0.02,0,0.07,1.67,1.91,93.84,30.77,28.21,16.45,16.35,8.22,318
Arkansas,Phillips,46.56,53.44,9.1,20.83,8.26,10.04,10.25,14.18,12.39,8.43,6.53,36.8,65.28,0,0.11,0,0.4,0.41,1.27,35.94,45.01,29.85,10.75,7.27,7.12,322
Georgia,Banks,50.55,49.45,7.61,19.08,8.1,10.41,14.5,15.31,12.49,8.1,4.4,89.96,2.6,0.1,0.96,0,2.5,0.87,5.39,87.15,33.05,26.18,18.09,10.82,11.87,992
Georgia,Barrow,49.31,50.69,10.08,19.56,8.25,14.17,15.03,13.58,10,5.61,3.72,77.18,10.98,0.17,3.28,0,2.34,1.71,7.68,72.42,23.09,28.2,21.82,14.42,12.47,993
Georgia,Ben Hill,47.86,52.14,9.33,18.46,8.58,11.12,12.16,13.79,12.55,7.91,6.09,58.9,35.94,0,0.44,0,4.22,0.48,5.82,57.88,44.61,28.56,14.08,5.99,6.76,995
Georgia,Camden,50.62,49.38,9.37,19.19,13.29,12.57,12.99,13.7,9.87,6,3.02,72.99,19.12,0.47,1.48,0.28,0.92,2.33,4.85,69.84,24.27,26.66,22.42,12.72,13.92,603
Georgia,Bleckley,47.59,52.41,6.92,18.79,14.49,8.96,11.26,13.7,10.78,8.11,6.97,67.86,29.27,0,1.42,0,0.48,0,0.18,67.76,37.7,23.71,20.01,8.18,10.4,998
Georgia,Baldwin,49.61,50.39,7.27,15.4,17.67,10.6,11.29,13.92,11.8,7.1,4.95,56.94,43.43,0.07,1.36,0,0.14,0.65,2.07,55.4,36.78,26.37,16.02,9.79,11.04,991
Georgia,Bacon,49.49,50.51,8.83,17.95,8.27,12.28,13.57,13,12.74,7.98,5.36,76.72,16.78,0,0.23,0,4.76,0.36,5.86,75.62,39.19,28.12,10.02,10.41,12.26,989
Georgia,Baker,48.48,51.52,7.45,16.95,8.32,9.48,12.23,15.07,15.16,8.64,6.72,42.65,62.65,0.67,0,0,0,0,0,42.65,45.16,27.94,11.33,7.82,7.75,990
Georgia,Bibb,47.12,52.88,8.76,18.54,10.44,11.58,12.25,13.91,11.86,6.73,5.93,44.26,50.7,0.24,1.58,0,1.47,1.28,2.63,43.12,35.15,24.24,17.04,9.43,14.14,997
Georgia,Bartow,49.36,50.64,8.37,19.81,8.54,11.57,15.09,14.87,11.15,6.45,4.14,79.9,9.79,0.41,0.78,0.06,5.29,1.04,6.95,78.21,23.49,27.22,22.13,11.56,15.61,994
Georgia,Berrien,49.26,50.74,8.44,18.73,8.34,10.77,13.45,14.41,12.04,8.29,5.53,82.39,11.44,0,0,0,2.42,0.75,4.08,80.49,42.23,26.16,15.91,8.28,7.42,996
Georgia,Brooks,48.64,51.36,7.98,17.21,8.35,9.9,12.42,14.93,13.45,9.06,6.7,59.99,36.83,0.12,0.23,0,2.44,0.97,4.78,58.43,30.89,29.7,17.31,13.36,8.74,565
Georgia,Bryan,49.13,50.87,8.89,21.8,7.41,10.99,14.9,15.87,11.16,5.45,3.53,77.18,12.53,0.28,1.29,0,1.84,2.93,4.01,74.98,18.71,21.57,18.46,14.6,26.67,573
Georgia,Bulloch,49.89,50.11,7.17,16.44,26.52,10.73,10.31,10.86,8.86,5.34,3.77,64.95,26.08,0.23,1.47,0,1.46,1.66,3.19,63.5,37.72,25.7,15.5,9.83,11.24,579
Georgia,Burke,47.98,52.02,9.08,20.75,8.93,10.17,12.08,14.66,12.45,7.13,4.73,46.92,51.15,0.04,0.08,0,0.03,0.77,0.72,46.27,38.16,28.16,17.8,8.39,7.49,583
Georgia,Butts,52.94,47.06,7.31,16.59,9.47,12.38,14.2,15.25,12.18,7.5,5.12,69.01,27.93,0.22,0.7,0,0.68,0.38,2.36,67.63,23.16,25.23,24.65,12.22,14.74,588
Georgia,Calhoun,59.05,40.95,6.74,14.15,9.2,14.54,15.63,15.81,12.04,5.83,6.08,33.85,59.05,0.51,0.15,0,3.36,0,4.99,32.52,45.07,27.21,15.52,5.04,7.16,592
Georgia,Chattahoochee,62.47,37.53,11.35,18.25,26.97,18.14,11.25,6.29,4.01,2.37,1.36,69.02,24.17,0.68,2.19,0,4.81,2.99,12.74,63.34,19.63,28.1,30.11,8.91,13.24,656
Georgia,Candler,49.44,50.56,8.77,18.2,9.28,10.67,12.17,13.34,13.17,8.6,5.8,66.4,23.43,0.59,0.23,0,4.46,2.31,10.61,61.45,34.59,32.93,16.87,8.51,7.1,616
Georgia,Carroll,48.67,51.33,8.39,18.93,12.62,11.93,13.32,13.26,10.6,6.54,4.41,76.77,17.8,0.2,0.78,0,1.74,1.53,5.67,72.98,27.57,26.58,20.32,12.31,13.22,620
Georgia,Catoosa,48.53,51.47,7.75,18.53,7.93,11.16,14.58,14.39,12.12,7.93,5.61,92.67,2.1,0.23,1.02,0.02,0.53,1.88,2.28,91.27,23.94,29.52,19.59,12.65,14.3,626
Georgia,Charlton,56.26,43.74,7.13,15.97,9.67,12.56,15.22,16.01,10.76,7.85,4.82,68.56,31.62,0.39,0,0,0.27,0.3,2.48,66.58,29.44,33.84,17.61,11.59,7.53,635
Georgia,Chatham,48.17,51.83,8.29,15.89,13.42,13.61,11.98,13.13,11.3,6.8,5.6,52.54,39.45,0.09,2.31,0.07,1.12,1.13,4.72,49.2,27.82,26.62,18.24,11.07,16.25,646
Georgia,Coffee,50.65,49.35,8.71,19.06,10.17,12.32,13.97,13.64,11.05,6.68,4.4,64.52,26.71,0.4,0,0.18,6.11,0.42,9.76,59.63,36.8,29.89,17,7.93,8.38,684
Georgia,Chattooga,51.94,48.06,7.22,16.53,8.48,11.82,13.91,14.87,12.57,8.06,6.55,85.39,11.72,0.2,0.13,0.09,1.6,0.74,3.75,83.54,37.6,29.19,21.23,7.58,4.41,659
Georgia,Cherokee,49.39,50.61,8.95,19.83,7.47,11.75,16.52,15.36,10.93,5.89,3.3,83.96,5.32,0.4,1.57,0.01,3.38,1.6,8.74,78.95,14.22,21.91,19.98,15.27,28.61,662
Georgia,Clarke,47.46,52.54,6.94,13.1,30.2,14.39,10.06,8.91,7.87,4.64,3.89,63.97,26.46,0.09,3.95,0.03,2.07,2.02,9.73,57.04,40.06,23.91,15.38,8.09,12.55,666
Georgia,Clay,45.93,54.07,7.67,16.18,7.51,8.61,8.89,14.14,17.44,11.09,8.48,21.74,71.47,0,0,0,0,0.44,0.09,21.65,47.09,31.21,11.48,6.64,3.59,670
Georgia,Clayton,47.89,52.11,10.06,20.39,10.75,13.78,15.38,13.77,9.22,4.19,2.45,20.91,64.95,0.21,5.12,0.06,6.86,2.18,12.82,15.84,24.44,33.39,20.81,10.83,10.52,673
Georgia,Clinch,48.76,51.24,9.25,19.05,9,10.34,12.65,13.96,12.97,7.74,5.03,67.9,31.83,0,0,0,0.4,0.5,0.59,67.31,38.85,27.98,16.98,9.48,6.71,676
Georgia,Cobb,48.59,51.41,8.46,18.56,9.19,13.23,15.81,15.22,10.82,5.22,3.49,61.86,23.81,0.21,4.38,0.06,6.56,1.56,11.55,56.88,15.92,21.91,18.64,13.71,29.82,680
Georgia,Crisp,47.87,52.13,8.67,18.81,8.27,10.66,12.1,14.03,13.5,7.51,6.46,53.18,42.97,0,1.13,0,1.08,0.55,2.97,51.58,42.55,25.06,16.93,7.3,8.16,707
Georgia,Coweta,48.89,51.11,8.78,19.93,7.44,11.56,15.66,15,11.24,6.45,3.95,74.04,16.78,0.05,1.07,0.04,1.73,1.75,5.89,70.13,16.57,23.52,20.73,15.45,23.74,700
Georgia,Crawford,50.52,49.48,6.98,17.01,8.04,9.54,13.86,17.35,14.06,8.54,4.62,73.77,23.62,0.81,0,0,1.97,1.35,2.13,73.57,31.75,26.27,16.33,12.07,13.57,704
Georgia,Colquitt,49.62,50.38,9.95,19.22,9.41,11.67,13.16,12.82,10.88,7.33,5.55,64.19,22.34,0.36,0.66,0.02,10.23,0.48,15.59,58.68,38.32,28.47,15.71,8.37,9.12,689
Georgia,Columbia,48.63,51.37,8.13,20.66,7.72,11.14,14.5,15.56,12.05,6.18,4.06,73.94,13.99,0.2,3.78,0.1,1.15,1.85,4.32,70.96,14.46,21.83,20.72,16.72,26.27,692
Georgia,Cook,48.64,51.36,9.05,19.49,8.8,11.1,13.02,13.41,11.65,8,5.48,65.7,28.35,0.62,0,0,3.1,0.85,5.68,63.8,40.17,28.35,16.05,9.3,6.12,697
Georgia,Dooly,53.98,46.02,6.91,15.56,8.18,12.84,13.76,15.22,13.76,8.29,5.48,42.39,49.12,0.09,0,0.29,3.75,0.11,5.12,41.53,42.71,25.25,15.86,9.21,6.98,724
Georgia,Dade,49.25,50.75,6.45,16.96,11.86,9.91,12.22,15.01,13.17,8.47,5.94,95.83,0.55,0.68,0.78,0,0.83,1.11,1.65,94.94,29.66,30.33,17.37,10.62,12.02,708
Georgia,Dawson,50,50,6.94,16.9,8.39,10.35,13.55,15.3,14.54,9.57,4.45,93.48,0.06,0.39,0.56,0.07,1.44,1.44,3.56,91.11,20.2,28.27,19.88,14.04,17.6,713
Georgia,Decatur,48.87,51.13,8.01,19.02,8.82,10.93,12.73,14.59,11.96,7.71,6.22,54.21,41.33,0.54,0.38,0,3.65,0.18,4.67,53.23,38.63,26.61,17.54,8.3,8.93,714
Georgia,DeKalb,47.89,52.11,8.62,16.53,10.52,15.42,15.49,13.91,10.52,5.13,3.87,33.94,54.46,0.22,4.92,0.04,4.2,1.28,9.19,29.49,23.24,25.55,19.01,11.49,20.71,718
Georgia,Dodge,52.53,47.47,7.46,17.73,9.55,10.87,13.98,14.55,12.03,8.11,5.73,66.94,29.59,0.17,0.23,0,0.25,1.01,2.87,64.74,42.28,24.38,19.06,7.05,7.22,720
Georgia,Evans,48.97,51.03,9.37,17.96,9.53,12.04,12.88,13.56,10.97,7.67,6.01,60.95,30.39,0.37,0.45,0,6.95,0.58,11.05,56.85,28.07,36.1,16.36,10.39,9.08,754
Georgia,Dougherty,46.45,53.55,8.97,18.64,12.62,11.82,11.41,12.83,11.6,6.53,5.58,31.42,65.88,0.22,0.8,0,0.67,0.97,2.18,30.51,39.53,27.77,15.3,8.19,9.2,728
Georgia,Douglas,48.17,51.83,8.83,21.03,8.06,12.06,16.61,14.69,10.22,5.47,3.02,55.56,36.36,0.34,1.53,0,1.3,1.45,7.3,50.22,17.23,26.51,21.41,15.1,19.75,731
Georgia,Early,47.16,52.84,8.15,19.59,7.94,9.51,11.98,14.08,12.48,9.08,7.19,48.89,52.55,0.18,0.13,0,0.06,0.71,0.27,48.84,47.31,23.01,12.85,7.16,9.66,735
Georgia,Echols,50.57,49.43,10.54,20.4,10.63,13.49,13.63,12.2,9.25,5.65,4.21,67.08,2.43,0,1.39,0,24.99,2.6,29.57,65.1,36.08,34.7,19.12,4.86,5.24,737
Georgia,Effingham,49.79,50.21,8.52,21.59,7.92,11.79,15.13,15.41,10.52,5.86,3.26,80.41,12.76,0.53,0.93,0.13,1.04,0.88,2.69,78.82,19.42,23.03,22.44,16.24,18.88,742
Georgia,Elbert,47.88,52.12,7.79,17.03,8.34,9.83,12.28,14.55,13.37,9.16,7.65,67.51,30.51,0.17,0.56,0,1.73,0.78,4.55,65.13,37.68,34.59,12.32,9,6.4,746
Georgia,Emanuel,48.85,51.15,8.81,18.02,9.17,11.79,11.95,13.96,12.3,8.06,5.93,62.09,33.42,0.42,0.18,0,2.02,0.76,4.31,60,41.74,30.32,13.53,6.75,7.66,750
California,San Joaquin,49.79,50.21,9.53,21.46,10.05,11.9,13.24,13.4,10.02,5.62,4.76,58.18,7.19,1.03,14.09,0.48,11.8,5.51,37.03,36.64,21.36,24.87,18.74,13.01,22.03,339
Georgia,Fannin,48.76,51.24,5.88,14.25,6.26,7.87,10.94,15.54,17.33,12.95,8.99,95.4,0.12,0.94,0.45,0.08,0.77,0.79,1.58,94.76,36.33,29.04,16.04,8.21,10.39,755
Georgia,Fayette,48.33,51.67,5.84,22.07,6.06,6.74,13.58,18.65,14.35,7.55,5.16,72.07,19.04,0.18,3.9,0.09,1.64,1.94,5.63,68.84,10.81,18.68,15.31,16.69,38.51,760
Georgia,Floyd,48.42,51.58,8.11,17.94,9.84,10.92,13.04,13.94,11.98,7.72,6.5,78.85,14.31,0.36,1.37,0.08,2.92,1.57,8.68,74.06,31.21,28.04,17.66,10.74,12.36,764
Georgia,Forsyth,49.68,50.32,9.59,21.92,5.29,10.22,18.69,15.63,9.75,5.66,3.25,82.23,2.44,0.19,5.09,0.04,2.34,1.04,8.27,76.54,10.2,15.67,16.48,16.05,41.6,768
Georgia,Franklin,49.41,50.59,7.12,16.88,9.06,9.84,12.55,14.47,13.2,9.69,7.19,89.17,8.62,0.28,0.58,0.11,0.67,0.74,3.34,86.46,34.54,30.5,15.97,9.75,9.24,772
California,San Diego,50.19,49.81,7.85,17.02,12.09,13.53,13.59,13.92,10.65,5.83,5.52,69.39,4.92,0.66,10.56,0.47,7.61,4.04,30.39,48.49,17.98,21.98,17.72,13.81,28.51,315
California,San Francisco,50.73,49.27,5.13,9.22,10.79,18.73,16.6,13.89,12,6.75,6.89,50.53,6.09,0.5,32.87,0.41,4.13,3.48,14.42,41.24,20.9,16.8,14.22,11.53,36.55,331
California,Siskiyou,49.88,50.12,6.62,15.39,7.02,8.44,10.1,15.39,17.49,11,8.55,86.36,1.29,3.01,1.26,0.22,1.44,5.96,9.92,79.85,35.12,28.87,17.3,9.59,9.12,446
California,San Luis Obispo,51.18,48.82,5.99,14.9,14,10.54,11.03,14.56,13.77,7.86,7.36,82.88,2.1,0.94,3.03,0.13,6.24,3.18,19.56,71.06,21.37,22.71,18.72,13.07,24.13,351
California,San Mateo,49.16,50.84,7.73,15.6,7.87,12.53,15.05,15.4,12.41,6.96,6.44,58.92,2.85,0.39,23.87,1.45,6.59,3.96,23.96,43.01,11.59,16.05,16.01,13.42,42.93,368
California,Santa Barbara,50.2,49.8,7.76,17.5,14.33,12.07,11.91,12.97,10.62,6.32,6.52,74.92,1.88,0.98,4.87,0.19,11.89,3.41,40.21,48.94,19.14,22.77,18.86,11.93,27.3,391
California,Santa Clara,50.17,49.83,8.38,17,9.06,13.67,15.62,14.8,10.41,5.98,5.08,49.35,2.49,0.56,30.71,0.36,10.35,3.8,25.61,35.71,13.5,15.28,14.57,12.83,43.82,406
California,Santa Cruz,49.89,50.11,6.87,16.18,13.35,11.41,12.61,14.78,13.7,6.05,5.06,81.67,0.92,0.43,4.02,0.16,6.95,3.75,30.15,59.71,19.19,19.87,16.78,13.39,30.78,415
California,Shasta,49.16,50.84,6.95,16.84,8.85,10.01,11.04,15,14.39,9.34,7.57,88.2,0.83,2.25,2.49,0.16,1.7,4.19,7.99,82.91,28.25,26.96,19.19,11.32,14.27,431
California,Sierra,50.8,49.2,5.12,12.99,4.97,6.7,10.34,17.62,21.39,12.22,8.64,96.48,1.14,0.28,0.15,0,5.19,0.65,8.15,93.89,21.16,28.32,19.69,17.54,13.29,439
California,Yuba,50.38,49.62,10.31,20.29,10.44,12.88,12.3,13.23,10.49,5.79,4.26,68.31,2.46,1.84,6.75,0.34,11.98,6.93,23.66,58.71,25.33,27.57,19.74,12.09,15.27,541
California,Solano,49.88,50.12,7.8,18.21,9.75,11.87,13.17,15.47,12.39,6.29,5.04,51.3,14.71,0.62,14.29,0.84,10.89,6.55,22.94,41.4,15.47,19.8,19.89,15.17,29.67,453
California,Sonoma,49.17,50.83,7.04,16.41,9.39,11.36,12.52,15.19,14.17,7.35,6.58,79.51,1.45,1.13,3.88,0.3,8.56,3.15,23.16,66.23,17.75,21.75,18.46,14.05,28,463
California,Stanislaus,49.47,50.53,9.29,20.96,10.27,12.2,12.97,13.52,10.14,5.76,4.9,74.86,2.77,0.97,5.19,0.67,10.69,3.93,40.23,47.78,23.95,24.96,19.36,12.74,18.99,473
California,Sutter,49.61,50.39,9.15,19.95,9.57,11.91,12.65,13.45,10.67,6.85,5.81,65.04,1.59,1.3,13.23,0.31,10.91,6.24,27.39,51.35,22.34,26.82,19.85,12.85,18.13,483
California,Tehama,49.81,50.19,8.3,18.53,8.14,10.04,11.53,14.58,13.01,9.01,6.86,82.75,0.59,2.19,1.19,0.11,7.87,3.9,20.51,72.11,31.26,31.3,17.3,8.83,11.3,492
California,Trinity,51.6,48.4,5.47,13.87,5.82,8.25,10.07,16.87,19.56,12.14,7.94,87.65,0.39,1.66,1.2,0.32,1.82,6.33,6.47,83.29,29.24,33.77,17.68,7.62,11.68,500
California,Ventura,49.67,50.33,8.1,19.19,9.67,11.47,13.49,15.03,11.35,6.24,5.46,68,1.77,1.2,6.77,0.17,16.72,3.65,38.33,49.2,14.29,18.34,17.14,14.1,36.14,521
California,Yolo,48.76,51.24,7.48,17.62,18.34,12.41,11.91,12.36,10.04,5.26,4.58,65.39,2.3,1.02,12.6,0.52,10.84,5.13,28.86,50.17,22.72,21.54,17.5,11.82,26.42,525
California,Tulare,50.08,49.92,11.15,23.18,10.42,12.54,12.37,11.84,9.06,5.19,4.26,75.12,1.42,1.14,3.32,0.08,13.2,2.83,57.23,33.18,27.73,27.95,17.98,11.19,15.15,501
California,Tuolumne,52.82,47.18,5.15,13.54,7.52,9.89,10.87,15.53,17.1,11.17,9.22,88.29,2.3,1.51,1.01,0.2,4.03,3.93,10.37,83.08,24.86,27.04,19.08,11.4,17.61,513
Colorado,Bent,65.7,34.3,5.25,12.36,9.88,14.68,15.91,15.85,12.42,7.2,6.46,77.12,5.48,3.14,1.49,0,5.39,1.63,27.03,56.39,30.96,35.5,19.07,9.51,4.96,564
Colorado,Adams,50.3,49.7,10.22,19.67,9.56,14.71,14.77,13.23,9.5,4.84,3.51,74.36,2.93,1.11,3.48,0.11,11.1,3.24,35.44,52.34,19.95,25.24,20.85,14.41,19.55,545
Colorado,Arapahoe,49.01,50.99,8.57,18.46,8.65,13.29,14.35,14.92,11.69,5.62,4.45,73.21,9.46,0.79,4.73,0.17,4.91,3.38,17.06,62.47,18.93,23.5,19.42,13.28,24.87,558
Colorado,Archuleta,50.5,49.5,6.08,14.85,5.49,8.33,10.11,17.17,20.47,10.95,6.56,90.44,0.59,0.18,0.47,0.08,4.61,4.05,17.07,80.64,18.15,25.26,23.33,15.64,17.62,560
Colorado,Baca,49.55,50.45,6.68,16.24,5.17,8.74,9.93,14.55,14.65,10.88,13.17,93.14,0.87,0.66,0.82,0,1.9,3.8,8.1,88.89,35.2,31.21,16.11,9.22,8.26,563
Colorado,Alamosa,50.15,49.85,9.25,17.66,14.29,10.98,10.49,13.86,12.13,6.5,4.84,79.85,0.59,0.95,0.72,0.08,8.71,8.12,44.17,49.43,36.22,30.1,15.42,5.83,12.44,549
Colorado,Conejos,49.58,50.42,9.48,20.59,7.47,9.16,10.8,14.09,13.21,8.09,7.1,79.08,0.44,0.93,0.29,0,7.4,11.42,54.47,41.42,38.06,28.77,15.64,9.64,7.88,596
Colorado,Boulder,50.21,49.79,6.82,16.26,13.93,11.86,13.92,15.14,12.05,5.68,4.34,85.91,0.79,0.38,4.02,0.03,5.07,2.32,12.69,78.67,19.26,20.98,16.35,12.11,31.29,570
Colorado,Broomfield,49.61,50.39,8.64,18.78,7.8,12.67,16.04,15.46,10.76,5.56,4.29,82.64,0.83,0.23,5.36,0.08,2.1,3.36,10.17,75.71,12.34,19,18.3,14.7,35.65,577
Colorado,Chaffee,53.08,46.92,5.17,12.48,6.37,10.56,12.04,16.03,17.58,11.33,8.45,91.86,1.85,0.53,0.61,0,1.99,1.65,8.84,85.45,28.81,28.91,16.66,12.25,13.37,582
Colorado,Cheyenne,49.56,50.44,8.28,17.7,5.77,10.13,10.35,15.63,14.27,7.95,9.91,117.48,0,0.16,1.09,0,0.11,0.65,11.06,106.54,22.32,29.79,20.87,12.91,14.11,587
Colorado,Clear Creek,52.1,47.9,5.95,12.29,4.95,9.21,14.8,20.57,19.77,8.73,3.73,95.22,0.01,0.52,0.83,0,1.3,2.12,4.25,92.52,18.23,22.69,22.33,14.75,22,591
Colorado,Eagle,53.3,46.7,8.94,16.68,9.28,16.84,17.35,14.64,10.64,4.26,1.36,88.65,0.19,0.18,1.11,0.03,5.47,1.69,28.17,66.43,14.29,18.06,19.77,16,31.88,648
Arkansas,St. Francis,54.47,45.53,7.93,17.01,8.37,13.61,13.63,14.99,12.26,7.01,5.19,45.61,52.13,0.38,0.23,0,0.71,1.09,4.19,42.68,46.11,27.56,14.18,6.03,6.12,357
Arkansas,Woodruff,47.55,52.45,7.09,17.25,6.8,9.23,11.54,14.88,15.4,9.67,8.14,71.67,30.26,0.08,0,0.12,0.1,1.14,0.39,71.38,45.5,29.28,12.49,5.96,6.77,435
Arkansas,Pope,49.57,50.43,7.94,17.16,13.9,10.87,12.1,13.55,11.35,7.4,5.74,89.56,3.08,0.69,0.89,0,1.89,1.79,5.83,85.97,31.05,31.09,16.61,9.68,11.57,340
Arkansas,Pulaski,48.06,51.94,8.34,16.95,9.73,13.55,13.06,14.2,12.18,6.48,5.51,59.29,34.12,0.32,1.94,0.02,1.29,1.55,5.02,55.71,26.99,27.55,17.95,11.11,16.4,350
Alabama,Baldwin,48.94,51.06,7.35,16.93,7.43,10.36,12.92,14.77,13.46,9.77,7,83.09,9.11,0.6,0.63,0,1.69,1.31,3.76,81.09,22.67,27.15,19.93,12.26,17.98,20
Alabama,Barbour,53.09,46.91,7.41,15.75,9.32,12.26,13.21,14.63,13.17,8.15,6.09,50.11,47.02,0.32,0.17,0.01,1.92,1.34,4.64,47.63,41.13,27.42,17.51,6.94,6.99,25
Alabama,Calhoun,48.22,51.78,7.36,17.03,10.7,11.18,12.34,14.33,12.74,7.96,6.37,74.6,20.18,0.43,0.69,0.07,1.53,1.3,3,73.37,34.13,26.32,18.03,10.47,11.04,43
Arkansas,Poinsett,48.56,51.44,7.82,17.96,8.02,10.24,12.81,14.31,12.96,9.29,6.58,91.23,6.99,0.3,0.08,0.12,0.34,1.43,2.16,89.64,39.06,31.31,17.38,6.75,5.5,333
Arkansas,Polk,49.19,50.81,7.45,17.68,6.47,9.26,11.41,13.96,14.29,11.33,8.15,91.77,0.2,1.78,0,0.04,2.87,2.5,5.19,89.72,37.52,33.94,16.07,5.9,6.57,337
Arkansas,Prairie,49.5,50.5,6.44,16.41,6.71,8.73,12.42,15.25,14.34,11.34,8.36,86.61,13.55,0.42,0,0,0,0.84,0.31,86.51,35.05,33.76,14.45,10.36,6.37,345
Arkansas,Randolph,49.03,50.97,7.3,17.28,7.85,9.62,12.07,14.12,13.04,9.89,8.81,97.46,0.63,0.28,0.57,0,0.08,1.42,1.22,96.39,42.15,25.21,18.61,6.3,7.73,353
Arkansas,Saline,49.38,50.62,7.91,17.69,7.23,11.93,13.76,14.3,12.37,8.95,5.87,87.82,4.03,0.6,0.83,0.01,1.21,1.12,3.16,86.04,20.62,27.62,21.98,12.96,16.82,360
