County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over,FID
California,Inyo,50.44,49.56,6.96,15.21,6.62,9.83,10.62,15.97,15.74,9.8,9.26,74.91,0.96,10.16,1.4,0.07,9.72,2.18,17.85,67.09,26.47,26.79,17.63,10.71,18.4,562
California,Kern,51.58,48.42,10.36,21.63,11.01,12.97,12.92,12.92,9.2,5.18,3.8,64.01,5.39,1,3.82,0.11,19.03,3.79,46.3,38.95,26.25,26.37,17.82,11.67,17.89,84
California,Mariposa,50.79,49.21,5.19,13.58,6.41,8.17,10.02,17.71,17.99,12.34,8.59,90.46,0.54,2.05,1.14,0.32,1.51,4.19,9.31,83.57,27.2,23.99,17.34,13.27,18.2,178
California,Lake,50.21,49.79,6.78,15.67,7.45,9.15,10.97,15.86,16.43,10.13,7.56,85.4,2.13,2.21,1.06,0.41,4.75,3.58,16.25,74.83,32.82,28.28,18.11,7.68,13.12,100
California,Lassen,64.24,35.76,5.54,13.7,11.32,16.29,15.8,15.61,11.79,5.69,4.27,71.6,8.57,3.68,1.88,0.58,11.86,2.37,17.12,67.65,26.14,23.59,18.72,15.54,16.01,104
California,Los Angeles,49.29,50.71,7.87,18.17,10.81,13.47,14.57,13.94,10.32,5.79,5.06,50.54,8.69,0.49,13.65,0.27,22.6,3.15,46.84,28.24,22.52,22.9,17.62,12,24.96,139
California,Madera,48.18,51.82,9.55,20.52,10.24,12.25,12.7,12.79,10.49,6.54,4.9,77.94,3.75,1.58,1.95,0.11,8.96,3.64,50.85,38.9,24.18,29.36,18.9,10.1,17.46,153
California,Marin,49.16,50.84,6.76,14.88,5.74,8.91,14.45,16.66,15.88,9.2,7.52,79.26,2.96,0.27,5.54,0.19,7.33,2.95,14.19,73.13,13.09,16.06,13.96,11.86,45.02,168
California,Orange,49.46,50.54,7.68,18.33,10.04,12.3,14.59,14.76,10.69,6.23,5.39,61.11,1.61,0.43,17.32,0.32,15,2.73,32.35,44.84,14.2,18.77,17.43,13.6,36,257
California,Mendocino,50.07,49.93,7.27,16.14,8.01,10.91,11.69,14.2,16.41,8.6,6.76,83.33,0.98,4.78,1.8,0.21,5.47,3.02,21.02,69.63,29.32,27.57,18.19,10.99,13.93,190
California,Merced,50.33,49.67,10.41,23.13,11.35,12.26,12.5,12.12,8.85,5.16,4.2,64.91,3.82,0.99,7.3,0.21,17.76,3.01,52.69,32.41,29.37,26.46,18.8,10.83,14.55,204
California,Modoc,50.36,49.64,6.61,16.52,5.97,8.5,10.96,14.91,16.87,11.44,8.23,87.45,0.99,3.56,1.28,0.26,3.32,2.3,13.02,78.57,36.94,27.48,14.63,10.56,10.38,207
California,Mono,53.15,46.85,7.53,14.6,10.77,14.15,13.44,16.49,13.32,6.49,3.2,80.05,0.83,4.75,0.26,0.81,9,2.22,24.53,67.91,21.14,23.57,20.06,15.94,19.29,214
California,Monterey,51.42,48.58,9.39,19,11.07,13.4,13.21,12.83,10.41,5.52,5.18,68.52,3.15,0.87,6.16,0.43,15.48,3.56,52.73,33.62,18.45,23.39,19.34,13.55,25.28,228
California,Napa,49.94,50.06,7.21,17.29,8.68,10.97,13.08,14.6,13.07,7.71,7.38,79.41,2.16,0.84,6.42,0.33,6.33,2.73,30.09,57.23,16.48,20.46,17.58,13.07,32.4,236
California,Nevada,49.45,50.55,5.37,15.1,6.49,8.78,10.62,16.02,18.21,10.73,8.68,92.1,0.44,1.48,1.29,0.22,1.55,2.34,8.01,86.75,19.65,24.01,19.72,13.78,22.84,243
California,San Bernardino,49.7,50.3,9.34,21.62,11.04,12.38,13.41,13.62,9.68,5.09,3.83,59.93,8.78,0.96,6.09,0.28,18.32,4.17,47.18,34.16,20.29,24.17,19.62,13.84,22.09,302
California,Sacramento,48.97,51.03,8.54,18.55,10.17,13.01,13.45,14.13,10.97,5.87,5.3,59.14,10.06,0.94,14,0.97,8.06,5.16,20.41,48.9,20.06,24.12,19.4,13.57,22.85,289
California,San Benito,49.99,50.01,8.92,21.69,8.91,11.32,13.79,14.93,10.75,5.39,4.31,68.02,1.2,1.37,2.33,0.01,20.37,5.29,53.98,38.68,17.45,19.11,18.09,15.49,29.86,295
California,Placer,48.83,51.17,7.31,18.42,7.42,10.14,13.36,15.31,12.66,8.32,7.05,81.56,1.29,0.89,5.68,0.25,3.73,3.17,11.83,74.62,14.1,19.02,17.22,15.11,34.56,266
California,Plumas,50,50,5.51,13.92,6.84,7.69,9.54,16.12,19.62,12.67,8.1,93.5,1.12,2.96,0.95,0.04,0.96,2.38,7.96,87.52,25.72,30.68,19.07,10.99,13.54,275
California,Riverside,49.76,50.24,8.93,21.1,10.05,11.58,13.4,13.37,9.76,6.42,5.39,62.35,5.99,0.93,5.56,0.29,17.54,3.67,42.63,39.46,19.87,23.56,18.84,13.55,24.18,281
Alabama,Autauga,48.69,51.31,7.93,20.41,8.02,10.76,15.11,15.04,10.74,7.35,4.64,77.02,17.42,0.31,0.64,0,0.59,1.42,2.26,75.54,20.47,26.01,20.89,14.93,17.7,5
Alabama,Bibb,53.68,46.32,7.12,16.76,9.14,12.83,14.76,14.78,11.94,7.52,5.16,83.08,15.06,0.17,0.16,0,0,0.2,0.58,82.5,29.85,27.7,20.66,8.75,13.05,29
Alabama,Chambers,47.82,52.18,6.86,16.94,7.85,10.02,12.95,14.76,13.94,9.08,7.59,59.7,39.54,0.05,0.42,0,0.17,1.19,1.53,58.86,40.02,29.78,16.83,8.31,5.07,47
Alabama,Cherokee,49.59,50.41,6.47,16.26,6.81,9,13.01,15.47,15.09,11.19,6.7,91.74,4.63,0.76,0.27,0.12,0.47,0.91,1.24,91.1,35.71,25.64,17.94,10.8,9.91,51
Alabama,Clarke,47.28,52.72,6.91,19.43,7,10.21,12.77,15,12.53,9.13,7.03,55.94,42.54,1.87,0.42,0,0.12,0.75,0.92,55.13,46.48,21.63,13.37,8.57,9.94,61
Alabama,Butler,46.97,53.03,7.78,17.8,7.75,10.95,11.35,14.23,13.49,8.73,7.92,54.87,42.82,0.13,0.84,0,0,1.09,0.28,54.59,42.4,28.71,14.96,6.51,7.42,39
Alabama,Blount,49.48,50.52,7.64,18.38,7.79,10.84,13.83,14.1,12.69,8.86,5.86,94.1,1.25,0.44,0.43,0.02,1.61,1.06,7.41,88.51,27.48,27.12,22.04,10.51,12.84,33
