State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 and over",Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Virginia,Washington,49.33,50.67,5.46,15.99,7.75,9.87,13.28,15.73,14.81,10.31,7.43,97.04,1.26,0.18,0.37,0.03,0.43,0.7,1.32,96.21,12.48,12.18,8.0,3.62,5.1,44.01,3.04,34.5,66.6,13.42,2328
Virginia,Westmoreland,48.76,51.24,5.88,15.98,7.3,8.77,10.66,15.35,15.92,12.36,8.52,65.89,28.02,0.42,0.57,0.03,2.84,2.23,5.74,63.52,7.83,10.72,9.83,5.22,7.28,45.79,4.11,31.38,64.05,15.1,2749
Virginia,Wise,51.7,48.3,6.18,16.74,10.5,11.82,13.57,14.16,13.51,7.91,6.24,93.03,5.16,0.13,0.34,0.0,0.42,0.93,1.14,92.4,13.83,11.92,5.58,3.31,3.37,36.83,3.33,41.74,66.39,13.3,2329
Virginia,Wythe,48.92,51.08,6.12,16.42,6.93,9.81,13.93,15.16,14.36,10.12,7.71,95.06,2.8,0.14,0.44,0.01,0.38,1.18,0.96,94.57,13.06,11.63,7.99,3.62,3.6,45.03,3.97,30.75,66.87,15.33,2330
Virginia,York,48.88,51.12,6.65,22.47,7.76,9.27,13.29,17.66,12.03,7.26,4.86,76.43,13.37,0.38,4.9,0.15,1.35,3.43,4.42,74.04,3.65,6.21,6.97,6.19,13.65,44.39,1.76,23.37,76.98,9.23,2750
Virginia,Buena Vista,46.51,53.49,6.6,17.2,13.41,10.33,11.29,12.57,12.74,9.04,7.02,90.98,5.22,1.1,0.44,0.18,0.42,1.67,1.55,89.95,13.86,11.1,6.86,6.69,1.98,48.24,4.23,28.56,64.96,13.82,2751
Virginia,Charlottesville,47.74,52.26,5.53,10.44,29.84,16.03,10.18,10.01,8.82,4.88,4.36,69.08,19.41,0.27,6.37,0.04,1.83,3.01,5.11,66.31,13.07,9.78,6.76,4.02,6.13,48.1,2.29,33.77,71.38,15.26,2752
Virginia,Alexandria,48.06,51.94,7.27,10.34,8.74,22.13,17.71,13.36,11.04,5.25,3.9,60.86,21.78,0.42,6.02,0.1,7.07,3.73,16.09,53.5,5.29,7.55,8.23,6.42,18.05,59.54,2.41,17.45,76.74,13.51,2952
Virginia,Bedford,46.19,53.81,6.98,15.48,9.42,9.76,11.14,14.11,12.18,8.37,13.11,76.42,20.19,0.21,0.66,0.02,0.59,1.91,2.15,75.07,16.78,13.66,7.51,1.9,4.87,48.14,1.72,27.39,64.87,12.6,2695
Virginia,Bristol,47.03,52.97,6.76,15.94,9.23,10.94,12.16,13.71,12.76,9.44,9.52,90.91,5.66,0.29,0.68,0.02,0.52,1.92,1.24,90.27,18.36,12.77,7.28,2.89,3.26,41.01,4.81,34.49,66.63,12.78,2331
