State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 and over",Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Arkansas,Sebastian,49.01,50.99,7.92,19.39,9.63,11.55,12.87,14.43,11.63,7.23,5.91,76.62,6.38,1.88,4.06,0.09,7.38,3.59,12.28,72.83,12.02,11.37,7.2,3.33,4.71,44.18,2.86,29.28,65.13,20.33,436
Arkansas,Sevier,49.62,50.38,9.56,22.27,8.81,11.48,13.01,12.4,10.49,7.02,5.57,70.05,4.3,2.33,0.37,0.02,19.86,3.07,30.6,61.06,12.54,11.65,6.38,1.76,1.96,39.14,3.37,29.24,59.12,27.26,437
Arkansas,Sharp,49.42,50.58,6.05,17.39,5.97,8.06,10.62,13.64,15.01,13.22,10.72,96.05,0.54,0.98,0.29,0.01,0.42,1.71,1.68,94.99,17.1,12.74,8.0,1.8,2.0,33.6,2.93,45.52,58.32,16.77,1534
Arkansas,Stone,49.44,50.56,5.8,16.37,5.87,8.67,9.9,15.27,15.76,13.48,9.32,96.78,0.09,0.68,0.36,0.03,0.44,1.61,1.27,96.11,17.36,13.12,5.28,2.27,2.05,38.46,2.15,40.43,56.91,19.41,1535
Arkansas,Union,48.65,51.35,7.28,18.84,7.74,10.75,12.25,15.05,13.3,8.16,7.4,63.1,32.95,0.34,0.5,0.03,1.82,1.25,3.51,61.77,14.73,10.53,6.81,3.79,4.47,39.96,3.82,35.79,68.02,15.2,1536
Arkansas,Van Buren,49.85,50.15,5.81,16.37,6.47,8.61,10.93,15.26,14.48,12.09,10.59,95.97,0.39,0.69,0.32,0.01,0.65,1.96,2.75,94.14,15.61,12.93,7.5,2.36,2.45,34.95,3.46,43.34,59.65,16.81,1537
Arkansas,Washington,49.98,50.02,8.23,19.36,15.03,14.12,12.61,12.02,9.47,5.38,4.29,79.9,2.96,1.18,2.17,2.03,8.95,2.81,15.49,74.14,10.79,10.65,6.77,4.0,5.0,47.92,3.22,23.83,66.91,20.29,438
Arkansas,White,49.05,50.95,7.32,19.04,12.31,10.8,12.36,13.71,11.04,7.88,6.2,91.37,3.99,0.58,0.54,0.05,1.63,1.83,3.74,89.56,11.83,11.36,6.49,4.04,3.96,42.36,3.1,30.6,65.77,16.37,1538
Arkansas,Yell,49.9,50.1,7.96,20.5,8.2,10.57,12.54,13.91,11.7,8.52,6.88,86.66,1.38,0.67,1.29,0.05,8.19,1.75,19.07,76.72,11.52,12.34,6.87,2.99,1.95,42.08,3.28,30.32,60.08,23.42,1540
California,Colusa,51.41,48.59,9.36,22.85,8.7,11.6,12.5,12.92,11.08,6.38,5.27,64.68,0.91,1.96,1.31,0.32,27.26,3.57,55.11,39.8,7.55,9.19,6.6,3.83,5.37,39.9,6.6,25.97,66.74,21.29,34
California,Butte,49.51,50.49,6.2,17.35,14.26,10.64,10.6,13.13,13.13,7.81,7.56,81.86,1.55,2.0,4.12,0.21,5.52,4.75,14.14,75.19,11.19,10.6,6.92,4.49,5.66,41.16,5.33,34.42,67.66,15.82,32
California,Alameda,49.04,50.96,7.1,17.41,10.03,13.62,15.06,14.74,11.49,5.99,5.12,42.98,12.61,0.65,26.13,0.85,10.76,6.03,22.51,34.07,6.55,6.48,5.76,4.43,12.01,47.43,4.41,26.08,74.39,13.2,30
California,Alpine,51.57,48.43,6.47,17.19,5.96,7.49,11.57,18.3,20.0,9.28,4.85,74.98,0.0,20.43,0.6,0.0,1.62,2.38,7.15,72.51,4.94,9.79,7.4,3.49,9.28,43.66,7.06,27.49,73.79,13.7,146
California,Amador,54.47,45.53,4.31,14.33,6.26,8.69,11.86,16.72,17.84,11.7,8.95,87.03,2.53,1.78,1.1,0.2,3.81,3.56,12.49,79.61,7.22,10.18,7.74,5.91,7.57,37.59,4.84,43.52,57.23,10.76,31
California,Calaveras,50.07,49.93,4.88,16.75,5.9,7.11,10.1,16.6,18.56,12.75,8.24,88.91,0.84,1.51,1.25,0.17,3.37,3.95,10.32,83.54,8.46,10.19,7.62,5.61,9.36,42.33,3.51,38.08,65.11,12.87,33
California,Contra Costa,48.76,51.24,7.14,19.86,8.16,11.13,14.17,15.64,12.27,6.74,5.69,58.58,9.26,0.58,14.44,0.46,10.74,5.93,24.36,47.75,5.01,6.15,5.69,4.75,13.49,46.03,4.12,25.87,74.55,12.39,35
California,Del Norte,55.6,44.4,6.33,17.03,8.84,12.88,13.39,15.55,12.99,7.53,6.01,73.74,3.47,7.84,3.37,0.11,6.92,4.54,17.8,64.71,12.88,8.01,6.51,3.66,3.56,33.22,3.74,43.21,62.23,12.01,36
California,Kings,56.44,43.56,9.15,20.7,11.87,14.97,14.3,13.26,8.45,4.47,3.39,54.27,7.2,1.67,3.67,0.18,28.11,4.9,50.9,35.22,6.27,7.31,5.47,2.92,4.57,34.53,4.69,31.48,63.36,15.43,40
California,Glenn,50.46,49.54,8.48,21.82,8.97,11.14,11.89,13.64,11.56,7.28,6.01,71.08,0.82,2.2,2.57,0.09,19.64,3.61,37.48,55.89,10.28,9.69,5.91,4.1,4.38,41.26,3.72,29.51,66.58,19.4,38
California,Humboldt,50.21,49.79,6.3,15.93,12.43,13.16,11.19,13.93,14.39,7.18,5.98,81.65,1.12,5.74,2.19,0.26,3.72,5.33,9.81,77.22,12.79,11.02,7.25,4.03,5.23,45.18,4.24,31.57,68.13,17.2,39
California,Imperial,51.36,48.64,8.58,23.23,10.6,12.5,13.14,12.89,9.51,5.61,4.79,58.76,3.31,1.75,1.63,0.09,30.03,4.42,80.37,13.71,9.22,6.91,4.43,2.79,3.76,32.91,5.66,32.63,65.25,19.01,148
California,El Dorado,50.02,49.98,5.97,19.11,7.06,8.55,12.26,17.86,15.53,8.53,6.12,86.6,0.78,1.14,3.48,0.16,4.02,3.82,12.08,79.91,5.25,7.8,7.16,5.19,12.38,46.85,4.21,27.67,72.92,11.51,37
California,Fresno,49.96,50.04,9.3,23.1,11.42,12.72,12.29,12.37,9.55,5.32,4.72,55.37,5.32,1.68,9.6,0.15,23.33,4.54,50.31,32.73,8.41,7.74,5.39,3.57,5.4,39.58,5.1,26.94,69.47,19.48,147
California,Inyo,50.44,49.56,6.3,16.47,6.62,9.83,10.62,15.97,15.74,9.8,9.26,74.09,0.59,11.44,1.31,0.09,9.04,3.45,19.4,66.3,11.39,11.53,7.59,4.61,7.92,46.62,3.39,30.42,63.93,15.92,149
California,Kern,51.58,48.42,9.49,23.28,11.01,12.97,12.92,12.92,9.2,5.18,3.8,59.52,5.83,1.51,4.15,0.15,24.33,4.51,49.19,38.56,7.75,7.79,5.27,3.45,5.29,37.04,4.78,28.59,66.8,20.44,150
California,Mariposa,50.79,49.21,4.78,14.92,6.41,8.17,10.02,17.71,17.99,12.34,8.59,88.23,0.76,2.89,1.12,0.14,2.78,4.08,9.18,83.24,11.51,10.15,7.34,5.62,7.7,41.26,6.1,36.51,65.22,13.22,44
California,Lake,50.21,49.79,6.23,16.92,7.45,9.15,10.97,15.86,16.43,10.13,7.56,80.47,1.91,3.17,1.12,0.17,8.44,4.74,17.15,74.13,12.78,11.01,7.05,2.99,5.11,37.32,5.0,37.82,65.33,16.59,41
California,Lassen,64.24,35.76,5.03,14.8,11.32,16.29,15.8,15.61,11.79,5.69,4.27,73.17,8.12,3.54,1.02,0.47,10.21,3.47,17.53,66.69,7.7,6.95,5.51,4.58,4.71,30.04,3.05,51.33,53.5,8.9,42
California,Los Angeles,49.29,50.71,7.2,19.6,10.81,13.47,14.57,13.94,10.32,5.79,5.06,50.28,8.73,0.74,13.72,0.27,21.8,4.47,47.74,27.79,7.38,7.5,5.78,3.93,8.18,46.06,4.39,26.92,65.39,22.9,151
California,Madera,48.18,51.82,8.77,22.06,10.24,12.25,12.7,12.79,10.49,6.54,4.9,62.61,3.73,2.74,1.86,0.11,24.78,4.18,53.69,38.03,6.75,8.19,5.27,2.82,4.87,34.79,4.76,33.44,64.53,19.08,152
California,Marin,49.16,50.84,6.26,15.99,5.74,8.91,14.45,16.66,15.88,9.2,7.52,80.01,2.77,0.6,5.45,0.2,6.72,4.24,15.48,72.83,5.33,6.54,5.68,4.83,18.32,49.59,2.95,27.82,70.56,9.45,43
California,Orange,49.46,50.54,7.05,19.75,10.04,12.3,14.59,14.76,10.69,6.23,5.39,60.82,1.69,0.6,17.87,0.31,14.47,4.25,33.65,44.13,4.65,6.14,5.7,4.45,11.77,47.9,3.81,25.13,70.31,17.51,154
California,Mendocino,50.07,49.93,6.66,17.36,8.01,10.91,11.69,14.2,16.41,8.6,6.76,76.52,0.71,4.87,1.65,0.14,11.59,4.52,22.2,68.59,11.47,10.79,7.12,4.3,5.45,44.17,4.35,31.48,65.81,18.05,45
California,Merced,50.33,49.67,9.55,24.87,11.35,12.26,12.5,12.12,8.85,5.16,4.2,58.01,3.88,1.36,7.36,0.23,24.5,4.66,54.92,31.9,8.45,7.61,5.41,3.11,4.19,37.05,5.92,27.11,70.25,19.43,46
California,Modoc,50.36,49.64,5.98,18.04,5.97,8.5,10.96,14.91,16.87,11.44,8.23,83.46,0.85,3.82,0.81,0.22,7.02,3.83,13.86,78.97,15.17,11.28,6.01,4.34,4.26,37.48,4.81,37.17,61.18,17.76,47
California,Mono,53.15,46.85,6.96,15.65,10.77,14.15,13.44,16.49,13.32,6.49,3.2,82.36,0.33,2.13,1.35,0.08,10.84,2.92,26.49,68.21,7.87,8.77,7.46,5.93,7.18,57.92,4.04,15.92,68.62,21.2,153
California,Monterey,51.42,48.58,8.58,20.4,11.07,13.4,13.21,12.83,10.41,5.52,5.18,55.59,3.08,1.32,6.09,0.5,28.29,5.15,55.41,32.87,5.55,7.04,5.82,4.08,7.61,42.46,4.82,26.14,64.89,20.81,48
California,Napa,49.94,50.06,6.63,18.64,8.68,10.97,13.08,14.6,13.07,7.71,7.38,71.46,1.95,0.78,6.76,0.27,14.7,4.09,32.25,56.39,5.94,7.37,6.33,4.71,11.68,46.8,3.74,27.57,67.31,15.46,49
California,Nevada,49.45,50.55,4.97,16.35,6.49,8.78,10.62,16.02,18.21,10.73,8.68,91.36,0.39,1.06,1.2,0.11,2.71,3.16,8.54,86.55,8.21,10.03,8.24,5.76,9.54,45.63,4.03,32.76,65.92,14.01,50
California,San Bernardino,49.7,50.3,8.58,23.33,11.04,12.38,13.41,13.62,9.68,5.09,3.83,56.66,8.94,1.11,6.32,0.34,21.6,5.03,49.19,33.29,5.94,7.08,5.75,4.05,6.47,40.48,5.08,26.46,69.57,20.23,156
California,Sacramento,48.97,51.03,7.84,19.97,10.17,13.01,13.45,14.13,10.97,5.87,5.3,57.45,10.37,1.01,14.32,0.98,9.28,6.59,21.58,48.43,7.19,8.64,6.95,4.86,8.19,44.11,5.04,26.6,74.03,14.05,53
California,San Benito,49.99,50.01,8.23,23.4,8.91,11.32,13.79,14.93,10.75,5.39,4.31,63.65,0.87,1.62,2.61,0.17,26.18,4.89,56.43,38.27,5.31,5.81,5.5,4.71,9.08,44.69,5.15,23.08,71.73,18.5,54
California,Placer,48.83,51.17,6.77,19.86,7.42,10.14,13.36,15.31,12.66,8.32,7.05,83.51,1.36,0.86,5.86,0.22,3.84,4.34,12.83,76.14,5.23,7.05,6.38,5.6,12.81,44.86,3.33,27.18,73.53,10.45,51
California,Plumas,50.0,50.0,5.05,15.06,6.84,7.69,9.54,16.12,19.62,12.67,8.1,88.95,0.96,2.69,0.67,0.09,3.01,3.62,8.02,85.05,12.97,15.47,9.62,5.54,6.83,44.46,4.86,36.26,63.3,14.72,52
California,Riverside,49.76,50.24,8.23,22.75,10.05,11.58,13.4,13.37,9.76,6.42,5.39,60.98,6.42,1.08,5.96,0.31,20.47,4.78,45.45,39.69,6.05,7.18,5.74,4.13,7.37,39.51,4.98,27.09,66.93,20.47,155
Alabama,Autauga,48.69,51.31,7.33,21.98,8.02,10.76,15.11,15.04,10.74,7.35,4.64,78.53,17.67,0.43,0.87,0.06,0.85,1.59,2.4,77.25,7.4,9.4,7.55,5.39,6.4,44.6,2.95,25.1,75.28,11.85,1965
Alabama,Bibb,53.68,46.32,6.53,18.07,9.14,12.83,14.76,14.78,11.94,7.52,5.16,75.85,22.02,0.28,0.1,0.06,0.81,0.89,1.77,75.02,9.69,8.99,6.71,2.84,4.24,42.85,4.31,31.23,64.16,13.82,1463
Alabama,Chambers,47.82,52.18,6.33,18.35,7.85,10.02,12.95,14.76,13.94,9.08,7.59,58.78,38.75,0.2,0.49,0.03,0.63,1.13,1.57,58.14,16.0,11.91,6.73,3.32,2.03,39.98,6.64,33.82,67.11,15.56,1968
Alabama,Cherokee,49.59,50.41,5.94,17.52,6.81,9.0,13.01,15.47,15.09,11.19,6.7,92.66,4.65,0.52,0.21,0.0,0.47,1.49,1.23,92.07,15.6,11.2,7.83,4.72,4.33,40.59,5.76,33.87,66.24,15.31,1969
Alabama,Clarke,47.28,52.72,6.31,21.08,7.0,10.21,12.77,15.0,12.53,9.13,7.03,54.47,43.88,0.4,0.3,0.02,0.26,0.68,1.05,53.97,16.45,7.66,4.73,3.03,3.52,31.59,3.53,43.94,69.03,13.78,1255
Alabama,Butler,46.97,53.03,7.12,19.17,7.75,10.95,11.35,14.23,13.49,8.73,7.92,54.42,43.42,0.29,0.84,0.03,0.23,0.77,0.91,54.06,16.23,10.99,5.73,2.49,2.84,38.85,4.09,35.13,68.78,14.18,1253
Alabama,Blount,49.48,50.52,7.0,19.73,7.79,10.84,13.83,14.1,12.69,8.86,5.86,92.58,1.33,0.54,0.2,0.07,4.09,1.19,8.07,88.89,9.88,9.75,7.92,3.78,4.62,43.1,3.51,30.74,68.3,16.31,1966
Alabama,Bullock,54.17,45.83,7.11,16.89,9.46,12.63,12.48,15.55,12.89,7.65,5.81,22.97,70.24,0.21,0.18,0.39,5.21,0.79,7.12,21.92,14.39,9.83,4.36,2.05,3.56,39.49,4.98,35.63,60.71,11.77,1252
Alabama,Chilton,49.51,50.49,7.59,19.5,8.32,11.85,13.54,14.2,12.13,7.89,5.67,84.12,9.69,0.36,0.3,0.13,4.25,1.16,7.84,81.1,12.28,10.36,6.96,4.15,4.19,42.1,4.22,30.36,68.57,17.14,1970
Alabama,Choctaw,48.26,51.74,6.05,18.88,6.66,9.24,12.37,15.36,14.16,10.53,7.65,55.78,43.38,0.13,0.09,0.0,0.2,0.42,0.53,55.56,16.04,9.96,6.77,2.95,2.49,32.31,4.89,44.05,66.63,14.52,1254
Alabama,Coosa,49.63,50.37,5.31,17.06,6.99,9.05,13.29,16.19,15.57,10.05,7.02,66.28,31.04,0.35,0.14,0.13,1.17,0.89,1.99,65.9,13.69,11.71,6.82,3.41,3.89,37.5,4.65,38.63,68.43,13.8,1973
Alabama,Clay,49.05,50.95,6.0,18.59,7.56,9.6,13.14,15.22,13.06,9.93,7.64,81.68,14.83,0.39,0.17,0.0,1.23,1.69,2.86,80.29,15.18,12.91,6.06,4.41,3.44,41.23,5.03,34.21,66.1,15.28,1971
Alabama,Cleburne,49.78,50.22,6.96,18.82,7.5,9.79,13.77,14.35,13.7,9.25,6.52,94.04,3.33,0.34,0.15,0.07,1.01,1.07,2.05,93.21,12.23,10.5,6.16,4.96,2.2,37.94,5.64,34.44,68.77,14.71,1972
Alabama,Coffee,49.42,50.58,7.18,19.02,8.74,12.33,13.24,13.62,12.08,8.06,6.38,74.74,16.74,1.29,1.29,0.2,3.25,2.5,6.37,72.34,11.3,10.25,6.77,4.12,5.45,38.72,3.13,30.96,69.51,15.38,1256
Alabama,Conecuh,48.47,51.53,6.21,19.03,7.22,9.0,11.33,15.2,14.85,10.15,7.7,51.32,46.48,0.33,0.13,0.01,0.73,1.0,1.22,51.13,16.93,9.04,4.83,3.36,2.59,33.63,4.85,39.42,66.38,15.2,1257
Alabama,Colbert,48.06,51.94,6.28,17.86,7.94,10.1,12.72,15.17,13.28,9.65,7.73,80.45,16.11,0.49,0.42,0.04,0.94,1.55,2.01,79.62,13.21,11.41,7.45,4.49,4.16,42.0,3.37,34.84,69.94,12.01,1464
Alabama,Escambia,51.58,48.42,6.76,17.91,8.24,11.91,13.67,14.58,12.34,8.83,6.34,62.07,31.89,3.36,0.24,0.03,0.9,1.51,1.87,61.35,14.5,9.97,5.74,3.01,2.81,34.56,3.97,39.88,61.92,14.97,1261
Alabama,Covington,48.43,51.57,6.59,17.92,7.69,9.7,11.96,14.96,13.46,9.86,8.51,84.79,12.49,0.57,0.41,0.0,0.36,1.38,1.28,84.08,15.0,10.16,6.4,3.04,4.23,41.62,4.08,34.05,66.73,14.19,1258
Alabama,Crenshaw,48.28,51.72,6.58,19.45,7.39,9.77,12.85,15.26,13.47,8.55,7.34,72.61,23.4,0.41,1.36,0.06,0.71,1.45,1.47,72.06,14.9,11.48,7.42,3.81,2.95,42.19,3.98,32.12,67.58,15.77,1259
Alabama,Cullman,49.4,50.6,6.8,18.44,8.44,10.71,12.87,14.66,12.83,9.2,6.73,94.69,1.06,0.51,0.43,0.02,2.19,1.11,4.3,92.74,12.68,11.23,7.12,3.55,4.3,42.56,3.59,32.37,67.37,15.72,1974
Alabama,Dale,49.4,50.6,8.11,18.47,9.61,12.95,12.22,13.89,11.77,7.79,5.66,74.1,19.26,0.74,1.06,0.09,1.76,2.99,5.61,71.05,11.05,11.24,7.95,4.37,4.28,39.99,3.3,28.93,72.44,12.65,1260
Alabama,Dallas,46.2,53.8,7.99,20.73,8.81,10.24,11.46,14.87,12.59,8.06,6.01,29.14,69.43,0.19,0.34,0.03,0.19,0.68,0.71,28.93,18.67,8.55,5.03,2.95,3.12,35.08,6.31,35.03,71.66,13.71,1975
Alabama,DeKalb,49.38,50.62,7.94,20.03,8.01,11.48,13.58,13.66,12.13,8.04,5.85,84.5,1.52,1.36,0.29,0.21,9.92,2.21,13.63,81.56,13.15,11.11,6.36,2.94,2.91,40.27,3.77,31.84,65.57,20.1,1976
Alabama,Elmore,48.79,51.21,6.78,18.97,9.04,11.98,14.66,15.46,11.92,7.24,4.66,76.23,20.05,0.36,0.65,0.08,1.18,1.44,2.68,74.96,7.55,8.99,7.39,4.78,6.3,41.28,3.66,31.54,69.82,11.65,1977
Alabama,Hale,47.37,52.63,6.59,20.82,8.25,9.71,11.31,15.81,13.45,8.2,6.84,39.76,59.02,0.16,0.22,0.01,0.28,0.56,0.89,39.42,16.52,10.6,5.06,2.55,2.35,38.17,6.28,34.54,69.51,13.86,1468
Alabama,Etowah,48.48,51.52,6.41,18.54,8.33,10.38,13.36,14.26,13.55,8.71,7.1,80.27,15.13,0.43,0.64,0.16,1.89,1.48,3.3,79.28,13.46,12.17,6.08,3.64,4.48,39.58,4.43,35.45,67.46,15.15,1978
Alabama,Fayette,49.34,50.66,6.2,18.14,7.81,9.31,12.27,14.82,14.08,10.25,7.63,86.48,11.42,0.3,0.21,0.0,0.59,0.99,1.18,86.03,15.24,13.62,7.01,3.22,2.47,39.42,2.82,39.05,67.38,13.74,1465
Alabama,Franklin,49.92,50.08,7.62,19.23,8.75,11.3,13.2,13.52,11.75,8.69,6.53,83.02,3.87,0.68,0.2,0.03,10.53,1.67,14.86,79.64,14.76,10.75,7.24,2.99,3.26,42.26,3.71,30.99,64.69,19.55,1466
Alabama,Geneva,48.92,51.08,6.47,17.91,7.94,9.55,12.74,14.77,13.83,10.03,7.42,86.33,9.48,0.84,0.25,0.03,1.53,1.55,3.43,84.7,15.66,12.42,6.39,2.75,2.8,41.75,3.45,34.17,65.92,16.2,1262
Alabama,Greene,47.22,52.78,6.79,19.98,8.57,8.73,10.24,15.33,15.04,8.39,7.68,17.41,81.48,0.19,0.17,0.0,0.28,0.48,0.76,17.27,20.51,7.34,6.39,2.43,2.27,31.87,8.94,39.52,68.38,15.12,1467
Alabama,Lee,49.29,50.71,6.78,18.44,20.21,12.06,12.31,12.23,9.53,5.37,3.7,71.31,22.75,0.32,2.61,0.07,1.34,1.61,3.26,69.81,12.87,9.31,6.94,4.03,5.37,44.12,4.04,28.09,74.18,13.9,1981
Alabama,Henry,47.98,52.02,6.03,18.47,6.91,9.73,12.33,14.43,15.3,10.1,7.49,68.58,28.56,0.33,0.31,0.01,1.19,1.02,2.25,67.8,13.14,11.46,5.03,4.99,3.85,41.23,4.98,33.63,66.66,14.94,1263
Alabama,Houston,48.0,52.0,7.25,19.21,8.28,11.42,13.02,14.54,12.44,8.04,6.41,69.97,25.78,0.44,0.81,0.05,1.23,1.73,2.95,68.67,11.75,10.05,6.42,4.08,5.15,43.2,3.07,29.61,70.59,14.14,1264
Alabama,Jackson,49.11,50.89,6.27,18.29,7.5,10.0,13.3,14.99,13.85,10.0,6.48,90.83,3.35,1.35,0.35,0.09,1.44,2.59,2.52,90.06,14.55,11.59,6.94,3.73,2.96,41.8,3.35,35.28,67.28,15.42,1979
Alabama,Jefferson,47.35,52.65,7.24,18.16,9.94,12.68,12.7,14.46,12.25,6.72,6.4,53.03,42.0,0.26,1.39,0.04,2.18,1.1,3.87,51.67,11.1,10.43,7.01,4.11,6.89,45.72,4.38,28.71,71.16,13.7,1980
Alabama,Lamar,48.73,51.27,6.54,17.43,7.14,9.03,12.46,15.17,14.14,10.62,8.14,86.69,11.28,0.16,0.03,0.01,0.56,1.26,1.24,86.12,16.02,12.08,6.3,3.69,2.73,38.92,4.21,37.48,66.37,13.89,1469
Alabama,Lauderdale,47.87,52.13,6.2,17.58,10.69,9.79,12.31,14.32,13.06,9.19,7.59,86.41,9.99,0.36,0.74,0.04,1.05,1.41,2.25,85.46,13.84,10.59,6.42,4.41,5.41,42.05,3.96,33.83,69.02,12.4,1470
Alabama,Lawrence,48.9,51.1,6.87,18.55,7.91,10.1,13.77,15.96,13.1,8.84,5.72,77.6,11.47,5.69,0.12,0.02,0.8,4.3,1.67,76.94,11.89,11.54,7.52,4.62,3.49,42.15,4.1,32.55,68.83,16.2,1471
Alabama,Monroe,48.16,51.84,6.74,20.93,7.52,9.49,12.45,14.7,13.35,8.6,7.08,55.13,41.68,1.13,0.29,0.04,0.29,1.45,0.95,54.71,16.45,10.91,5.25,4.24,3.0,37.75,4.41,36.34,68.19,15.38,1266
Alabama,Limestone,50.63,49.37,7.13,18.81,8.02,12.07,14.76,15.66,11.94,7.4,4.9,80.34,12.6,0.66,1.12,0.05,3.46,1.77,5.55,78.65,9.09,10.1,6.58,4.11,6.39,41.38,3.35,29.65,70.3,14.09,1982
Alabama,Lowndes,46.81,53.19,7.11,19.52,8.78,9.42,11.63,16.49,13.36,8.73,5.92,25.3,73.55,0.22,0.12,0.0,0.27,0.53,0.77,25.14,16.51,9.57,5.25,2.58,3.31,37.19,6.28,38.15,70.31,14.4,1983
Alabama,Macon,45.8,54.2,6.11,17.91,16.38,8.98,10.51,13.24,13.4,7.74,6.39,15.47,82.64,0.14,0.35,0.01,0.32,1.06,1.08,15.23,16.78,8.91,5.4,3.13,2.93,37.23,5.9,38.79,65.58,12.85,1984
Alabama,Madison,49.08,50.92,6.9,19.11,10.26,11.67,13.25,16.07,11.27,6.91,5.29,68.18,24.01,0.76,2.47,0.11,2.01,2.47,4.6,66.14,8.38,8.61,6.62,4.62,9.57,46.29,4.06,24.94,73.35,12.08,1985
Alabama,Marengo,47.14,52.86,6.88,20.53,7.79,9.29,12.46,14.51,13.29,8.67,7.62,46.37,51.7,0.16,0.25,0.06,0.67,0.78,1.67,45.69,17.07,11.1,5.65,2.37,4.19,35.78,4.42,38.09,69.0,13.93,1472
Alabama,Marion,49.69,50.31,6.09,17.45,7.39,9.56,13.43,14.69,13.68,10.69,7.66,93.55,3.85,0.33,0.18,0.05,0.95,1.11,2.05,92.63,16.41,11.05,7.47,3.26,3.23,40.89,3.52,36.32,66.04,13.8,1473
Alabama,Mobile,48.03,51.97,7.45,19.78,9.9,11.6,12.45,14.52,12.06,7.26,5.65,60.21,34.62,0.89,1.83,0.05,0.94,1.46,2.41,59.06,11.72,10.0,6.76,3.91,4.73,42.21,4.53,29.86,69.83,16.0,1265
Alabama,Marshall,49.28,50.72,7.76,19.26,8.63,10.93,13.09,13.98,12.05,8.61,6.29,87.58,1.61,0.76,0.51,0.11,7.75,1.68,12.08,83.92,12.91,10.04,6.29,3.55,4.23,42.05,2.85,30.72,66.33,18.16,1986
Alabama,St. Clair,50.13,49.87,7.34,18.29,7.78,12.32,14.21,15.11,12.51,7.99,5.06,88.21,8.55,0.34,0.62,0.06,0.88,1.34,2.05,87.26,8.73,9.27,7.65,4.72,5.01,42.27,3.27,30.19,71.78,12.89,1991
Alabama,Montgomery,47.6,52.4,7.52,19.1,11.42,12.73,12.88,13.76,11.25,6.44,5.52,39.53,54.71,0.26,2.1,0.07,2.07,1.27,3.62,38.41,11.18,10.28,6.34,4.68,6.22,44.57,3.82,28.01,70.86,13.33,1987
Alabama,Morgan,49.28,50.72,7.0,19.06,8.28,11.35,13.45,15.05,12.45,8.1,6.02,79.84,11.87,0.87,0.58,0.09,4.77,1.98,7.66,77.48,11.01,10.44,7.31,4.24,5.81,43.94,4.1,28.96,68.37,15.97,1988
Alabama,Perry,47.02,52.98,6.77,20.16,12.05,9.45,10.4,13.13,12.0,9.09,7.61,30.25,68.7,0.16,0.28,0.05,0.15,0.41,1.08,29.67,17.71,11.22,4.0,1.85,1.36,31.39,5.72,41.54,64.33,13.19,1474
Alabama,Pickens,47.75,52.25,6.61,18.8,8.25,9.43,11.69,15.29,13.64,9.3,7.6,56.26,41.58,0.14,0.18,0.01,0.65,1.17,1.59,55.84,18.77,9.43,6.3,3.53,2.52,36.7,6.03,37.0,67.52,14.24,1475
Alabama,Pike,47.72,52.28,5.99,17.57,20.44,10.3,10.65,11.93,11.0,7.4,5.4,58.19,36.64,0.58,1.99,0.07,1.04,1.49,2.22,57.41,17.37,9.97,5.61,2.45,4.16,42.99,4.34,32.3,67.39,14.44,1267
Alabama,Randolph,48.46,51.54,6.68,19.42,7.9,9.48,12.33,14.47,13.58,9.69,7.28,76.52,20.11,0.37,0.24,0.02,1.61,1.14,2.83,75.42,12.92,11.4,6.76,2.61,3.53,39.03,4.57,34.98,66.92,14.85,1989
Alabama,Russell,47.76,52.24,8.04,19.43,9.79,12.32,12.46,14.15,11.67,7.21,5.49,53.73,41.81,0.41,0.45,0.21,1.31,2.09,3.68,52.11,14.88,11.55,5.75,3.5,2.42,39.01,5.11,29.7,71.83,15.16,1990
Alabama,Walker,48.74,51.26,6.36,18.2,7.9,10.34,12.96,14.82,13.92,9.45,6.8,91.23,5.86,0.37,0.29,0.05,0.95,1.24,1.95,90.4,13.17,10.71,6.92,3.58,4.1,37.95,5.0,37.62,68.86,13.8,1478
Alabama,Shelby,48.98,51.02,7.54,20.14,7.72,12.67,15.26,15.09,11.81,6.4,4.17,83.01,10.63,0.28,1.91,0.04,2.75,1.38,5.93,80.16,5.35,7.99,6.8,5.56,11.09,48.94,2.87,22.36,76.94,10.76,1992
Alabama,Sumter,45.49,54.51,6.07,19.02,14.27,8.89,10.54,14.58,12.47,7.68,7.31,24.17,74.95,0.08,0.24,0.03,0.19,0.34,0.62,24.01,17.79,10.01,4.13,1.84,2.22,38.81,7.74,32.88,65.6,15.21,1476
Alabama,Talladega,48.7,51.3,6.62,18.99,8.35,10.99,13.65,14.87,13.2,8.18,5.9,65.3,31.66,0.32,0.41,0.01,0.96,1.34,2.03,64.5,13.12,10.75,7.28,3.25,3.46,39.47,5.13,34.55,68.99,13.35,1993
