County,State,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),Percent high school graduate or higher (Population 25 years and over),Percent bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Alabama,Autauga,"4,636",581,"1,723","1,720",612,"37,860",909,"3,364","11,880","7,663","3,323","6,320","4,401","33,587","10,721","7,078","6,464","1,803","7,304","6,387","1,969","14,988","13,633","4,692","8,490","7,103","2,257",33.2%,16.2%,9.0%,3.9%,"40,987","28,132","31,224","38,967","52,979","70,556",5
Alabama,Baldwin,"15,733","2,333","5,569","6,471","1,360","155,563","3,834","10,989","42,272","34,475","14,357","31,444","18,192","140,740","49,636","24,387","22,099","7,749","26,411","23,680","9,404","60,049","54,818","19,360","44,716","40,143","13,123",21.8%,10.0%,8.7%,3.2%,"40,295","25,639","31,659","34,443","52,171","64,297",20
Alabama,Barbour,"2,007",463,875,585,84,"17,797","1,387","3,110","6,361","3,487","1,385","1,296",771,"13,300","2,067","3,643","2,606",268,"3,047","2,163",374,"6,330","5,120",767,"4,777","3,411",658,39.6%,20.6%,14.6%,4.1%,"30,102","24,049","28,022","28,576","50,000","54,342",25
Alabama,Bibb,"1,803",324,"1,104",351,24,"15,987",978,"2,078","7,206","2,824","1,087","1,183",631,"12,931","1,814","3,248","2,640",313,"3,085","2,355",182,"5,978","5,127",893,"3,676","2,809",426,28.3%,16.7%,4.2%,5.5%,"33,912","34,955","27,797","32,491","52,500","57,788",29
Alabama,Blount,"4,569",645,"1,833","1,964",127,"39,814","2,950","3,888","13,975","8,505","5,220","3,540","1,736","32,976","5,276","6,879","6,000","1,180","7,060","6,022","1,080","15,493","12,916","1,898","10,382","8,038","1,118",22.4%,13.5%,10.3%,3.3%,"38,662","27,708","32,209","39,803","50,830","55,742",33
Alabama,Bullock,"1,110",187,496,383,44,"6,784",403,"1,297","2,809","1,199",379,413,284,"5,084",697,"1,086",707,39,"1,193","1,007",25,"2,867","2,111",329,"1,638","1,259",304,28.6%,22.5%,19.7%,0.1%,"29,696","27,707","29,835","30,786","50,179","107,557",37
Alabama,Butler,"1,505",297,710,446,52,"13,820",496,"1,390","6,425","2,334",970,"1,396",809,"11,934","2,205","2,301","2,020",318,"2,486","2,179",562,"4,941","4,401",712,"4,092","3,334",613,23.1%,16.3%,16.5%,3.4%,"28,139","21,161","25,999","27,458","42,537","53,571",39
Alabama,Calhoun,"10,588","1,282","3,706","4,751",849,"78,967","3,829","7,958","27,203","19,007","6,080","8,296","6,594","67,180","14,890","15,075","13,594","2,894","13,654","11,608","2,813","29,993","25,479","5,057","20,245","16,499","4,126",26.8%,14.0%,11.2%,4.9%,"34,716","22,612","30,168","34,292","47,286","56,856",43
Alabama,Chambers,"2,710",298,"1,149","1,174",89,"23,771","1,334","2,806","8,829","5,166","2,203","2,491",942,"19,631","3,433","4,222","3,801",688,"3,706","3,242",540,"9,313","7,889","1,223","6,530","4,699",982,26.8%,14.0%,9.4%,2.8%,"32,764","23,028","28,459","34,962","42,928","49,085",47
Alabama,Cherokee,"1,889",233,947,650,59,"19,143","1,197","2,091","7,495","3,786","2,098","1,202","1,274","15,855","2,476","2,555","2,170",274,"2,870","2,414",593,"7,749","6,453","1,047","5,969","4,818",562,29.7%,11.4%,7.5%,2.3%,"35,959","20,882","33,140","36,325","44,316","56,947",51
Alabama,Chilton,"3,434",407,"1,960","1,028",39,"30,153","1,561","3,924","13,070","5,064","2,427","2,471","1,636","24,668","4,107","5,687","4,883",585,"5,677","4,682",944,"11,471","9,195","1,269","7,318","5,908","1,309",30.5%,17.3%,9.5%,3.0%,"35,631","32,303","31,225","40,462","43,469","48,672",56
Alabama,Choctaw,944,263,279,377,25,"9,263",564,"1,039","3,346","1,994","1,068",761,491,"7,660","1,252","1,449","1,292",329,"1,219","1,106",220,"3,647","3,112",436,"2,948","2,150",267,32.8%,15.0%,12.3%,1.7%,"34,540","25,147","37,105","27,950","42,000","39,167",58
Alabama,Clarke,"2,001",250,885,755,111,"16,703",768,"2,136","6,942","3,118","1,436","1,401",902,"13,799","2,303","2,627","2,165",370,"2,798","2,469",355,"6,533","5,572",789,"4,745","3,593",789,43.8%,23.3%,11.2%,8.2%,"35,898","25,881","32,029","39,227","51,434","50,740",61
Alabama,Clay,"1,179",212,539,412,16,"9,371",686,"1,070","3,751","1,779",981,709,395,"7,615","1,104","1,479","1,127",101,"1,476","1,271",136,"3,710","3,027",598,"2,706","2,190",269,38.4%,12.2%,8.3%,2.2%,"32,105","16,840","30,828","35,222","43,575","53,333",65
Alabama,Cleburne,"1,044",140,372,494,38,"10,538",709,"1,168","4,044","2,291",638,"1,121",567,"8,661","1,688","1,786","1,560",284,"1,644","1,442",350,"4,034","3,290",672,"3,074","2,369",382,20.6%,14.3%,12.6%,8.8%,"37,635","23,029","38,788","35,787","40,365","50,649",67
Alabama,Coffee,"3,950",639,"1,575","1,489",247,"35,936","1,543","3,615","9,876","8,510","4,584","4,993","2,815","30,778","7,808","6,901","5,886","1,198","6,631","5,891","1,781","13,544","11,804","2,910","8,860","7,197","1,919",28.1%,14.5%,10.0%,1.9%,"36,620","26,513","25,370","36,688","52,558","60,139",70
Alabama,Colbert,"4,380",601,"1,874","1,746",159,"39,077","1,613","3,977","14,452","9,017","3,230","4,263","2,525","33,487","6,788","6,589","5,755","1,055","6,498","5,595","1,447","15,090","12,974","2,574","10,900","9,163","1,712",24.2%,13.5%,11.1%,3.8%,"35,305","26,618","30,398","34,617","49,583","61,025",73
Alabama,Conecuh,846,236,367,243,0,"8,826",320,"1,008","4,125","1,564",588,727,494,"7,498","1,221","1,374","1,266",93,"1,318","1,137",323,"3,363","2,963",433,"2,771","2,132",372,20.2%,13.0%,9.3%,10.7%,"30,829","32,708","28,063","24,940","43,871","61,964",80
Alabama,Coosa,652,135,295,193,29,"8,281",273,"1,121","3,482","1,870",578,659,298,"6,887",957,"1,005",852,57,"1,360","1,205",117,"3,419","2,796",452,"2,497","2,034",331,14.9%,10.7%,7.9%,2.3%,"30,608","27,244","27,274","30,079","48,529","68,893",82
Alabama,Covington,"2,662",417,"1,147",956,142,"26,366","1,308","2,556","9,823","5,836","2,726","2,455","1,662","22,502","4,117","4,212","3,709",685,"4,165","3,651",666,"10,132","8,751","1,569","7,857","6,391","1,197",27.8%,16.8%,13.3%,6.4%,"32,947","27,651","28,261","32,567","41,716","52,280",88
Alabama,Crenshaw,"1,058",236,394,402,26,"9,684",667,"1,384","3,697","1,315",829,"1,271",521,"7,633","1,792","1,615","1,379",352,"1,634","1,362",335,"3,771","2,978",645,"2,664","1,914",460,26.3%,11.2%,10.2%,4.7%,"32,120","29,706","30,528","30,634","43,944","55,913",90
Alabama,Cullman,"6,554","1,327","2,278","2,758",191,"58,084","3,142","7,160","18,747","13,670","6,411","5,889","3,065","47,782","8,954","10,318","8,824","1,645","9,995","8,157","1,805","22,430","18,505","3,135","15,341","12,296","2,369",24.6%,11.3%,9.0%,4.0%,"33,510","26,346","29,982","34,096","43,478","60,872",98
Alabama,Dale,"4,442",586,"1,668","1,847",341,"33,522","1,620","3,303","10,358","8,736","3,398","4,208","1,899","28,599","6,107","6,977","6,306","1,581","5,865","5,182","1,087","12,349","10,342","2,167","8,331","6,769","1,272",24.2%,17.1%,13.9%,5.3%,"32,340","23,170","25,321","34,938","46,133","54,811",101
Alabama,Dallas,"3,359",500,"1,329","1,430",100,"25,611","1,042","3,069","9,277","4,957","3,003","2,634","1,629","21,500","4,263","4,457","3,970",635,"4,222","3,568",944,"10,064","8,882","1,385","6,868","5,080","1,299",32.3%,27.2%,20.0%,5.3%,"28,527","22,173","27,190","29,770","28,312","46,630",110
Alabama,DeKalb,"5,758",904,"2,181","2,393",280,"48,306","5,286","5,329","15,809","10,065","5,064","4,166","2,587","37,691","6,753","8,493","7,159",942,"8,982","7,004","1,386","18,707","14,487","2,800","12,124","9,041","1,625",31.6%,16.5%,12.6%,5.8%,"31,534","25,358","29,328","33,207","42,830","52,882",112
Alabama,Elmore,"6,722",908,"2,969","2,595",250,"56,633","2,303","4,910","17,958","11,745","5,097","9,546","5,074","49,420","14,620","11,566","9,794","2,633","10,549","9,498","2,922","21,877","19,231","5,649","12,641","10,897","3,416",27.3%,9.4%,5.7%,3.3%,"41,508","21,502","32,849","39,931","48,272","65,953",118
Alabama,Escambia,"2,833",734,987,"1,012",100,"25,703","1,213","3,837","11,056","4,445","1,939","2,252",961,"20,653","3,213","5,061","3,927",557,"4,639","3,564",505,"9,361","7,848","1,346","6,642","5,314",805,32.7%,20.6%,18.6%,5.1%,"30,980","23,727","27,047","30,460","43,870","47,462",122
Alabama,Etowah,"8,427","1,187","2,505","4,396",339,"72,188","2,988","7,603","24,104","18,013","6,705","7,764","5,011","61,597","12,775","12,253","10,770","1,707","12,726","11,073","2,859","27,671","23,669","4,762","19,538","16,085","3,447",29.5%,12.6%,9.6%,3.4%,"32,066","20,385","26,993","33,241","44,207","60,964",131
Alabama,Fayette,"1,363",158,485,696,24,"11,572",626,"1,203","4,934","2,461",926,"1,055",367,"9,743","1,422","1,810","1,548",239,"1,841","1,620",305,"4,494","3,814",391,"3,427","2,761",487,35.7%,14.3%,20.0%,1.6%,"33,202","27,750","31,182","34,178","35,882","56,964",134
Alabama,Franklin,"2,631",417,900,"1,226",88,"21,071","1,931","2,562","8,223","3,628","1,556","2,164","1,007","16,578","3,171","4,127","3,190",706,"3,690","2,926",550,"8,033","6,532","1,247","5,221","3,930",668,21.8%,12.8%,9.7%,11.6%,"31,004","22,447","27,399","32,200","40,825","55,625",138
Alabama,Geneva,"1,900",311,934,622,33,"18,688","1,093","2,306","6,751","3,983","2,110","1,451",994,"15,289","2,445","2,928","2,525",455,"2,951","2,238",478,"7,444","6,382","1,029","5,365","4,144",483,27.0%,21.1%,10.9%,7.5%,"32,604","17,027","23,970","38,742","45,833","60,164",140
Alabama,Greene,687,30,404,186,67,"5,768",312,788,"2,301","1,302",481,332,252,"4,668",584,941,859,77,790,767,70,"2,203","1,860",243,"1,834","1,182",194,39.3%,43.2%,18.7%,7.0%,"26,701","10,833","22,181","29,361","25,938","41,103",148
Alabama,Hale,"1,308",374,545,381,8,"10,023",522,"1,416","3,730","1,814",978,"1,063",500,"8,085","1,563","1,898","1,365",475,"1,418","1,261",195,"3,857","3,357",520,"2,850","2,102",373,53.9%,21.8%,12.0%,1.8%,"31,485","10,599","33,967","32,778","21,577","55,784",150
Alabama,Henry,"1,354",116,499,719,20,"12,214",854,"1,531","3,941","2,453","1,127","1,507",801,"9,829","2,308","1,600","1,374",256,"2,127","1,737",314,"4,628","3,961",908,"3,859","2,757",830,24.7%,13.1%,10.3%,2.1%,"34,225","27,710","26,050","38,609","41,424","53,894",158
Alabama,Houston,"8,146","1,226","3,246","3,230",444,"72,863","2,719","6,845","22,968","17,251","6,957","10,109","6,014","63,299","16,123","13,711","12,297","2,895","12,970","11,597","3,136","27,513","23,789","6,242","18,669","15,616","3,850",27.3%,18.4%,11.0%,4.6%,"35,208","22,381","27,416","34,084","50,252","60,898",160
Alabama,Jackson,"3,798",667,"1,687","1,394",50,"37,102","1,928","4,208","14,501","7,152","3,295","3,942","2,076","30,966","6,018","5,917","5,522","1,063","6,323","5,195","1,032","14,506","12,091","2,684","10,356","8,158","1,239",29.5%,19.1%,10.2%,3.7%,"32,974","22,577","28,600","34,657","49,379","59,187",164
Alabama,Jefferson,"58,183","6,822","18,615","24,884","7,862","450,079","11,407","31,283","118,507","97,888","37,742","94,241","59,011","407,389","153,252","95,753","87,536","39,437","83,459","75,875","31,812","166,540","153,398","52,506","104,327","90,580","29,497",28.3%,17.4%,12.6%,5.0%,"40,714","21,307","30,645","34,885","53,283","66,397",171
Alabama,Lamar,"1,003",97,328,525,53,"9,810",525,"1,147","4,026","2,096",909,691,416,"8,138","1,107","1,538","1,345",98,"1,548","1,452",241,"3,737","3,182",544,"2,987","2,159",224,33.2%,15.4%,12.7%,0.1%,"36,911","20,798","32,070","43,974","40,144","54,257",174
Alabama,Lauderdale,"10,461",645,"2,599","6,237",980,"64,089","2,154","5,142","22,358","13,186","5,178","10,244","5,827","56,793","16,071","11,231","10,327","2,845","10,165","9,320","2,781","24,140","21,273","5,916","18,553","15,873","4,529",31.4%,10.9%,8.1%,3.5%,"35,829","19,441","31,066","35,584","42,943","54,336",176
Alabama,Lawrence,"2,431",395,994,879,163,"23,401","1,744","2,753","9,284","4,163","1,748","2,385","1,324","18,904","3,709","4,092","3,774",870,"3,753","3,208",792,"9,619","7,544","1,171","5,937","4,378",876,25.1%,14.4%,9.7%,4.1%,"39,321","26,080","35,650","37,694","47,057","51,285",181
Alabama,Lee,"29,616","1,796","7,229","17,181","3,410","99,315","2,918","6,651","22,153","21,458","9,956","19,926","16,253","89,746","36,179","23,213","21,633","9,336","19,655","18,351","7,895","36,737","33,446","12,771","19,710","16,316","6,177",26.5%,13.6%,12.3%,5.4%,"39,775","24,667","30,125","34,673","47,090","56,350",187
Alabama,Limestone,"7,136","1,226","1,822","3,431",657,"67,974","3,082","6,930","19,941","15,215","5,870","11,872","5,064","57,962","16,936","13,175","11,605","3,372","12,797","10,916","3,487","27,169","23,569","6,748","14,833","11,872","3,329",30.3%,10.5%,6.8%,3.0%,"38,005","22,278","30,917","36,917","57,621","65,573",197
Alabama,Lowndes,827,88,489,218,32,"6,892",379,848,"2,840","1,157",658,557,453,"5,665","1,010","1,215",952,207,"1,016",901,154,"2,779","2,435",382,"1,882","1,377",267,42.8%,19.0%,11.3%,2.4%,"30,070","17,500","27,281","29,725","53,140","50,296",205
Alabama,Macon,"3,316",205,387,"2,602",122,"11,932",451,"1,510","3,652","2,916",960,"1,312","1,131","9,971","2,443","2,088","1,764",301,"1,596","1,311",333,"4,576","3,953",782,"3,672","2,943","1,027",36.0%,22.1%,16.3%,5.2%,"30,359","25,191","29,000","25,955","46,762","48,750",210
Alabama,Madison,"34,824","3,380","9,738","17,096","4,610","252,546","6,575","14,467","49,140","52,964","18,711","67,834","42,855","231,504","110,689","51,725","47,709","21,772","44,844","41,408","22,006","100,820","93,532","45,606","55,157","48,855","21,305",26.4%,12.4%,9.1%,3.4%,"45,701","21,976","30,566","34,093","62,976","90,938",217
Alabama,Marengo,"1,666",157,695,780,34,"13,025",479,"1,417","4,977","2,539","1,384","1,298",931,"11,129","2,229","2,042","1,706",440,"2,083","1,961",338,"5,121","4,325","1,028","3,779","3,137",423,24.8%,21.9%,11.8%,2.0%,"35,244",-,"26,902","30,589","48,799","55,440",220
Alabama,Marion,"2,307",334,836,"1,059",78,"21,297","1,459","2,567","7,345","4,783","2,301","1,702","1,140","17,271","2,842","3,278","2,751",484,"3,292","2,966",665,"8,402","6,968","1,002","6,325","4,586",691,29.4%,16.9%,7.8%,7.2%,"32,188","20,132","27,183","33,852","36,726","50,000",224
Alabama,Marshall,"7,792","1,484","3,011","2,938",359,"64,322","4,539","6,187","19,988","14,318","5,992","9,037","4,261","53,596","13,298","11,806","9,809","2,421","11,309","8,931","1,876","24,710","21,349","5,697","16,497","13,507","3,304",31.9%,14.7%,11.0%,4.5%,"34,476","24,735","30,611","34,809","47,339","57,406",231
Alabama,Mobile,"36,999","5,583","12,966","15,761","2,689","279,795","7,769","27,758","93,840","58,029","24,162","45,286","22,951","244,268","68,237","58,100","51,336","14,890","49,303","43,767","14,706","105,221","92,489","24,251","67,171","56,676","14,390",32.2%,15.6%,11.9%,4.5%,"37,032","22,163","31,556","33,908","47,032","59,196",240
Alabama,Monroe,"1,754",194,"1,037",389,134,"14,691",595,"1,834","6,764","2,336","1,172","1,256",734,"12,262","1,990","2,158","1,965",350,"2,458","2,256",185,"5,864","5,097",887,"4,211","2,944",568,28.2%,28.3%,15.3%,7.9%,"31,649","26,000","27,466","31,807","47,802","61,453",250
Alabama,Montgomery,"22,478","2,729","8,226","9,877","1,646","150,749","5,719","13,384","36,862","32,441","11,508","29,560","21,275","131,646","50,835","32,662","29,173","9,856","28,331","24,866","10,323","55,711","48,737","19,585","34,045","28,870","11,071",30.1%,19.6%,14.2%,4.9%,"36,021","21,975","26,461","32,760","45,698","59,034",256
Alabama,Morgan,"9,283","1,205","4,217","3,577",284,"82,684","5,079","8,113","26,213","18,510","7,155","11,982","5,632","69,492","17,614","14,758","12,674","2,107","14,578","12,011","3,878","32,508","27,328","7,554","20,840","17,479","4,075",31.9%,15.5%,8.5%,3.6%,"35,242","20,979","29,295","36,871","52,922","68,173",262
Alabama,Perry,"1,452",3,670,779,0,"5,723",434,805,"2,065","1,157",242,661,359,"4,484","1,020",642,444,100,"1,054",966,218,"2,250","1,779",401,"1,777","1,295",301,37.0%,31.5%,25.6%,7.7%,"24,578","13,076","19,721","26,094","31,291","50,339",264
Alabama,Pickens,"1,716",352,654,591,119,"14,386",843,"1,624","5,608","3,204","1,032","1,385",690,"11,919","2,075","2,441","2,111",296,"2,573","2,218",291,"5,581","4,700",930,"3,791","2,890",558,37.9%,17.0%,15.5%,4.9%,"33,382","16,025","32,756","33,044","40,268","52,623",273
Alabama,Pike,"7,679",478,"1,825","4,614",762,"19,310",646,"1,796","6,446","4,067",634,"3,095","2,626","16,868","5,721","3,938","3,654","1,021","3,189","2,928","1,172","7,068","6,183","2,072","5,115","4,103","1,456",28.4%,11.5%,10.6%,5.6%,"31,896","20,495","30,065","29,768","46,757","56,944",279
Alabama,Randolph,"1,925",227,650,995,53,"15,993","1,053","1,838","5,659","3,075","1,633","1,551","1,184","13,102","2,735","2,462","2,071",475,"2,515","2,023",213,"6,324","5,298","1,339","4,692","3,710",708,24.3%,18.0%,13.7%,5.0%,"34,374","28,315","33,067","33,125","41,023","55,335",284
Alabama,Russell,"4,677",845,"1,620","1,879",333,"39,280","1,731","4,052","11,666","10,111","4,849","4,416","2,455","33,497","6,871","8,681","7,809","1,515","7,389","6,528","1,615","14,929","13,024","2,440","8,281","6,136","1,301",29.2%,23.2%,14.3%,7.0%,"33,023","21,836","27,774","31,984","52,665","54,458",288
Alabama,St. Clair,"6,472","1,002","2,628","2,450",392,"62,328","3,063","5,810","21,716","14,562","5,882","7,745","3,550","53,455","11,295","11,575","10,481","2,018","11,686","10,109","2,759","24,166","20,877","3,918","14,901","11,988","2,600",25.8%,10.9%,6.3%,4.6%,"41,934","24,867","36,729","44,279","51,324","60,266",292
Alabama,Shelby,"17,825","2,142","5,405","8,450","1,828","147,791","3,157","6,881","28,723","32,037","11,656","42,683","22,654","137,753","65,337","26,378","24,976","11,160","29,883","27,988","15,062","58,301","54,460","26,866","33,229","30,329","12,249",17.1%,9.0%,6.3%,2.8%,"50,805","27,363","38,670","41,237","60,506","67,201",298
Alabama,Sumter,"2,513",172,492,"1,833",16,"7,657",316,812,"2,646","1,971",502,761,649,"6,529","1,410","1,133","1,067",168,"1,184",953,295,"3,044","2,886",674,"2,296","1,623",273,28.3%,24.8%,25.1%,9.2%,"26,582","14,865","27,002","22,188","37,009","47,841",303
Alabama,Talladega,"7,132",862,"2,941","3,139",190,"56,121","2,792","7,419","18,777","13,712","4,854","4,948","3,619","45,910","8,567","9,990","8,169","1,048","9,804","8,300","1,685","22,022","18,387","3,610","14,305","11,054","2,224",30.3%,14.6%,13.0%,3.7%,"32,676","20,996","29,275","32,408","47,217","52,448",306
Alabama,Tallapoosa,"3,271",605,"1,655",954,57,"28,797","1,296","4,113","9,483","6,241","2,246","3,417","2,001","23,388","5,418","4,463","3,677",488,"4,126","3,127",773,"11,558","9,660","2,436","8,650","6,924","1,721",25.4%,12.8%,11.3%,3.3%,"32,544","24,353","27,681","32,283","48,988","70,156",308
Alabama,Tuscaloosa,"34,147","1,544","9,518","20,371","2,714","130,940","3,616","10,107","37,890","27,664","10,881","23,944","16,838","117,217","40,782","31,141","28,871","10,839","24,787","22,147","7,527","47,297","42,053","14,647","27,715","24,146","7,769",26.3%,14.5%,10.4%,6.0%,"38,787","25,258","31,227","35,205","50,320","54,364",313
Alabama,Walker,"5,027",913,"1,708","2,225",181,"44,630","2,833","5,352","15,621","10,334","4,501","3,768","2,221","36,445","5,989","7,643","6,588","1,038","7,259","6,201","1,593","17,358","14,393","1,986","12,370","9,263","1,372",28.5%,14.6%,10.4%,5.4%,"36,643","23,413","31,316","37,505","50,745","54,503",317
Alabama,Washington,"1,709",132,591,972,14,"11,148",523,"1,054","4,925","2,099",940,700,907,"9,571","1,607","1,617","1,561",293,"1,547","1,391",210,"4,757","4,069",582,"3,227","2,550",522,28.3%,16.0%,8.0%,3.9%,"40,553","22,016","36,458","39,923","52,933","42,131",319
Alabama,Wilcox,980,265,421,286,8,"7,060",366,"1,097","2,853","1,494",427,557,266,"5,597",823,"1,181",985,94,"1,175",936,117,"2,645","2,195",312,"2,059","1,481",300,40.6%,21.2%,19.9%,0.7%,"29,395","26,333","27,378","25,051","48,705","44,551",326
Alabama,Winston,"1,685",508,626,470,81,"17,189","1,199","2,507","6,653","3,403","1,145","1,366",916,"13,483","2,282","2,493","2,221",442,"2,574","2,066",350,"6,943","5,517",759,"5,179","3,679",731,24.8%,14.3%,14.2%,3.4%,"31,645","25,814","31,192","31,694","41,449","48,438",332
Alaska,Aleutians East,300,23,122,109,46,"2,646",158,196,"1,077",621,156,277,161,"2,292",438,471,436,67,538,522,143,"1,256","1,068",194,381,266,34,23.7%,11.0%,5.0%,4.1%,"34,030","17,500","31,125","38,942","37,171","60,407",346
Alaska,Aleutians West,483,94,197,185,7,"4,208",176,169,"1,789","1,079",279,605,111,"3,863",716,905,832,165,945,920,214,"1,928","1,748",306,430,363,31,12.8%,6.5%,2.5%,4.8%,"50,270","31,250","47,034","53,897","68,750","87,188",381
Alaska,Anchorage,"28,837","2,970","11,483","12,312","2,072","192,345","4,256","7,299","45,638","47,617","17,176","43,695","26,664","180,790","70,359","50,922","47,888","16,147","38,346","36,898","16,026","70,700","66,248","26,047","32,377","29,756","12,139",19.4%,12.6%,5.9%,2.6%,"50,877","27,773","36,644","46,841","62,760","82,240",400
Alaska,Bethel,"1,914",700,823,348,43,"9,841",638,990,"4,789","1,807",502,559,556,"8,213","1,115","2,767","2,318",260,"1,969","1,753",223,"3,756","3,339",459,"1,349",803,173,37.4%,27.7%,16.5%,2.6%,"31,737","4,812","25,825","35,071","62,679","92,313",411
Alaska,Bristol Bay,35,2,13,15,5,561,16,19,168,181,32,114,31,526,145,77,65,21,118,118,58,280,274,53,86,69,13,11.4%,8.9%,0.9%,2.1%,"53,611","48,750","42,813","51,500","70,750","62,500",423
Alaska,Valdez-Cordova,422,32,260,108,22,"4,686",37,167,"1,126","1,502",492,764,598,"4,482","1,362","1,167","1,085",260,723,712,370,"1,924","1,853",539,872,832,193,0.0%,7.7%,4.8%,1.5%,"46,943","16,678","36,705","47,361","49,356","92,691",710
Alaska,Valdez-Cordova,209,77,63,69,0,"1,880",23,63,650,428,123,327,266,"1,794",593,261,257,68,425,415,164,838,795,170,356,327,191,47.7%,12.8%,4.0%,2.9%,"60,250",-,"50,577","56,550","49,063","79,375",710
Alaska,Denali,376,75,111,184,6,"1,866",7,35,563,401,130,478,252,"1,824",730,309,282,159,346,346,64,949,939,428,262,257,79,64.3%,15.3%,3.3%,3.0%,"31,414",-,"30,930","29,722","39,000",-,426
Alaska,Dillingham,490,123,243,108,16,"2,902",165,226,"1,165",606,177,247,316,"2,511",563,761,663,102,593,565,134,991,895,191,557,388,136,28.5%,18.0%,11.7%,0.5%,"36,142","19,167","27,639","44,286","54,559",-,445
Alaska,Fairbanks North Star,"13,023",667,"5,229","6,314",813,"61,724","1,320","2,105","14,863","17,566","5,916","11,625","8,329","58,299","19,954","18,054","17,100","4,777","12,088","11,654","4,221","21,314","20,149","7,267","10,268","9,396","3,689",13.9%,10.0%,4.3%,2.1%,"49,382","31,424","41,348","47,558","50,507","77,694",454
Alaska,Haines,25,1,24,0,0,"1,663",9,25,569,544,56,278,182,"1,629",460,218,206,33,301,301,22,559,552,142,585,570,263,0.0%,21.2%,10.9%,2.8%,"39,120","2,500-","31,985","36,719","49,143",-,462
Alaska,Hoonah-Angoon,114,24,67,23,0,"1,744",18,87,635,461,201,255,87,"1,639",342,218,204,64,233,233,40,810,773,132,483,429,106,35.2%,11.5%,5.6%,2.9%,"35,859","18,750","30,750","43,516","42,241",-,476
Alaska,Juneau,"2,637",393,878,"1,077",289,"22,607",180,671,"4,870","6,252","1,865","5,722","3,047","21,756","8,769","4,935","4,842","1,687","4,401","4,157","1,619","8,895","8,622","3,556","4,376","4,135","1,907",13.8%,12.4%,4.3%,2.5%,"51,311","28,223","35,648","48,897","57,283","76,842",482
Alaska,Kenai Peninsula,"4,419",570,"2,003","1,626",220,"41,166",837,"2,050","12,870","11,246","3,541","6,650","3,972","38,279","10,622","7,435","6,789","1,302","7,019","6,506","1,951","16,485","15,608","4,432","10,227","9,376","2,937",21.4%,14.8%,10.5%,3.6%,"44,351","24,940","39,020","42,031","49,159","70,760",494
Alaska,Ketchikan Gateway,"1,143",124,558,398,63,"9,690",160,433,"2,975","2,866",789,"1,641",826,"9,097","2,467","1,886","1,776",450,"1,757","1,641",470,"3,921","3,724","1,001","2,126","1,956",546,20.7%,9.1%,6.3%,3.4%,"45,730","34,792","37,192","46,318","52,969","72,596",514
Alaska,Kodiak Island,"1,107",201,497,376,33,"8,902",515,414,"2,415","2,226",680,"1,597","1,055","7,973","2,652","2,261","2,157",619,"2,007","1,948",749,"3,224","2,631",734,"1,410","1,237",550,7.2%,10.8%,5.9%,1.7%,"39,076","23,487","25,168","46,791","39,003","69,500",533
Alaska,Wade Hampton,890,314,487,87,2,"4,046",223,644,"2,193",775,79,107,25,"3,179",132,"1,303","1,021",44,742,607,19,"1,518","1,296",61,483,255,8,51.0%,30.7%,20.6%,1.5%,"21,354","7,333","20,979","26,860","53,258",-,725
Alaska,Lake and Peninsula,142,28,36,19,59,718,43,42,256,167,44,76,90,633,166,170,161,68,164,154,43,262,240,27,122,78,28,15.3%,22.3%,11.4%,0.0%,"34,375","17,188","16,597","37,266","50,000","46,500",544
Alaska,Matanuska-Susitna,"8,804","1,580","4,074","2,829",321,"69,850","1,382","3,117","23,703","19,364","6,987","10,004","5,293","65,351","15,297","15,293","14,419","2,371","14,304","13,363","3,457","27,392","25,582","6,338","12,861","11,987","3,131",18.3%,13.3%,7.3%,4.4%,"46,343","28,676","38,778","45,147","61,525","67,369",556
Alaska,Nome,"1,022",137,644,214,27,"5,525",194,579,"2,392","1,263",160,465,472,"4,752",937,"1,537","1,357",181,"1,158","1,048",255,"2,054","1,752",414,776,595,87,35.3%,26.2%,7.8%,1.8%,"40,137","21,985","25,738","49,223","63,977","90,189",571
