County,State,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),Percent high school graduate or higher (Population 25 years and over),Percent bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Texas,Rains,728,132,381,204,11,"8,968",694,827,"3,380","1,991",704,959,413,"7,447","1,372","1,167",924,119,"1,374","1,162",156,"3,544","2,932",506,"2,883","2,429",591,28.3%,8.8%,9.0%,2.5%,"39,276","27,426","32,033","45,774","48,837","53,482",2268
Texas,Randall,"13,487","1,468","4,337","6,444","1,238","89,847","1,768","4,525","21,780","25,231","8,751","18,910","8,882","83,554","27,792","19,725","18,513","5,575","17,898","16,619","6,311","31,769","29,880","8,914","20,455","18,542","6,992",15.3%,13.4%,7.6%,2.8%,"43,088","26,842","35,316","37,995","54,055","67,299",2274
Texas,Reagan,404,45,249,100,10,"2,222",143,243,957,514,106,167,92,"1,836",259,556,486,82,529,484,37,768,578,78,369,288,62,21.7%,5.0%,9.0%,0.0%,"41,810","40,484","36,833","43,688","42,472",-,2280
Texas,Real,242,75,65,94,8,"2,413",195,97,851,614,251,271,134,"2,121",405,301,201,28,111,111,2,982,899,192,"1,019",910,183,27.8%,20.6%,18.3%,4.5%,"26,686","16,452","23,681","26,667","41,786","60,703",2283
Texas,Red River,729,102,355,218,54,"8,978",353,638,"3,545","2,355",680,"1,023",384,"7,987","1,407","1,161","1,138",102,"1,454","1,375",339,"3,297","2,911",405,"3,066","2,563",561,28.8%,20.7%,13.9%,13.6%,"33,065","20,469","27,172","31,250","44,778","50,000",2295
Texas,Reeves,"1,731",282,552,869,28,"10,339","1,515","1,653","3,741","1,739",600,778,313,"7,171","1,091","2,520","1,949",351,"2,465","1,915",207,"3,527","2,433",418,"1,827",874,115,12.6%,11.9%,14.6%,25.2%,"41,382","62,500","36,682","40,324",-,"51,700",2308
Texas,Refugio,545,113,191,241,0,"4,841",288,554,"1,984","1,025",454,385,151,"3,999",536,822,734,71,691,576,61,"1,789","1,564",182,"1,539","1,125",222,27.9%,14.1%,5.6%,0.9%,"31,162","21,023","23,867","36,145","54,625","46,250",2334
Texas,Roberts,36,4,25,2,5,564,0,41,188,139,61,91,44,523,135,62,62,20,99,85,28,208,199,34,195,177,53,22.0%,5.3%,12.5%,0.0%,"31,402","30,972","22,083","32,083","55,833","42,500",2348
Texas,Robertson,"1,382",324,664,387,7,"11,659",545,"1,242","4,356","2,479",889,"1,493",655,"9,872","2,148","1,829","1,588",240,"1,792","1,679",371,"4,751","3,831",882,"3,287","2,774",655,17.8%,18.7%,10.6%,0.5%,"31,278","20,344","28,588","31,098","51,169","57,886",2353
Texas,Rockwall,"8,073","1,218","2,474","3,547",834,"65,792","2,150","2,443","11,553","15,317","6,137","17,738","10,454","61,199","28,192","11,418","10,829","5,140","15,589","14,640","7,137","26,492","24,424","11,652","12,293","11,306","4,263",7.6%,3.3%,3.9%,1.9%,"60,225","28,417","47,768","51,638","75,984","81,885",2355
Texas,Runnels,793,101,314,363,15,"7,028",701,630,"2,466","1,536",528,926,241,"5,697","1,167","1,147",995,133,"1,099",977,245,"2,651","2,084",535,"2,131","1,641",254,23.1%,12.2%,5.4%,3.6%,"32,267","26,928","25,566","31,646","52,063","47,900",2361
