PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA4900743,LA CANTERA RACQUET CLUB,Region 9,California,Transient non-community system,50,,Sonoma,4,11,2
CA5700787,FARMER S MARKET,Region 9,California,Transient non-community system,33,,Yolo,2,3,10
CA5800821,Heritage Park,Region 9,California,Community water system,40,,Yuba,4,14,2
CA4000665,MORRO BAY MUTUAL WATER CO,Region 9,California,Non-Transient non-community system,100,,San Luis Obispo,6,4,5
CA4000670,WALNUT HILLS MUTUAL WATER CO,Region 9,California,Community water system,486,,San Luis Obispo,7,4,8
CA5700553,MUMMA (THOMAS) WELL,Region 9,California,Transient non-community system,45,,Yolo,2,6,13
CA5000502,RESENDIZ FRUIT BARN,Region 9,California,Transient non-community system,25,,Stanislaus,2,1,12
CA1000463,HALF MOON CAMP,Region 9,California,Transient non-community system,50,,Fresno,4,6,18
CA2910014,NEVADA ID - LAKE OF PINES,Region 9,California,Community water system,5554,,Nevada,5,0,14
CA2810012,PACIFIC UNION COLLEGE,Region 9,California,Community water system,2360,,Napa,17,3,4
CA3900831,ARBOR MOBILE HOME PARK WS,Region 9,California,Community water system,340,,San Joaquin,10,11,131
CA3010094,TRABUCO CANYON WATER DISTRICT,Region 9,California,Community water system,14217,,Orange,26,4,22
CA2801039,SILVERADO HILL CELLARS,Region 9,California,Transient non-community system,100,,Napa,3,5,11
CA2702055,VIERRA KNOLLS MWC,Region 9,California,Community water system,66,,Monterey,2,6,6
CA3600133,OAK GLEN RETREAT,Region 9,California,Transient non-community system,500,,San Bernardino,2,4,11
CA1200817,KNEELAND SCHOOL,Region 9,California,Non-Transient non-community system,48,,Humboldt,3,2,5
CA3301630,BLYTHE - HIDDEN BEACHES,Region 9,California,Community water system,300,,Riverside,5,25,2
CA3600481,HANNA FLATS CAMPGROUND,Region 9,California,Transient non-community system,500,,San Bernardino,2,1,5
CA3901032,LODI USD-TURNER ACADEMY,Region 9,California,Non-Transient non-community system,120,,San Joaquin,6,24,52
CA4500072,HAT CREEK RESORT & RV PARK,Region 9,California,Transient non-community system,170,,Shasta,4,56,16
CA4901253,VML WINES,Region 9,California,Transient non-community system,28,,Sonoma,6,7,1
CA0310300,INDIAN GRINDING ROCK-CALAVERAS DISTRICT,Region 9,California,Transient non-community system,75,,Amador,8,0,8
CA1510017,INDIAN WELLS VALLEY W.D.,Region 9,California,Community water system,29000,,Kern,89,13,11
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",Region 9,California,Community water system,3825279,LOS ANGELES,,508,2,125
CA2700999,OAK PARK WS,Region 9,California,Transient non-community system,29,,Monterey,2,9,4
CA2410303,CDPR FOUR RIVERS DISTRICT-BASALT,Region 9,California,Transient non-community system,470,,Merced,4,3,2
CA5403086,MARTELLA LIVESTOCK AUCTION,Region 9,California,Transient non-community system,50,,Tulare,2,2,9
CA1910125,PICO WD,Region 9,California,Community water system,24000,,Los Angeles,22,3,15
CA1100527,CAPAY JOINT UNION ELEM. SCHOOL,Region 9,California,Non-Transient non-community system,172,,Glenn,4,1,5
CA2701446,LUCIA WS,Region 9,California,Transient non-community system,50,,Monterey,4,2,3
CA2410021,USFWS SAN LUIS NWR COMPLEX,Region 9,California,Non-Transient non-community system,30,,Merced,1,0,0
CA3610121,SBDNO COUNTY SERVICE AREA 64,Region 9,California,Community water system,12368,,San Bernardino,15,0,8
CA2210911,MUSD - SPRING HILL HIGH SCHOOL,Region 9,California,Non-Transient non-community system,93,,Mariposa,4,0,3
CA3200126,PLUMAS PINES RESORT,Region 9,California,Transient non-community system,100,,Plumas,6,0,5
CA3100033,TAHOMA MEADOWS MUTUAL WATER COMPANY,Region 9,California,Community water system,120,,Placer,3,5,2
CA2801025,NEWTON VINEYARD,Region 9,California,Transient non-community system,100,,Napa,7,9,12
CA3600106,FOREST HOME CHRISTIAN CC,Region 9,California,Transient non-community system,1500,,San Bernardino,6,2,17
CA3700900,LAKE HENSHAW RESORT INC.,Region 9,California,Community water system,300,,San Diego,4,7,9
CA5500048,DON PEDRO REC AG:FLEM.MEADOWS,Region 9,California,Community water system,41,,Tuolumne,3,26,16
CA3400114,CLIFFHOUSE MARINA,Region 9,California,Transient non-community system,30,,Sacramento,2,15,13
CA3400121,EL DORADO MOBILE HOME PARK,Region 9,California,Community water system,256,,Sacramento,4,5,35
CA4500018,SALT CREEK SUMMER HOMES,Region 9,California,Community water system,136,,Shasta,4,15,6
CA1000160,FRESNO RIFLE & PISTOL CLUB,Region 9,California,Transient non-community system,50,,Fresno,3,2,8
CA1900894,ACTON FOUR SQUARE CHURCH,Region 9,California,Non-Transient non-community system,50,,Los Angeles,2,2,3
CA3601169,CAJON PASS SHELL,Region 9,California,Transient non-community system,25,,San Bernardino,1,0,6
CA1700733,JITTERBEAN COFFEE,Region 9,California,Transient non-community system,2700,,Lake,2,0,0
CA1502659,OWENS PEAK SOUTH,Region 9,California,Community water system,40,,Kern,2,1,2
CA5301017,RUSH CREEK MUTUAL WATER SYSTEM,Region 9,California,Community water system,80,,Trinity,4,3,8
CA5400942,CLM-REDWOOD MEADOW CAMPGROUND,Region 9,California,Transient non-community system,30,,Tulare,2,0,11
CA3310075,Western MWD - Arlington,Region 9,California,Community water system,25,,,16,0,7
CA5610046,UNITED WTR CONS DIST,Region 9,California,Community water system,0,,Ventura,46,2,14
CA0900316,SMUD ROBBS PEAK POWERHOUSE (HEALTH),Region 9,California,Transient non-community system,100,,El Dorado,2,2,1
CA2100538,TOMALES HIGH SCHOOL,Region 9,California,Non-Transient non-community system,227,,Marin,12,2,2
CA1410001,"BISHOP, CITY OF",Region 9,California,Community water system,3879,BISHOP,,7,1,7
CA2801029,PINE RIDGE WINERY,Region 9,California,Non-Transient non-community system,75,,Napa,9,1,15
CA2000315,MADERA DISTRICT FAIR,Region 9,California,Transient non-community system,500,,Madera,13,2,5
CA1000494,HARVEST MISSIONARY BAPTIST CHURCH,Region 9,California,Transient non-community system,50,,Fresno,2,4,8
CA4200741,PACIFICA SUITES,Region 9,California,Transient non-community system,152,,Santa Barbara,6,5,6
CA1200778,BRIDGEVILLE ELEM. SCHOOL,Region 9,California,Non-Transient non-community system,62,,Humboldt,3,3,6
CA3301025,Azalea Trails Girl Scouts Camp,Region 9,California,Transient non-community system,50,,Riverside,4,28,5
CA1502029,BUTTONWILLOW REST STOP WATER SYSTEM,Region 9,California,Transient non-community system,1500,,Kern,2,6,2
CA4410001,BIG BASIN WATER COMPANY,Region 9,California,Community water system,1650,,Santa Cruz,22,34,3
CA4810020,HINES NURSERIES WINTERS NORTH,Region 9,California,Non-Transient non-community system,150,,Solano,4,0,2
CA5800421,NAUMES JUICE PLANT WELL #148,Region 9,California,Non-Transient non-community system,40,,Yuba,5,5,4
CA2000616,WASUMA SCHOOL,Region 9,California,Non-Transient non-community system,307,,Madera,17,18,4
CA3310019,IDYLLWILD WATER DISTRICT,Region 9,California,Community water system,2500,,Riverside,85,3,12
CA1000069,SHAVER LAKE HEIGHTS PROP ASSN,Region 9,California,Community water system,492,,Fresno,8,11,2
CA2701254,CARMEL RIVIERA MWC,Region 9,California,Community water system,350,,Monterey,40,33,2
CA3600380,BLACK MEADOW LANDING,Region 9,California,Transient non-community system,350,,San Bernardino,3,32,12
CA2100531,NICK S COVE,Region 9,California,Transient non-community system,70,,Marin,10,1,7
CA2000925,TIMES SQUARE,Region 9,California,Transient non-community system,30,,Madera,12,0,5
CA1000178,I-5 AND HWY 198 REST AREA,Region 9,California,Non-Transient non-community system,225,,Fresno,5,33,12
CA1510018,ROSAMOND CSD,Region 9,California,Community water system,13995,,Kern,31,11,9
CA1810004,LEAVITT LAKE CSD,Region 9,California,Community water system,950,,Lassen,9,2,8
CA5800919,PG&E,Region 9,California,Non-Transient non-community system,64,,Yuba,4,5,5
CA5403055,MONROVIA NURSERY - OFFICE,Region 9,California,Non-Transient non-community system,50,,Tulare,2,10,10
CA0900423,WHITEWATER VOYAGES #26,Region 9,California,Transient non-community system,100,,El Dorado,2,9,2
CA2803912,BEAULIEU VINEYARD,Region 9,California,Non-Transient non-community system,100,,Napa,4,1,8
CA1900764,HENNINGER FLATS,Region 9,California,Transient non-community system,25,,Los Angeles,4,8,11
CA2400165,Foster Farms Collier Complex (fka Delhi,Region 9,California,Non-Transient non-community system,200,,Merced,2,1,3
CA5000516,LIVING FAITH COMMUNITY CHURCH,Region 9,California,Transient non-community system,25,,Stanislaus,2,0,10
CA3901452,BEREA BAPTIST CHURCH STOCKTON CA,Region 9,California,Transient non-community system,100,,San Joaquin,1,2,22
CA0510016,CCWD EBBETTS PASS IMPROVEMENT DISTRICT,Region 9,California,Community water system,14340,,Calaveras,7,5,10
CA3400444,SHERMAN LAKE MARINA,Region 9,California,Transient non-community system,34,,Sacramento,1,1,9
CA0800632,KLAMATH RIVER RV PARK,Region 9,California,Transient non-community system,50,,Del Norte,4,1,12
CA2000843,PONDEROSA TELEPHONE-SERVICE CT,Region 9,California,Non-Transient non-community system,46,,Madera,18,1,6
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,Region 9,California,Community water system,23295,,Los Angeles,30,2,10
CA1900620,CAMP VALCREST,Region 9,California,Transient non-community system,25,,Los Angeles,2,6,8
CA4200865,RANCHO MARIA GOLF CLUB INC,Region 9,California,Transient non-community system,9000,,Santa Barbara,5,4,8
CA1900849,LLANO DEL RIO WATER COMPANY,Region 9,California,Community water system,449,,Los Angeles,5,0,10
CA2300802,HARVEST AT MENDOSAS,Region 9,California,Non-Transient non-community system,43,,Mendocino,4,1,1
CA5000581,PIONEER EQUINE HOSPITAL WATER SYSTEM,Region 9,California,Non-Transient non-community system,25,,Stanislaus,2,1,2
CA0707580,BALDOCCHI WATER SYSTEM,Region 9,California,Non-Transient non-community system,90,,Contra Costa,2,17,13
CA3600180,NAVAJO MWC,Region 9,California,Community water system,276,,San Bernardino,4,5,13
CA3600025,BAR-LEN MWC,Region 9,California,Community water system,124,,San Bernardino,6,7,16
CA3310038,RANCHO CALIFORNIA WATER DISTRICT,Region 9,California,Community water system,116000,,Riverside,236,1,14
CA3110023,NORTH TAHOE PUD - CARNELIAN WOODS,Region 9,California,Community water system,600,,Placer,2,0,2
CA1502017,WHEELER FARMS HEADQUARTERS,Region 9,California,Community water system,25,,Kern,2,19,4
CA4900587,BRAND WATER COMPANY,Region 9,California,Community water system,100,,Sonoma,10,27,3
CA4500092,RIVER BREEZE MOBILE HOME PARK,Region 9,California,Community water system,90,,Shasta,3,12,9
CA3410029,SCWA - LAGUNA/VINEYARD,Region 9,California,Community water system,148814,,Sacramento,142,0,16
CA3301648,Sugarloaf Cafe,Region 9,California,Transient non-community system,25,,Riverside,2,3,4
CA2801084,RUTHERFORD HILL WINERY,Region 9,California,Non-Transient non-community system,30,,Napa,5,2,10
CA1000447,E&J GALLO WINERY,Region 9,California,Non-Transient non-community system,101,,Fresno,16,3,8
CA5500354,COLUMBIA HILLS APARTMENTS,Region 9,California,Community water system,25,,Tuolumne,2,1,6
CA1206001,REDWOOD EMPIRE G&CC,Region 9,California,Transient non-community system,100,,Humboldt,3,4,6
CA3701893,DUDLEY'S BAKERY,Region 9,California,Transient non-community system,1000,,,2,0,0
CA3900664,NEW HOPE LANDING GENERAL STORE,Region 9,California,Community water system,125,,San Joaquin,2,4,44
CA4500285,CALTRANS-LAKEHEAD SRRA,Region 9,California,Transient non-community system,3500,,Shasta,4,2,2
CA5402019,BLANCA MARKET & DELI,Region 9,California,Transient non-community system,25,,Tulare,3,2,9
CA5400916,SIERRA MASONIC  WATER CO,Region 9,California,Transient non-community system,45,,Tulare,2,2,6
