PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
IA6715711,"TIMBER RIDGE LODGE RECREATION, LTD.",Region 7,Iowa,Transient non-community system,220,CASTANA,Monona,8,6,6
IA5225386,FAR HORIZONS SUBDIVISION,Region 7,Iowa,Community water system,80,IOWA CITY,Johnson,8,16,6
IA9164078,NORWALK WATER SUPPLY,Region 7,Iowa,Community water system,8945,NORWALK,Warren,10,8,6
IA5225601,"MODERN MANOR, INC",Region 7,Iowa,Community water system,915,IOWA CITY,Johnson,7,16,8
IA1155049,NEWELL WATER TREATMENT PLANT,Region 7,Iowa,Community water system,891,NEWELL,Buena Vista,9,9,7
IA9433312,BECKER WATER AND ROAD,Region 7,Iowa,Community water system,60,FORT DODGE,Webster,6,2,1
IA4130801,ST JOHN LUTHERAN CHURCH,Region 7,Iowa,Transient non-community system,98,GARNER,Hancock,5,16,7
IA8271302,STONEY CREEK NORTH,Region 7,Iowa,Community water system,50,PLEASANT VALLEY,Scott,5,0,4
IA3126308,REGENCY WEST SUBDIVISION,Region 7,Iowa,Community water system,46,DUBUQUE,Dubuque,6,14,7
IA0680041,URBANA WATER SUPPLY,Region 7,Iowa,Community water system,1458,URBANA,Benton,17,0,7
IA2258012,MCGREGOR WATER DEPT,Region 7,Iowa,Community water system,876,MCGREGOR,Clayton,12,0,6
IA2427049,DOW CITY WATER WORKS,Region 7,Iowa,Community water system,510,DOW CITY,Crawford,12,12,11
IA1838032,MARCUS WATER SUPPLY,Region 7,Iowa,Community water system,1124,MARCUS,Cherokee,7,12,6
IA2258901,UPPER MISS F&W REFUGE  MCGREGOR DISTRICT,Region 7,Iowa,Transient non-community system,25,MCGREGOR,Clayton,6,11,5
IA3087057,WAHPETON WATER SUPPLY,Region 7,Iowa,Community water system,438,WAHPETON,Dickinson,17,22,7
IA7950300,PONDEROSA UTILITIES INC.,Region 7,Iowa,Community water system,1075,MONTEZUMA,Poweshiek,20,3,6
IA0656081,NORWAY CITY WATER SUPPLY,Region 7,Iowa,Community water system,545,NORWAY,Benton,11,9,6
IA5252719,CLUB 76 INC,Region 7,Iowa,Transient non-community system,53,NORTH LIBERTY,Johnson,6,10,14
IA5200861,TWIN VALLEY LAKES IMPROVEMENT ASSN,Region 7,Iowa,Community water system,100,SOLON,Johnson,7,23,7
IA4070205,NORSEMAN INN BEST WESTERN,Region 7,Iowa,Transient non-community system,28,WILLIAMS,Hamilton,5,5,15
IA1754073,MESERVEY WATER SUPPLY,Region 7,Iowa,Community water system,256,MESERVEY,Cerro Gordo,6,11,6
IA3126205,HWY 20 AUTO/TRUCK PLAZA,Region 7,Iowa,Transient non-community system,912,DUBUQUE,Dubuque,7,6,6
IA0733084,GILBERTVILLE WATER WORKS,Region 7,Iowa,Community water system,717,GILBERTVILLE,Black Hawk,12,17,6
IA3100609,NORTH END MOBILE HOME PARK,Region 7,Iowa,Community water system,78,DUBUQUE,Dubuque,6,60,6
IA7950097,MONTEZUMA MUNI WATER SUPPLY,Region 7,Iowa,Community water system,1537,MONTEZUMA,Poweshiek,12,9,9
IA1970103,AMERITEC MACHINING INC,Region 7,Iowa,Non-Transient non-community system,31,NEW HAMPTON,Chickasaw,4,2,4
IA8320098,EARLING WATER SUPPLY,Region 7,Iowa,Community water system,437,EARLING,Shelby,15,2,8
IA2573701,XENIA RWD (DES MOINES),Region 7,Iowa,Community water system,9015,MINBURN,Dallas,27,5,7
IA0472012,MOULTON WATER DEPARTMENT,Region 7,Iowa,Community water system,605,MOULTON,Appanoose,8,1,6
IA7380036,SHAMBAUGH MUNI WATER SUPPLY,Region 7,Iowa,Community water system,191,SHAMBAUGH,Page,9,6,17
IA8133009,LYTTON WATER DEPARTMENT,Region 7,Iowa,Community water system,320,LYTTON,Calhoun,11,13,7
IA5282309,SUTLIFF INC,Region 7,Iowa,Transient non-community system,50,LISBON,Johnson,8,13,7
IA1025202,FLINT HILLS RESOURCES FAIRBANK,Region 7,Iowa,Non-Transient non-community system,35,FAIRBANK,Buchanan,5,0,3
IA0543031,KIMBALLTON UTILITIES,Region 7,Iowa,Community water system,322,KIMBALLTON,Audubon,11,14,6
IA7836445,HITCHCOCK NATURE CENTER,Region 7,Iowa,Transient non-community system,32,HONEY CREEK,Pottawattamie,7,5,9
IA9433904,KENNEDY MEM PK-WEBSTER CONSERV,Region 7,Iowa,Transient non-community system,210,FORT DODGE,Webster,5,0,12
IA5148079,LIBERTYVILLE WATER WORKS,Region 7,Iowa,Community water system,315,LIBERTYVILLE,Jefferson,5,3,7
IA5515527,SENTRAL COMMUNITY SCHOOL,Region 7,Iowa,Non-Transient non-community system,478,FENTON,Kossuth,9,8,8
IA0400901,RATHBUN REG WATER ASSN (FT MADISON),Region 7,Iowa,Community water system,8812,FORT MADISON,Lee,42,0,7
IA8114000,EARLY MUNICIPAL WATER SUPPLY,Region 7,Iowa,Community water system,592,EARLY,Sac,13,24,7
IA3405012,CHARLES CITY WATER SUPPLY,Region 7,Iowa,Community water system,7702,CHARLES CITY,Floyd,15,1,11
IA9525901,THORPE PARK-WINNEBAGO CONSERVATION,Region 7,Iowa,Transient non-community system,60,FOREST CITY,Winnebago,5,5,7
IA3070868,OKOBOJI VIEW GOLF COURSE,Region 7,Iowa,Transient non-community system,127,SPIRIT LAKE,Dickinson,6,11,5
