PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
MN5010326,Corner Club,Region 5,Minnesota,Transient non-community system,92,,Aitkin,3,0,2
MN5730557,Greenwald Pub,Region 5,Minnesota,Transient non-community system,100,,Stearns,5,4,5
MN5690895,Lakeland Baptist Church,Region 5,Minnesota,Transient non-community system,75,,St. Louis,3,0,6
MN5730710,Stearns County Park - Rockville,Region 5,Minnesota,Transient non-community system,25,,Stearns,2,0,2
MN5110505,Happiness Resort,Region 5,Minnesota,Transient non-community system,25,,Cass,5,0,3
MN1420003,Florence,Region 5,Minnesota,Community water system,39,Florence,Lyon,2,10,17
MN5150012,Our Savior's Lutheran Church,Region 5,Minnesota,Transient non-community system,100,,Clearwater,4,1,6
MN5560345,Madsens Resort,Region 5,Minnesota,Transient non-community system,72,,Otter Tail,10,4,5
MN5080021,Albion Lutheran Church,Region 5,Minnesota,Transient non-community system,350,,Brown,3,0,6
MN1130014,Shafer,Region 5,Minnesota,Community water system,1045,Shafer,Chisago,7,2,17
MN1510006,Hadley,Region 5,Minnesota,Community water system,60,Hadley,Murray,6,2,15
MN1530002,Bigelow,Region 5,Minnesota,Community water system,235,Bigelow,Nobles,6,10,17
MN1590004,Jasper,Region 5,Minnesota,Community water system,580,Jasper,Pipestone,2,1,16
MN1710002,Big Lake,Region 5,Minnesota,Community water system,9030,Big Lake,Sherburne,14,5,12
MN5690688,Tomahawk Resort,Region 5,Minnesota,Transient non-community system,30,,St. Louis,8,2,3
MN5450003,United Lutheran Church,Region 5,Minnesota,Transient non-community system,50,,Marshall,4,0,5
MN5470045,Church of Our Lady of Manannah,Region 5,Minnesota,Transient non-community system,373,,Meeker,5,0,6
MN5360032,Woodland Inn,Region 5,Minnesota,Transient non-community system,25,,Koochiching,4,5,3
MN5310113,Nashwauk Township Garage & Park,Region 5,Minnesota,Transient non-community system,25,,Itasca,3,0,6
MN5630024,Salem Lutheran Church,Region 5,Minnesota,Transient non-community system,50,,Red Lake,2,0,2
MN5470120,Grove Creek Raceway,Region 5,Minnesota,Transient non-community system,950,,Meeker,3,0,6
MN5691046,Colonial Homes 2,Region 5,Minnesota,Non-Transient non-community system,27,,St. Louis,4,2,4
MN1140020,Spring Prairie Colony,Region 5,Minnesota,Community water system,150,,Clay,5,1,5
MN5790249,Wescott Agri Products,Region 5,Minnesota,Transient non-community system,25,,Wabasha,4,2,4
MN1440004,Waubun,Region 5,Minnesota,Community water system,388,Waubun,Mahnomen,5,10,16
MN1450013,Holt,Region 5,Minnesota,Community water system,80,Holt,Marshall,4,0,7
MN1820001,Bayport,Region 5,Minnesota,Community water system,1881,Bayport,Washington,8,4,16
MN1830005,Ormsby,Region 5,Minnesota,Community water system,141,Ormsby,Watonwan,5,7,17
MN5730644,Opole Water System,Region 5,Minnesota,Transient non-community system,35,,Stearns,3,2,4
MN5090098,Elim Lutheran Church,Region 5,Minnesota,Transient non-community system,75,,Carlton,4,0,6
MN5110056,Cragun's on Pine Beach,Region 5,Minnesota,Transient non-community system,250,,Cass,23,2,4
MN1520007,Klossner Water Association,Region 5,Minnesota,Community water system,54,,Nicollet,3,1,14
MN1580001,Askov,Region 5,Minnesota,Community water system,376,Askov,Pine,4,3,14
MN1240006,Conger,Region 5,Minnesota,Community water system,143,Conger,Freeborn,5,1,16
MN5480019,Wahkon Presbyterian Church,Region 5,Minnesota,Transient non-community system,100,,Mille Lacs,3,1,6
MN5020543,Coates RV Center,Region 5,Minnesota,Transient non-community system,50,,Anoka,3,0,3
MN5300022,North Isanti Baptist Church,Region 5,Minnesota,Transient non-community system,300,,Isanti,4,0,6
MN5700131,St. Patrick Church of Cedar Lake,Region 5,Minnesota,Transient non-community system,300,,Scott,3,0,6
MN5290173,Shangri La Resort,Region 5,Minnesota,Transient non-community system,45,,Hubbard,4,0,5
MN5040363,Department of Natural Resources,Region 5,Minnesota,Non-Transient non-community system,60,,Beltrami,4,0,7
MN5560744,VFW Club Post 3289,Region 5,Minnesota,Transient non-community system,40,,Otter Tail,4,0,5
MN5100052,St. Peter Lutheran Church,Region 5,Minnesota,Transient non-community system,100,,Carver,5,0,8
MN5680035,First Lutheran Church,Region 5,Minnesota,Transient non-community system,25,,Roseau,6,2,8
MN5680045,New Life Assembly of God Church,Region 5,Minnesota,Transient non-community system,50,,Roseau,3,0,7
MN5820447,Scandia Community Center,Region 5,Minnesota,Non-Transient non-community system,37,,Washington,8,2,7
MN5020337,Crosstown Shopping Center,Region 5,Minnesota,Non-Transient non-community system,100,,Anoka,3,1,8
MN5020365,Chomonix Golf Course,Region 5,Minnesota,Transient non-community system,75,,Anoka,10,2,6
MN1640018,Seaforth,Region 5,Minnesota,Community water system,65,Seaforth,Redwood,2,5,1
MN5790243,Zumbro Falls Golf Club,Region 5,Minnesota,Transient non-community system,25,,Wabasha,3,1,1
MN5181004,Brainerd Lakes Area Welcome Center,Region 5,Minnesota,Transient non-community system,275,,Crow Wing,3,0,3
MN5190520,Valley Acres Police Range,Region 5,Minnesota,Transient non-community system,25,,Dakota,3,0,3
MN5020409,Abundant Life Alliance Church,Region 5,Minnesota,Transient non-community system,90,,Anoka,3,2,7
MN5860121,Faith Lutheran Church,Region 5,Minnesota,Transient non-community system,120,,Wright,3,0,7
MN5490304,Bear Trax Store and Hardware,Region 5,Minnesota,Transient non-community system,50,,Morrison,3,0,4
MN5090001,Salem Lutheran Church,Region 5,Minnesota,Transient non-community system,70,,Carlton,5,1,6
MN5690273,DNR-Eveleth Area Office,Region 5,Minnesota,Transient non-community system,25,,St. Louis,3,0,6
MN5550206,Oxbow Park,Region 5,Minnesota,Transient non-community system,25,,Olmsted,9,1,3
MN5070017,"Mankato Implement, Inc.",Region 5,Minnesota,Non-Transient non-community system,36,,Blue Earth,3,0,6
MN5020131,Radisson Road Baptist Church,Region 5,Minnesota,Transient non-community system,50,,Anoka,3,1,6
MN1870004,Granite Falls,Region 5,Minnesota,Community water system,2897,Granite Falls,Yellow Medicine,5,1,16
MN5020139,Anoka County Parks Dept.- Martin Lake,Region 5,Minnesota,Transient non-community system,30,,Anoka,3,2,6
MN5690673,Ebel's Voyageur Houseboat,Region 5,Minnesota,Transient non-community system,25,,St. Louis,3,0,4
MN5180229,Ro-Be-Doe Resort,Region 5,Minnesota,Transient non-community system,50,,Crow Wing,7,0,5
MN1480003,Onamia,Region 5,Minnesota,Community water system,864,Onamia,Mille Lacs,5,0,14
MN5040208,Birch Haven Resort,Region 5,Minnesota,Transient non-community system,35,,Beltrami,3,1,4
MN5490301,Belle Prairie Junction,Region 5,Minnesota,Transient non-community system,250,,Morrison,3,0,3
MN1210010,Carlos,Region 5,Minnesota,Community water system,329,Carlos,Douglas,5,0,15
MN1690009,Cook,Region 5,Minnesota,Community water system,620,Cook,St. Louis,6,2,17
MN1070016,"Rapidan Development Company, Inc.",Region 5,Minnesota,Community water system,164,,Blue Earth,3,10,16
MN5310290,Loon Point Resort,Region 5,Minnesota,Transient non-community system,25,,Itasca,13,0,5
MN5580006,Emmanuel Lutheran Church,Region 5,Minnesota,Transient non-community system,25,,Pine,4,3,6
MN5691006,Britt Lounge and Cafe,Region 5,Minnesota,Transient non-community system,25,,St. Louis,4,0,3
MN5120152,Ben Ervin Preserve,Region 5,Minnesota,Transient non-community system,25,,Chippewa,2,1,3
MN5290296,Lake George Bible Chapel,Region 5,Minnesota,Transient non-community system,50,,Hubbard,4,1,6
MN5380272,Camp Voyageur,Region 5,Minnesota,Transient non-community system,50,,Lake,5,0,3
MN5390112,Jerry's Restaurant and Lounge,Region 5,Minnesota,Transient non-community system,25,,Lake of the Woods,3,1,5
MN5770271,St. John Vianney,Region 5,Minnesota,Non-Transient non-community system,124,,Todd,3,1,6
MN5020278,"Center Mart, LLC",Region 5,Minnesota,Transient non-community system,400,,Anoka,3,0,7
MN5240083,London Township Hall,Region 5,Minnesota,Transient non-community system,30,,Freeborn,5,3,7
MN5180969,Fort Ripley Store,Region 5,Minnesota,Transient non-community system,200,,Crow Wing,3,0,3
MN5140207,Park Lutheran Church,Region 5,Minnesota,Transient non-community system,60,,Clay,3,0,8
MN5380261,Betty's Pies,Region 5,Minnesota,Transient non-community system,500,,Lake,8,3,4
MN5560677,"Hook, Line and Sucher",Region 5,Minnesota,Transient non-community system,110,,Otter Tail,4,0,4
MN5200109,Circle Drive Manor,Region 5,Minnesota,Transient non-community system,25,,Dodge,3,0,6
MN5600258,Lengby Baptist Church,Region 5,Minnesota,Transient non-community system,25,,Polk,4,0,5
MN5710174,Palmer Park,Region 5,Minnesota,Transient non-community system,25,,Sherburne,3,2,7
MN5820401,Woodbury Church of Christ,Region 5,Minnesota,Transient non-community system,100,,Washington,3,2,7
MN5870002,Green Door Steak House & Bar,Region 5,Minnesota,Transient non-community system,25,,Yellow Medicine,3,0,2
MN5800044,Shell City Campground,Region 5,Minnesota,Transient non-community system,25,,Wadena,7,2,5
MN5040738,3 B Rentals,Region 5,Minnesota,Transient non-community system,120,,Beltrami,5,1,4
MN5560999,T.S. Dock and Lift Service,Region 5,Minnesota,Transient non-community system,25,,Otter Tail,2,0,0
MN5820583,Brookfield 1 Complex,Region 5,Minnesota,Non-Transient non-community system,90,,Washington,4,2,2
MN5230022,Arendahl Lutheran Church,Region 5,Minnesota,Transient non-community system,130,,Fillmore,6,2,6
MN1430005,Northview Court,Region 5,Minnesota,Community water system,60,,McLeod,4,5,17
