PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
PA4340011,JUNIATA HAVEN MHP,Region 3,Pennsylvania,Community water system,80,,Juniata,3,11,3
PA4410325,PENN HILLS PLAZA,Region 3,Pennsylvania,Transient non-community system,25,,Lycoming,2,0,1
PA4410409,NEW RINK WELL,Region 3,Pennsylvania,Transient non-community system,25,,Lycoming,2,0,2
PA4050888,TRAVELERS OASIS,Region 3,Pennsylvania,Transient non-community system,30,,Bedford,3,1,3
PA2401030,ITS A LIFESAVER,Region 3,Pennsylvania,Transient non-community system,25,,Luzerne,2,9,1
PA2640700,CORDAROS RESTAURANT,Region 3,Pennsylvania,Transient non-community system,50,,Wayne,3,4,2
PA6250085,HOLLY ACRES ESTATES,Region 3,Pennsylvania,Community water system,300,,Erie,3,118,3
PA2080890,NORTH ROME CHRISTIAN SCHOOL,Region 3,Pennsylvania,Non-Transient non-community system,187,,Bradford,2,118,2
PA6330324,FARMERS INN,Region 3,Pennsylvania,Transient non-community system,200,,Jefferson,4,3,1
PA2450422,ST BERNADETTES CATHOLIC CHURCH,Region 3,Pennsylvania,Transient non-community system,200,,Monroe,2,9,2
PA2450425,WEILER CORPORATION,Region 3,Pennsylvania,Non-Transient non-community system,375,,Monroe,5,7,3
PA2400970,HUNTINGTON MILLS GROCERY SHOP,Region 3,Pennsylvania,Transient non-community system,30,,Luzerne,3,4,2
PA7360412,JERUSALEM CHURCH,Region 3,Pennsylvania,Transient non-community system,235,,Lancaster,2,9,2
PA1150742,GEORGE FOX FRIENDS SCHOOL,Region 3,Pennsylvania,Non-Transient non-community system,67,,Chester,3,0,1
PA1230375,BRANDYWINE BATTLEFIELD ST PARK,Region 3,Pennsylvania,Transient non-community system,200,,Delaware,2,4,2
PA3540372,THE OAK HILL INN,Region 3,Pennsylvania,Transient non-community system,50,,Schuylkill,2,0,2
PA3060667,LONGSWAMP UCC,Region 3,Pennsylvania,Non-Transient non-community system,140,,Berks,3,86,2
PA3540036,DEER LAKE CITIZENS ASSOC,Region 3,Pennsylvania,Community water system,450,,Schuylkill,8,11,3
PA3130021,BOWMANSTOWN AUTHORITY,Region 3,Pennsylvania,Community water system,900,,Carbon,5,2,5
