PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CO0254185,XCEL ENERGY HAYDEN STATION,Region 8,Colorado,Non-Transient non-community system,100,,Routt,8,48,4
CO0108501,MT PRINCETON HOA,Region 8,Colorado,Community water system,114,,Chaffee,3,9,3
CO0222700,HOLCIM INC,Region 8,Colorado,Non-Transient non-community system,200,,Fremont,4,0,4
CO0259012,PEAK 8 VILLAGE CONDOS,Region 8,Colorado,Transient non-community system,112,,Summit,5,15,5
CO0122500,FLORENCE CITY OF,Region 8,Colorado,Community water system,6838,,Fremont,14,67,7
CO0122700,PENROSE WD,Region 8,Colorado,Community water system,3298,,Fremont,11,10,4
CO0254667,RAINDROP WATER HAULER,Region 8,Colorado,Transient non-community system,25,,Routt,3,2,2
CO0201417,JOHNSON AUTO PLAZA,Region 8,Colorado,Non-Transient non-community system,160,,Adams,4,3,4
CO0234880,VALLECITO RESORT,Region 8,Colorado,Transient non-community system,250,,La Plata,6,4,4
CO0108415,GAME TRAIL ASSOCIATION INC,Region 8,Colorado,Community water system,430,,Chaffee,19,28,3
CO0236550,SPANISH PEAKS LANDOWNERS ASSOCIATION INC,Region 8,Colorado,Transient non-community system,225,,Las Animas,13,20,3
CO0145750,VALLEY WC,Region 8,Colorado,Community water system,270,,Otero,8,18,6
CO0253860,RIO GRANDE WATER CO LLC,Region 8,Colorado,Community water system,265,,Rio Grande,6,62,3
CO0254901,YAMPA RIVER STATE PARK,Region 8,Colorado,Transient non-community system,62,,Routt,4,2,4
CO0203233,EASTERN SERVICE CENTER,Region 8,Colorado,Non-Transient non-community system,30,,Arapahoe,6,21,2
CO0263003,IDALIA SCHOOL,Region 8,Colorado,Non-Transient non-community system,222,,Yuma,5,83,6
CO0120244,ELKHORN RANCH MD NO 1,Region 8,Colorado,Community water system,269,,Elbert,5,1,2
CO0107702,SAN SOUCI MHP,Region 8,Colorado,Community water system,150,,Boulder,4,88,8
CO0203002,ARAPAHOE CNTY WWWA,Region 8,Colorado,Community water system,31000,,Arapahoe,47,4,4
CO0235618,JELLYSTONE PARK OF ESTES PARK,Region 8,Colorado,Transient non-community system,423,,Larimer,9,1,6
CO0134300,FLORIDA RIVER ESTATES HOA INC,Region 8,Colorado,Community water system,239,,La Plata,4,9,5
CO0225135,BAR LAZY J GUEST RANCH,Region 8,Colorado,Transient non-community system,47,,Grand,3,14,3
CO0230233,WEST RANCH CENTER,Region 8,Colorado,Non-Transient non-community system,75,,Jefferson,4,18,6
CO0128100,CUCHARA WSD,Region 8,Colorado,Community water system,1400,,Huerfano,11,45,8
CO0162285,FOXHILLS HOA,Region 8,Colorado,Community water system,45,,Weld,4,18,5
CO0223711,SILVER BULLET PURE WATER,Region 8,Colorado,Transient non-community system,25,,Garfield,3,0,1
CO0360180,COLORADO SOUTH MEADOWS PIKE CG,Region 8,Colorado,Transient non-community system,634,,Teller,5,1,3
CO0162833,WATTENBURG IMPROVEMENT ASSOC,Region 8,Colorado,Community water system,350,,Weld,4,6,5
CO0253950,WOLF CREEK SKI LODGE,Region 8,Colorado,Transient non-community system,27,,Rio Grande,4,9,5
CO0128400,HUAJATOLLA VALLEY ESTATES INC,Region 8,Colorado,Community water system,96,,Huerfano,4,21,4
CO0251800,RED MOUNTAIN YOUTH CAMP,Region 8,Colorado,Transient non-community system,100,,Pueblo,3,5,2
CO0254720,STEAMBOAT LAKE STATE PARK,Region 8,Colorado,Transient non-community system,1092,,Routt,8,2,5
CO0230355,285 BUSINESS PARK,Region 8,Colorado,Non-Transient non-community system,46,,Jefferson,3,2,7
CO0219685,ROUNDUP RIVER RANCH,Region 8,Colorado,Transient non-community system,110,,Eagle,4,5,0
CO0208410,GUNSMOKE TRAVEL PLAZA,Region 8,Colorado,Transient non-community system,268,,Chaffee,3,4,4
CO0212800,SIERRA GRANDE SCHOOL DISTRICT,Region 8,Colorado,Non-Transient non-community system,351,,Costilla,4,61,7
CO0122250,COAL CREEK TOWN OF,Region 8,Colorado,Community water system,301,,Fremont,2,2,4
CO0259318,GOOD TIMES ADVENTOUR TOURS,Region 8,Colorado,Transient non-community system,100,,Summit,3,4,3
CO0208815,SPRING CANYON CAMP AND CC,Region 8,Colorado,Transient non-community system,115,,Chaffee,7,5,4
CO0347305,HALL VALLEY CG,Region 8,Colorado,Transient non-community system,34,,Park,2,1,4
CO0347308,HANDCART CG,Region 8,Colorado,Transient non-community system,30,,Park,3,4,3
CO0318282,FLAT ROCKS CAMPGROUND,Region 8,Colorado,Transient non-community system,72,,Douglas,3,4,2
CO0226333,HARMELS RANCH RESORT,Region 8,Colorado,Transient non-community system,198,,Gunnison,5,9,9
CO0247031,STAGE STOP STORE AND SALOON,Region 8,Colorado,Transient non-community system,26,,Park,5,12,1
