state,declarationDate,incidentType,designatedArea,FID
LA,2020-03-13T16:00:00.000Z,Biological,Jena Band of Choctaw,249
LA,2020-03-13T16:00:00.000Z,Biological,Tunica-Biloxi,157
LA,2020-03-13T16:00:00.000Z,Biological,Chitimacha,201
NM,2020-03-13T16:00:00.000Z,Biological,Acoma,8
NM,2020-03-13T16:00:00.000Z,Biological,Cochiti,202
NM,2020-03-13T16:00:00.000Z,Biological,Isleta,245
NM,2020-03-13T16:00:00.000Z,Biological,Jemez,248
NM,2020-03-13T16:00:00.000Z,Biological,Jicarilla Apache Nation,65
NM,2020-03-13T16:00:00.000Z,Biological,Laguna,72
NM,2020-03-13T16:00:00.000Z,Biological,Mescalero,270
NM,2020-03-13T16:00:00.000Z,Biological,Nambe,92
NM,2020-03-13T16:00:00.000Z,Biological,Navajo Nation Reservation,94
NM,2020-03-13T16:00:00.000Z,Biological,Jemez,248
NM,2020-03-13T16:00:00.000Z,Biological,Picuris,291
NM,2020-03-13T16:00:00.000Z,Biological,Pojoaque,106
NM,2020-03-13T16:00:00.000Z,Biological,Sandia,311
NM,2020-03-13T16:00:00.000Z,Biological,San Felipe,310
NM,2020-03-13T16:00:00.000Z,Biological,San Felipe Pueblo/Santa Ana Pueblo,6
NM,2020-03-13T16:00:00.000Z,Biological,San Felipe Pueblo/Santo Domingo Pueblo,7
NM,2020-03-13T16:00:00.000Z,Biological,San Ildefonso,123
NM,2020-03-13T16:00:00.000Z,Biological,Santa Ana,312
NM,2020-03-13T16:00:00.000Z,Biological,San Felipe,310
NM,2020-03-13T16:00:00.000Z,Biological,Santa Clara,126
NM,2020-03-13T16:00:00.000Z,Biological,Santa Clara,126
NM,2020-03-13T16:00:00.000Z,Biological,Santo Domingo,317
NM,2020-03-13T16:00:00.000Z,Biological,Santo Domingo,317
NM,2020-03-13T16:00:00.000Z,Biological,Ohkay Owingeh,278
NM,2020-03-13T16:00:00.000Z,Biological,Santa Ana,312
NM,2020-03-13T16:00:00.000Z,Biological,Taos,148
NM,2020-03-13T16:00:00.000Z,Biological,Tesuque,149
NM,2020-03-13T16:00:00.000Z,Biological,Zia,179
NM,2020-03-13T16:00:00.000Z,Biological,Zia,179
NM,2020-03-13T16:00:00.000Z,Biological,Zuni,181
NM,2020-03-13T16:00:00.000Z,Biological,Zuni,181
NM,2020-03-13T16:00:00.000Z,Biological,Ute Mountain,168
OK,2020-03-13T16:00:00.000Z,Biological,Caddo-Wichita-Delaware,370
OK,2020-03-13T16:00:00.000Z,Biological,Cherokee,371
OK,2020-03-13T16:00:00.000Z,Biological,Chickasaw,373
OK,2020-03-13T16:00:00.000Z,Biological,Cheyenne and Arapaho,372
OK,2020-03-13T16:00:00.000Z,Biological,Choctaw,374
OK,2020-03-13T16:00:00.000Z,Biological,Citizen Potawatomi Nation-Absentee Shawnee,375
OK,2020-03-13T16:00:00.000Z,Biological,Cherokee,371
OK,2020-03-13T16:00:00.000Z,Biological,Creek,376
OK,2020-03-13T16:00:00.000Z,Biological,Creek/Seminole,1
OK,2020-03-13T16:00:00.000Z,Biological,Eastern Shawnee,377
OK,2020-03-13T16:00:00.000Z,Biological,Iowa,378
OK,2020-03-13T16:00:00.000Z,Biological,Sac and Fox,390
OK,2020-03-13T16:00:00.000Z,Biological,Kaw,379
OK,2020-03-13T16:00:00.000Z,Biological,Kaw/Ponca,2
OK,2020-03-13T16:00:00.000Z,Biological,Kickapoo,380
OK,2020-03-13T16:00:00.000Z,Biological,Kiowa-Comanche-Apache-Fort Sill Apache,382
OK,2020-03-13T16:00:00.000Z,Biological,Miami,382
OK,2020-03-13T16:00:00.000Z,Biological,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,4
OK,2020-03-13T16:00:00.000Z,Biological,Miami/Peoria,5
OK,2020-03-13T16:00:00.000Z,Biological,Modoc,383
OK,2020-03-13T16:00:00.000Z,Biological,Osage,285
OK,2020-03-13T16:00:00.000Z,Biological,Otoe-Missouria,384
OK,2020-03-13T16:00:00.000Z,Biological,Ottawa,385
OK,2020-03-13T16:00:00.000Z,Biological,Pawnee,386
OK,2020-03-13T16:00:00.000Z,Biological,Peoria,387
OK,2020-03-13T16:00:00.000Z,Biological,Ponca,388
OK,2020-03-13T16:00:00.000Z,Biological,Quapaw,390
OK,2020-03-13T16:00:00.000Z,Biological,Sac and Fox,390
OK,2020-03-13T16:00:00.000Z,Biological,Seminole,391
OK,2020-03-13T16:00:00.000Z,Biological,Seneca-Cayuga,392
OK,2020-03-13T16:00:00.000Z,Biological,Tonkawa,394
OK,2020-03-13T16:00:00.000Z,Biological,Wyandotte,394
GA,2020-03-13T00:00:00.000Z,Biological,Tama,369
FL,2020-03-13T15:00:00.000Z,Biological,Big Cypress,188
FL,2020-03-13T15:00:00.000Z,Biological,Brighton,192
FL,2020-03-13T15:00:00.000Z,Biological,Hollywood,239
FL,2020-03-13T15:00:00.000Z,Biological,Fort Pierce,229
FL,2020-03-13T15:00:00.000Z,Biological,Immokalee,242
FL,2020-03-13T15:00:00.000Z,Biological,Tampa,330
SC,2020-03-13T15:00:00.000Z,Biological,Catawba,24
NC,2020-03-13T16:00:00.000Z,Biological,Eastern Cherokee,217
AL,2020-03-13T15:00:00.000Z,Biological,Poarch Creek,104
MS,2020-03-13T16:00:00.000Z,Biological,Mississippi Choctaw,87
SD,2020-03-13T16:00:00.000Z,Biological,Cheyenne River,27
SD,2020-03-13T16:00:00.000Z,Biological,Crow Creek,212
SD,2020-03-13T16:00:00.000Z,Biological,Flandreau,221
SD,2020-03-13T16:00:00.000Z,Biological,Lake Traverse,74
SD,2020-03-13T16:00:00.000Z,Biological,Lower Brule,78
SD,2020-03-13T16:00:00.000Z,Biological,Northern Cheyenne,99
SD,2020-03-13T16:00:00.000Z,Biological,Pine Ridge,293
SD,2020-03-13T16:00:00.000Z,Biological,Rosebud,118
SD,2020-03-13T16:00:00.000Z,Biological,Turtle Mountain,160
SD,2020-03-13T16:00:00.000Z,Biological,Yankton,341
SD,2020-03-13T16:00:00.000Z,Biological,Standing Rock,325
MT,2020-03-13T16:00:00.000Z,Biological,Blackfeet,19
MT,2020-03-13T16:00:00.000Z,Biological,Crow,34
MT,2020-03-13T16:00:00.000Z,Biological,Fort Belknap,42
MT,2020-03-13T16:00:00.000Z,Biological,Fort Peck,48
MT,2020-03-13T16:00:00.000Z,Biological,Northern Cheyenne,98
MT,2020-03-13T16:00:00.000Z,Biological,Rocky Boy's,117
