State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,"FID"
Alabama,Covington,"37,253",22.67,58.9,18.43,84.91,12.43,0.54,0.31,0.09,0.41,1.3,1.37,84.05,15.41,23.73,20.54,9.6,40.5,4.59,8.76,28.8,34.74,43.23,45.49,88
Alabama,Crenshaw,"13,796",24.11,60.61,15.28,72.62,22.09,0.54,1.54,0.0,0.57,2.64,1.54,71.09,15.69,26.31,17.93,7.52,42.76,4.0,7.24,23.46,30.02,37.74,40.52,90
Alabama,Cullman,"79,211",23.16,61.0,15.84,96.19,0.87,0.42,0.46,0.04,0.57,1.44,4.25,92.93,14.18,22.47,22.04,9.77,42.29,4.3,7.26,25.03,30.84,39.82,42.89,98
Alabama,Dale,"48,486",25.28,61.1,13.62,75.18,19.38,0.33,1.33,0.13,0.78,2.88,5.34,71.04,10.31,20.43,23.83,11.73,40.86,3.97,6.26,20.98,27.03,33.92,36.82,101
Alabama,Dallas,"43,161",26.7,59.36,13.94,29.08,69.15,0.16,0.35,0.02,0.42,0.83,0.7,28.89,15.77,22.67,17.21,8.58,32.69,7.79,16.77,43.32,49.07,55.88,58.78,110
Alabama,DeKalb,"70,192",25.82,60.56,13.63,91.38,1.59,1.45,0.3,0.01,3.07,2.2,13.6,81.71,19.32,23.47,16.63,6.51,39.88,4.94,6.0,26.97,34.93,44.3,46.98,112
Alabama,Elmore,"73,602",25.21,62.47,12.32,78.8,17.26,0.3,0.61,0.0,1.49,1.54,2.72,77.71,7.67,22.4,21.03,15.02,47.19,4.37,5.43,16.43,20.11,26.0,27.87,118
Alabama,Escambia,"35,527",24.42,59.97,15.61,64.7,30.28,3.95,0.39,0.04,0.03,0.59,1.78,63.07,14.34,24.14,19.92,8.93,35.43,6.23,13.6,32.58,41.22,48.66,52.55,122
Alabama,Etowah,"102,425",22.95,61.46,15.59,82.18,14.86,0.35,0.68,0.04,0.45,1.45,3.4,79.53,12.18,22.45,23.54,10.52,38.81,4.93,7.01,25.43,31.59,39.19,42.35,131
Alabama,Fayette,"16,916",22.09,60.08,17.83,87.2,10.71,0.22,0.34,0.0,0.0,1.53,1.23,86.34,16.51,27.51,17.81,8.13,37.93,3.36,5.85,24.06,32.19,42.1,46.81,134
Alabama,Franklin,"31,247",24.76,60.68,14.56,88.54,4.44,0.5,0.2,0.0,5.28,1.03,14.88,79.84,17.56,22.46,18.15,8.19,41.99,4.33,8.25,25.33,30.81,43.68,48.82,138
Alabama,Geneva,"26,361",21.93,60.72,17.35,86.88,9.73,0.33,0.09,0.0,1.56,1.41,3.41,84.61,17.1,26.16,19.34,7.69,41.96,4.51,8.59,28.17,34.21,46.41,49.9,140
Alabama,Greene,"9,026",24.46,59.73,15.81,17.69,81.9,0.27,0.14,0.0,0.0,0.0,0.0,17.69,15.85,25.93,16.18,7.69,29.29,9.17,12.92,45.98,54.24,64.16,65.12,148
Alabama,Hale,"15,448",25.21,60.06,14.73,39.77,59.41,0.21,0.31,0.09,0.0,0.21,0.43,39.44,17.23,25.03,15.94,7.89,35.04,6.62,11.32,36.33,43.49,54.52,56.19,150
Alabama,Henry,"17,039",22.15,60.26,17.59,68.87,27.85,0.0,2.0,0.0,0.81,0.47,2.28,67.63,14.45,25.29,19.1,11.12,38.4,5.58,4.72,21.69,26.6,36.0,40.07,158
Alabama,Houston,"100,167",24.47,61.23,14.3,70.27,25.51,0.3,0.86,0.02,1.3,1.74,2.92,68.72,11.05,23.08,20.06,13.11,44.25,3.73,7.59,23.75,29.4,37.25,40.09,160
Alabama,Jackson,"52,693",22.4,61.29,16.32,92.13,3.17,1.97,0.38,0.04,0.37,1.94,2.52,90.18,17.43,25.43,17.75,9.28,41.75,3.68,6.51,24.49,30.81,38.36,41.55,164
Alabama,Jefferson,"645,062",23.77,63.19,13.05,53.43,42.21,0.19,1.46,0.01,1.85,0.85,3.79,51.66,8.26,18.31,20.66,19.89,45.33,5.0,7.35,22.07,27.0,33.88,36.56,171
Alabama,Lamar,"14,361",22.39,58.65,18.95,87.67,11.48,0.0,0.02,0.0,0.03,0.79,1.27,86.44,16.5,27.58,19.11,7.23,39.47,4.12,7.37,24.75,33.98,43.75,47.91,174
