State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),60 years and over (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,Income below 300% poverty level,Income below 400% poverty level,Income below 500% poverty level,"FID"
Kansas,Sheridan,"2,479",24.28,53.13,28.76,22.59,96.13,0.77,0.61,0.0,0.0,1.57,0.93,5.57,92.42,2.74,26.34,25.57,17.47,56.64,1.37,2.42,11.01,16.18,23.56,25.29,40.66,60.71,72.69,904
Kansas,Sherman,"5,664",24.38,55.47,28.8,20.14,90.43,0.58,0.44,1.32,0.0,5.19,2.03,12.02,84.32,6.99,19.39,28.65,15.64,52.81,2.82,2.49,9.94,13.22,17.48,18.29,46.2,63.95,77.93,907
Kansas,Smith,"3,521",19.54,53.51,37.46,26.95,96.22,0.06,0.43,0.8,0.0,0.06,2.44,2.5,94.35,3.72,27.55,27.35,15.76,48.31,1.33,4.17,15.0,19.03,29.22,31.92,55.75,71.6,82.11,909
Kansas,Stafford,"3,999",24.68,55.81,27.48,19.5,94.52,0.0,1.25,0.0,0.0,1.05,3.18,13.53,83.17,4.7,18.53,25.78,18.85,49.96,2.3,3.6,21.16,24.51,28.21,32.46,50.96,69.22,80.5,911
Kansas,Stanton,"2,000",28.45,54.75,24.75,16.8,92.1,0.0,0.2,0.0,0.0,2.25,5.45,37.05,58.15,12.15,22.8,18.9,11.95,44.9,1.0,14.6,22.55,26.5,31.6,35.25,54.95,67.3,83.85,913
Kansas,Stevens,"5,363",29.82,56.11,19.32,14.08,80.92,0.62,0.04,0.0,0.0,8.11,10.31,37.53,60.54,13.31,15.48,24.11,7.53,44.01,3.19,6.54,18.66,24.76,41.06,45.39,63.7,75.69,84.77,914
Kansas,Sumner,"22,362",24.49,57.54,25.62,17.97,93.67,0.51,1.25,0.54,0.0,0.81,3.21,5.67,89.37,4.61,22.92,24.11,16.08,46.03,2.5,4.62,18.45,22.47,30.99,33.31,48.94,67.54,80.28,916
Kansas,Thomas,"7,317",23.47,59.67,25.09,16.86,94.4,1.79,0.27,0.41,0.0,0.9,2.23,6.83,89.8,4.67,14.87,30.41,16.73,56.83,0.75,4.82,12.71,17.77,22.51,24.37,49.1,60.23,74.05,917
Kansas,Trego,"2,703",17.76,57.53,35.22,24.71,99.04,0.04,0.04,0.0,0.0,0.44,0.44,2.18,97.3,3.85,21.38,33.33,17.28,56.6,1.22,1.33,9.69,16.8,21.9,24.27,47.65,62.08,72.07,919
Kansas,Wabaunsee,"6,772",23.88,56.57,28.31,19.55,94.36,0.61,0.71,0.63,0.07,0.61,3.01,4.12,92.03,2.35,24.48,25.19,16.86,50.84,1.05,2.7,8.86,11.58,18.98,19.88,45.7,65.37,79.4,920
Kansas,Wallace,"1,555",25.59,52.22,30.87,22.19,92.73,0.19,0.39,0.58,0.0,2.51,3.6,5.98,89.77,3.41,21.41,23.15,20.58,46.24,0.19,6.3,17.17,23.79,33.57,35.24,54.73,68.75,85.14,921
Kansas,Washington,"5,326",22.01,54.28,30.44,23.71,96.26,0.08,0.62,0.17,0.0,0.81,2.07,4.02,93.48,4.24,28.95,21.78,15.23,48.61,0.83,3.32,13.39,17.71,25.84,35.3,58.28,73.58,83.55,922
Kansas,Wichita,"2,083",24.24,56.7,25.49,19.06,89.68,1.06,0.58,1.1,0.0,6.05,1.54,29.67,67.69,7.63,18.72,26.84,16.18,52.47,2.16,1.1,10.37,16.08,21.46,22.28,45.03,66.97,70.96,923
Kansas,Wilson,"8,423",23.54,55.44,30.04,21.01,94.8,0.58,0.23,0.0,0.0,0.14,4.25,3.36,91.94,7.25,24.15,24.6,13.63,47.22,2.21,6.43,19.22,24.77,34.99,39.53,55.36,71.85,84.89,925
Kansas,Woodson,"3,086",18.7,55.8,35.45,25.5,93.16,0.13,1.75,0.0,0.0,0.16,4.8,0.26,93.07,5.9,28.74,25.73,15.17,42.29,3.86,5.87,17.17,25.37,32.79,35.52,58.65,78.58,86.49,926
Kansas,Wyandotte,"163,600",27.62,60.08,18.08,12.31,55.71,21.48,0.5,4.91,0.16,10.75,6.49,29.36,40.01,12.51,20.66,18.72,11.74,46.91,3.14,6.94,25.72,31.36,39.96,43.57,61.52,75.54,85.3,927
Kentucky,Adair,"17,982",20.39,60.02,27.0,19.59,94.51,2.3,0.01,0.45,0.0,0.32,2.41,1.76,93.32,12.1,28.51,17.66,13.21,41.02,2.98,4.1,26.73,32.27,38.62,43.14,61.06,75.89,85.77,928
Kentucky,Allen,"20,765",23.37,59.22,24.61,17.42,96.73,0.5,0.0,0.12,0.0,0.23,2.43,2.15,94.97,11.37,27.39,18.1,11.97,42.69,2.61,10.18,23.62,28.89,36.98,40.39,60.31,73.32,85.76,929
Kentucky,Anderson,"22,327",23.32,61.16,22.09,15.52,94.35,3.02,0.0,0.26,0.05,0.28,2.04,1.93,93.26,6.42,24.81,22.13,15.76,46.44,2.99,6.48,19.54,23.14,30.05,35.74,53.36,67.49,78.64,930
Kentucky,Ballard,"7,772",21.01,57.98,29.0,21.01,93.39,4.53,0.17,0.28,0.0,0.06,1.57,1.39,92.67,7.85,27.66,23.94,11.37,41.11,2.39,7.72,21.02,30.35,34.03,37.0,54.85,68.1,79.7,932
Kentucky,Barren,"42,915",23.27,60.0,23.58,16.73,92.18,3.47,0.08,0.38,0.0,0.52,3.38,3.29,90.13,10.75,29.68,16.76,11.32,42.9,3.1,10.98,30.17,35.72,44.18,46.34,67.68,80.32,87.28,933
Kentucky,Bath,"12,306",25.22,58.72,23.02,16.06,95.86,1.25,0.11,0.39,0.0,0.85,1.54,1.7,95.08,13.59,28.99,13.89,10.35,38.95,1.41,11.3,29.3,34.74,43.19,45.14,68.68,79.08,86.34,934
Kentucky,Bell,"25,562",21.37,60.01,25.03,18.62,95.67,2.17,0.17,0.0,0.0,0.23,1.76,1.23,94.47,18.23,29.63,15.72,6.82,29.1,3.09,12.14,38.13,45.7,55.43,58.83,77.93,87.83,92.79,936
Kentucky,Boone,"130,608",25.79,60.65,19.33,13.56,89.69,3.28,0.11,2.37,0.02,1.69,2.85,4.24,87.1,3.92,19.18,21.49,21.43,51.45,1.89,2.97,9.33,12.42,16.78,18.57,34.34,49.85,64.92,1002
Kentucky,Bourbon,"19,570",21.98,58.8,26.25,19.21,91.58,6.66,0.0,0.16,0.0,0.17,1.42,6.58,85.09,9.81,25.6,18.06,16.12,47.24,2.78,5.91,19.36,28.81,35.95,38.04,54.67,67.62,78.01,1005
Kentucky,Boyd,"45,388",21.47,59.13,26.9,19.39,94.41,1.07,0.11,0.33,0.0,1.2,2.88,1.74,93.71,8.33,23.27,24.94,14.82,40.15,3.44,7.14,21.43,27.06,33.85,35.86,53.97,72.09,82.17,1008
Kentucky,Boyle,"26,965",21.69,58.0,26.91,20.31,88.11,7.39,0.23,0.37,0.0,1.52,2.39,3.29,86.46,6.73,23.75,19.98,19.14,45.11,2.79,5.7,19.82,25.64,34.17,36.32,54.5,67.21,78.0,1010
Kentucky,Bracken,"8,225",23.42,60.04,23.59,16.55,96.39,0.98,0.24,0.98,0.0,0.0,1.4,0.56,95.9,8.77,32.92,19.04,8.73,43.9,2.2,8.19,23.98,29.62,33.39,35.31,44.77,71.74,84.49,1013
Kentucky,Breathitt,"12,517",20.0,63.47,24.24,16.53,97.6,1.12,0.09,0.34,0.0,0.48,0.38,1.13,96.95,16.11,27.88,16.41,11.68,30.97,3.12,14.4,39.95,45.03,53.88,56.88,72.6,81.81,88.54,1017
Kentucky,Breckinridge,"19,929",22.99,57.64,27.52,19.37,95.46,1.58,0.13,0.35,0.0,0.22,2.26,1.52,94.22,9.13,29.28,20.75,10.19,38.21,3.25,6.9,24.4,30.56,37.99,40.44,57.02,70.4,80.63,1020
Kentucky,Bullitt,"80,105",21.53,62.65,22.75,15.82,95.1,1.2,0.14,0.76,0.0,0.47,2.32,2.21,94.03,7.82,29.17,22.34,11.07,50.75,2.69,3.45,13.32,17.18,21.85,23.94,41.02,60.46,74.6,1024
Kentucky,Butler,"12,316",21.53,60.56,25.19,17.9,96.74,0.3,0.13,0.34,0.02,0.88,1.58,3.45,94.66,12.68,31.91,16.7,10.15,41.22,3.29,8.52,23.39,28.58,38.67,41.48,60.13,76.06,86.29,1026
Kentucky,Caldwell,"12,563",22.58,56.44,27.57,20.98,92.22,7.36,0.0,0.0,0.0,0.0,0.41,1.66,90.77,8.7,29.44,20.39,11.92,42.06,2.79,9.01,24.35,27.42,32.98,34.72,57.57,69.62,75.25,1031
Kentucky,Calloway,"35,231",19.61,61.89,25.39,18.5,91.51,3.18,0.26,1.21,0.17,0.65,3.01,2.65,89.81,6.18,21.1,19.08,22.2,45.74,2.2,7.53,25.87,30.43,37.5,40.39,59.71,74.28,80.78,1033
Kentucky,Campbell,"90,118",21.22,62.85,22.54,15.92,94.06,2.59,0.1,0.98,0.02,0.38,1.86,2.14,92.49,4.86,19.79,18.72,26.73,51.76,2.32,6.11,15.34,18.31,23.57,25.36,41.03,57.43,68.98,1035
Kentucky,Carlisle,"4,680",23.21,56.75,27.74,20.04,95.32,1.28,0.47,0.77,0.0,0.21,1.94,2.41,93.35,10.13,30.64,18.48,10.0,37.41,1.84,7.35,27.71,34.25,39.76,43.48,62.05,80.43,88.35,1039
Kentucky,Carroll,"10,382",26.33,58.57,21.03,15.09,91.44,2.7,0.0,0.47,0.0,2.23,3.17,6.92,88.5,12.3,27.53,21.25,5.1,43.48,4.93,12.03,28.51,32.73,37.6,43.38,58.17,71.81,80.14,1041
Kentucky,Carter,"26,145",23.29,57.79,26.69,18.92,97.57,0.01,0.29,0.0,0.0,0.13,2.0,1.04,96.58,13.94,27.52,18.14,9.7,33.48,1.8,12.64,30.97,36.26,42.03,46.67,62.77,74.87,83.72,1044
Kentucky,Casey,"15,537",23.04,56.78,27.3,20.18,96.68,0.37,0.66,0.24,0.0,1.2,0.86,2.91,95.04,18.1,27.45,15.87,7.93,34.82,3.19,8.28,38.22,44.29,53.63,56.43,71.38,85.07,91.09,1048
Kentucky,Christian,"64,507",29.51,57.6,18.02,12.89,70.16,21.39,0.44,1.69,0.38,1.24,4.7,7.56,64.88,7.61,17.23,22.33,11.34,36.15,3.01,8.54,26.33,34.48,41.93,45.65,65.73,78.61,86.53,1050
Kentucky,Clark,"35,423",21.64,60.42,24.65,17.94,91.8,4.48,0.1,0.66,0.0,0.93,2.04,3.1,89.81,9.12,25.25,22.38,14.45,46.19,2.43,7.24,20.14,24.07,31.94,34.63,51.42,68.01,78.36,1053
Kentucky,Clay,"18,732",22.62,61.22,23.23,16.15,94.62,2.53,0.07,0.0,0.05,0.16,2.57,0.64,94.1,23.96,26.25,12.86,7.16,30.39,3.19,14.98,41.97,48.53,54.36,62.38,77.99,89.64,93.35,1056
Kentucky,Clinton,"10,015",21.26,59.33,26.94,19.41,96.85,0.04,0.0,0.15,0.0,1.23,1.73,2.94,95.15,17.36,28.51,16.5,8.8,38.02,2.76,9.36,31.31,41.46,52.4,54.04,70.46,84.67,91.63,1059
Kentucky,Crittenden,"8,637",22.45,57.18,28.11,20.37,97.22,0.35,0.35,0.24,0.0,0.45,1.39,1.27,96.41,10.46,32.08,18.42,9.91,41.73,1.25,4.72,19.84,27.82,35.93,39.23,59.42,73.38,84.96,1064
Kentucky,Cumberland,"6,547",21.52,57.42,30.18,21.06,92.61,2.43,0.0,0.7,0.0,2.4,1.86,1.22,92.45,12.62,31.85,17.66,11.12,40.14,1.77,7.94,27.28,35.6,41.42,46.85,67.59,79.23,87.58,1067
Kentucky,Daviess,"98,137",24.77,58.36,23.3,16.87,89.7,4.45,0.15,1.91,0.11,0.93,2.76,3.25,87.65,6.2,22.38,22.16,16.77,46.88,2.13,7.53,20.76,25.92,31.8,33.76,52.2,68.21,78.68,1071
Kentucky,Edmonson,"11,998",18.29,61.75,27.7,19.96,95.79,1.77,0.2,0.11,0.0,0.0,2.13,1.03,95.15,15.49,29.18,20.81,7.56,38.87,3.65,7.4,22.37,30.11,40.42,45.52,62.81,78.6,85.65,1073
Kentucky,Elliott,"5,914",22.05,54.65,30.52,23.3,99.8,0.0,0.0,0.0,0.0,0.12,0.08,0.81,99.1,16.0,28.88,15.17,8.29,29.79,0.56,12.21,34.21,39.23,45.49,50.9,65.45,87.88,90.9,1075
Kentucky,Estill,"14,051",20.93,60.37,26.37,18.7,97.15,0.06,0.41,0.06,0.0,0.09,2.23,1.23,96.81,18.82,31.24,13.71,8.42,34.2,3.82,10.22,34.9,39.62,51.14,53.21,70.91,83.0,91.36,1077
Kentucky,Fayette,"308,922",21.25,65.15,19.28,13.6,73.8,14.46,0.17,4.06,0.02,3.16,4.33,7.35,70.35,5.22,12.39,18.63,30.39,53.77,2.85,7.54,20.47,23.89,29.73,32.76,47.79,60.34,70.81,1080
Kentucky,Fleming,"14,493",24.16,57.88,25.07,17.96,96.34,2.23,0.17,0.64,0.0,0.17,0.46,0.81,95.72,13.94,26.54,17.41,10.47,39.51,3.62,7.44,27.21,32.03,38.35,43.55,63.03,77.62,87.3,1083
Kentucky,Floyd,"35,213",21.43,60.65,25.66,17.92,97.44,1.0,0.01,0.35,0.0,0.16,1.04,0.89,97.05,15.54,28.4,18.18,8.46,31.45,3.21,14.87,34.74,39.9,45.82,47.95,73.72,84.11,91.79,1085
Kentucky,Franklin,"48,856",21.25,60.83,24.3,17.92,83.22,8.87,0.05,1.93,0.06,2.18,3.7,3.46,82.37,6.66,21.3,21.73,22.35,48.49,2.42,6.82,16.03,20.16,25.45,29.07,48.27,61.75,72.32,1086
Kentucky,Fulton,"5,624",22.6,56.17,30.65,21.23,70.98,22.99,1.39,0.12,0.0,0.55,3.97,1.72,69.93,13.53,26.92,20.5,10.3,37.13,2.31,13.76,32.75,41.09,50.6,51.87,72.51,85.35,90.45,1088
Kentucky,Gallatin,"8,562",23.31,62.44,19.28,14.25,91.14,1.97,0.0,0.12,0.0,3.43,3.34,5.34,89.41,11.68,33.3,16.77,6.48,45.43,2.84,7.69,18.42,25.69,33.08,35.21,56.51,78.31,88.52,1090
Kentucky,Garrard,"17,324",21.25,60.94,25.38,17.81,94.86,2.07,0.21,0.09,0.0,0.68,2.11,2.22,94.07,11.46,26.37,19.78,14.58,44.87,2.49,5.91,20.23,23.68,30.64,32.72,49.92,70.1,82.62,1092
Kentucky,Grant,"24,651",27.21,59.08,19.7,13.71,94.13,0.44,0.24,0.22,0.0,2.05,2.93,2.94,93.34,8.07,29.95,17.09,9.02,45.87,2.34,6.5,18.96,23.1,31.57,34.91,54.33,69.88,81.1,1094
Kentucky,Graves,"36,339",23.54,58.18,24.94,18.28,89.06,3.79,0.12,0.53,0.32,2.37,3.81,7.02,86.23,7.49,28.69,20.56,11.29,42.72,2.36,8.18,26.35,31.83,38.21,41.18,58.95,74.69,84.91,1097
Kentucky,Grayson,"26,002",24.14,58.52,24.52,17.34,96.43,0.69,0.36,0.73,0.03,0.72,1.03,1.4,95.72,11.68,30.42,18.29,7.49,41.03,1.5,8.77,29.89,36.12,44.62,47.89,65.81,78.12,87.22,1100
Kentucky,Green,"10,836",20.93,59.78,27.04,19.29,95.81,1.76,0.77,0.03,0.0,0.0,1.63,1.69,94.12,16.9,29.57,17.49,8.53,38.61,2.21,7.63,30.34,38.04,45.72,49.39,67.17,80.32,86.53,1102
Kentucky,Greenup,"34,887",21.65,58.01,27.24,20.34,96.87,1.01,0.08,0.55,0.0,0.05,1.44,1.08,96.12,7.01,26.43,25.95,11.82,39.94,2.31,7.85,20.94,24.28,30.17,34.52,52.56,69.17,80.22,1105
Kentucky,Hancock,"8,654",24.51,58.75,22.9,16.74,95.68,0.7,0.06,0.59,0.0,0.0,2.97,0.5,95.18,9.97,28.29,19.24,9.69,43.24,2.3,9.98,19.57,23.93,27.05,30.08,50.43,70.72,79.88,1107
Kentucky,Hardin,"106,364",24.52,61.29,20.1,14.19,78.47,11.89,0.23,2.0,0.35,1.37,5.69,5.71,75.89,5.39,20.0,26.47,14.8,44.84,3.22,4.74,16.58,20.69,27.5,30.83,51.81,66.65,76.71,1110
Kentucky,Harlan,"25,590",22.53,59.39,25.89,18.08,95.59,1.9,0.0,0.34,0.0,0.32,1.86,1.01,95.04,18.76,23.25,21.2,7.42,26.59,3.81,14.42,41.14,48.75,55.84,59.7,76.88,86.95,92.56,1114
Kentucky,Harrison,"18,415",22.03,59.83,25.79,18.14,95.61,2.18,0.01,0.0,0.01,0.44,1.75,2.49,93.95,10.93,28.21,19.07,11.84,46.55,1.9,6.75,22.35,27.8,33.28,34.08,54.1,68.18,79.49,1119
Kentucky,Hart,"18,446",24.51,58.79,23.27,16.7,93.48,4.46,0.21,0.49,0.0,0.01,1.36,1.91,91.68,15.49,28.42,15.86,7.84,41.24,1.73,8.21,30.87,36.19,44.31,47.65,64.36,78.84,83.39,1121
Kentucky,Henderson,"44,298",23.17,59.38,24.19,17.45,87.15,7.27,0.21,0.34,0.03,1.27,3.73,2.6,85.82,8.67,25.68,22.13,13.05,46.17,1.85,8.05,22.3,25.57,31.83,37.04,53.42,71.36,79.89,1126
Kentucky,Henry,"15,914",23.6,59.73,24.56,16.67,92.74,2.7,0.0,0.55,0.15,1.11,2.75,3.38,91.06,10.89,29.84,19.07,8.92,43.4,2.15,7.78,22.39,27.81,36.4,39.78,60.28,74.82,83.74,1129
Kentucky,Hickman,"4,316",20.2,56.93,32.62,22.87,86.05,8.87,1.14,0.16,0.0,0.74,3.04,2.13,85.8,10.82,26.16,16.91,16.59,38.35,2.64,6.49,29.19,33.04,41.31,43.19,59.01,71.99,79.17,1130
Kentucky,Hopkins,"43,775",22.83,59.1,24.78,18.07,89.77,6.45,0.18,0.75,0.01,0.21,2.63,2.2,88.25,7.94,27.93,22.25,11.51,42.59,2.93,11.02,24.89,29.76,38.3,42.26,58.86,71.81,83.07,1136
Kentucky,Jackson,"13,225",22.25,60.42,25.69,17.33,98.02,0.22,0.0,0.0,0.0,0.0,1.76,0.2,97.89,19.51,31.73,12.26,7.17,30.5,2.05,11.67,36.55,41.02,49.47,52.12,72.67,87.86,92.88,1140
Kentucky,Jefferson,"751,526",22.1,61.88,22.71,16.02,70.2,21.97,0.14,3.02,0.07,1.14,3.46,5.74,66.54,6.27,18.2,21.52,23.93,50.92,2.83,6.31,18.08,22.06,27.63,30.27,47.31,61.96,72.44,1143
Kentucky,Jessamine,"51,643",24.66,60.1,21.53,15.24,90.51,4.39,0.12,1.53,0.01,1.14,2.3,3.62,88.56,7.87,20.79,19.12,19.87,47.03,2.47,5.11,16.15,19.6,27.54,30.01,47.34,63.07,72.72,1145
Kentucky,Johnson,"21,832",22.41,59.54,25.59,18.06,97.46,0.14,0.11,1.3,0.0,0.16,0.83,0.65,97.38,11.77,29.17,18.7,11.11,31.97,3.12,8.51,30.9,38.24,43.48,45.93,61.14,77.28,88.28,1148
Kentucky,Kenton,"164,265",23.74,62.13,20.59,14.13,89.85,4.43,0.14,1.22,0.01,1.3,3.05,3.29,88.22,6.03,18.92,20.13,23.32,52.78,2.16,5.63,15.06,18.35,23.17,25.35,42.72,58.93,70.84,1151
Kentucky,Knott,"14,301",20.5,60.86,26.84,18.64,97.73,0.66,0.15,0.17,0.0,0.36,0.91,0.81,97.37,19.87,21.66,19.39,11.28,30.39,3.42,12.88,40.7,47.05,54.97,57.99,75.32,85.3,92.52,1154
Kentucky,Knox,"30,399",23.4,59.68,23.5,16.92,96.82,0.48,0.54,0.36,0.11,0.06,1.63,1.17,96.17,15.76,26.84,14.84,10.42,31.44,1.82,17.73,42.07,46.73,53.32,56.83,72.34,83.93,90.32,1159
Kentucky,Larue,"13,903",22.07,60.9,25.5,17.03,93.71,3.4,0.14,0.44,0.0,0.81,1.5,3.19,91.07,11.27,25.77,23.01,11.07,46.11,1.13,8.76,21.52,25.3,31.82,38.67,59.33,78.11,85.67,1162
Kentucky,Laurel,"59,728",23.24,60.63,23.09,16.13,97.02,0.57,0.4,0.24,0.0,0.27,1.5,1.55,95.78,12.55,25.9,19.4,11.28,40.05,2.1,11.61,27.39,33.89,41.72,45.29,61.98,74.68,85.38,1166
Kentucky,Lawrence,"15,487",24.2,58.2,24.35,17.6,97.66,0.17,0.01,0.97,0.0,0.05,1.14,1.32,96.74,17.17,29.97,15.7,6.44,29.72,1.84,11.49,32.76,36.64,50.1,54.05,72.29,82.11,90.43,1167
Kentucky,Lee,"6,622",21.34,59.56,25.79,19.1,95.56,0.72,0.14,0.21,0.0,0.11,3.26,0.48,95.08,20.33,27.36,17.77,5.83,32.12,3.62,15.0,42.39,50.44,56.25,58.83,77.74,88.1,94.07,1171
Kentucky,Leslie,"9,631",20.64,61.46,25.48,17.9,97.19,0.0,0.0,0.3,0.0,0.0,2.51,0.04,97.14,15.54,28.97,20.72,7.06,34.64,2.08,9.63,34.69,42.52,49.1,52.64,72.9,86.83,94.73,1175
Kentucky,Letcher,"21,520",21.06,59.91,26.17,19.03,97.57,0.36,0.15,0.27,0.0,0.33,1.3,0.88,97.17,15.92,26.08,22.5,7.75,33.94,3.39,14.1,37.32,42.22,49.52,53.29,71.84,82.15,90.03,1178
Kentucky,Lewis,"13,164",22.36,59.77,24.88,17.87,97.73,0.32,0.39,0.14,0.0,0.0,1.42,0.0,97.73,15.58,30.27,18.4,6.2,30.7,2.11,14.7,36.28,48.17,54.59,55.97,72.96,82.17,87.89,1180
Kentucky,Lincoln,"24,005",23.17,58.58,24.31,18.25,94.37,2.51,0.0,0.17,0.0,0.65,2.3,1.73,94.03,13.24,29.94,17.58,8.85,41.06,3.26,6.52,27.03,32.84,43.61,46.08,64.47,79.8,90.1,1184
Kentucky,Livingston,"9,115",21.84,57.1,29.35,21.05,97.05,0.81,0.07,0.31,0.02,0.07,1.68,2.11,95.12,9.86,29.4,22.12,10.47,42.3,2.62,6.98,19.9,22.78,32.84,35.75,51.14,68.39,82.76,1187
Kentucky,Logan,"26,683",23.75,57.52,24.97,18.73,90.88,6.58,0.06,0.27,0.0,0.45,1.76,2.89,88.63,8.75,29.77,18.12,11.87,43.3,2.14,6.16,21.88,27.85,34.15,37.26,56.99,77.04,86.81,1190
Kentucky,Lyon,"6,941",16.19,53.25,40.28,30.56,93.86,3.65,0.46,0.99,0.13,0.04,0.86,1.99,91.87,6.2,29.66,26.25,14.35,42.65,1.41,4.96,15.83,20.72,29.62,35.21,51.38,60.73,73.07,1193
Kentucky,McCracken,"63,814",21.9,58.45,27.03,19.64,84.58,10.06,0.36,0.89,0.06,0.6,3.45,2.63,82.94,5.27,22.4,24.38,18.46,46.02,1.69,6.31,21.48,27.35,34.88,38.34,54.14,67.46,78.51,1196
Kentucky,McCreary,"15,834",22.93,60.35,22.35,16.72,94.61,1.57,0.42,0.97,0.08,0.0,2.35,1.36,94.49,16.79,26.33,19.0,6.47,31.03,2.6,14.53,42.5,51.03,62.3,64.77,77.95,86.45,92.81,1198
Kentucky,McLean,"9,102",23.75,57.33,26.61,18.92,96.92,1.31,0.38,0.23,0.0,0.41,0.75,1.47,95.86,7.62,28.26,23.47,10.26,41.25,2.47,6.19,18.25,21.3,30.18,34.16,49.8,67.0,77.64,1201
Kentucky,Madison,"85,541",21.87,63.77,20.66,14.36,91.73,3.9,0.39,1.02,0.29,0.61,2.06,2.53,90.09,7.67,17.16,19.2,21.08,47.5,3.06,8.11,22.2,26.16,32.08,34.2,54.53,68.2,79.69,1204
Kentucky,Magoffin,"12,193",23.18,60.26,25.23,16.56,98.46,0.0,0.09,0.39,0.0,0.03,1.03,1.13,97.79,19.34,26.41,16.67,7.32,27.98,3.88,11.37,36.56,46.19,58.21,62.61,79.29,89.34,93.19,1206
Kentucky,Marion,"18,224",25.01,58.16,23.56,16.83,90.77,6.51,0.19,0.36,0.2,0.63,1.34,2.73,88.61,10.5,28.89,17.21,9.93,41.75,3.58,8.1,27.06,31.6,40.4,42.88,62.53,74.23,85.86,1210
Kentucky,Marshall,"30,488",20.38,58.04,30.08,21.58,96.87,0.53,0.28,0.15,0.0,0.35,1.81,1.7,96.35,6.76,25.5,25.22,15.45,43.32,1.62,5.47,14.52,19.96,26.61,28.26,45.17,63.07,75.57,1213
Kentucky,Martin,"10,163",21.85,60.88,24.89,17.27,99.0,0.02,0.55,0.0,0.0,0.0,0.43,0.35,99.0,17.81,22.13,22.42,8.4,32.19,2.17,7.96,21.55,30.84,42.57,45.97,66.53,81.69,88.03,1215
Kentucky,Mason,"16,765",22.63,59.28,24.1,18.09,89.57,6.26,0.05,1.0,0.08,0.48,2.57,2.14,88.54,8.74,23.33,21.99,15.03,43.68,1.93,6.74,21.99,28.31,35.08,40.8,54.26,65.14,73.75,1217
Kentucky,Meade,"27,973",22.18,63.56,20.8,14.26,91.43,3.67,0.48,0.71,0.21,0.34,3.17,3.76,89.27,6.7,24.8,24.73,12.83,45.32,2.48,5.25,16.33,19.85,25.7,29.09,46.8,65.74,78.24,1220
Kentucky,Menifee,"6,379",21.13,58.32,28.0,20.55,97.9,0.14,0.0,0.0,0.0,0.0,1.96,2.79,95.11,18.25,30.47,14.75,8.67,35.82,1.72,5.47,27.5,34.06,44.35,45.51,63.76,83.43,91.83,1222
Kentucky,Mercer,"21,466",21.91,59.56,25.39,18.52,92.59,3.45,0.25,0.79,0.03,0.73,2.16,3.08,90.65,9.03,25.23,22.24,13.06,44.91,2.88,5.44,17.87,21.74,27.69,30.75,49.31,64.54,78.9,1225
Kentucky,Metcalfe,"9,945",23.55,58.37,25.03,18.08,95.18,2.15,0.34,0.22,0.0,0.03,2.07,1.46,94.72,14.31,27.94,18.06,9.15,41.61,1.33,9.79,27.23,35.67,47.25,49.92,64.16,82.71,88.52,1228
Kentucky,Monroe,"10,430",22.44,59.55,24.15,18.02,95.57,2.24,0.26,0.26,0.02,0.37,1.28,3.15,93.44,14.2,29.16,17.07,9.58,44.53,1.62,10.95,29.52,36.12,44.96,47.21,63.06,76.99,85.86,1230
Kentucky,Montgomery,"27,545",23.23,60.51,21.72,16.26,94.36,2.86,0.58,0.07,0.0,0.49,1.64,2.89,92.87,10.17,28.05,19.28,10.85,42.82,2.41,7.23,22.62,28.86,36.3,38.23,60.06,77.36,87.3,1233
Kentucky,Morgan,"11,599",20.17,60.84,26.62,18.99,96.9,0.43,0.44,0.66,0.43,0.49,0.65,1.61,95.28,15.53,28.88,15.67,12.46,33.42,1.92,9.47,29.26,34.74,45.18,47.05,66.14,76.86,86.71,1235
Kentucky,Muhlenberg,"30,067",20.67,60.06,26.08,19.27,92.65,3.72,0.17,1.5,0.08,0.17,1.71,1.61,92.04,12.04,29.1,19.68,9.46,40.31,2.11,6.57,19.94,27.57,35.74,38.7,56.93,74.25,85.0,1238
Kentucky,Nelson,"45,473",23.62,60.65,22.4,15.73,92.13,5.11,0.09,0.59,0.0,0.3,1.79,2.25,90.32,5.23,24.59,25.2,13.28,48.5,1.67,3.73,11.27,14.98,22.12,24.85,46.65,64.86,76.42,1243
Kentucky,Nicholas,"7,048",22.8,61.28,23.23,15.92,96.37,0.89,0.09,0.0,0.0,0.7,1.96,1.53,95.72,13.11,30.9,18.12,6.21,41.94,2.2,5.29,26.7,34.24,42.71,46.38,64.29,77.38,84.29,1246
