State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),60 years and over (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,Income below 300% poverty level,Income below 400% poverty level,Income below 500% poverty level,"FID"
Alabama,Dale,"47,697",23.35,59.66,23.23,16.99,71.98,20.8,0.87,1.2,0.0,2.13,3.03,6.48,68.77,10.01,21.33,24.93,12.53,36.23,3.59,9.28,24.24,30.55,37.51,41.7,60.62,73.28,82.72,101
Alabama,Dallas,"37,558",23.87,58.2,25.45,17.92,27.1,71.62,0.13,0.64,0.03,0.0,0.48,0.29,26.94,10.78,24.4,21.17,11.32,37.05,4.3,11.8,35.94,41.29,49.23,52.88,68.38,81.54,88.01,110
Alabama,DeKalb,"70,471",24.37,58.98,23.27,16.66,84.76,1.36,1.21,0.11,0.13,8.88,3.56,14.94,80.18,14.7,21.99,21.34,9.53,42.84,2.0,7.54,28.61,35.43,43.82,47.04,65.67,79.44,88.56,112
Alabama,Elmore,"76,834",23.48,60.6,22.13,15.92,76.66,19.39,0.21,0.97,0.0,0.74,2.02,3.04,74.82,7.24,21.13,21.09,18.77,45.47,1.93,4.0,14.77,17.97,24.69,26.33,42.82,59.8,72.79,118
Alabama,Escambia,"33,720",24.28,56.7,25.81,19.02,64.25,29.33,4.13,0.27,0.13,0.41,1.5,2.37,62.38,11.12,29.14,18.12,9.44,37.2,4.17,13.08,31.9,37.34,46.69,49.81,67.24,81.39,88.73,122
Alabama,Etowah,"101,456",21.4,59.86,25.6,18.74,79.35,15.87,0.52,0.78,0.0,1.27,2.21,4.11,77.78,10.29,23.5,24.17,12.51,42.31,2.56,6.49,21.94,26.35,34.34,37.45,57.34,73.83,82.99,131
Alabama,Fayette,"16,106",21.13,58.11,28.6,20.75,84.84,12.11,0.0,0.61,0.0,0.01,2.43,0.5,84.51,11.14,30.26,20.53,8.78,39.82,3.45,9.25,25.26,32.75,41.3,43.62,62.85,76.86,87.18,134
Alabama,Franklin,"31,163",24.53,59.13,22.98,16.34,82.45,3.91,1.04,0.88,0.02,9.97,1.73,17.69,76.34,14.18,26.19,16.53,10.14,41.78,2.12,7.43,26.56,33.25,39.99,44.9,65.19,77.68,87.19,138
Alabama,Geneva,"26,082",21.95,58.02,26.69,20.03,86.04,10.02,1.2,0.16,0.04,1.02,1.52,4.12,83.27,12.62,25.59,23.22,9.37,40.93,1.55,5.74,27.8,33.93,39.63,42.35,63.23,76.21,85.78,140
Alabama,Greene,"8,132",21.29,56.68,31.51,22.04,17.31,78.97,0.47,0.0,0.0,0.48,2.77,2.72,17.17,13.53,27.88,21.68,7.18,29.53,4.28,16.34,47.12,51.23,58.03,59.59,72.22,86.26,91.72,148
Alabama,Hale,"14,512",23.23,57.95,25.08,18.83,38.04,59.47,0.0,0.19,0.0,0.1,2.18,0.07,38.04,12.75,25.3,19.04,10.66,36.26,3.64,7.74,31.19,37.39,48.39,50.18,65.6,74.61,87.73,150
Alabama,Henry,"16,619",20.15,57.9,28.74,21.94,70.06,26.52,0.2,0.44,0.22,0.87,1.68,2.5,69.37,13.32,23.24,21.36,13.85,41.84,2.41,5.37,19.95,25.9,32.58,38.02,54.67,66.97,79.06,158
Alabama,Houston,"104,205",22.95,59.4,23.99,17.65,68.27,27.2,0.28,0.96,0.02,0.65,2.62,3.39,65.87,8.99,21.74,23.11,15.44,42.78,2.54,7.37,22.77,28.28,35.42,38.06,55.34,68.71,78.9,160
Alabama,Jackson,"51,195",21.04,59.15,27.57,19.81,91.29,3.57,1.09,0.43,0.07,0.86,2.7,2.97,89.34,11.62,28.02,20.23,11.7,38.57,2.11,5.75,25.15,30.61,40.74,43.34,62.6,76.8,84.91,164
