PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
WA5305687,Lattins Country Cider Mill & Farm,Region 10,Washington,Transient non-community system,61,,Thurston,1,9,2
WA5305704,WAYSIDE VILLAGE,Region 10,Washington,Community water system,60,,Thurston,2,15,2
WA5305721,WEYERHAEUSER FORESTRY NURSERY,Region 10,Washington,Transient non-community system,156,,Thurston,2,6,2
WA5305738,WEBB HILL,Region 10,Washington,Transient non-community system,45,,Mason,1,4,2
WA5305742,STRETCH ISLAND FRUIT,Region 10,Washington,Non-Transient non-community system,70,,Mason,1,23,2
WA5305754,UPPER BAKER,Region 10,Washington,Transient non-community system,180,,Whatcom,3,4,2
WA5305783,QUIMPER,Region 10,Washington,Community water system,10242,,Jefferson,27,171,2
WA5305792,OUTBACK RV PARK,Region 10,Washington,Transient non-community system,114,,Thurston,1,3,2
WA5305795,COMBINED WATER SYSTEM,Region 10,Washington,Community water system,435,,Island,8,45,2
WA5305796,WSP KENNEWICK DETACHMENT,Region 10,Washington,Transient non-community system,34,,Benton,2,15,2
WA5305797,ELM GROVE RV PARK,Region 10,Washington,Transient non-community system,148,,Benton,3,16,1
WA5305800,BENTON CITY WATER,Region 10,Washington,Community water system,5105,,Benton,8,32,2
WA5307813,STEVENS CO PUD - RIVER PARK ESTATES,Region 10,Washington,Community water system,66,,Spokane,3,33,2
WA5307816,MOA TEL,Region 10,Washington,Community water system,73,,Jefferson,2,5,3
WA5307850,BOSTON HARBOR,Region 10,Washington,Community water system,1147,,Thurston,9,23,2
WA5307870,P AND G ORCHARDS CAMP 2,Region 10,Washington,Community water system,489,,Okanogan,2,93,2
WA5307871,P AND G ORCHARDS CAMP 3,Region 10,Washington,Transient non-community system,152,,Okanogan,1,5,2
WA53AC135,Kershaw Fruit & Cold Storage,Region 10,Washington,Non-Transient non-community system,25,,Yakima,1,2,1
WA53AD045,HIGHWAY 28 ORCHARD FARMWORKER,Region 10,Washington,Transient non-community system,25,,Grant,1,0,1
WA53AD059,KDS Orchards Farmworker Housing,Region 10,Washington,Transient non-community system,25,,Grant,2,1,1
WA5301736,FERN BLUFF ESTATES,Region 10,Washington,Community water system,30,,Snohomish,2,18,2
WA5328190,PORT OF WILLAPA HARBOR TOKELAND,Region 10,Washington,Transient non-community system,184,,Pacific,3,9,1
