PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population<br> Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NE3109501,"REYNOLDS, VILLAGE OF",Region 7,Nebraska,Community water system,75,REYNOLDS,Jefferson,3,9,9
NE3103503,"FAIRFIELD, CITY OF",Region 7,Nebraska,Community water system,387,FAIRFIELD,Clay,7,7,12
NE3101910,"SHELTON, VILLAGE OF",Region 7,Nebraska,Community water system,1059,SHELTON,Buffalo,17,10,42
NE3121408,KZCO,Region 7,Nebraska,Non-Transient non-community system,75,GREENWOOD,Cass,2,0,2
NE3150668,ARROWHEAD LODGE,Region 7,Nebraska,Transient non-community system,27,THEDFORD,Thomas,5,18,16
NE3104109,"MASON CITY, VILLAGE OF",Region 7,Nebraska,Community water system,171,MASON CITY (RR NAME MASON),Custer,10,17,31
NE3118704,"BRADSHAW, VILLAGE OF",Region 7,Nebraska,Community water system,330,BRADSHAW,York,9,29,12
NE3113111,"DUNBAR, VILLAGE OF",Region 7,Nebraska,Community water system,270,DUNBAR,Otoe,7,13,10
NE3102702,"HARTINGTON, CITY OF",Region 7,Nebraska,Community water system,1554,HARTINGTON,Cedar,10,7,16
NE3120732,SCENIC KNOLLS CLUBHOUSE,Region 7,Nebraska,Transient non-community system,600,MITCHELL,Scotts Bluff,4,24,9
NE3115902,"GOEHNER, VILLAGE OF",Region 7,Nebraska,Community water system,185,GOEHNER,Seward,6,14,6
NE3106708,"ODELL, VILLAGE OF",Region 7,Nebraska,Community water system,360,ODELL,Gage,7,15,8
NE3150690,PIBEL LAKE RECREATION AREA,Region 7,Nebraska,Transient non-community system,200,BARTLETT,Wheeler,4,2,8
NE3120792,DAVIS CREEK RECREATION AREA,Region 7,Nebraska,Transient non-community system,26,ORD,Valley,4,5,7
NE3150459,LAKE MALONEY SRA - NG & PC (SEASONAL),Region 7,Nebraska,Transient non-community system,25,NORTH PLATTE,Lincoln,18,6,4
NE3121458,SUZANNE & WALTER SCOTT FOUNDATION,Region 7,Nebraska,Non-Transient non-community system,40,OMAHA,Douglas,5,0,2
NE3150456,SUTHERLAND SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,SUTHERLAND,Lincoln,13,4,5
NE3120999,RIDGEVIEW COUNTRY CLUB,Region 7,Nebraska,Transient non-community system,300,CHADRON,Dawes,3,0,11
NE3150449,MARANATHA BIBLE CAMP,Region 7,Nebraska,Transient non-community system,25,MAXWELL,Lincoln,11,0,8
NE3190019,OGALLALA EASTBOUND REST AREA,Region 7,Nebraska,Transient non-community system,100,OGALLALA,Keith,7,2,9
NE3190018,OGALLALA WESTBOUND REST AREA,Region 7,Nebraska,Transient non-community system,100,OGALLALA,Keith,5,5,13
NE3120018,1733 ESTATES ASSOCIATES,Region 7,Nebraska,Community water system,90,KEARNEY,Buffalo,7,5,13
NE3101104,"PETERSBURG, VILLAGE OF",Region 7,Nebraska,Community water system,333,PETERSBURG,Boone,5,9,37
NE3121493,WEILAND INC,Region 7,Nebraska,Transient non-community system,25,NORFOLK,Madison,2,0,1
NE3150273,ASH HOLLOW SHP - NG & PC,Region 7,Nebraska,Transient non-community system,251,LEWELLEN,Garden,9,4,13
NE3115711,NORTH SIDE MOBILE HOME RANCH,Region 7,Nebraska,Community water system,200,SCOTTSBLUFF,Scotts Bluff,8,19,21
NE3150384,LEWIS & CLARK SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,BLOOMFIELD,Knox,20,5,12
NE3121491,LAZY D RESTAURANT & LOUNGE,Region 7,Nebraska,Transient non-community system,25,TAYLOR,Loup,3,1,2
NE3111102,"BRADY, VILLAGE OF",Region 7,Nebraska,Community water system,428,BRADY,Lincoln,5,14,16
NE3111917,"MEADOW GROVE, VILLAGE OF",Region 7,Nebraska,Community water system,301,MEADOW GROVE,Madison,7,14,21
NE3121450,LAKE MALONEY SRA - NG&PC (NON SEASONAL),Region 7,Nebraska,Transient non-community system,25,NORTH PLATTE,Lincoln,3,1,1
NE3104701,"COZAD, CITY OF",Region 7,Nebraska,Community water system,3977,COZAD,Dawson,17,5,29
NE3120967,THE 4 SEASONS RV PARK,Region 7,Nebraska,Transient non-community system,25,ELM CREEK,Buffalo,6,8,12
NE3121363,MEADOWBROOK ESTATES WATER SYSTEM,Region 7,Nebraska,Community water system,675,OMAHA,Douglas,2,0,3
NE3116901,"HEBRON, CITY OF",Region 7,Nebraska,Community water system,1565,HEBRON,Thayer,7,8,7
NE3150642,SHERMAN RESERVOIR SRA - NG & PC,Region 7,Nebraska,Transient non-community system,200,LOUP CITY,Sherman,29,11,7
NE3100301,"TILDEN, CITY OF",Region 7,Nebraska,Community water system,951,TILDEN,Madison,7,14,19
NE3112709,"JULIAN, VILLAGE OF",Region 7,Nebraska,Community water system,71,JULIAN,Nemaha,4,7,8
NE3121208,CAMP MOSES MERRILL,Region 7,Nebraska,Transient non-community system,100,LINWOOD,Saunders,7,6,7
NE3120035,CASS CO SID 5 - BUCCANEER BAY,Region 7,Nebraska,Community water system,1417,PLATTSMOUTH,Cass,12,6,14
NE3150627,SPEEDEE MART #2737,Region 7,Nebraska,Transient non-community system,25,,Seward,3,6,6
NE3121298,SPEEDEE MART 2875,Region 7,Nebraska,Transient non-community system,25,MILFORD,Seward,6,5,7
NE3121481,K & K MANUFACTURED HOME COMMUNITY,Region 7,Nebraska,Community water system,180,HASTINGS,Adams,2,0,1
NE3121478,NEBRASKAN MANUFACTURED HOME COMMUNITY,Region 7,Nebraska,Community water system,108,HASTINGS,Adams,2,0,1
NE3190033,YORK WESTBOUND REST AREA,Region 7,Nebraska,Transient non-community system,25,,York,4,6,6
NE3190032,YORK EASTBOUND REST AREA,Region 7,Nebraska,Transient non-community system,25,YORK,York,6,3,5
NE3103101,"CODY, VILLAGE OF",Region 7,Nebraska,Community water system,149,CODY,Cherry,6,14,23
NE3120301,THURSTON CO RURAL WATER,Region 7,Nebraska,Community water system,422,PENDER,Thurston,5,1,14
NE3120302,DAKOTA CO RURAL WATER,Region 7,Nebraska,Community water system,1998,DAKOTA CITY,Dakota,8,2,12
NE3121294,THE PRAIRIE CLUB LLC,Region 7,Nebraska,Transient non-community system,25,VALENTINE,Cherry,4,19,11
NE3107308,"ELWOOD, VILLAGE OF",Region 7,Nebraska,Community water system,750,ELWOOD,Gosper,5,12,19
NE3118706,"YORK, CITY OF",Region 7,Nebraska,Community water system,7860,YORK,York,30,13,17
NE3118707,NEBRASKA CENTER FOR WOMEN,Region 7,Nebraska,Community water system,400,YORK,York,8,24,7
NE3118302,"BLUE HILL, CITY OF",Region 7,Nebraska,Community water system,941,BLUE HILL,Webster,12,4,22
NE3120021,SANDY POINT ASSOCIATION,Region 7,Nebraska,Transient non-community system,48,ELWOOD,Gosper,5,3,9
NE3114301,"POLK, VILLAGE OF",Region 7,Nebraska,Community water system,326,POLK,Polk,6,27,14
NE3103102,"CROOKSTON, VILLAGE OF",Region 7,Nebraska,Community water system,69,CROOKSTON,Cherry,5,45,25
NE3103703,"CLARKSON, CITY OF",Region 7,Nebraska,Community water system,658,CLARKSON,Colfax,7,14,21
NE3104708,"LEXINGTON, CITY OF",Region 7,Nebraska,Community water system,10230,LEXINGTON,Dawson,24,15,26
NE3106504,"CAMBRIDGE, CITY OF",Region 7,Nebraska,Community water system,1063,CAMBRIDGE,Furnas,6,28,42
NE3115515,"YUTAN, CITY OF",Region 7,Nebraska,Community water system,1261,YUTAN,Saunders,6,8,11
