State,designatedArea,disasterType,Freq,FEMA_Object_ID
North Carolina,Buncombe,Fire,1,2244
Tennessee,Hamilton,Fire,2,2124
Tennessee,Sequatchie,Fire,1,2147
Kentucky,Breathitt,Fire,1,2216
North Carolina,Burke,Fire,1,2245
South Carolina,Greenville,Fire,1,2284
North Carolina,Rutherford,Fire,1,2263
Tennessee,Blount,Fire,1,2110
South Carolina,Pickens,Fire,1,2295
Georgia,Dade,Fire,1,2006
North Carolina,Henderson,Fire,1,2253
Kentucky,Harlan,Fire,1,2222
Kentucky,Knox,Fire,1,2225
Kentucky,Pike,Fire,1,2236
Kentucky,Letcher,Fire,1,2229
Kansas,McPherson,Fire,1,588
Kansas,Reno,Fire,1,609
Kansas,Rice,Fire,1,611
Oklahoma,Wagoner,Fire,1,872
Kansas,Ellsworth,Fire,1,558
Kansas,Clark,Fire,1,544
Kansas,Russell,Fire,1,615
Oklahoma,Beaver,Fire,2,803
Kansas,Ness,Fire,1,599
Florida,Polk,Fire,1,1318
Kansas,Rooks,Fire,1,613
Kansas,Ford,Fire,1,560
Oklahoma,Ellis,Fire,2,822
Georgia,Clinch,Fire,1,1346
Georgia,Charlton,Fire,1,1343
Oklahoma,Harper,Fire,1,829
Oklahoma,Woods,Fire,1,875
Florida,Collier,Fire,2,1279
Florida,Lee,Fire,1,1303
Georgia,Ware,Fire,1,1379
Kansas,Lincoln,Fire,1,584
Utah,Iron,Fire,1,251
Arizona,Cochise,Fire,1,132
Nevada,Elko,Fire,1,212
Montana,Garfield,Fire,2,1113
Montana,Petroleum,Fire,1,1131
Oregon,Curry,Fire,1,85
Utah,Davis,Fire,2,246
Utah,Weber,Fire,1,269
Montana,Powell,Fire,1,1135
Montana,Lincoln,Fire,2,1123
Montana,Pondera,Fire,1,1133
Montana,Teton,Fire,1,1146
Montana,Sanders,Fire,2,1141
Oklahoma,Pottawatomie,Fire,1,862
Texas,Jones,Fire,1,979
New Mexico,Colfax,Fire,1,781
Texas,Gray,Fire,1,959
Nevada,Lyon,Fire,1,218
Colorado,Costilla,Fire,1,450
Utah,Wasatch,Fire,1,266
Utah,Duchesne,Fire,1,247
Colorado,Eagle,Fire,2,455
Oregon,Sherman,Fire,1,101
Texas,Brown,Fire,1,299
Idaho,Clark,Fire,1,190
Texas,Burnet,Fire,1,301
South Dakota,Fall River,Fire,1,889
Wyoming,Sublette,Fire,1,277
New Mexico,Valencia,Fire,1,237
Alaska,Fairbanks North Star,Fire,1,8
Texas,Hardeman,Fire,1,965
Hawaii,Maui,Fire,1,78
Florida,Santa Rosa,Fire,1,1321
Florida,Walton,Fire,1,1330
Arizona,Gila,Fire,3,134
Arizona,Maricopa,Fire,5,138
Arizona,Pima,Fire,1,141
Montana,Yellowstone,Fire,3,1152
Montana,Stillwater,Fire,1,1144
Colorado,Garfield,Fire,2,163
Colorado,Mesa,Fire,1,167
Wyoming,Carbon,Fire,2,271
Montana,Gallatin,Fire,1,1112
Montana,Custer,Fire,1,1105
Washington,Thurston,Fire,1,127
Washington,Pierce,Fire,1,122
South Dakota,Pennington,Fire,1,911
Utah,San Juan,Fire,1,259
Utah,Garfield,Fire,1,249
Colorado,Boulder,Fire,1,444
Montana,Carbon,Fire,1,1101
Montana,Big Horn,Fire,1,1098
Hawaii,Hawaii,Fire,1,74
