State,County,Total Households,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,Total Vehicles,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,"FID"
Iowa,Pottawattamie,36875,1.58,2.06,13.3,18.21,22.33,15.91,26.62,36875,6.49,32.01,36.73,24.76,637
Iowa,Poweshiek,7827,1.89,3.14,9.05,21.31,23.76,15.5,25.35,7827,6.31,30.04,36.09,27.56,640
Iowa,Ringgold,1843,0.6,3.42,11.72,16.06,20.89,12.15,35.16,1843,4.77,25.72,33.04,36.46,642
Iowa,Sac,4344,0.51,1.2,4.03,8.98,25.76,20.3,39.23,4344,2.46,27.81,36.9,32.83,647
Iowa,Scott,67437,2.55,3.33,10.82,18.58,30.81,15.18,18.72,67437,5.78,32.81,40.69,20.71,657
Iowa,Shelby,5066,0.14,1.32,5.41,12.57,25.94,18.06,36.56,5066,4.5,27.81,33.79,33.89,660
Iowa,Sioux,12379,2.88,3.85,12.15,18.1,25.5,14.16,23.35,12379,3.3,23.19,43.35,30.16,663
Iowa,Story,37997,6.34,4.08,13.96,25.82,26.29,9.54,13.98,37997,7.15,33.77,36.36,22.72,668
Iowa,Tama,6736,1.65,1.57,7.7,13.88,20.06,15.28,39.86,6736,3.7,26.31,37.23,32.76,671
Iowa,Taylor,2567,0.74,2.3,6.47,12.43,20.96,16.21,40.9,2567,3.27,24.93,33.93,37.87,674
Iowa,Union,5199,1.48,1.29,8.41,15.29,24.75,13.0,35.78,5199,5.96,26.01,35.64,32.39,675
Iowa,Van Buren,2969,1.62,2.86,11.05,22.16,20.04,7.68,34.59,2969,6.37,22.9,36.01,34.73,678
Iowa,Wapello,14404,0.25,0.83,6.21,15.2,23.94,23.38,30.19,14404,8.52,29.33,35.95,26.21,681
Iowa,Warren,19320,6.34,3.91,21.4,19.04,28.36,9.53,11.42,19320,3.2,23.21,39.91,33.68,685
Iowa,Washington,8876,1.27,1.1,12.34,16.48,22.27,11.5,35.03,8876,4.16,26.96,38.42,30.46,687
Iowa,Wayne,2620,4.39,3.82,6.45,12.79,25.53,14.73,32.29,2620,7.52,21.22,36.41,34.85,691
Iowa,Webster,15605,1.36,1.42,5.5,11.62,25.79,22.57,31.73,15605,7.31,32.82,36.65,23.22,694
Iowa,Winnebago,4533,0.68,0.53,6.99,10.57,35.83,19.04,26.36,4533,3.04,35.98,36.22,24.75,696
Iowa,Winneshiek,8265,2.57,1.4,10.72,19.93,15.49,13.37,36.53,8265,4.22,27.27,36.32,32.18,698
Iowa,Woodbury,39523,1.95,1.32,5.91,14.96,22.24,22.6,31.02,39523,6.49,30.34,37.59,25.57,702
Iowa,Worth,3199,0.44,0.84,4.25,11.57,23.41,19.79,39.7,3199,3.63,22.82,35.48,38.07,703
Iowa,Wright,5582,0.97,0.91,6.13,11.23,24.01,21.64,35.11,5582,7.83,27.27,42.46,22.45,705
Kansas,Allen,5125,1.97,0.86,5.74,23.22,26.65,15.4,26.17,5125,6.73,29.72,33.68,29.87,709
Kansas,Anderson,3154,1.59,1.78,5.9,24.38,21.81,15.6,28.95,3154,3.96,26.32,34.69,35.03,712
Kansas,Atchison,6039,0.53,1.19,7.98,19.18,23.89,12.24,34.99,6039,8.31,26.18,36.03,29.48,715
Kansas,Barber,1931,4.87,1.45,4.45,10.46,19.11,29.31,30.35,1931,6.21,26.51,35.27,32.0,717
Kansas,Barton,10628,2.62,0.94,4.11,11.7,28.17,29.06,23.41,10628,6.62,30.06,39.46,23.85,719
Kansas,Bourbon,5921,1.0,1.64,7.82,22.63,19.19,19.69,28.04,5921,4.66,25.37,36.63,33.34,722
Kansas,Brown,3757,0.29,3.49,4.9,14.96,25.87,16.9,33.59,3757,4.42,29.62,35.11,30.85,723
Kansas,Butler,24833,2.65,3.37,11.85,33.19,19.56,16.59,12.8,24833,4.92,21.15,38.31,35.62,726
Kansas,Chase,1082,1.48,2.31,4.53,18.39,22.37,17.56,33.36,1082,5.18,24.58,28.37,41.87,729
Kansas,Chautauqua,1418,1.69,0.99,5.08,23.91,20.52,13.4,34.41,1418,6.91,27.29,31.95,33.85,730
Kansas,Cherokee,7954,1.68,3.37,9.42,25.08,23.91,13.96,22.58,7954,9.78,28.9,33.44,27.87,732
Kansas,Cheyenne,1263,0.48,0.63,5.62,9.58,25.1,25.49,33.1,1263,4.99,27.16,35.31,32.54,736
Kansas,Clark,890,3.03,0.0,6.85,15.73,15.51,25.17,33.71,890,2.7,28.09,36.4,32.81,738
Kansas,Clay,3741,1.39,0.08,4.46,14.35,21.68,13.85,44.19,3741,5.13,27.51,38.17,29.19,739
Kansas,Cloud,3641,0.22,0.8,2.09,10.3,23.76,19.31,43.53,3641,4.17,29.61,33.34,32.88,740
Kansas,Coffey,3648,3.21,3.32,10.09,20.64,25.11,10.36,27.28,3648,4.41,22.15,32.68,40.76,745
Kansas,Comanche,818,0.0,0.73,6.36,10.27,14.43,22.49,45.72,818,3.06,38.14,27.26,31.54,748
Kansas,Cowley,13800,0.83,0.78,6.15,19.0,24.54,20.83,27.87,13800,5.81,30.75,32.28,31.15,752
Kansas,Crawford,15603,1.99,1.46,10.74,23.39,24.8,15.84,21.77,15603,9.93,31.38,33.95,24.74,756
Kansas,Decatur,1414,0.85,0.5,3.11,15.49,24.54,22.07,33.45,1414,4.17,31.33,34.58,29.92,759
Kansas,Dickinson,7933,0.54,1.56,7.89,13.25,22.37,18.82,35.56,7933,4.9,27.51,35.61,31.98,762
Kansas,Doniphan,3003,1.1,2.3,8.66,21.38,19.31,12.72,34.53,3003,4.53,30.4,33.63,31.44,765
Kansas,Douglas,47972,4.18,3.55,18.27,32.86,23.75,7.82,9.57,47972,4.35,33.55,39.57,22.52,767
Kansas,Edwards,1285,0.0,2.65,2.49,8.56,21.56,26.54,38.21,1285,2.65,26.61,40.39,30.35,770
Kansas,Elk,1150,0.17,1.91,8.43,13.65,24.52,19.22,32.09,1150,6.61,28.17,32.52,32.7,773
Kansas,Ellis,11686,1.96,2.19,9.72,23.49,35.7,18.19,8.75,11686,4.64,30.04,35.62,29.7,774
Kansas,Ellsworth,2390,1.0,1.17,4.52,19.87,19.92,14.18,39.33,2390,4.31,27.07,34.98,33.64,776
Kansas,Finney,12494,1.84,2.5,6.39,30.22,39.67,11.1,8.28,12494,5.62,27.02,32.76,34.6,778
Kansas,Ford,11237,1.34,1.79,5.2,21.07,30.22,25.34,15.04,11237,4.91,26.75,42.31,26.03,784
Kansas,Franklin,10190,0.42,0.45,16.7,22.49,22.27,17.85,19.81,10190,3.67,26.33,35.03,34.97,786
Kansas,Geary,12866,2.84,11.81,19.58,23.7,18.13,10.31,13.63,12866,4.61,31.45,43.5,20.43,788
Kansas,Gove,1260,0.56,0.4,4.05,16.35,32.78,23.41,22.46,1260,1.43,27.7,34.6,36.27,790
Kansas,Graham,1252,0.0,0.0,2.48,14.86,26.04,31.71,24.92,1252,3.67,31.39,39.3,25.64,791
Kansas,Grant,2561,3.51,0.16,4.49,37.6,33.66,17.84,2.73,2561,2.07,37.56,26.55,33.81,794
Kansas,Gray,2150,2.79,1.53,7.58,20.7,30.47,18.65,18.28,2150,1.02,20.51,38.28,40.19,798
Kansas,Greeley,491,2.85,6.31,2.85,16.29,26.48,25.46,19.76,491,4.07,27.29,37.27,31.36,801
Kansas,Greenwood,2695,1.37,1.6,6.53,17.07,20.15,19.44,33.84,2695,5.71,26.09,32.95,35.25,803
Kansas,Hamilton,818,0.0,0.0,1.83,16.5,35.45,26.77,19.44,818,2.32,31.17,35.7,30.81,805
Kansas,Harper,2367,0.08,3.08,3.13,16.81,21.67,22.98,32.23,2367,2.49,28.64,39.46,29.4,807
Kansas,Harvey,13396,0.93,0.51,11.26,20.97,26.66,20.77,18.92,13396,7.13,23.68,39.83,29.37,812
Kansas,Haskell,1401,0.86,2.71,6.92,26.34,34.69,15.85,12.63,1401,1.36,25.34,39.54,33.76,815
Kansas,Hodgeman,790,0.0,1.14,4.18,16.71,24.18,24.3,29.49,790,1.39,13.42,40.63,44.56,818
Kansas,Jackson,5429,0.96,1.46,15.34,27.17,22.32,10.89,21.86,5429,4.13,22.55,36.53,36.8,819
Kansas,Jefferson,7619,3.7,0.89,12.26,26.34,30.52,7.8,18.49,7619,2.84,18.03,35.87,43.26,821
Kansas,Jewell,1386,0.72,2.31,3.1,12.12,19.41,18.54,43.8,1386,4.76,24.1,39.97,31.17,822
Kansas,Johnson,233599,4.69,3.46,15.92,36.14,24.37,12.45,2.99,233599,3.07,28.45,45.27,23.2,824
Kansas,Kearny,1270,1.5,0.0,6.46,28.19,28.19,24.72,10.94,1270,1.1,27.4,47.24,24.25,826
Kansas,Kingman,3253,1.26,1.32,7.99,19.7,20.84,20.69,28.19,3253,3.1,28.37,36.46,32.06,827
Kansas,Kiowa,975,1.44,2.46,26.05,10.36,20.82,19.18,19.69,975,4.31,26.67,36.62,32.41,829
Kansas,Labette,8270,1.41,1.85,6.96,17.94,23.25,22.58,26.0,8270,6.01,28.78,34.27,30.94,831
Kansas,Lane,737,0.27,0.27,2.04,18.05,30.12,27.95,21.3,737,2.71,20.76,41.11,35.41,833
Kansas,Leavenworth,27645,2.15,3.2,18.82,26.55,22.29,10.65,16.34,27645,4.07,25.74,40.48,29.71,836
Kansas,Lincoln,1305,0.31,0.15,3.83,13.33,18.77,8.66,54.94,1305,3.45,21.15,35.86,39.54,838
Kansas,Linn,4509,1.46,1.46,18.23,31.69,24.0,6.37,16.79,4509,3.48,24.86,31.18,40.47,840
Kansas,Logan,1144,2.62,2.27,2.97,11.63,35.23,24.13,21.15,1144,2.27,24.65,42.31,30.77,842
Kansas,Lyon,13561,1.91,1.86,4.76,20.04,32.18,12.16,27.09,13561,5.85,27.45,41.38,25.33,844
Kansas,McPherson,12479,4.62,1.46,8.25,21.79,27.54,13.49,22.85,12479,4.01,27.33,40.09,28.56,846
Kansas,Marion,4838,0.62,1.05,6.88,16.58,24.41,19.08,31.38,4838,3.89,24.89,36.03,35.2,848
Kansas,Marshall,4128,1.38,2.47,4.92,13.4,23.09,19.14,35.61,4128,4.19,27.86,32.24,35.71,850
Kansas,Meade,1715,0.82,1.81,4.72,12.42,31.31,21.4,27.52,1715,2.45,29.39,35.39,32.77,851
Kansas,Miami,13000,1.34,1.88,20.52,27.82,19.28,12.01,17.15,13000,3.37,21.05,36.55,39.04,853
Kansas,Mitchell,2593,2.51,3.2,4.32,12.03,18.28,23.02,36.64,2593,3.74,23.99,41.69,30.58,854
Kansas,Montgomery,13767,0.71,1.35,5.78,19.6,22.79,19.13,30.63,13767,8.59,32.54,33.75,25.12,856
Kansas,Morris,2344,2.05,1.58,6.19,18.9,18.05,16.04,37.2,2344,4.99,20.14,40.7,34.17,858
Kansas,Morton,1036,0.0,0.0,4.63,20.46,37.26,22.2,15.44,1036,4.44,29.83,31.66,34.07,859
Kansas,Nemaha,4069,1.57,2.48,11.43,22.93,21.43,13.54,26.62,4069,4.55,24.94,32.22,38.29,861
Kansas,Neosho,6462,1.67,2.41,9.73,13.08,22.19,22.11,28.8,6462,5.29,32.47,35.86,26.39,862
Kansas,Ness,1260,0.0,1.03,0.87,13.73,29.29,24.52,30.56,1260,1.83,22.06,38.73,37.38,864
Kansas,Norton,1865,1.07,0.0,1.39,18.82,20.54,25.84,32.33,1865,2.84,27.72,33.51,35.92,866
Kansas,Osage,6624,0.8,1.43,11.07,25.45,27.9,9.54,23.81,6624,2.55,24.59,37.09,35.76,867
Kansas,Osborne,1687,0.0,0.47,2.79,9.01,22.7,25.37,39.66,1687,4.15,28.99,36.75,30.11,869
Kansas,Ottawa,2433,0.82,2.26,8.88,17.14,21.33,9.78,39.79,2433,1.97,25.4,33.74,38.88,870
Kansas,Pawnee,2447,0.61,0.78,12.79,8.01,18.1,30.69,29.02,2447,3.72,33.51,35.31,27.46,872
Kansas,Phillips,2406,1.62,0.54,2.24,11.55,37.7,19.49,26.85,2406,5.53,25.89,36.41,32.17,873
Kansas,Pottawatomie,8883,7.18,6.28,14.93,25.27,20.2,11.94,14.2,8883,2.51,21.81,39.13,36.55,876
Kansas,Pratt,3733,0.86,1.79,3.38,12.22,23.14,29.31,29.31,3733,3.67,28.48,36.06,31.8,878
Kansas,Rawlins,1169,4.11,0.0,2.22,13.43,21.98,22.16,36.1,1169,6.76,17.02,33.62,42.6,880
Kansas,Reno,24970,1.56,1.17,6.88,16.43,28.51,23.27,22.18,24970,5.47,31.5,34.79,28.24,882
Kansas,Republic,2176,1.52,3.12,2.34,13.1,17.65,22.93,39.34,2176,4.92,26.24,39.8,29.04,884
Kansas,Rice,3939,1.8,2.34,2.26,8.23,22.72,32.22,30.44,3939,4.19,30.67,34.35,30.79,886
Kansas,Riley,26878,5.57,7.38,13.78,29.05,23.62,12.82,7.78,26878,6.25,34.39,39.72,19.64,888
Kansas,Rooks,2167,0.42,1.34,3.46,12.55,22.66,35.35,24.23,2167,3.97,25.24,34.93,35.86,889
Kansas,Rush,1448,0.0,0.48,3.52,9.6,26.45,26.45,33.49,1448,3.38,34.32,32.39,29.9,891
Kansas,Russell,3005,0.13,1.26,2.16,10.05,26.52,28.45,31.41,3005,3.83,26.39,44.26,25.52,893
Kansas,Saline,22251,1.29,2.06,5.37,21.47,29.13,25.89,14.8,22251,8.57,33.32,35.93,22.19,895
Kansas,Scott,2062,3.01,1.55,4.7,20.22,25.46,32.06,13.0,2062,1.16,26.82,41.85,30.16,897
Kansas,Sedgwick,199320,3.35,2.59,12.06,27.25,21.86,24.38,8.52,199320,6.13,32.81,37.01,24.05,898
Kansas,Seward,7183,5.65,0.17,4.58,21.36,40.61,23.32,4.32,7183,7.53,31.71,37.69,23.07,900
Kansas,Shawnee,72962,0.91,1.2,9.34,23.06,31.99,18.32,15.18,72962,7.26,34.3,37.53,20.91,902
Kansas,Sheridan,1080,0.56,0.93,5.65,11.3,37.13,21.3,23.15,1080,4.07,24.07,29.54,42.31,904
Kansas,Sherman,2569,1.52,1.4,3.5,15.84,51.23,10.28,16.23,2569,3.19,25.92,34.92,35.97,907
Kansas,Smith,1664,0.36,0.36,5.23,11.18,29.63,15.56,37.68,1664,4.03,23.44,32.63,39.9,909
Kansas,Stafford,1758,0.11,0.06,2.84,12.17,23.27,25.03,36.52,1758,2.62,23.83,37.83,35.72,911
Kansas,Stanton,850,0.0,2.12,12.24,26.47,29.53,17.53,12.12,850,3.29,19.29,46.0,31.41,913
Kansas,Stevens,1770,1.19,3.22,2.6,22.32,33.79,25.71,11.19,1770,6.33,21.47,41.19,31.02,914
Kansas,Sumner,9462,1.89,0.59,8.19,20.77,21.35,17.59,29.62,9462,4.59,26.69,33.06,35.67,916
Kansas,Thomas,3294,1.21,0.36,3.4,14.42,43.78,22.77,14.06,3294,3.61,16.51,52.82,27.05,917
Kansas,Trego,1353,1.11,0.37,1.55,13.53,31.19,27.79,24.46,1353,0.74,26.31,35.25,37.69,919
Kansas,Wabaunsee,2722,0.88,1.76,13.15,19.84,20.43,7.6,36.33,2722,3.05,17.89,37.44,41.62,920
Kansas,Wallace,651,0.77,2.76,2.3,13.82,28.42,20.74,31.18,651,2.76,18.74,31.8,46.7,921
Kansas,Washington,2412,0.12,1.66,6.55,8.87,26.04,20.56,36.19,2412,2.65,28.03,37.48,31.84,922
Kansas,Wichita,935,0.21,1.18,1.39,20.43,43.96,21.71,11.12,935,4.71,18.07,43.96,33.26,923
Kansas,Wilson,3627,0.44,3.42,6.73,18.2,22.58,18.2,30.44,3627,5.79,30.33,30.85,33.03,925
Kansas,Woodson,1390,1.87,1.22,4.53,13.67,19.14,22.16,37.41,1390,5.97,25.4,39.5,29.14,926
Kansas,Wyandotte,60400,1.74,2.01,8.27,12.06,28.74,26.2,20.98,60400,8.91,34.85,33.82,22.42,927
Kentucky,Adair,6991,4.62,2.73,16.16,31.2,29.52,8.65,7.11,6991,5.22,26.19,37.23,31.35,928
Kentucky,Allen,7816,4.68,3.75,18.91,33.93,21.75,8.16,8.82,7816,5.32,29.99,33.67,31.01,929
Kentucky,Anderson,8757,2.02,2.11,18.76,41.27,21.62,4.76,9.46,8757,3.96,28.78,39.9,27.36,930
Kentucky,Ballard,3052,1.64,6.26,14.15,28.05,26.25,17.04,6.62,3052,10.35,23.23,38.47,27.95,932
Kentucky,Barren,17392,2.9,4.13,16.46,28.52,27.08,12.82,8.09,17392,5.59,30.05,35.64,28.72,933
Kentucky,Bath,4885,4.42,2.25,17.63,36.7,21.92,7.31,9.76,4885,8.43,23.97,34.37,33.22,934
Kentucky,Bell,10504,0.77,1.1,10.51,31.23,32.41,17.5,6.48,10504,10.34,37.51,32.46,19.69,936
Kentucky,Boone,47391,4.55,4.16,28.21,38.57,16.43,6.08,2.0,47391,2.78,28.54,40.52,28.16,1002
Kentucky,Bourbon,7990,1.55,2.59,15.63,22.62,24.68,13.59,19.34,7990,4.84,30.48,38.6,26.08,1005
Kentucky,Boyd,18213,1.11,1.24,6.71,23.05,36.07,19.06,12.74,18213,8.03,32.55,37.96,21.45,1008
Kentucky,Boyle,11079,1.38,3.36,12.3,27.68,32.71,11.63,10.94,11079,7.76,33.24,35.8,23.2,1010
Kentucky,Bracken,3197,3.75,2.1,16.17,25.49,18.86,9.23,24.4,3197,4.69,21.43,39.44,34.44,1013
Kentucky,Breathitt,5281,3.37,2.99,15.15,42.19,24.81,8.37,3.12,5281,14.79,35.71,30.34,19.16,1017
Kentucky,Breckinridge,7731,2.51,3.84,19.35,30.35,29.4,7.68,6.87,7731,5.12,27.11,33.81,33.95,1020
Kentucky,Bullitt,29940,3.83,4.37,21.88,35.62,25.92,6.41,1.96,29940,3.14,24.37,39.72,32.77,1024
Kentucky,Butler,4823,5.58,3.28,10.84,32.84,31.93,11.2,4.33,4823,5.97,25.05,34.42,34.56,1026
Kentucky,Caldwell,5215,1.27,5.5,11.52,25.12,24.72,23.64,8.23,5215,9.03,24.95,35.63,30.39,1031
Kentucky,Calloway,15492,5.52,3.18,10.64,33.22,30.54,11.81,5.1,15492,4.5,36.54,37.8,21.16,1033
Kentucky,Campbell,37197,2.49,2.51,10.93,26.19,15.47,15.89,26.51,37197,7.31,34.51,37.0,21.19,1035
Kentucky,Carlisle,1925,3.01,1.45,10.29,28.94,23.06,20.26,12.99,1925,3.58,27.58,40.57,28.26,1039
Kentucky,Carroll,4176,2.87,1.75,11.35,38.91,16.95,10.9,17.27,4176,5.46,35.75,31.03,27.75,1041
Kentucky,Carter,9624,2.22,1.57,14.75,32.03,33.21,12.61,3.6,9624,6.37,26.3,32.8,34.53,1044
Kentucky,Casey,6048,2.3,3.06,12.53,45.95,21.61,9.77,4.78,6048,5.75,28.84,39.14,26.27,1048
Kentucky,Christian,26097,2.87,2.96,16.14,29.41,30.64,14.7,3.29,26097,7.74,34.0,40.24,18.01,1050
Kentucky,Clark,14576,2.53,1.02,16.82,31.3,26.69,12.82,8.82,14576,6.74,32.26,36.9,24.11,1053
Kentucky,Clay,7432,1.87,2.76,16.91,45.47,22.71,7.47,2.81,7432,12.62,31.01,34.42,21.95,1056
Kentucky,Clinton,4023,1.67,2.73,13.5,35.74,27.64,13.52,5.2,4023,8.6,31.27,34.28,25.85,1059
Kentucky,Crittenden,3588,3.68,0.75,13.96,28.65,30.88,14.72,7.36,3588,6.91,29.57,32.36,31.16,1064
Kentucky,Cumberland,2642,2.65,2.95,12.94,36.11,26.42,12.64,6.28,2642,9.42,29.14,36.9,24.53,1067
Kentucky,Daviess,40229,3.42,3.34,11.1,23.73,32.47,18.19,7.75,40229,6.6,30.57,38.61,24.22,1071
Kentucky,Edmonson,5028,5.05,3.16,14.3,35.46,25.52,9.29,7.22,5028,3.12,29.24,37.51,30.13,1073
Kentucky,Elliott,2412,1.29,2.65,17.21,35.36,34.33,5.43,3.73,2412,3.98,31.34,35.78,28.9,1075
Kentucky,Estill,5640,1.17,1.38,9.33,36.86,27.55,11.86,11.84,5640,9.96,30.6,38.05,21.38,1077
Kentucky,Fayette,130926,3.41,3.81,14.7,29.92,28.85,12.75,6.55,130926,7.5,35.93,40.29,16.28,1080
Kentucky,Fleming,5890,4.7,3.97,15.25,32.09,21.87,12.85,9.27,5890,7.49,26.23,40.03,26.25,1083
Kentucky,Floyd,14700,2.99,3.45,10.4,33.9,28.82,11.01,9.44,14700,9.04,34.82,33.91,22.23,1085
Kentucky,Franklin,21278,1.43,1.96,10.33,30.04,29.35,17.68,9.2,21278,7.15,33.81,40.03,19.0,1086
Kentucky,Fulton,2550,0.31,4.59,7.73,22.71,36.04,18.39,10.24,2550,15.92,36.16,29.84,18.08,1088
Kentucky,Gallatin,3088,2.27,2.04,24.77,37.82,17.2,10.01,5.89,3088,4.57,30.7,35.59,29.15,1090
Kentucky,Garrard,6779,4.03,1.46,20.39,31.67,27.1,7.41,7.95,6779,3.61,23.34,38.31,34.74,1092
Kentucky,Grant,9210,1.89,2.27,19.0,43.07,20.86,5.42,7.49,9210,3.65,27.35,39.4,29.6,1094
Kentucky,Graves,14402,1.93,2.49,11.17,27.1,34.89,15.42,6.99,14402,5.53,29.58,38.69,26.2,1097
Kentucky,Grayson,9753,2.28,2.67,16.34,33.44,32.91,7.32,5.04,9753,6.11,32.44,29.49,31.96,1100
Kentucky,Green,4440,0.7,2.91,12.84,33.83,26.71,13.02,10.0,4440,6.1,31.87,34.37,27.66,1102
Kentucky,Greenup,14314,1.75,3.32,9.4,26.36,38.36,13.8,7.01,14314,4.84,26.23,41.02,27.9,1105
Kentucky,Hancock,3364,1.78,2.44,14.74,36.21,30.59,6.99,7.25,3364,3.92,21.02,37.99,37.07,1107
Kentucky,Hardin,42059,3.54,6.0,17.86,32.61,27.29,8.75,3.94,42059,5.14,32.21,36.31,26.35,1110
Kentucky,Harlan,10745,1.47,1.77,9.47,30.0,25.9,17.03,14.36,10745,11.35,34.46,32.82,21.37,1114
Kentucky,Harrison,7474,3.1,3.06,16.46,32.22,17.42,11.6,16.14,7474,8.66,26.32,36.7,28.32,1119
Kentucky,Hart,7256,3.39,1.49,16.19,31.56,27.15,13.07,7.15,7256,9.73,31.16,34.1,25.01,1121
Kentucky,Henderson,18762,2.0,2.27,11.21,28.78,29.43,16.98,9.34,18762,7.4,35.01,35.21,22.37,1126
Kentucky,Henry,6154,1.84,2.26,15.34,23.98,32.04,9.1,15.44,6154,3.93,27.2,32.84,36.03,1129
Kentucky,Hickman,1724,0.17,3.25,5.1,31.26,35.32,17.29,7.6,1724,5.86,24.65,48.2,21.29,1130
Kentucky,Hopkins,18619,1.58,2.54,11.05,29.09,30.15,15.07,10.52,18619,6.8,31.39,35.45,26.36,1136
Kentucky,Jackson,5417,1.83,1.88,18.59,39.6,24.4,9.12,4.58,5417,8.81,31.03,33.95,26.21,1140
Kentucky,Jefferson,316411,2.82,1.9,10.41,20.18,29.15,21.96,13.58,316411,9.31,37.26,37.11,16.32,1143
Kentucky,Jessamine,18888,5.11,3.74,19.68,37.67,24.24,5.8,3.75,18888,3.88,29.5,41.14,25.49,1145
Kentucky,Johnson,8528,2.73,2.93,15.56,36.93,27.16,9.59,5.1,8528,10.49,28.31,42.82,18.37,1148
Kentucky,Kenton,64544,2.43,2.09,11.73,24.96,24.63,15.37,18.8,64544,7.32,31.56,40.71,20.41,1151
Kentucky,Knott,6319,1.96,3.88,16.43,36.98,22.46,11.41,6.88,6319,9.15,39.97,34.69,16.19,1154
Kentucky,Knox,12075,1.79,1.5,17.41,37.83,27.06,8.87,5.54,12075,11.71,37.65,34.43,16.22,1159
Kentucky,Larue,5779,1.37,4.33,14.9,34.14,24.66,9.0,11.61,5779,2.79,27.48,36.29,33.45,1162
Kentucky,Laurel,22665,3.31,3.98,17.0,42.25,21.31,7.32,4.84,22665,6.64,29.01,39.85,24.51,1166
Kentucky,Lawrence,5583,3.39,5.75,15.69,33.37,25.47,10.6,5.73,5583,6.36,31.76,33.85,28.03,1167
Kentucky,Lee,2884,1.66,5.55,13.73,35.92,25.94,9.85,7.35,2884,15.46,32.07,28.95,23.51,1171
Kentucky,Leslie,4156,4.52,1.54,13.76,41.99,23.41,12.34,2.43,4156,11.16,26.78,37.78,24.28,1175
Kentucky,Letcher,9599,1.08,1.71,16.28,28.78,31.13,10.86,10.16,9599,8.33,35.72,32.59,23.36,1178
Kentucky,Lewis,5226,1.28,0.65,18.83,36.45,22.45,13.01,7.33,5226,8.21,32.53,31.04,28.22,1180
Kentucky,Lincoln,9677,2.44,2.33,21.58,31.39,23.2,8.7,10.36,9677,5.75,31.34,33.96,28.96,1184
Kentucky,Livingston,3803,0.55,0.74,11.2,32.76,35.63,13.73,5.39,3803,2.31,26.27,41.65,29.77,1187
Kentucky,Logan,10459,2.37,2.3,7.28,29.44,38.23,7.5,12.89,10459,7.83,25.72,37.55,28.9,1190
Kentucky,Lyon,3266,2.73,3.34,18.89,34.57,27.95,8.3,4.23,3266,1.87,32.95,39.56,25.63,1193
Kentucky,McCracken,27787,2.86,2.78,11.22,30.48,27.55,15.5,9.62,27787,7.27,34.57,38.36,19.79,1196
Kentucky,McCreary,6187,1.0,3.51,12.09,49.7,21.87,7.34,4.49,6187,9.99,31.57,34.91,23.53,1198
Kentucky,McLean,3747,1.01,1.95,8.19,26.66,39.34,10.01,12.84,3747,6.67,21.67,38.32,33.33,1201
Kentucky,Madison,33876,5.57,6.03,19.02,38.78,20.12,6.73,3.75,33876,4.78,33.41,38.63,23.18,1204
Kentucky,Magoffin,4989,3.29,4.71,13.43,37.6,25.06,11.04,4.87,4989,10.32,32.69,38.0,18.98,1206
Kentucky,Marion,7433,3.81,2.96,11.4,32.45,27.54,12.01,9.83,7433,6.13,33.65,29.81,30.4,1210
Kentucky,Marshall,13119,4.02,3.16,9.96,32.87,31.98,13.81,4.21,13119,4.81,24.52,44.05,26.62,1213
Kentucky,Martin,4045,2.3,1.63,15.85,42.79,25.88,9.44,2.1,4045,7.81,32.71,37.75,21.73,1215
Kentucky,Mason,6523,1.75,3.4,14.63,25.88,22.01,17.65,14.69,6523,9.35,30.45,32.26,27.95,1217
Kentucky,Meade,10690,3.03,7.68,21.13,33.06,21.86,9.92,3.32,10690,3.35,22.94,41.27,32.44,1220
Kentucky,Menifee,2464,1.7,0.77,16.15,45.05,29.63,3.86,2.84,2464,5.52,26.01,46.31,22.16,1222
Kentucky,Mercer,8718,0.54,1.66,12.2,30.18,27.94,11.02,16.45,8718,5.57,32.56,35.28,26.58,1225
Kentucky,Metcalfe,4187,0.67,2.63,17.05,31.48,30.67,11.63,5.88,4187,4.06,28.78,29.09,38.07,1228
Kentucky,Monroe,4533,2.03,1.76,14.16,26.25,35.52,11.38,8.89,4533,7.79,31.37,33.29,27.55,1230
Kentucky,Montgomery,10653,2.59,3.16,20.03,27.37,32.85,7.75,6.23,10653,5.88,28.75,39.84,25.53,1233
Kentucky,Morgan,4796,3.13,3.38,18.58,38.03,22.81,8.3,5.78,4796,7.26,31.59,33.49,27.67,1235
Kentucky,Muhlenberg,11539,1.52,3.58,10.63,25.08,37.19,12.58,9.42,11539,4.67,27.0,34.36,33.96,1238
Kentucky,Nelson,17991,3.52,2.57,22.38,33.76,22.32,9.42,6.05,17991,5.19,25.01,37.49,32.32,1243
Kentucky,Nicholas,2714,4.05,3.17,9.69,26.68,21.33,12.38,22.7,2714,10.17,29.48,29.48,30.88,1246
Kentucky,Ohio,9226,2.41,3.56,16.22,29.28,29.41,11.96,7.19,9226,3.95,25.95,37.13,32.97,1249
Kentucky,Oldham,21259,5.07,3.18,23.89,37.56,23.51,3.78,3.01,21259,1.61,16.9,45.79,35.71,1252
