State,County,Total Households,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,Total Vehicles,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,"FID"
Alabama,Mobile,157557,2.24,3.36,13.43,30.15,32.46,14.23,4.13,157557,7.11,33.29,37.05,22.55,240
Alabama,Monroe,8050,1.52,3.84,9.85,42.16,27.96,10.7,3.98,8050,9.3,34.67,34.42,21.6,250
Alabama,Montgomery,89511,2.72,3.79,12.61,32.56,29.96,13.04,5.32,89511,7.79,37.67,34.69,19.86,256
Alabama,Morgan,46388,2.83,2.15,14.06,34.72,31.84,10.56,3.84,46388,4.34,29.53,36.87,29.26,262
Alabama,Perry,3140,2.01,0.51,12.13,37.07,33.5,10.0,4.78,3140,11.69,44.78,27.1,16.43,264
Alabama,Pickens,7731,2.54,1.73,12.31,36.24,29.91,12.69,4.58,7731,8.87,29.18,30.35,31.6,273
Alabama,Pike,11700,5.56,5.92,15.73,34.23,22.38,9.97,6.22,11700,7.42,39.65,30.92,22.01,279
Alabama,Randolph,8655,1.77,2.68,16.24,37.46,24.32,9.81,7.72,8655,4.69,26.44,34.88,33.99,284
Alabama,Russell,23694,4.12,9.52,13.88,29.44,25.43,13.66,3.95,23694,8.33,35.9,34.09,21.68,288
Alabama,St. Clair,32765,4.12,4.7,28.01,38.26,17.54,5.34,2.02,32765,3.29,23.21,41.08,32.42,292
Alabama,Shelby,80756,4.47,5.33,27.62,44.31,14.18,2.87,1.23,80756,2.78,25.31,44.16,27.75,298
Alabama,Sumter,5355,3.75,1.51,12.89,41.76,26.55,8.22,5.32,5355,8.5,38.47,28.03,25.0,303
Alabama,Talladega,31741,3.04,3.13,12.93,32.7,26.67,15.07,6.47,31741,7.62,30.66,33.37,28.35,306
Alabama,Tallapoosa,16359,2.77,1.8,10.26,36.92,27.83,14.86,5.57,16359,7.92,29.82,33.94,28.31,308
Alabama,Tuscaloosa,74713,4.62,5.74,20.18,32.34,24.38,9.73,3.0,74713,5.77,34.3,37.86,22.08,313
