State,County,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Alabama,Lee,"3,545","4,372","13,782","23,681","10,751","3,302","1,298","2,671","17,909","24,766","15,385",187
Alabama,Limestone,"2,421","3,009","6,708","10,522","7,206","2,194",665,"1,298","8,488","12,497","10,442",197
Alabama,Lowndes,131,89,609,"2,085",906,323,70,465,"1,630","1,067","1,051",205
Alabama,Macon,124,65,677,"2,838","2,679",901,308,758,"2,912","2,098","1,824",210
Alabama,Madison,"8,017","10,607","27,601","53,159","37,551","11,504","3,189","6,203","50,855","57,492","37,078",217
Alabama,Marengo,128,314,872,"2,925","1,938",784,538,758,"3,218","2,022","1,501",220
Alabama,Marion,261,463,816,"4,287","4,097","1,450",406,589,"3,255","4,620","3,316",224
Alabama,Marshall,953,926,"5,267","12,687","10,404","3,403","1,475","1,756","9,417","13,520","10,422",231
Alabama,Mobile,"3,533","5,289","21,158","47,498","51,150","22,427","6,502","11,209","52,456","58,367","35,525",240
Alabama,Monroe,122,309,793,"3,394","2,251",861,320,749,"2,791","2,771","1,739",250
Alabama,Montgomery,"2,436","3,394","11,285","29,147","26,815","11,668","4,766","6,972","33,717","31,048","17,774",256
Alabama,Morgan,"1,314",997,"6,524","16,106","14,768","4,899","1,780","2,014","13,699","17,104","13,571",262
Alabama,Perry,63,16,381,"1,164","1,052",314,150,367,"1,406",851,516,264
Alabama,Pickens,196,134,952,"2,802","2,312",981,354,686,"2,256","2,346","2,443",273
Alabama,Pike,650,693,"1,840","4,005","2,618","1,166",728,868,"4,639","3,618","2,575",279
Alabama,Randolph,153,232,"1,406","3,242","2,105",849,668,406,"2,288","3,019","2,942",284
Alabama,Russell,977,"2,255","3,289","6,976","6,026","3,236",935,"1,974","8,506","8,078","5,136",288
Alabama,St. Clair,"1,350","1,541","9,179","12,536","5,747","1,749",663,"1,079","7,605","13,460","10,621",292
Alabama,Shelby,"3,606","4,305","22,303","35,782","11,453","2,317",990,"2,247","20,439","35,661","22,409",298
Alabama,Sumter,201,81,690,"2,236","1,422",440,285,455,"2,060","1,501","1,339",303
Alabama,Talladega,965,992,"4,103","10,380","8,464","4,784","2,053","2,418","9,733","10,591","8,999",306
Alabama,Tallapoosa,453,294,"1,678","6,039","4,553","2,431",911,"1,296","4,878","5,553","4,632",308
Alabama,Tuscaloosa,"3,455","4,291","15,075","24,162","18,214","7,272","2,244","4,308","25,627","28,283","16,495",313
Alabama,Walker,704,801,"3,625","8,810","6,661","3,434","1,405","1,290","6,990","9,105","8,055",317
Alabama,Washington,103,135,984,"2,265","1,474",753,116,239,"1,684","1,793","2,114",319
Alabama,Wilcox,60,43,575,"1,752","1,017",334,180,549,"1,235","1,269",908,326
Alabama,Winston,368,240,"1,314","3,696","2,739","1,031",224,535,"2,658","3,387","3,032",332
Alaska,Aleutians East,8,12,89,434,300,64,81,220,371,298,99,346
Alaska,Aleutians West,11,42,64,717,274,158,40,164,552,459,131,381
Alaska,Anchorage,"2,000","2,327","12,998","42,087","39,728","7,254",576,"5,828","35,043","42,770","23,329",400
Alaska,Bethel,15,104,885,"2,191","1,219",73,12,"2,570","1,183",536,210,411
Alaska,Bristol Bay,0,4,39,150,67,15,9,26,114,71,73,423
Alaska,Valdez-Cordova,1,34,129,"1,081",714,301,50,96,874,979,361,710
Alaska,Valdez-Cordova,3,7,305,509,200,39,0,80,250,319,414,710
Alaska,Denali,0,32,140,362,144,41,7,42,209,245,230,426
Alaska,Dillingham,6,18,227,659,452,51,17,569,514,265,82,445
Alaska,Fairbanks North Star,"1,140","1,483","5,914","14,655","10,601","2,028",378,"1,686","10,998","14,322","9,193",454
Alaska,Haines,102,2,96,487,113,69,48,61,207,407,242,462
Alaska,Hoonah-Angoon,27,9,79,296,244,57,43,237,229,170,119,476
Alaska,Juneau,479,158,"1,280","4,792","4,508",915,746,"1,104","4,444","4,786","2,544",482
Alaska,Kenai Peninsula,678,782,"4,299","9,347","5,692",758,225,"1,232","6,799","8,176","5,574",494
Alaska,Ketchikan Gateway,97,118,404,"1,598","1,635",881,566,648,"1,705","1,919","1,027",514
Alaska,Kodiak Island,67,102,573,"1,808","1,183",470,28,516,"1,125","1,834",756,533
Alaska,Wade Hampton,25,73,279,798,542,33,0,"1,562",161,27,0,725
Alaska,Lake and Peninsula,3,5,34,235,72,15,2,177,110,54,25,544
Alaska,Matanuska-Susitna,"1,396","1,576","10,209","12,672","5,181",773,157,"1,244","7,473","11,584","11,663",556
Alaska,Nome,3,48,249,"1,304",893,162,118,"1,565",664,417,131,571
Alaska,North Slope,17,6,174,"1,002",563,119,110,741,867,306,77,614
Alaska,Northwest Arctic,43,25,154,949,527,94,3,"1,174",454,140,27,638
Alaska,Petersburg,22,2,94,428,246,192,220,204,383,404,213,645
Alaska,Prince of Wales-Hyder,44,89,246,"1,080",720,70,104,221,936,736,460,669
Alaska,Sitka,55,49,426,"1,168","1,407",276,191,427,"1,309","1,372",464,679
Alaska,Skagway,12,12,49,169,68,50,51,20,146,159,86,683
Alaska,Southeast Fairbanks,20,145,500,"1,070",450,101,1,136,802,668,681,690
Alaska,Wrangell,5,11,88,290,345,124,126,100,296,383,210,733
Alaska,Yakutat,6,2,26,60,108,13,6,20,112,53,36,744
Alaska,Yukon-Koyukuk,24,54,236,942,492,90,19,957,490,305,105,753
Arizona,Apache,256,476,"3,400","10,357","5,847",928,241,"2,849","7,751","6,174","4,731",761
Arizona,Cochise,744,"1,746","10,392","17,329","13,393","4,121","3,192","3,078","16,500","18,087","13,252",763
Arizona,Coconino,"2,136","1,127","8,922","21,417","11,080","3,398",936,"2,566","15,391","18,024","13,035",771
Arizona,Gila,363,721,"3,833","8,035","6,273","2,056","1,242","1,490","7,777","7,737","5,519",787
Arizona,Graham,208,704,"2,260","3,659","2,954",983,580,636,"2,774","3,488","4,450",0
Arizona,Greenlee,82,81,312,"1,013","1,227",425,155,77,744,"1,260","1,214",1
Arizona,La Paz,574,54,"2,054","3,890","2,820",460,76,648,"4,458","3,191","1,631",3
Arizona,Maricopa,"71,411","48,520","359,233","610,730","389,675","102,457","14,758","88,629","560,049","616,491","331,615",9
Arizona,Mohave,"3,134","1,494","26,012","40,827","16,527","1,911",508,"4,517","31,249","33,276","21,371",15
Arizona,Navajo,359,648,"8,695","13,782","9,997","1,766","1,159","3,068","12,648","12,734","7,956",17
Arizona,Pima,"12,056","10,433","76,005","146,436","113,575","44,457","7,980","31,233","153,811","150,211","75,687",21
Arizona,Pinal,"10,480","7,993","71,188","34,872","16,605","5,872","1,425","6,280","51,535","56,870","33,750",26
Arizona,Santa Cruz,165,336,"3,295","6,210","4,568",906,569,966,"4,771","5,304","5,008",32
Arizona,Yavapai,"5,591","1,982","24,922","44,243","19,708","2,891","1,908","4,115","33,257","39,643","24,230",35
Arizona,Yuma,"2,686","3,471","20,502","26,127","14,647","6,187","1,004","3,842","26,788","26,983","17,011",42
Arkansas,Arkansas,88,72,593,"1,924","2,903","1,247",589,600,"2,525","2,854","1,437",46
Arkansas,Ashley,281,98,484,"1,942","2,956","1,315",640,534,"2,361","3,113","1,708",50
Arkansas,Baxter,477,322,"2,782","7,048","6,396","1,057",645,866,"6,473","7,437","3,951",54
Arkansas,Benton,"8,482","5,583","25,911","37,771","15,969","3,652","2,293","2,860","28,276","42,602","25,923",59
Arkansas,Boone,265,358,"2,561","5,167","4,427","1,381",884,747,"4,501","5,542","4,253",62
Arkansas,Bradley,129,65,462,"1,120","1,506",553,398,360,"1,618","1,367",888,68
Arkansas,Calhoun,38,49,219,407,640,305,96,100,499,592,563,72
Arkansas,Carroll,146,160,"1,943","4,620","2,637",729,844,649,"3,025","3,673","3,732",74
Arkansas,Chicot,45,124,386,"1,151","1,710",432,204,541,"1,428","1,597",486,77
Arkansas,Clark,359,307,"1,091","3,127","2,217",784,451,574,"2,617","3,232","1,913",86
Arkansas,Clay,48,196,430,"1,531","2,619","1,135",517,421,"2,197","2,459","1,399",93
Arkansas,Cleburne,385,495,"1,528","4,337","3,242",647,248,339,"3,223","4,647","2,673",97
Arkansas,Cleveland,78,115,335,"1,125","1,148",304,65,175,842,"1,065","1,088",103
Arkansas,Columbia,140,215,785,"2,460","2,660","1,951",245,357,"3,135","2,939","2,025",107
Arkansas,Conway,314,331,"1,072","2,270","2,762","1,044",698,702,"2,782","2,704","2,303",109
Arkansas,Craighead,"3,298","2,974","6,961","14,124","10,825","2,832","1,189","2,880","14,039","16,418","8,866",114
Arkansas,Crawford,663,"1,095","4,517","9,342","6,217","1,526",705,976,"7,698","9,290","6,101",115
Arkansas,Crittenden,405,407,"3,673","5,905","6,144","2,082",405,"2,011","7,598","6,018","3,394",119
Arkansas,Cross,26,186,772,"2,154","2,459",752,219,436,"2,303","2,413","1,416",124
Arkansas,Dallas,51,63,391,832,"1,099",273,283,300,"1,071","1,048",573,128
Arkansas,Desha,59,29,659,"1,094","2,278",664,276,692,"1,696","1,719",952,130
Arkansas,Drew,194,394,939,"2,353","2,200",709,418,591,"2,194","2,656","1,766",136
Arkansas,Faulkner,"2,624","3,670","11,041","17,672","7,463","1,990",631,"2,075","12,883","18,922","11,211",141
Arkansas,Franklin,219,231,934,"2,346","1,974",479,488,384,"2,291","2,318","1,678",144
Arkansas,Fulton,47,152,774,"1,663","1,657",449,272,222,"1,439","1,774","1,579",146
Arkansas,Garland,979,"1,442","6,696","11,996","12,360","4,695","2,738","3,038","14,234","15,544","8,090",151
Arkansas,Grant,348,312,"1,102","3,067","1,533",447,240,210,"2,160","2,503","2,176",155
Arkansas,Greene,972,955,"3,105","5,573","4,567","1,721",694,705,"5,556","7,250","4,076",162
Arkansas,Hempstead,162,269,660,"2,488","2,958","1,086",477,670,"2,093","3,205","2,132",172
Arkansas,Hot Spring,283,584,"1,771","3,717","3,543","2,010",607,727,"3,994","4,517","3,277",184
Arkansas,Howard,179,137,638,"1,598","1,761",622,336,193,"1,875","1,837","1,366",191
Arkansas,Independence,678,816,"2,153","5,195","3,841","1,240",402,659,"4,032","5,778","3,856",200
Arkansas,Izard,30,64,578,"1,485","2,120",382,252,320,"1,489","1,509","1,593",203
Arkansas,Jackson,230,168,447,"1,379","2,784",959,274,352,"2,435","2,226","1,228",209
Arkansas,Jefferson,477,709,"3,131","7,179","10,109","3,762","1,263","2,431","10,045","9,043","5,111",213
Arkansas,Johnson,280,428,"1,501","3,945","2,264",873,501,512,"2,876","3,959","2,445",218
Arkansas,Lafayette,50,68,236,804,929,619,192,265,961,978,694,222
Arkansas,Lawrence,166,91,546,"1,893","2,715",772,401,362,"1,901","2,893","1,428",230
Arkansas,Lee,102,54,281,857,"1,182",503,223,677,"1,060",889,576,237
Arkansas,Lincoln,85,142,566,"1,332",959,371,143,175,"1,174","1,297",952,244
Arkansas,Little River,92,120,545,"1,615","2,198",558,164,366,"1,359","2,142","1,425",251
Arkansas,Logan,141,168,980,"2,533","2,792","1,037",708,410,"2,505","3,159","2,285",258
Arkansas,Lonoke,"1,771","2,018","7,127","9,391","5,391",871,649,"1,194","7,796","10,799","7,429",268
Arkansas,Madison,349,291,"1,144","1,932","1,311",299,719,258,"1,661","2,099","2,027",277
Arkansas,Marion,112,117,"1,244","2,792","1,964",448,241,420,"1,963","2,942","1,593",282
Arkansas,Miller,699,464,"2,518","5,191","4,739","1,944",682,"1,371","5,457","6,040","3,369",287
Arkansas,Mississippi,347,297,"1,011","5,571","5,975","2,380","1,042","1,552","6,003","5,709","3,359",294
Arkansas,Monroe,28,57,324,822,"1,427",407,169,397,"1,318","1,081",438,300
Arkansas,Montgomery,115,98,685,"1,252",724,595,237,106,"1,011","1,592",997,304
Arkansas,Nevada,83,77,210,"1,213",747,648,210,152,"1,007","1,312",717,307
Arkansas,Newton,51,68,374,"1,074",850,314,265,105,821,982,"1,088",311
Arkansas,Ouachita,190,225,505,"2,812","3,121","1,947",687,"1,027","3,188","3,091","2,181",316
Arkansas,Perry,179,217,467,"1,547",849,241,200,243,"1,010","1,340","1,107",318
Arkansas,Phillips,79,100,421,"1,890","3,285","1,097",689,"1,237","2,786","2,293","1,245",322
Arkansas,Pike,134,116,600,"1,358","1,189",462,356,191,"1,030","1,565","1,429",327
Arkansas,Poinsett,306,245,983,"2,760","3,428","1,440",405,668,"3,361","3,627","1,911",333
Arkansas,Polk,137,288,"1,142","2,541","2,747",730,529,391,"2,216","3,502","2,005",337
Arkansas,Pope,"1,062",882,"3,274","8,516","6,862","1,448",819,"1,147","7,126","9,309","5,281",340
Arkansas,Prairie,126,178,481,971,"1,357",449,193,126,"1,356","1,416",857,345
Arkansas,Pulaski,"6,555","6,972","20,292","45,356","52,772","21,892","7,813","11,855","63,050","58,229","28,518",350
Arkansas,Randolph,40,139,852,"2,451","2,653",694,465,335,"2,360","2,827","1,772",353
Arkansas,St. Francis,163,199,"1,140","3,560","3,115",936,200,"1,268","3,385","2,384","2,276",357
Arkansas,Saline,"3,241","3,522","11,242","15,241","8,218","3,046",588,"1,983","11,830","20,501","10,784",360
Arkansas,Scott,82,60,427,"1,589","1,173",634,149,344,"1,140","1,416","1,214",364
Arkansas,Searcy,58,80,334,"1,055","1,040",359,309,238,803,"1,140","1,054",372
Arkansas,Sebastian,"1,933","1,640","5,769","15,307","15,265","8,897","3,215","3,368","18,492","19,363","10,803",378
Arkansas,Sevier,120,65,632,"1,911","2,386",324,252,280,"1,455","2,005","1,950",390
Arkansas,Sharp,137,83,988,"2,474","3,096",293,244,422,"2,308","2,784","1,801",394
Arkansas,Stone,190,130,954,"2,085","1,205",227,75,262,"1,445","1,709","1,450",399
