State,County,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Iowa,Plymouth,278,126,"1,001","1,952","2,708","1,337","2,896",444,"2,231","4,323","3,300",622
Iowa,Pocahontas,6,25,44,395,742,700,"1,215",126,836,"1,060","1,105",624
Iowa,Polk,"12,143","8,113","27,684","44,001","42,997","28,472","27,715","11,555","60,576","77,856","41,138",629
Iowa,Pottawattamie,582,761,"4,903","6,714","8,235","5,865","9,815","2,395","11,805","13,543","9,132",637
Iowa,Poweshiek,148,246,708,"1,668","1,860","1,213","1,984",494,"2,351","2,825","2,157",640
Iowa,Ringgold,11,63,216,296,385,224,648,88,474,609,672,642
Iowa,Sac,22,52,175,390,"1,119",882,"1,704",107,"1,208","1,603","1,426",647
Iowa,Scott,"1,723","2,247","7,296","12,533","20,779","10,234","12,625","3,900","22,128","27,442","13,967",657
Iowa,Shelby,7,67,274,637,"1,314",915,"1,852",228,"1,409","1,712","1,717",660
Iowa,Sioux,357,476,"1,504","2,241","3,157","1,753","2,891",409,"2,871","5,366","3,733",663
Iowa,Story,"2,408","1,550","5,303","9,809","9,990","3,626","5,311","2,716","12,832","13,816","8,633",668
Iowa,Tama,111,106,519,935,"1,351","1,029","2,685",249,"1,772","2,508","2,207",671
Iowa,Taylor,19,59,166,319,538,416,"1,050",84,640,871,972,674
Iowa,Union,77,67,437,795,"1,287",676,"1,860",310,"1,352","1,853","1,684",675
Iowa,Van Buren,48,85,328,658,595,228,"1,027",189,680,"1,069","1,031",678
Iowa,Wapello,36,119,895,"2,189","3,449","3,367","4,349","1,227","4,224","5,178","3,775",681
Iowa,Warren,"1,224",756,"4,134","3,678","5,479","1,842","2,207",619,"4,484","7,710","6,507",685
Iowa,Washington,113,98,"1,095","1,463","1,977","1,021","3,109",369,"2,393","3,410","2,704",687
Iowa,Wayne,115,100,169,335,669,386,846,197,556,954,913,691
Iowa,Webster,212,221,859,"1,814","4,025","3,522","4,952","1,141","5,121","5,719","3,624",694
Iowa,Winnebago,31,24,317,479,"1,624",863,"1,195",138,"1,631","1,642","1,122",696
Iowa,Winneshiek,212,116,886,"1,647","1,280","1,105","3,019",349,"2,254","3,002","2,660",698
Iowa,Woodbury,772,521,"2,336","5,911","8,789","8,932","12,262","2,566","11,992","14,857","10,108",702
Iowa,Worth,14,27,136,370,749,633,"1,270",116,730,"1,135","1,218",703
Iowa,Wright,54,51,342,627,"1,340","1,208","1,960",437,"1,522","2,370","1,253",705
Kansas,Allen,101,44,294,"1,190","1,366",789,"1,341",345,"1,523","1,726","1,531",709
Kansas,Anderson,50,56,186,769,688,492,913,125,830,"1,094","1,105",712
Kansas,Atchison,32,72,482,"1,158","1,443",739,"2,113",502,"1,581","2,176","1,780",715
Kansas,Barber,94,28,86,202,369,566,586,120,512,681,618,717
Kansas,Barton,278,100,437,"1,243","2,994","3,088","2,488",704,"3,195","4,194","2,535",719
Kansas,Bourbon,59,97,463,"1,340","1,136","1,166","1,660",276,"1,502","2,169","1,974",722
Kansas,Brown,11,131,184,562,972,635,"1,262",166,"1,113","1,319","1,159",723
Kansas,Butler,657,837,"2,942","8,242","4,858","4,119","3,178","1,221","5,253","9,513","8,846",726
Kansas,Chase,16,25,49,199,242,190,361,56,266,307,453,729
Kansas,Chautauqua,24,14,72,339,291,190,488,98,387,453,480,730
Kansas,Cherokee,134,268,749,"1,995","1,902","1,110","1,796",778,"2,299","2,660","2,217",732
Kansas,Cheyenne,6,8,71,121,317,322,418,63,343,446,411,736
Kansas,Clark,27,0,61,140,138,224,300,24,250,324,292,738
Kansas,Clay,52,3,167,537,811,518,"1,653",192,"1,029","1,428","1,092",739
Kansas,Cloud,8,29,76,375,865,703,"1,585",152,"1,078","1,214","1,197",740
Kansas,Coffey,117,121,368,753,916,378,995,161,808,"1,192","1,487",745
Kansas,Comanche,0,6,52,84,118,184,374,25,312,223,258,748
Kansas,Cowley,115,107,849,"2,622","3,387","2,874","3,846",802,"4,244","4,455","4,299",752
Kansas,Crawford,311,228,"1,676","3,649","3,870","2,472","3,397","1,550","4,896","5,297","3,860",756
Kansas,Decatur,12,7,44,219,347,312,473,59,443,489,423,759
Kansas,Dickinson,43,124,626,"1,051","1,775","1,493","2,821",389,"2,182","2,825","2,537",762
Kansas,Doniphan,33,69,260,642,580,382,"1,037",136,913,"1,010",944,765
Kansas,Douglas,"2,007","1,705","8,765","15,764","11,391","3,751","4,589","2,089","16,095","18,984","10,804",767
Kansas,Edwards,0,34,32,110,277,341,491,34,342,519,390,770
Kansas,Elk,2,22,97,157,282,221,369,76,324,374,376,773
Kansas,Ellis,229,256,"1,136","2,745","4,172","2,126","1,022",542,"3,511","4,162","3,471",774
Kansas,Ellsworth,24,28,108,475,476,339,940,103,647,836,804,776
Kansas,Finney,230,312,798,"3,776","4,956","1,387","1,035",702,"3,376","4,093","4,323",778
Kansas,Ford,151,201,584,"2,368","3,396","2,847","1,690",552,"3,006","4,754","2,925",784
Kansas,Franklin,43,46,"1,702","2,292","2,269","1,819","2,019",374,"2,683","3,570","3,563",786
Kansas,Geary,365,"1,519","2,519","3,049","2,333","1,327","1,754",593,"4,047","5,597","2,629",788
Kansas,Gove,7,5,51,206,413,295,283,18,349,436,457,790
Kansas,Graham,0,0,31,186,326,397,312,46,393,492,321,791
Kansas,Grant,90,4,115,963,862,457,70,53,962,680,866,794
Kansas,Gray,60,33,163,445,655,401,393,22,441,823,864,798
Kansas,Greeley,14,31,14,80,130,125,97,20,134,183,154,801
Kansas,Greenwood,37,43,176,460,543,524,912,154,703,888,950,803
Kansas,Hamilton,0,0,15,135,290,219,159,19,255,292,252,805
Kansas,Harper,2,73,74,398,513,544,763,59,678,934,696,807
Kansas,Harvey,124,68,"1,508","2,809","3,571","2,782","2,534",955,"3,172","5,335","3,934",812
Kansas,Haskell,12,38,97,369,486,222,177,19,355,554,473,815
Kansas,Hodgeman,0,9,33,132,191,192,233,11,106,321,352,818
Kansas,Jackson,52,79,833,"1,475","1,212",591,"1,187",224,"1,224","1,983","1,998",819
Kansas,Jefferson,282,68,934,"2,007","2,325",594,"1,409",216,"1,374","2,733","3,296",821
Kansas,Jewell,10,32,43,168,269,257,607,66,334,554,432,822
Kansas,Johnson,"10,950","8,081","37,182","84,415","56,920","29,076","6,975","7,178","66,464","105,753","54,204",824
Kansas,Kearny,19,0,82,358,358,314,139,14,348,600,308,826
Kansas,Kingman,41,43,260,641,678,673,917,101,923,"1,186","1,043",827
Kansas,Kiowa,14,24,254,101,203,187,192,42,260,357,316,829
Kansas,Labette,117,153,576,"1,484","1,923","1,867","2,150",497,"2,380","2,834","2,559",831
Kansas,Lane,2,2,15,133,222,206,157,20,153,303,261,833
Kansas,Leavenworth,593,884,"5,203","7,341","6,163","2,943","4,518","1,125","7,116","11,191","8,213",836
Kansas,Lincoln,4,2,50,174,245,113,717,45,276,468,516,838
Kansas,Linn,66,66,822,"1,429","1,082",287,757,157,"1,121","1,406","1,825",840
Kansas,Logan,30,26,34,133,403,276,242,26,282,484,352,842
Kansas,Lyon,259,252,646,"2,718","4,364","1,649","3,673",793,"3,722","5,611","3,435",844
Kansas,McPherson,576,182,"1,029","2,719","3,437","1,684","2,852",501,"3,411","5,003","3,564",846
Kansas,Marion,30,51,333,802,"1,181",923,"1,518",188,"1,204","1,743","1,703",848
Kansas,Marshall,57,102,203,553,953,790,"1,470",173,"1,150","1,331","1,474",850
Kansas,Meade,14,31,81,213,537,367,472,42,504,607,562,851
Kansas,Miami,174,245,"2,668","3,616","2,506","1,561","2,230",438,"2,736","4,751","5,075",853
Kansas,Mitchell,65,83,112,312,474,597,950,97,622,"1,081",793,854
Kansas,Montgomery,98,186,796,"2,698","3,138","2,634","4,217","1,183","4,480","4,646","3,458",856
Kansas,Morris,48,37,145,443,423,376,872,117,472,954,801,858
Kansas,Morton,0,0,48,212,386,230,160,46,309,328,353,859
Kansas,Nemaha,64,101,465,933,872,551,"1,083",185,"1,015","1,311","1,558",861
Kansas,Neosho,108,156,629,845,"1,434","1,429","1,861",342,"2,098","2,317","1,705",862
Kansas,Ness,0,13,11,173,369,309,385,23,278,488,471,864
Kansas,Norton,20,0,26,351,383,482,603,53,517,625,670,866
Kansas,Osage,53,95,733,"1,686","1,848",632,"1,577",169,"1,629","2,457","2,369",867
Kansas,Osborne,0,8,47,152,383,428,669,70,489,620,508,869
Kansas,Ottawa,20,55,216,417,519,238,968,48,618,821,946,870
Kansas,Pawnee,15,19,313,196,443,751,710,91,820,864,672,872
Kansas,Phillips,39,13,54,278,907,469,646,133,623,876,774,873
Kansas,Pottawatomie,638,558,"1,326","2,245","1,794","1,061","1,261",223,"1,937","3,476","3,247",876
Kansas,Pratt,32,67,126,456,864,"1,094","1,094",137,"1,063","1,346","1,187",878
Kansas,Rawlins,48,0,26,157,257,259,422,79,199,393,498,880
Kansas,Reno,389,293,"1,718","4,102","7,119","5,810","5,539","1,366","7,866","8,686","7,052",882
Kansas,Republic,33,68,51,285,384,499,856,107,571,866,632,884
Kansas,Rice,71,92,89,324,895,"1,269","1,199",165,"1,208","1,353","1,213",886
Kansas,Riley,"1,498","1,984","3,705","7,807","6,348","3,445","2,091","1,679","9,243","10,677","5,279",888
Kansas,Rooks,9,29,75,272,491,766,525,86,547,757,777,889
Kansas,Rush,0,7,51,139,383,383,485,49,497,469,433,891
Kansas,Russell,4,38,65,302,797,855,944,115,793,"1,330",767,893
Kansas,Saline,287,459,"1,194","4,777","6,481","5,760","3,293","1,906","7,413","7,995","4,937",895
Kansas,Scott,62,32,97,417,525,661,268,24,553,863,622,897
Kansas,Sedgwick,"6,668","5,160","24,038","54,322","43,571","48,585","16,976","12,213","65,401","73,766","47,940",898
Kansas,Seward,406,12,329,"1,534","2,917","1,675",310,541,"2,278","2,707","1,657",900
Kansas,Shawnee,667,875,"6,814","16,828","23,338","13,365","11,075","5,300","25,023","27,380","15,259",902
Kansas,Sheridan,6,10,61,122,401,230,250,44,260,319,457,904
Kansas,Sherman,39,36,90,407,"1,316",264,417,82,666,897,924,907
Kansas,Smith,6,6,87,186,493,259,627,67,390,543,664,909
Kansas,Stafford,2,1,50,214,409,440,642,46,419,665,628,911
Kansas,Stanton,0,18,104,225,251,149,103,28,164,391,267,913
Kansas,Stevens,21,57,46,395,598,455,198,112,380,729,549,914
Kansas,Sumner,179,56,775,"1,965","2,020","1,664","2,803",434,"2,525","3,128","3,375",916
Kansas,Thomas,40,12,112,475,"1,442",750,463,119,544,"1,740",891,917
Kansas,Trego,15,5,21,183,422,376,331,10,356,477,510,919
Kansas,Wabaunsee,24,48,358,540,556,207,989,83,487,"1,019","1,133",920
Kansas,Wallace,5,18,15,90,185,135,203,18,122,207,304,921
Kansas,Washington,3,40,158,214,628,496,873,64,676,904,768,922
Kansas,Wichita,2,11,13,191,411,203,104,44,169,411,311,923
Kansas,Wilson,16,124,244,660,819,660,"1,104",210,"1,100","1,119","1,198",925
Kansas,Woodson,26,17,63,190,266,308,520,83,353,549,405,926
Kansas,Wyandotte,"1,051","1,217","4,994","7,284","17,357","15,825","12,672","5,383","21,049","20,429","13,539",927
Kentucky,Adair,323,191,"1,130","2,181","2,064",605,497,365,"1,831","2,603","2,192",928
Kentucky,Allen,366,293,"1,478","2,652","1,700",638,689,416,"2,344","2,632","2,424",929
Kentucky,Anderson,177,185,"1,643","3,614","1,893",417,828,347,"2,520","3,494","2,396",930
Kentucky,Ballard,50,191,432,856,801,520,202,316,709,"1,174",853,932
Kentucky,Barren,505,718,"2,863","4,961","4,709","2,229","1,407",972,"5,226","6,199","4,995",933
Kentucky,Bath,216,110,861,"1,793","1,071",357,477,412,"1,171","1,679","1,623",934
Kentucky,Bell,81,116,"1,104","3,280","3,404","1,838",681,"1,086","3,940","3,410","2,068",936
Kentucky,Boone,"2,157","1,973","13,368","18,277","7,785","2,881",950,"1,318","13,524","19,205","13,344",1002
Kentucky,Bourbon,124,207,"1,249","1,807","1,972","1,086","1,545",387,"2,435","3,084","2,084",1005
Kentucky,Boyd,203,226,"1,223","4,198","6,570","3,472","2,321","1,463","5,929","6,914","3,907",1008
Kentucky,Boyle,153,372,"1,363","3,067","3,624","1,288","1,212",860,"3,683","3,966","2,570",1010
Kentucky,Bracken,120,67,517,815,603,295,780,150,685,"1,261","1,101",1013
Kentucky,Breathitt,178,158,800,"2,228","1,310",442,165,781,"1,886","1,602","1,012",1017
Kentucky,Breckinridge,194,297,"1,496","2,346","2,273",594,531,396,"2,096","2,614","2,625",1020
Kentucky,Bullitt,"1,148","1,309","6,552","10,666","7,759","1,918",588,941,"7,297","11,891","9,811",1024
Kentucky,Butler,269,158,523,"1,584","1,540",540,209,288,"1,208","1,660","1,667",1026
Kentucky,Caldwell,66,287,601,"1,310","1,289","1,233",429,471,"1,301","1,858","1,585",1031
Kentucky,Calloway,855,492,"1,648","5,147","4,731","1,829",790,697,"5,661","5,856","3,278",1033
Kentucky,Campbell,928,935,"4,065","9,743","5,754","5,911","9,861","2,718","12,835","13,763","7,881",1035
Kentucky,Carlisle,58,28,198,557,444,390,250,69,531,781,544,1039
Kentucky,Carroll,120,73,474,"1,625",708,455,721,228,"1,493","1,296","1,159",1041
Kentucky,Carter,214,151,"1,420","3,083","3,196","1,214",346,613,"2,531","3,157","3,323",1044
Kentucky,Casey,139,185,758,"2,779","1,307",591,289,348,"1,744","2,367","1,589",1048
Kentucky,Christian,748,772,"4,213","7,675","7,996","3,835",858,"2,021","8,874","10,501","4,701",1050
Kentucky,Clark,369,148,"2,451","4,562","3,891","1,869","1,286",982,"4,702","5,378","3,514",1053
Kentucky,Clay,139,205,"1,257","3,379","1,688",555,209,938,"2,305","2,558","1,631",1056
Kentucky,Clinton,67,110,543,"1,438","1,112",544,209,346,"1,258","1,379","1,040",1059
Kentucky,Crittenden,132,27,501,"1,028","1,108",528,264,248,"1,061","1,161","1,118",1064
Kentucky,Cumberland,70,78,342,954,698,334,166,249,770,975,648,1067
Kentucky,Daviess,"1,376","1,345","4,465","9,545","13,062","7,318","3,118","2,657","12,297","15,533","9,742",1071
Kentucky,Edmonson,254,159,719,"1,783","1,283",467,363,157,"1,470","1,886","1,515",1073
Kentucky,Elliott,31,64,415,853,828,131,90,96,756,863,697,1075
Kentucky,Estill,66,78,526,"2,079","1,554",669,668,562,"1,726","2,146","1,206",1077
Kentucky,Fayette,"4,461","4,993","19,252","39,175","37,777","16,695","8,573","9,818","47,037","52,750","21,321",1080
Kentucky,Fleming,277,234,898,"1,890","1,288",757,546,441,"1,545","2,358","1,546",1083
Kentucky,Floyd,439,507,"1,529","4,983","4,237","1,618","1,387","1,329","5,118","4,985","3,268",1085
Kentucky,Franklin,304,417,"2,199","6,392","6,246","3,762","1,958","1,522","7,195","8,518","4,043",1086
Kentucky,Fulton,8,117,197,579,919,469,261,406,922,761,461,1088
Kentucky,Gallatin,70,63,765,"1,168",531,309,182,141,948,"1,099",900,1090
Kentucky,Garrard,273,99,"1,382","2,147","1,837",502,539,245,"1,582","2,597","2,355",1092
Kentucky,Grant,174,209,"1,750","3,967","1,921",499,690,336,"2,519","3,629","2,726",1094
Kentucky,Graves,278,359,"1,609","3,903","5,025","2,221","1,007",797,"4,260","5,572","3,773",1097
Kentucky,Grayson,222,260,"1,594","3,261","3,210",714,492,596,"3,164","2,876","3,117",1100
Kentucky,Green,31,129,570,"1,502","1,186",578,444,271,"1,415","1,526","1,228",1102
Kentucky,Greenup,250,475,"1,345","3,773","5,491","1,976","1,004",693,"3,755","5,872","3,994",1105
Kentucky,Hancock,60,82,496,"1,218","1,029",235,244,132,707,"1,278","1,247",1107
Kentucky,Hardin,"1,490","2,524","7,512","13,716","11,477","3,681","1,659","2,160","13,546","15,270","11,083",1110
Kentucky,Harlan,158,190,"1,018","3,223","2,783","1,830","1,543","1,220","3,703","3,526","2,296",1114
Kentucky,Harrison,232,229,"1,230","2,408","1,302",867,"1,206",647,"1,967","2,743","2,117",1119
Kentucky,Hart,246,108,"1,175","2,290","1,970",948,519,706,"2,261","2,474","1,815",1121
Kentucky,Henderson,375,426,"2,104","5,399","5,521","3,185","1,752","1,389","6,569","6,607","4,197",1126
Kentucky,Henry,113,139,944,"1,476","1,972",560,950,242,"1,674","2,021","2,217",1129
Kentucky,Hickman,3,56,88,539,609,298,131,101,425,831,367,1130
Kentucky,Hopkins,294,473,"2,057","5,417","5,614","2,806","1,958","1,266","5,845","6,600","4,908",1136
Kentucky,Jackson,99,102,"1,007","2,145","1,322",494,248,477,"1,681","1,839","1,420",1140
Kentucky,Jefferson,"8,931","6,016","32,945","63,853","92,218","69,476","42,972","29,450","117,892","117,435","51,634",1143
Kentucky,Jessamine,965,707,"3,717","7,116","4,578","1,096",709,732,"5,572","7,770","4,814",1145
Kentucky,Johnson,233,250,"1,327","3,149","2,316",818,435,895,"2,414","3,652","1,567",1148
Kentucky,Kenton,"1,567","1,349","7,572","16,107","15,894","9,922","12,133","4,723","20,371","26,277","13,173",1151
Kentucky,Knott,124,245,"1,038","2,337","1,419",721,435,578,"2,526","2,192","1,023",1154
Kentucky,Knox,216,181,"2,102","4,568","3,268","1,071",669,"1,414","4,546","4,157","1,958",1159
Kentucky,Larue,79,250,861,"1,973","1,425",520,671,161,"1,588","2,097","1,933",1162
Kentucky,Laurel,750,901,"3,854","9,575","4,830","1,658","1,097","1,504","6,574","9,031","5,556",1166
Kentucky,Lawrence,189,321,876,"1,863","1,422",592,320,355,"1,773","1,890","1,565",1167
Kentucky,Lee,48,160,396,"1,036",748,284,212,446,925,835,678,1171
Kentucky,Leslie,188,64,572,"1,745",973,513,101,464,"1,113","1,570","1,009",1175
Kentucky,Letcher,104,164,"1,563","2,763","2,988","1,042",975,800,"3,429","3,128","2,242",1178
Kentucky,Lewis,67,34,984,"1,905","1,173",680,383,429,"1,700","1,622","1,475",1180
Kentucky,Lincoln,236,225,"2,088","3,038","2,245",842,"1,003",556,"3,033","3,286","2,802",1184
Kentucky,Livingston,21,28,426,"1,246","1,355",522,205,88,999,"1,584","1,132",1187
Kentucky,Logan,248,241,761,"3,079","3,998",784,"1,348",819,"2,690","3,927","3,023",1190
Kentucky,Lyon,89,109,617,"1,129",913,271,138,61,"1,076","1,292",837,1193
Kentucky,McCracken,795,772,"3,118","8,469","7,654","4,307","2,672","2,020","9,607","10,660","5,500",1196
Kentucky,McCreary,62,217,748,"3,075","1,353",454,278,618,"1,953","2,160","1,456",1198
Kentucky,McLean,38,73,307,999,"1,474",375,481,250,812,"1,436","1,249",1201
Kentucky,Madison,"1,887","2,043","6,443","13,136","6,815","2,281","1,271","1,620","11,318","13,086","7,852",1204
Kentucky,Magoffin,164,235,670,"1,876","1,250",551,243,515,"1,631","1,896",947,1206
Kentucky,Marion,283,220,847,"2,412","2,047",893,731,456,"2,501","2,216","2,260",1210
Kentucky,Marshall,527,415,"1,306","4,312","4,195","1,812",552,631,"3,217","5,779","3,492",1213
Kentucky,Martin,93,66,641,"1,731","1,047",382,85,316,"1,323","1,527",879,1215
Kentucky,Mason,114,222,954,"1,688","1,436","1,151",958,610,"1,986","2,104","1,823",1217
Kentucky,Meade,324,821,"2,259","3,534","2,337","1,060",355,358,"2,452","4,412","3,468",1220
Kentucky,Menifee,42,19,398,"1,110",730,95,70,136,641,"1,141",546,1222
Kentucky,Mercer,47,145,"1,064","2,631","2,436",961,"1,434",486,"2,839","3,076","2,317",1225
Kentucky,Metcalfe,28,110,714,"1,318","1,284",487,246,170,"1,205","1,218","1,594",1228
Kentucky,Monroe,92,80,642,"1,190","1,610",516,403,353,"1,422","1,509","1,249",1230
Kentucky,Montgomery,276,337,"2,134","2,916","3,500",826,664,626,"3,063","4,244","2,720",1233
Kentucky,Morgan,150,162,891,"1,824","1,094",398,277,348,"1,515","1,606","1,327",1235
Kentucky,Muhlenberg,175,413,"1,227","2,894","4,291","1,452","1,087",539,"3,116","3,965","3,919",1238
Kentucky,Nelson,633,462,"4,026","6,073","4,015","1,694","1,088",934,"4,499","6,744","5,814",1243
Kentucky,Nicholas,110,86,263,724,579,336,616,276,800,800,838,1246
Kentucky,Ohio,222,328,"1,496","2,701","2,713","1,103",663,364,"2,394","3,426","3,042",1249
Kentucky,Oldham,"1,077",675,"5,079","7,985","4,999",804,640,342,"3,592","9,734","7,591",1252
Kentucky,Owen,65,93,677,"1,518",994,378,521,113,"1,404","1,213","1,516",1255
Kentucky,Owsley,16,45,270,655,420,183,66,179,622,322,532,1257
Kentucky,Pendleton,98,208,905,"1,754",933,651,701,220,"1,376","1,989","1,665",1260
Kentucky,Perry,312,407,"1,807","3,577","2,698","1,559",974,"1,073","3,639","4,189","2,433",1265
Kentucky,Pike,837,"1,003","3,476","10,168","6,558","2,574",890,"2,067","8,827","9,097","5,515",1267
Kentucky,Powell,140,84,748,"1,608","1,531",348,239,453,"1,526","1,411","1,308",1270
Kentucky,Pulaski,541,"1,081","4,664","7,665","7,598","2,346","1,677","1,841","8,917","8,590","6,224",1272
Kentucky,Robertson,20,42,161,173,237,87,139,39,193,371,256,1273
Kentucky,Rockcastle,162,119,"1,278","2,458","1,496",647,449,545,"1,955","2,380","1,729",1276
Kentucky,Rowan,392,450,"1,205","3,512","2,374",580,234,972,"2,598","2,818","2,359",1279
Kentucky,Russell,154,118,"1,319","2,691","1,946",564,330,343,"2,253","2,639","1,887",1282
Kentucky,Scott,"1,682","1,264","6,017","7,123","2,932","1,006","1,162",752,"5,172","9,421","5,841",1283
Kentucky,Shelby,"1,025",444,"3,738","5,494","3,086","1,514","1,500",489,"4,173","7,050","5,089",1285
Kentucky,Simpson,271,145,"1,086","2,358","2,043",640,638,184,"2,430","2,623","1,944",1287
Kentucky,Spencer,298,178,"2,189","2,538",991,327,378,157,872,"3,068","2,802",1000
Kentucky,Taylor,208,424,998,"3,121","3,367","1,041",500,665,"2,967","3,684","2,343",1003
Kentucky,Todd,182,44,673,"1,296","1,585",550,325,448,"1,217","1,619","1,371",1006
Kentucky,Trigg,169,375,976,"1,940","1,829",405,222,377,"1,587","2,163","1,789",1009
Kentucky,Trimble,80,139,549,"1,144",858,381,247,274,951,"1,211",962,1012
Kentucky,Union,46,140,414,"1,344","1,636",823,773,231,"1,591","1,908","1,446",1016
Kentucky,Warren,"3,221","2,424","9,788","15,330","12,329","4,057","2,731","3,059","15,964","19,377","11,480",1019
Kentucky,Washington,196,284,936,"1,358",970,400,558,303,"1,124","1,764","1,511",1023
Kentucky,Wayne,164,239,"1,010","3,369","2,661",514,341,726,"2,647","2,908","2,017",1027
Kentucky,Webster,105,185,315,"1,529","1,338",906,623,330,"1,256","1,969","1,446",1029
Kentucky,Whitley,548,456,"1,731","4,079","3,665","1,418",788,952,"3,941","4,674","3,118",1034
Kentucky,Wolfe,89,145,529,"1,096",793,179,160,700,886,956,449,1037
Kentucky,Woodford,419,160,"1,420","4,045","2,491",819,"1,045",364,"2,959","4,508","2,568",1042
Louisiana,Acadia,767,892,"3,150","5,871","6,869","3,674","1,375","1,684","8,054","8,954","3,906",1046
Louisiana,Allen,600,75,"1,061","2,159","2,207","1,545",490,504,"2,791","2,760","2,082",1051
Louisiana,Ascension,"4,552","3,081","13,928","12,055","7,047","2,295","1,071","1,484","12,211","20,262","10,072",1055
Louisiana,Assumption,173,238,936,"3,186","2,959","1,023",426,965,"2,711","3,138","2,127",1060
Louisiana,Avoyelles,405,356,"1,833","4,564","4,378","2,721",960,"1,228","5,731","5,380","2,878",1062
Louisiana,Beauregard,834,736,"2,904","4,450","3,442","1,020",426,860,"4,445","5,269","3,238",1066
Louisiana,Bienville,93,145,631,"1,942","1,706",840,498,680,"2,221","1,877","1,077",1069
Louisiana,Bossier,"2,323","3,745","9,484","15,459","12,431","5,522",636,"2,624","15,846","19,887","11,243",1076
Louisiana,Caddo,"2,567","2,559","9,840","24,060","33,888","17,807","5,322","9,595","40,652","31,416","14,380",1079
Louisiana,Calcasieu,"5,385","3,903","12,245","20,074","20,895","12,906","3,019","4,176","28,409","30,743","15,099",1081
Louisiana,Caldwell,189,128,503,"1,381","1,148",260,290,178,"1,303","1,677",741,1084
Louisiana,Cameron,304,170,"1,517",339,246,243,83,29,"1,071",844,958,1089
Louisiana,Catahoula,89,94,504,822,"1,505",301,79,240,"1,037","1,338",779,1093
Louisiana,Claiborne,62,196,260,"1,621","2,429","1,044",196,537,"2,377","1,823","1,071",1095
Louisiana,Concordia,71,221,779,"1,562","2,513","1,271",277,647,"2,690","2,409",948,1098
Louisiana,De Soto,557,466,"1,823","3,891","2,523","1,145",546,"1,065","3,575","3,956","2,355",1103
Louisiana,East Baton Rouge,"7,370","6,991","21,417","48,968","53,898","20,293","5,704","11,861","63,697","61,744","27,339",1108
Louisiana,East Carroll,53,27,161,421,727,187,112,226,744,528,190,1111
Louisiana,East Feliciana,355,208,"1,534","2,544","1,411",595,363,687,"2,170","2,609","1,544",1115
Louisiana,Evangeline,527,489,986,"4,126","4,090","1,565",610,"1,678","4,411","4,519","1,785",1118
Louisiana,Franklin,366,358,860,"1,772","2,715",916,516,421,"3,365","2,534","1,183",1123
Louisiana,Grant,467,264,"1,502","2,254","1,616",598,353,384,"1,900","2,336","2,434",1127
Louisiana,Iberia,774,964,"4,330","7,520","7,129","4,180","1,879","2,681","8,758","10,427","4,910",1133
Louisiana,Iberville,339,522,"1,453","3,438","3,197","1,016","1,140","1,028","4,088","4,204","1,785",1134
Louisiana,Jackson,156,155,512,"1,537","2,088",906,505,601,"1,836","2,094","1,328",1138
Louisiana,Jefferson,"1,847","1,304","11,002","42,004","80,885","28,957","4,399","13,760","68,101","62,153","26,384",1147
Louisiana,Jefferson Davis,344,267,"2,003","2,866","2,821","2,561",703,726,"4,001","4,411","2,427",1155
Louisiana,Lafayette,"6,453","6,948","14,403","28,242","24,896","9,064","2,470","6,152","32,918","39,115","14,291",1161
Louisiana,Lafourche,"1,655","1,934","5,301","9,858","11,931","4,595","1,371","2,781","11,858","15,140","6,866",1280
Louisiana,La Salle,137,116,615,"1,576","1,506",658,260,165,"1,414","2,081","1,208",1289
Louisiana,Lincoln,648,714,"2,716","6,133","5,653","1,617",380,"1,578","6,446","6,067","3,770",1291
Louisiana,Livingston,"4,291","4,222","14,667","15,931","7,197","1,664",718,"2,131","15,791","19,635","11,133",1295
Louisiana,Madison,101,355,371,911,"1,282",533,176,465,"1,366","1,387",511,1297
Louisiana,Morehouse,221,173,"1,343","2,738","3,585","1,322",356,"1,215","3,619","3,426","1,478",1299
Louisiana,Natchitoches,443,536,"1,889","6,269","3,396","1,197",594,"1,274","5,344","4,930","2,776",1301
Louisiana,Orleans,"2,425","3,506","10,901","17,657","41,910","30,796","47,631","27,608","73,710","40,895","12,613",1304
Louisiana,Ouachita,"2,025","2,171","7,737","16,311","20,327","6,621","1,764","4,963","22,986","19,701","9,306",1306
Louisiana,Plaquemines,187,403,"3,395","2,256","1,949",300,110,431,"2,827","3,727","1,615",1427
Louisiana,Pointe Coupee,218,359,"1,422","2,696","2,541","1,247",573,614,"3,493","3,712","1,237",1431
Louisiana,Rapides,"1,791","2,077","6,895","12,820","15,035","8,068","2,389","4,886","18,378","17,229","8,582",1434
Louisiana,Red River,147,181,457,746,"1,110",592,49,321,"1,065","1,186",710,1436
Louisiana,Richland,282,367,953,"1,829","2,480","1,259",393,525,"3,639","2,111","1,288",1439
Louisiana,Sabine,637,547,963,"3,417","2,664",914,228,634,"3,384","3,443","1,909",1441
Louisiana,St. Bernard,218,285,"1,946","4,059","6,532","1,797",328,"1,057","6,073","5,418","2,617",1463
