State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FID
Alabama,Baldwin,2020,269,250,19,0,0,0,0,74,49,36,0,0,198,71,0,20
Alabama,Clay,2020,108,99,9,0,0,0,0,86,49,26,0,0,0,108,0,65
Alabama,DeKalb,2020,364,350,14,0,0,0,0,90,45,36,0,0,331,33,0,112
Alabama,Elmore,2020,197,197,0,0,0,0,0,47,41,31,0,0,197,0,0,118
Alabama,Etowah,2020,278,260,18,0,0,0,0,92,46,34,0,0,204,74,0,131
Alabama,Jefferson,2020,366,212,151,3,0,0,0,129,67,48,0,2,123,241,0,171
Alabama,Lawrence,2020,90,87,3,0,0,0,0,75,36,18,0,0,0,90,0,181
Alabama,Madison,2020,364,307,57,0,0,0,0,88,54,40,0,0,132,227,5,217
Alabama,Mobile,2020,348,256,92,0,0,0,0,75,58,42,0,0,114,234,0,240
Alabama,Montgomery,2020,361,162,197,2,0,0,0,116,66,52,0,0,36,325,0,256
Alabama,Morgan,2020,355,308,47,0,0,0,0,71,52,35,0,0,140,215,0,262
Alabama,Russell,2020,365,299,66,0,0,0,0,99,56,36,0,0,111,254,0,288
Alabama,Shelby,2020,241,232,9,0,0,0,0,67,46,34,0,0,241,0,0,298
Alabama,Sumter,2020,355,343,12,0,0,0,0,70,44,29,0,0,178,177,0,303
Alabama,Tuscaloosa,2020,278,267,11,0,0,0,0,97,45,31,0,0,205,73,0,313
Alaska,Aleutians East,2020,121,121,0,0,0,0,0,31,22,8,0,0,0,121,0,346
Alaska,Anchorage,2020,366,334,32,0,0,0,0,91,48,22,7,0,0,232,127,400
Alaska,Bethel,2020,167,166,1,0,0,0,0,56,21,6,0,0,0,24,143,411
Alaska,Denali,2020,358,357,1,0,0,0,0,54,42,33,0,0,353,5,0,426
Alaska,Fairbanks North Star,2020,366,255,74,17,20,0,0,170,106,33,0,0,91,265,10,454
Alaska,Juneau,2020,361,343,17,1,0,0,0,101,40,14,0,0,0,331,30,482
Alaska,Kenai Peninsula,2020,122,122,0,0,0,0,0,43,15,8,0,0,0,122,0,494
Alaska,Matanuska-Susitna,2020,359,333,25,1,0,0,0,103,45,13,0,0,0,284,75,556
Alaska,North Slope,2020,112,112,0,0,0,0,0,44,12,5,0,0,0,112,0,614
Arizona,Apache,2020,364,360,4,0,0,0,0,58,29,14,0,0,0,24,340,761
Arizona,Cochise,2020,366,274,90,2,0,0,0,108,61,45,0,0,303,2,61,763
Arizona,Coconino,2020,366,308,58,0,0,0,0,93,54,44,0,0,352,14,0,771
Arizona,Gila,2020,366,256,99,8,3,0,0,174,74,44,0,0,338,1,27,787
Arizona,La Paz,2020,366,294,70,2,0,0,0,125,58,44,0,0,358,0,8,3
Arizona,Maricopa,2020,366,14,151,60,67,74,0,282,215,112,0,0,273,55,38,9
Arizona,Mohave,2020,358,349,8,1,0,0,0,116,34,18,0,0,0,25,333,15
Arizona,Navajo,2020,366,317,47,2,0,0,0,136,54,43,0,0,360,3,3,17
Arizona,Pima,2020,366,154,199,12,0,1,0,277,77,53,0,0,202,45,119,21
Arizona,Pinal,2020,366,97,186,76,5,0,2,1124,119,72,0,0,143,36,187,26
Arizona,Santa Cruz,2020,360,233,122,4,1,0,0,165,69,34,0,0,0,191,169,32
Arizona,Yavapai,2020,331,265,65,1,0,0,0,119,61,45,0,0,331,0,0,35
Arizona,Yuma,2020,366,257,106,2,0,0,1,321,69,44,0,0,235,70,61,42
Arkansas,Arkansas,2020,119,108,11,0,0,0,0,82,50,27,0,0,0,119,0,46
Arkansas,Ashley,2020,122,111,11,0,0,0,0,89,49,28,0,0,0,122,0,50
Arkansas,Clark,2020,342,341,1,0,0,0,0,67,40,29,0,0,342,0,0,86
Arkansas,Crittenden,2020,366,309,54,3,0,0,0,115,54,38,0,5,205,156,0,119
Arkansas,Garland,2020,121,105,16,0,0,0,0,83,53,29,0,0,0,121,0,151
Arkansas,Jackson,2020,122,109,13,0,0,0,0,77,51,26,0,0,0,122,0,209
Arkansas,Newton,2020,364,354,10,0,0,0,0,84,45,35,0,0,352,12,0,311
Arkansas,Polk,2020,359,336,23,0,0,0,0,84,47,36,0,0,326,33,0,337
Arkansas,Pulaski,2020,366,275,89,2,0,0,0,132,59,42,0,6,155,205,0,350
Arkansas,Union,2020,121,106,15,0,0,0,0,89,52,34,0,0,0,121,0,403
Arkansas,Washington,2020,366,321,44,1,0,0,0,150,52,39,0,0,244,122,0,417
California,Alameda,2020,366,236,110,8,11,1,0,218,79,43,0,13,155,198,0,457
California,Amador,2020,359,327,29,2,1,0,0,156,50,37,0,0,359,0,0,472
California,Butte,2020,366,183,144,18,18,2,1,379,110,51,0,0,195,164,7,486
California,Calaveras,2020,364,260,81,10,13,0,0,192,77,44,0,0,237,122,5,489
California,Colusa,2020,366,247,87,9,23,0,0,198,86,38,0,0,190,144,32,497
California,Contra Costa,2020,366,258,90,7,11,0,0,197,72,41,0,5,188,173,0,503
California,Del Norte,2020,292,248,35,4,4,1,0,220,55,32,0,0,0,292,0,511
California,El Dorado,2020,366,258,85,17,6,0,0,190,90,43,0,0,351,8,7,522
California,Fresno,2020,366,94,173,59,34,6,0,298,153,74,0,3,168,180,15,527
California,Glenn,2020,364,251,84,7,22,0,0,197,82,43,0,0,203,143,18,537
California,Humboldt,2020,366,333,30,3,0,0,0,109,44,29,0,0,236,68,62,551
California,Imperial,2020,366,119,219,26,2,0,0,166,97,58,0,2,181,73,110,557
California,Inyo,2020,366,172,139,23,19,5,8,684,130,52,0,0,228,116,22,562
California,Kern,2020,366,78,158,98,30,2,0,267,140,81,0,0,206,143,17,84
California,Kings,2020,366,98,198,54,15,0,1,543,124,67,0,0,148,164,54,94
California,Lake,2020,351,341,6,1,3,0,0,180,43,32,0,0,336,13,2,100
California,Los Angeles,2020,366,60,169,77,44,16,0,235,165,83,0,23,208,130,5,139
California,Madera,2020,366,137,176,34,17,2,0,250,113,61,0,0,192,149,25,153
California,Marin,2020,366,310,47,4,4,1,0,206,57,33,0,16,207,143,0,168
California,Mariposa,2020,366,208,110,27,12,4,5,618,111,47,0,0,295,61,10,178
California,Mendocino,2020,366,280,63,10,10,1,2,456,76,34,0,0,179,182,5,190
California,Merced,2020,366,171,163,17,15,0,0,183,95,53,0,0,192,173,1,204
California,Mono,2020,366,211,89,13,17,10,26,1928,199,40,0,0,0,304,62,214
California,Monterey,2020,366,299,52,4,9,2,0,250,63,36,0,0,223,106,37,228
California,Napa,2020,365,298,52,7,8,0,0,199,62,36,3,0,227,135,0,236
California,Nevada,2020,366,268,66,15,13,4,0,252,90,41,0,0,237,129,0,243
California,Orange,2020,366,178,147,28,11,2,0,218,108,51,0,11,217,135,3,257
California,Placer,2020,366,167,158,20,18,3,0,222,108,54,0,0,229,129,8,266
California,Plumas,2020,360,183,127,16,20,10,4,469,146,49,0,0,0,360,0,275
California,Riverside,2020,366,52,169,98,36,9,2,576,159,87,0,0,225,101,40,281
California,Sacramento,2020,366,176,154,17,19,0,0,200,100,52,0,2,192,163,9,289
California,San Benito,2020,366,301,48,8,9,0,0,168,67,39,0,0,302,54,10,295
California,San Bernardino,2020,366,50,153,76,69,18,0,236,185,93,0,17,228,106,15,302
California,San Diego,2020,366,60,257,35,14,0,0,192,108,71,0,2,118,243,3,315
California,San Francisco,2020,366,277,81,3,5,0,0,198,62,36,0,15,159,192,0,331
California,San Joaquin,2020,366,197,138,16,15,0,0,195,96,48,0,0,177,169,20,339
California,San Luis Obispo,2020,366,211,124,21,8,2,0,292,90,48,0,0,250,96,20,351
California,San Mateo,2020,366,307,49,5,5,0,0,186,60,35,0,21,196,149,0,368
California,Santa Barbara,2020,366,273,80,9,4,0,0,168,66,42,0,0,247,113,6,391
California,Santa Clara,2020,366,237,109,11,9,0,0,186,79,44,0,8,171,187,0,406
California,Santa Cruz,2020,366,304,42,6,10,2,2,426,64,34,0,0,207,159,0,415
California,Shasta,2020,366,295,63,6,2,0,0,166,64,41,0,0,336,30,0,431
California,Siskiyou,2020,366,305,38,10,10,2,1,359,61,36,0,0,246,120,0,446
California,Solano,2020,366,257,93,9,6,1,0,204,76,41,0,0,191,174,1,453
California,Sonoma,2020,366,319,40,1,6,0,0,187,53,33,0,1,215,139,11,463
California,Stanislaus,2020,366,156,173,21,16,0,0,189,102,55,0,1,195,150,20,473
California,Sutter,2020,366,208,127,15,14,1,1,303,89,48,0,0,183,179,4,483
California,Tehama,2020,366,249,84,12,21,0,0,196,93,43,0,0,244,122,0,492
California,Trinity,2020,343,256,59,12,16,0,0,193,79,27,0,0,0,343,0,500
California,Tulare,2020,366,79,152,103,30,2,0,209,145,79,0,0,186,166,14,501
California,Tuolumne,2020,353,277,71,5,0,0,0,143,64,41,0,0,353,0,0,513
California,Ventura,2020,366,225,115,21,5,0,0,174,90,47,0,0,299,58,9,521
California,Yolo,2020,366,255,83,14,14,0,0,192,84,42,0,1,208,157,0,525
Colorado,Adams,2020,366,222,132,11,1,0,0,151,72,47,0,68,179,59,60,545
Colorado,Alamosa,2020,119,116,3,0,0,0,0,60,30,10,0,0,0,119,0,549
Colorado,Arapahoe,2020,366,248,107,9,2,0,0,159,76,45,0,0,356,10,0,558
Colorado,Archuleta,2020,365,302,63,0,0,0,0,93,58,43,0,0,319,0,46,560
Colorado,Boulder,2020,366,217,128,19,2,0,0,173,84,47,0,0,249,116,1,570
Colorado,Clear Creek,2020,190,134,50,6,0,0,0,143,71,47,0,0,190,0,0,591
Colorado,Delta,2020,365,328,37,0,0,0,0,97,51,41,0,0,331,34,0,617
Colorado,Denver,2020,366,185,164,17,0,0,0,150,80,50,0,108,142,113,3,628
Colorado,Douglas,2020,361,237,107,14,3,0,0,159,80,46,0,0,308,53,0,644
Colorado,El Paso,2020,366,255,104,6,1,0,0,151,74,45,0,0,340,26,0,661
Colorado,Fremont,2020,17,17,0,0,0,0,0,27,20,11,0,0,0,0,17,664
Colorado,Garfield,2020,366,255,106,5,0,0,0,122,74,46,0,0,349,17,0,667
Colorado,Gilpin,2020,357,278,70,9,0,0,0,136,67,45,0,0,357,0,0,672
Colorado,Gunnison,2020,333,278,53,2,0,0,0,108,54,44,0,0,333,0,0,682
Colorado,Jackson,2020,81,77,4,0,0,0,0,84,31,5,0,0,0,81,0,701
Colorado,Jefferson,2020,366,231,108,23,4,0,0,161,90,46,0,0,366,0,0,706
Colorado,La Plata,2020,366,284,80,2,0,0,0,133,61,44,0,0,348,18,0,727
Colorado,Larimer,2020,366,222,125,17,2,0,0,157,87,48,0,0,316,50,0,734
Colorado,Mesa,2020,366,302,61,3,0,0,0,108,58,44,0,0,299,66,1,751
Colorado,Montezuma,2020,366,301,63,2,0,0,0,126,58,44,0,0,366,0,0,766
Colorado,Pitkin,2020,120,116,4,0,0,0,0,68,33,11,0,0,0,38,82,789
Colorado,Prowers,2020,350,327,19,1,2,1,0,238,42,17,0,0,0,0,350,792
Colorado,Pueblo,2020,96,91,5,0,0,0,0,63,45,19,0,0,0,49,47,795
Colorado,Rio Blanco,2020,365,311,51,3,0,0,0,115,54,42,0,1,321,43,0,799
Colorado,Routt,2020,358,353,5,0,0,0,0,68,29,14,0,0,0,0,358,809
Colorado,San Juan,2020,119,117,2,0,0,0,0,69,23,7,0,0,0,119,0,347
Colorado,San Miguel,2020,117,114,3,0,0,0,0,54,26,12,0,0,0,0,117,359
Colorado,Weld,2020,366,219,134,13,0,0,0,140,82,48,0,7,234,125,0,382
Connecticut,Fairfield,2020,366,256,97,12,1,0,0,161,80,44,0,14,191,161,0,410
Connecticut,Hartford,2020,366,310,56,0,0,0,0,98,55,39,1,22,219,124,0,432
Connecticut,Litchfield,2020,362,327,35,0,0,0,0,84,50,38,2,0,301,59,0,443
Connecticut,Middlesex,2020,208,182,24,2,0,0,0,129,54,39,0,0,208,0,0,450
Connecticut,New Haven,2020,366,266,87,11,2,0,0,174,77,42,1,15,211,135,4,466
Connecticut,New London,2020,365,310,51,3,1,0,0,172,58,37,0,0,186,178,1,517
Connecticut,Tolland,2020,206,192,14,0,0,0,0,93,48,39,0,0,206,0,0,524
Connecticut,Windham,2020,356,345,11,0,0,0,0,87,44,35,0,0,356,0,0,529
Delaware,Kent,2020,362,332,30,0,0,0,0,80,48,36,0,0,290,72,0,532
Delaware,New Castle,2020,366,300,64,2,0,0,0,105,58,40,0,9,218,139,0,536
Delaware,Sussex,2020,366,329,37,0,0,0,0,87,51,38,0,0,277,89,0,609
District of Columbia,District of Columbia,2020,366,314,51,0,1,0,0,166,53,40,0,45,216,105,0,630
Florida,Alachua,2020,366,325,40,1,0,0,0,105,52,36,0,0,200,166,0,639
Florida,Baker,2020,363,331,30,2,0,0,0,140,49,35,0,0,208,155,0,641
Florida,Bay,2020,363,281,80,2,0,0,0,146,58,40,0,0,162,201,0,658
Florida,Brevard,2020,366,324,42,0,0,0,0,84,52,39,0,0,245,121,0,686
Florida,Broward,2020,366,290,74,2,0,0,0,142,57,40,0,4,145,217,0,695
Florida,Citrus,2020,359,309,49,1,0,0,0,125,53,32,0,0,0,359,0,843
Florida,Collier,2020,364,316,48,0,0,0,0,85,54,36,0,0,178,186,0,894
Florida,Columbia,2020,311,255,53,1,2,0,0,158,56,36,0,0,94,217,0,903
Florida,Duval,2020,366,274,89,3,0,0,0,125,59,42,0,0,125,240,1,924
Florida,Escambia,2020,360,269,91,0,0,0,0,80,58,42,0,0,165,195,0,931
Florida,Flagler,2020,366,363,3,0,0,0,0,64,43,31,0,0,366,0,0,935
Florida,Hamilton,2020,298,263,33,1,1,0,0,154,52,34,0,0,0,298,0,942
Florida,Highlands,2020,358,345,13,0,0,0,0,74,44,31,0,0,358,0,0,946
Florida,Hillsborough,2020,366,280,83,3,0,0,0,112,60,43,0,0,165,196,5,947
Florida,Holmes,2020,363,308,52,3,0,0,0,138,54,38,0,0,150,213,0,948
Florida,Indian River,2020,338,323,15,0,0,0,0,87,47,37,0,0,338,0,0,949
Florida,Lake,2020,366,354,12,0,0,0,0,87,45,32,0,0,366,0,0,953
Florida,Lee,2020,366,330,36,0,0,0,0,100,50,36,0,0,258,108,0,954
Florida,Leon,2020,366,289,74,2,1,0,0,160,58,40,0,0,106,260,0,955
Florida,Liberty,2020,358,356,2,0,0,0,0,51,44,31,0,0,358,0,0,957
Florida,Manatee,2020,366,355,11,0,0,0,0,97,44,33,0,0,366,0,0,959
Florida,Marion,2020,366,300,66,0,0,0,0,100,55,39,0,0,169,197,0,960
Florida,Martin,2020,365,320,45,0,0,0,0,95,52,36,0,0,200,165,0,961
Florida,Miami-Dade,2020,366,297,69,0,0,0,0,90,58,39,0,4,156,206,0,962
Florida,Nassau,2020,43,42,1,0,0,0,0,51,43,31,0,0,0,43,0,964
Florida,Okaloosa,2020,364,355,9,0,0,0,0,74,46,34,0,0,334,0,30,965
Florida,Orange,2020,366,326,40,0,0,0,0,93,51,36,0,0,265,100,1,967
Florida,Osceola,2020,366,354,12,0,0,0,0,90,44,32,0,0,366,0,0,968
Florida,Palm Beach,2020,361,310,51,0,0,0,0,92,53,38,0,0,211,119,31,969
Florida,Pasco,2020,366,355,11,0,0,0,0,77,46,35,0,0,366,0,0,970
Florida,Pinellas,2020,366,301,65,0,0,0,0,100,56,40,0,0,195,171,0,971
Florida,Polk,2020,365,311,54,0,0,0,0,87,54,37,0,0,198,165,2,972
Florida,Putnam,2020,366,365,1,0,0,0,0,67,27,14,0,0,0,0,366,973
Florida,Santa Rosa,2020,365,295,70,0,0,0,0,84,57,40,0,0,206,159,0,976
Florida,Sarasota,2020,366,308,58,0,0,0,0,90,55,38,0,0,211,155,0,977
Florida,Seminole,2020,365,332,33,0,0,0,0,84,49,36,0,0,242,120,3,978
Florida,St. Lucie,2020,360,351,9,0,0,0,0,74,44,33,0,0,360,0,0,975
Florida,Volusia,2020,362,327,35,0,0,0,0,77,50,38,0,0,209,153,0,983
Florida,Wakulla,2020,363,315,46,0,2,0,0,161,54,35,4,0,194,165,0,984
Georgia,Bibb,2020,366,323,43,0,0,0,0,97,52,35,0,0,128,238,0,997
Georgia,Charlton,2020,120,115,4,1,0,0,0,139,34,19,0,0,0,120,0,635
Georgia,Chatham,2020,365,313,51,1,0,0,0,131,53,37,0,0,111,254,0,646
Georgia,Chattooga,2020,245,244,1,0,0,0,0,58,43,32,0,0,245,0,0,659
Georgia,Clarke,2020,366,312,54,0,0,0,0,99,54,36,0,0,131,235,0,666
Georgia,Clayton,2020,121,103,18,0,0,0,0,90,54,28,0,0,0,121,0,673
Georgia,Cobb,2020,285,263,22,0,0,0,0,90,49,35,0,0,214,71,0,680
Georgia,Coffee,2020,120,115,4,1,0,0,0,108,42,25,0,0,0,120,0,684
Georgia,Columbia,2020,241,239,2,0,0,0,0,51,44,31,0,0,241,0,0,692
Georgia,Dawson,2020,245,239,6,0,0,0,0,74,43,31,0,0,245,0,0,713
Georgia,DeKalb,2020,366,300,65,1,0,0,0,106,57,38,0,32,127,207,0,718
Georgia,Dougherty,2020,365,276,87,2,0,0,0,114,61,37,0,0,0,365,0,728
Georgia,Douglas,2020,245,238,7,0,0,0,0,77,44,32,0,0,245,0,0,731
Georgia,Floyd,2020,326,283,43,0,0,0,0,80,53,31,0,0,0,326,0,764
Georgia,Fulton,2020,366,257,107,2,0,0,0,125,62,43,0,24,82,260,0,779
Georgia,Glynn,2020,285,273,12,0,0,0,0,96,44,31,0,0,218,67,0,793
Georgia,Gwinnett,2020,364,301,62,1,0,0,0,101,55,37,0,0,145,219,0,804
Georgia,Hall,2020,359,304,55,0,0,0,0,98,55,33,0,0,0,359,0,808
Georgia,Henry,2020,366,332,34,0,0,0,0,95,50,32,0,0,166,200,0,820
Georgia,Houston,2020,362,287,74,1,0,0,0,114,57,35,0,0,0,362,0,823
Georgia,Lowndes,2020,202,177,24,1,0,0,0,141,54,30,0,0,0,202,0,863
Georgia,Murray,2020,272,259,13,0,0,0,0,61,45,34,0,0,235,37,0,892
Georgia,Muscogee,2020,366,317,48,1,0,0,0,101,53,35,0,0,146,220,0,896
Georgia,Pike,2020,354,351,3,0,0,0,0,64,44,33,0,0,354,0,0,7
Georgia,Richmond,2020,366,268,97,1,0,0,0,114,59,42,0,0,84,267,15,24
Georgia,Rockdale,2020,244,232,12,0,0,0,0,77,46,34,0,0,244,0,0,28
Georgia,Sumter,2020,240,237,3,0,0,0,0,64,44,32,0,0,240,0,0,52
Georgia,Walker,2020,177,151,26,0,0,0,0,84,53,30,0,0,0,177,0,126
Georgia,Washington,2020,353,297,54,2,0,0,0,112,54,32,0,0,0,353,0,143
Hawaii,Hawaii,2020,366,357,9,0,0,0,0,80,30,17,0,0,0,366,0,198
Hawaii,Honolulu,2020,366,365,1,0,0,0,0,58,36,26,0,1,308,54,3,234
Hawaii,Kauai,2020,365,365,0,0,0,0,0,41,25,11,0,85,0,280,0,261
Hawaii,Maui,2020,349,347,2,0,0,0,0,56,23,15,0,0,0,349,0,323
Idaho,Ada,2020,366,273,75,11,7,0,0,185,72,40,0,22,214,124,6,336
Idaho,Bannock,2020,362,301,55,2,4,0,0,161,58,37,0,0,140,136,86,343
Idaho,Benewah,2020,366,272,85,2,4,2,1,371,65,32,0,0,0,366,0,354
Idaho,Blaine,2020,365,335,22,6,2,0,0,167,43,15,0,0,0,365,0,371
Idaho,Boise,2020,366,267,87,6,6,0,0,198,68,35,0,0,0,366,0,380
Idaho,Bonner,2020,365,325,30,5,5,0,0,190,52,25,0,0,0,308,57,387
Idaho,Bonneville,2020,362,326,31,1,4,0,0,154,49,21,0,0,0,362,0,395
Idaho,Butte,2020,364,334,28,1,1,0,0,152,50,40,0,0,354,10,0,414
Idaho,Canyon,2020,366,257,93,10,6,0,0,156,73,33,0,0,0,327,39,441
Idaho,Custer,2020,115,105,7,3,0,0,0,126,28,5,0,0,0,115,0,484
Idaho,Franklin,2020,365,323,39,2,1,0,0,159,53,20,0,0,0,365,0,498
Idaho,Idaho,2020,366,293,64,3,6,0,0,191,60,36,0,0,184,182,0,528
Idaho,Jerome,2020,213,213,0,0,0,0,0,37,19,10,0,0,0,213,0,547
Idaho,Kootenai,2020,354,323,23,1,3,3,1,384,48,19,0,0,0,354,0,552
Idaho,Latah,2020,361,335,19,0,4,2,1,333,41,16,0,0,0,361,0,559
Idaho,Lemhi,2020,365,226,128,8,3,0,0,163,77,35,0,0,0,365,0,566
Idaho,Nez Perce,2020,366,309,46,4,3,3,1,363,59,21,0,0,0,366,0,589
Idaho,Shoshone,2020,366,275,84,0,3,3,1,346,64,30,0,0,0,356,10,621
Idaho,Twin Falls,2020,364,330,27,3,4,0,0,160,48,18,0,0,0,364,0,634
Idaho,Valley,2020,329,248,74,5,2,0,0,192,63,30,0,0,0,329,0,643
Illinois,Adams,2020,244,220,24,0,0,0,0,84,50,38,0,0,244,0,0,650
Illinois,Champaign,2020,366,302,62,2,0,0,0,126,56,39,0,0,218,148,0,12
Illinois,Clark,2020,363,347,16,0,0,0,0,97,45,31,0,0,363,0,0,19
Illinois,Cook,2020,366,156,190,16,4,0,0,164,84,53,0,19,116,194,37,36
Illinois,DuPage,2020,366,279,83,3,1,0,0,154,59,41,0,0,164,202,0,64
