NAME,STREET,CITY,STATE,ZIP,AFFILIATION,RULING,FOUNDATION,ACTIVITY,ORGANIZATION,x,y
METANOIA MINISTRIES,116 PURLING BECK RD,WASHINGTON,NH,3280,3,200008,16,0,1,-8017633.260085686,5340852.211608739
NORTHEASTERN BIBLICAL STUDIES CENTER,5 ROCKINGHAM RD,LONDONDERRY,NH,3053,3,200107,15,0,1,-7941625.981564398,5296637.367989172
PRESENTATION OF MARY,182 LOWELL RD,HUDSON,NH,3051,9,194603,15,0,5,-7951193.669159102,5273045.628983635
LACONIA CHRISTIAN FELLOWSHIP FUND INC,1386 MEREDITH CENTER RD,LACONIA,NH,3246,3,200107,17,0,1,-7961412.46445545,5403713.750939327
NORTHUMBRIA COMMUNITY-USA,PO BOX 1824,KEENE,NH,3431,3,200210,15,0,1,-8046087.301168883,5301943.679234784
ORFORD CHURCH OF THE REDEEMER,RR 1 BOX 109,ORFORD,NH,3777,3,200008,10,0,5,-8030741.130126594,5449936.559672208
TRINITY BAPTIST CHURCH,PO BOX 5079,HANOVER,NH,3755,9,195504,10,1000000,5,-8047033.739479602,5419109.5471097035
WORLDWIDE MARRIAGE ENCOUNTER SECTION 1 INC,52 LINCOLN DR,JOHNSTON,RI,2919,3,200204,16,0,1,-7965188.198944174,5133841.332346724
ELEVATE CHURCH,70 REDINGTON ST,LITTLETON,NH,3561,3,200902,10,0,1,-7987229.458121246,5512951.35018707
HERITAGE BAPTIST CHURCH OF SALEM NEW HAMPSHIRE,108 ROCKINGHAM RD,WINDHAM,NH,3087,3,200809,10,0,1,-7931968.904418592,5286156.548574453
SAINT BENEDICT CENTER INC,PO BOX 627,WINCHESTER,NH,3470,3,200205,10,0,1,-8057807.57375705,5277327.664007195
VALLEY INSIGHT MEDITATION SOCIETY,PO BOX 634,LEBANON,NH,3766,3,200612,16,0,1,-8043112.733055395,5410370.186567056
CROSSROADS BAPTIST CHURCH,43 ATWOOD RD,PELHAM,NH,3076,3,201002,10,0,1,-7938523.507355989,5270545.203283038
LUTHERAN WINNI WEEK,10 DOGWOOD DR,HOOKSETT,NH,3106,3,200204,15,0,1,-7954116.028431407,5327421.005628693
ROCKINGHAM CHRISTIAN CHURCH,5 INDUSTRIAL WAY STE 2,SALEM,NH,3079,3,200203,10,0,1,-7931985.936300684,5278289.468607274
MANCHESTER CHINESE CHRISTIAN CHURCH,95 EDDY ROAD BLDG 2 UNIT 302,MANCHESTER,NH,3102,3,200212,10,0,1,-7956496.261783544,5311377.637214703
INNER FAITH GOSPEL TABERNACLE,32 YORK ST,ROCHESTER,NY,14611,3,200209,10,0,5,-8642565.185350921,5334959.335779963
NEW LIFE CHRISTIAN MINISTRIES,150 MIDDLESEX ST,LOWELL,MA,1852,3,200307,10,0,1,-7938332.371790299,5257498.097127741
BEREA NEW TESTAMENT,51 CLIFTON AVE APT C1712,NEWARK,NJ,7104,9,197210,10,1000000,5,-8257719.902061714,4975546.500197921
PREVAILING WORD MINISTRIES,21 WHEATLAND AVE,WEST ORANGE,NJ,7052,3,200207,10,0,1,-8265713.866015071,4977926.841627829
HAN BIT PRESBYTERIAN CHURCH OF N Y INC,15126 34TH AVE,FLUSHING,NY,11354,3,200205,10,0,1,-8216779.265015728,4978068.678142972
UNITED EMERGENCY RESPONSE SERVICES INC,71 GROVE ST,GLENWOOD LNDG,NY,11547,9,199501,10,0,1,-8197914.396188955,4986994.70607501
CONGREGATION CHESED VEYESHIA,7 ALBERT DR,MONSEY,NY,10952,3,200205,10,0,1,-8245778.21500636,5028920.469257082
NEW YORK MARI-AMMAN-KOIL,14842 236TH ST,ROSEDALE,NY,11422,3,200208,10,0,1,-8209495.519413634,4961390.6192968935
YRSRH OF MONSEY INC,YRSRH OF MONSEY,MONSEY,NY,10952,3,200204,10,0,1,-8244843.79920064,5029580.499014647
BETH EL CHURCH OF JESUS CHRIST INC,12024 142ND ST,JAMAICA,NY,11436,3,200309,10,0,1,-8215282.351823032,4964597.226524067
CONGREGATION OHEL AHARON INC,417 FOREST AVE,LAKEWOOD,NJ,8701,3,200210,10,0,1,-8262044.330320563,4879656.194462269
ASSOCIATION FOR HEBRAIC STUDIES OHR REUVEN,259 GRANDVIEW AVE,SUFFERN,NY,10901,3,200205,10,0,1,-8248805.993836447,5034260.655194145
CITY LIGHT CHURCH INC,817 BROADWAY 4TH FL STE 21,NEW YORK,NY,10003,3,200211,10,0,1,-8236657.809125667,4973057.4394240845
ENDTIME ASSEMBLY INC,147 QUINCY ST,BROOKLYN,NY,11216,9,0,10,1000000,1,-8232657.988501974,4966202.245454133
TAIMEN CHRISTIAN CHURCH OF NEW YORK,4575 163RD ST,FLUSHING,NY,11358,3,200203,10,0,1,-8215806.555305176,4976149.870768077
BURNING LIGHT CHRISTIAN CENTER INTERNATIONAL,1177 ROGERS AVE,BROOKLYN,NY,11226,3,200407,10,0,1,-8232233.193325103,4959564.129914532
MLB-POSTBROOK EAST HOUSING CORP,39 BROADWAY RM 1440,NEW YORK,NY,10006,9,198904,10,2029000,1,-8239094.59277913,4969097.934623204
CONGREGATION & YESHIVA PARDES YOSEF DCHASIDEI BELZ,12 JEFFREY PL,MONSEY,NY,10952,3,200304,10,0,1,-8244390.060956167,5029766.237447264
CHURCH OF GOD OF TABERNACLE OF THE LORD INC,PO BOX 734,EAST ORANGE,NJ,7019,3,200404,10,0,1,-8260943.937154073,4977171.982657832
EVANGELISTIC MISSIONARY ASSOCIATION AMS,403 REDWOOD AVE,PLEASANTVILLE,NJ,8232,3,200606,10,0,1,-8293263.881513535,4780656.021008483
SHELTER OF THE MOST HIGH PENTECOSTAL CHURCH IGLESIA,PO BOX 2276,WORCESTER,MA,1613,3,200305,10,0,1,-7992145.1041956935,5200819.861028292
ATTRIBUTES OF CHRIST MINISTRIES INC,302 ALBANY AVE,BROOKLYN,NY,11213,3,200204,10,0,1,-8230896.023601698,4963788.504769611
HEART CIRCLE SANGHA,451 HILLCREST RD,RIDGEWOOD,NJ,7450,3,200502,10,0,1,-8250687.961147791,5011221.615100116
ACH TOV V CHESED,123 S 8TH ST APT 7C,BROOKLYN,NY,11211,3,200205,10,0,1,-8233624.241682055,4969592.234341387
CHRISTIAN MINISTRIES OF NNDNMNTNL CHURCHES JESUS AT HOME INC,524 W 184TH ST STE 4-A,NEW YORK,NY,10033,3,200403,10,0,1,-8229942.683482541,4990299.94110577
AZUSA STREET MINISTRIES INC,11 BEDELL ST,LINDENHURST,NY,11757,3,200205,10,0,1,-8168953.628783668,4969805.322526882
EGLISE DE DIEU DE GALILEE,26 TREMLETT ST,DORCHESTR CTR,MA,2124,9,196911,10,1000000,5,-7911391.385225967,5205279.030552259
PURE DELIVERANCE CHURCH OF GOD,498 WINTHROP AVE,NEW HAVEN,CT,6511,9,197210,10,1000000,5,-8120065.559331479,5059465.139262087
PROPHETIC DESTINY MINISTRY INC,PO BOX 899,JOHNSTOWN,NY,12095,3,200311,15,0,1,-8279048.827817195,5313224.7730039
CHRISTIAN DYNAMICS,PO BOX 7635,BLOOMFIELD,CT,6002,3,201410,15,0,1,-8096691.694530124,5135694.596457136
CHABAD OF SOUTH BRUNSWICK INC,1 RIVA AVE,N BRUNSWICK,NJ,8902,3,200301,10,0,1,-8293533.83127871,4926408.340578594
CONGREGATION BAIS MOSHE,1485 E 33RD ST,BROOKLYN,NY,11234,3,200204,10,0,2,-8231272.5061195595,4955968.632936495
KEREN HALVUAH VEIZER OF SOUTHSIDE,174 BROADWAY,BROOKLYN,NY,11211,3,200206,10,0,1,-8233483.422526203,4969660.962483851
GATES OF PRAISE INC,PO BOX 388,SUFFERN,NY,10901,3,200206,10,0,1,-8252488.887869847,5028188.534441918
SAINT PAULS DELIVERANCE COMMUNITY CHURCH,850 WARREN AVE APT 101,E PROVIDENCE,RI,2914,3,200302,10,0,1,-7942513.754503474,5132342.372178601
FAITH & TRUTH TABERNACLE INC,720 BROADWAY,PATERSON,NJ,7514,3,200210,10,0,1,-8253495.438705604,5000281.154859281
INTERNATIONAL PENTECOSTAL FELLOWSHIP MINISTRY INC,279 PROSPECT AVE,WEST ORANGE,NJ,7052,3,200501,10,0,1,-8265384.02636385,4983167.929902704
OHOLEI MENACHEM,667 EASTERN PKWY,BROOKLYN,NY,11213,3,200207,10,0,1,-8231630.064323984,4963762.673742367
BRIGHTEN PRESBYTERIAN CHURCH OF NEW YORK,13626 37TH AVE STE 500,FLUSHING,NY,11354,3,200602,10,0,1,-8218733.144718133,4977265.161080472
NEW JERSEY CHOONG ANG PRESBYTERIAN CHURCH A NJ NONPROFIT ORGANIZATION,148 MOORE ST,HACKENSACK,NJ,7601,3,200606,10,0,1,-8242345.789827237,4995087.109436025
CONGREGATION CHAVREI HAKOLLEL INC,82 CABINFIELD CIR,LAKEWOOD,NJ,8701,3,200209,10,0,1,-8259438.674999563,4880910.060821526
KING OF GRACE CHURCH,28 CHADWICK ST,HAVERHILL,MA,1835,9,201505,10,0,1,-7912391.479531254,5276790.0851423815
LA PROMESA PRESBYTERIAN MISSION,15020 BARCLAY AVE,FLUSHING,NY,11355,3,200407,10,0,1,-8216803.198706252,4977283.091415194
FRESH SPRINGS MINISTRIES,9918 AVENUE K,BROOKLYN,NY,11236,3,200403,10,0,1,-8225945.423207134,4959631.614022064
IGLESIA LA GRACIA DIVINA,805 TAYLOR AVE STE 2-C,BRONX,NY,10473,3,200306,10,0,1,-8222413.367083757,4986128.376217257
FRAMINGHAM CHURCH OF GOD IN CHRIST,36 2ND ST,FRAMINGHAM,MA,1702,9,196901,10,0,5,-7948059.802854285,5202775.426439661
CHURCH OF GOD,PO BOX 265,SPRINGFIELD,MA,1101,9,197210,10,1000000,5,-8081362.221411451,5177000.018593421
CONGREGATION TALMUD TORAH D CHASIDEI BOBOV OF MONSEY,49 SOUTH MAIN STREET,SPRING VALLEY,NY,10977,3,200208,10,0,1,-8242622.196122875,5028311.455445317
THREE JEWELS OUTREACH CENTER INC,5 E 3RD ST,NEW YORK,NY,10003,3,200307,10,0,1,-8236667.159962889,4972037.814250119
CONGREGATION NETUREI KARTA INTERNATIONAL INC,PO BOX 81,MONSEY,NY,10952,3,200207,10,0,1,-8247281.807368499,5030491.789197143
HOLY TRINITY ENDOWMENT FOUNDATION INC,PO BOX 236,DANIELSON,CT,6239,3,201010,15,0,1,-8001669.599827964,5131791.7470109165
LIVING WATER CHURCH INC,304 MAIN ST STE 2,FORT LEE,NJ,7024,3,200209,10,0,1,-8234580.698746954,4990559.104292501
CONGREGATION OHEL,26 COURT ST STE 1507,BROOKLYN,NY,11242,3,200307,10,0,1,-8236607.270076842,4967195.715867586
IGLESIA METODISTA LIBRE FARO DIVINO,290 CENTRE ST,JAMAICA PLAIN,MA,2130,9,195806,10,1000000,5,-7915103.8902439205,5209471.9945394145
CONGREGATION AVREICHIM VIEN INC,PO BOX 1085,MONSEY,NY,10952,3,200209,10,0,1,-8244843.79920064,5029580.499014647
COMMUNITY KERYGMA INC,676 FARM RD,FRAMINGHAM,MA,1701,3,200303,10,0,1,-7949170.437413929,5206701.464947816
DEEP WATERS MINISTRY,59 PERRY AVE,BAYVILLE,NY,11709,3,200211,10,0,1,-8189801.988297394,4998085.49437616
WATLAO THAMMAJADI BUDDHIST TEMPLE,115 RAILROAD ST,WOONSOCKET,RI,2895,3,201205,10,0,1,-7960976.426010014,5161593.324343253
NEW LIFE KOREAN PRESBYTERIAN CHURCH,86 SHOREVIEW DR APT 4,YONKERS,NY,10710,3,200209,10,0,1,-8218354.324490959,5008394.486217673
YAHWEHS GRACE TEMPLE INC,18838 DORMANS RD,ST ALBANS QUEENS,NY,11412,3,200702,10,0,1,-8211517.415324913,4967657.911457546
CHABAD OF MEDFORD INC,21 CHETWYND RD,SOMERVILLE,MA,2144,3,200302,15,0,1,-7917589.097875876,5222328.739230792
TALMUD TORAH DNITRA,163 RODNEY ST,BROOKLYN,NY,11211,3,200301,10,0,1,-8233186.978722222,4968934.201514518
ZION CHURCH OF GOD,496 JENNINGS AVE,BRIDGEPORT,CT,6610,9,197210,10,1000000,5,-8145699.6550739,5044505.8844051035
FRESH WORD CHRISTIAN CENTER INC,1501 DIXWELL AVE,HAMDEN,CT,6514,3,200411,10,0,1,-8118519.888201811,5064659.231656581
GREATER TORRINGTON CHURCH OF CHRIST INC,148 HEMLOCK RD,TORRINGTON,CT,6790,3,200307,10,0,1,-8137512.440484526,5132451.843882182
LOVE PRESBYTERIAN CHURCH OF NEW YORK,4808 91ST PL,ELMHURST,NY,11373,3,200305,10,0,1,-8223505.745246912,4974288.887690511
DEEPER LIFE BIBLE CHURCH INC,23 S 20TH ST,IRVINGTON,NJ,7111,3,200903,10,0,1,-8261902.620608781,4971552.350802436
CONGREGATION MOSDOS SADAGORA,5018 OLD NEW UTRECHT RD,BROOKLYN,NY,11204,3,200306,10,0,1,-8235739.423326619,4957666.696510859
CONGREGATION MEOR HACHAIM OF LUNA PARK,2880 W 12TH ST,BROOKLYN,NY,11224,3,200412,10,0,1,-8235376.744425613,4950197.885755215
CONGREGATION MIGDAL DUVID,183 WILSON ST PMB 155,BROOKLYN,NY,11211,3,200304,10,0,1,-8233250.542151463,4969163.428634232
COME AND SEE MINISTRIES INC,120 CARANDO DR,SPRINGFIELD,MA,1104,3,200406,10,0,1,-8074355.772660926,5182869.582687259
NEW CHURCH OF CHRIST MINISTRY INC,20 41ST ST,IRVINGTON,NJ,7111,3,200310,10,0,1,-8265082.461863292,4971626.821239459
IGLESIA CRISTO A LAS PUERTAS,220 QUARRY ST,WILLIMANTIC,CT,6226,3,200309,10,0,1,-8040843.48523557,5119779.665434678
COMPASSION COMMUNITY CHURCH,645 S BROAD ST,ELIZABETH,NJ,7202,9,196408,10,1002029,5,-8261719.722685407,4960677.970606661
BETHEL ADVENTIST MISSION INC,PO BOX 100763,BROOKLYN,NY,11210,3,200406,10,0,1,-8231693.62775323,4958404.64953942
COMMUNITY OF PEACE AND SPIRITUALITY,5 W 86TH ST APT 14C,NEW YORK,NY,10024,3,200310,10,0,1,-8234298.28119881,4980768.521076347
CONGREGATION NITAI AVIGDOR,PMB 155 183 WILSON ST,BROOKLYN,NY,11211,3,200308,10,0,1,-8233250.542151463,4969163.428634232
REDEEMER LUTHERAN CHURCH,400 S PETERBORO ST,CANASTOTA,NY,13032,9,194107,10,1029000,5,-8432693.436163453,5323009.185599668
CHARITY BEGINS AT HOME BAPTIST MINISTRY,14556 110TH AVE,JAMAICA,NY,11435,3,200308,10,0,1,-8215197.415051556,4966550.029367874
BROOKLYN COVENANT MINISTRIES BRROKLYN NY,194 GREENE AVE,BROOKLYN,NY,11238,9,197507,10,1000000,5,-8233621.236055806,4966267.720079554
ST LUKE UNITY HELPING AID PENTECOSTAL HOLINESS CHURCH INC,12 MARCONI PL STE 1,BROOKLYN,NY,11233,3,200405,10,0,1,-8227926.019587333,4964845.140278665
FLUSHING-FRESH MEADOWS JEWISH CENTER INC,19310 PECK AVE,FRESH MEADOWS,NY,11365,3,200405,10,0,1,-8213549.5526293395,4974499.433569357
CONGREGATION LMAHN ACHI,1781 E 23RD ST,BROOKLYN,NY,11229,1,200401,10,0,1,-8232066.993325352,4954579.220476529
CONGREGATION SHIR AMI,1 W PUTNAM AVE,GREENWICH,CT,6830,3,200402,10,0,1,-8196124.712735472,5016948.288176967
BAZRA GURU BUDDHIST ORGANIZATION,114-13 DALIAN CT 2ND FLR,COLLEGE POINT,NY,11356,3,200404,10,0,1,-8221395.906937906,4981354.276493424
MAIMONIDES EDUCATIONAL CENTER,2083 SENECA GATE,MERRICK,NY,11566,3,200312,10,0,1,-8187558.455279947,4963193.234322832
CHURCH OUTSIDE THE GATE,104 LENOX AVE 2FL,DUMONT,NJ,7628,3,200312,10,0,1,-8235721.166930132,5004950.015031208
ADIRONDACK JEWISH CENTER,223 J B WISE PL STE 15-3,WATERTOWN,NY,13601,3,200506,10,0,1,-8450276.461053738,5461721.917882406
WORD OF LIFE WORSHIP CENTER,101 BENSON CT,CAMDEN,NJ,8103,3,200412,10,0,1,-8362299.888243381,4857346.416619733
HOLY TEMPLE OF CHRIST CHURCH OF THE APOSTOLIC FAITH INC,1015 WATCHUNG AVE,PLAINFIELD,NJ,7060,3,201710,10,0,1,-8283351.660094827,4956067.622345185
MOUNT CARMEL WORTHSHIP OUTREACH CENTER,788 E 46TH ST,BROOKLYN,NY,11203,3,200704,10,0,1,-8230216.974707858,4959699.392006847
HAZON OVADIA INC,1953 E 9TH ST,BROOKLYN,NY,11223,3,200506,10,0,1,-8233490.101695653,4953750.9457647465
VICTORY PENTECOSTAL OUTREACH MINIST RIES INC,1740 S BROAD ST,HAMILTON,NJ,8610,3,200705,10,0,1,-8319152.787570384,4894991.1629228275
NEW LIFE CHURCH,2 HEMLOCK PL,NORWALK,CT,6854,3,200607,10,0,5,-8173400.619801876,5025438.584169358
CHRIST ASSEMBLY OF WORSHIP OF THE APOSTOLIC FAITH II,300 E MAIN ST APT 505,NEW BRITAIN,CT,6051,3,200605,10,0,1,-8101355.535916395,5111809.824056283
UNIQUE MINISTRIES,PO BOX 23002,ROCHESTER,NY,14692,3,200707,10,0,1,-8638001.86546483,5324909.683047457
NATURAL WAKEFULNESS CENTER,305 W 91ST ST APT 2,NEW YORK,NY,10024,3,200607,10,0,1,-8234983.007386677,4981760.826703342
SHIELD OF FAITH WORLDWIDE DELIVERANCE MINISTRIES,12 CLINTON AVE APT 1,JERSEY CITY,NJ,7304,3,201710,4,0,1,-8245581.402146636,4970420.52873961
HOLINESS CHURCH OF JESUS APOSTOLIC INC,30 GROVE ST,BRIDGEPORT,CT,6605,3,201104,10,0,1,-8149418.839261304,5038092.6578075485
GRACE AND TRUTH CHURCH,PO BOX 563,YONKERS,NY,10703,3,200603,10,0,1,-8225008.892331095,5004546.623187688
BETHEL TEMPLE CHURCH,2466 WEBSTER AVE,BRONX,NY,10458,3,200703,10,0,1,-8225716.550334066,4991739.921889397
ALL NATIONS FOR JESUS CHRIST INC,71 LINCOLN ST,ESSEX JCT,VT,5452,3,201504,10,0,1,-8138860.519518033,5542693.50952033
REDEEMED CHRISTIAN CHURCH OF GOD,404 CHESTNUT ST STE 201,MANCHESTER,NH,3101,3,200610,10,0,1,-7954964.171631758,5310649.69042582
SYBARITE CHAMBER PLAYERS LTD,240 CABRINI BLVD APT 4B,NEW YORK,NY,10033,3,200610,15,0,1,-8230765.779797469,4991014.459363071
REDEEMED CHRISTIAN CHURCH OF GOD INC,120 HEGEMAN AVE,COLCHESTER,VT,5446,3,200608,10,0,1,-8142663.972559962,5544313.771942866
UNITED COALITION OF CHURCHES,761 FILLMORE AVE,BUFFALO,NY,14212,3,201010,10,0,1,-8776344.496606644,5295864.981752638
GIBBONS PARENT GROUP,20 FISHER ST,WESTBOROUGH,MA,1581,3,201307,16,0,5,-7973223.9077065755,5201631.133275326
WOMEN OF CHARACTER,19 ORLANDO DR,SICKLERVILLE,NJ,8081,3,200707,15,0,1,-8347794.95859302,4827766.426904149
CHURCH OF GOD OF KINGSBRIDGE RD INC,212 WEST KINGSBRIDGE RD,BRONX,NY,10463,9,197210,10,1000000,5,-8227011.084692498,4993452.162749172
PHAGWAH PARADE & FESTIVAL COMMITTEE INC,87-64 98TH STREET,NEW YORK,NY,10029,3,200612,15,0,1,-8241627.445153146,4955726.663036734
THE FIRST CONGREGATIONAL CHURCH OF TORRINGTON CONN,835 RIVERSIDE AVE,TORRINGTON,CT,6790,3,200808,10,0,1,-8142438.327952124,5133615.338162362
CONGREGATION ZION D C C,5000 14TH AVE,BROOKLYN,NY,11219,3,200801,10,0,1,-8236610.498342079,4958353.602697982
SANT BANI SCHOOL,19 ASHRAM RD,SANBORNTON,NH,3269,1,198603,10,46001000,1,-7976486.459342746,5392002.08004251
TRUE LIFE,25 MARCELLE ST,CHICOPEE,MA,1020,9,197210,10,1000000,5,-8081889.987117305,5187191.144978497
HINDU DHARMIC SABHA OF USA INC C/O SEETA RAM GANESH,158 CLINTON AVE,JERSEY CITY,NJ,7304,3,199605,10,1029000,1,-8246278.150839509,4970877.295558112
CATHOLICS FOR TRADITION INC,82 WHITEHALL ST,DEDHAM,MA,2026,3,200402,16,0,1,-7920518.0249981405,5199170.302625722
FIRST FAITH BAPTIST CHURCH,11402 208TH ST,CAMBRIA HTS,NY,11411,3,197207,10,29000000,1,-8209453.218007132,4968471.945612392
TRINITY LUTHERAN CHURCH,100 MAPLE AVE,KEENE,NH,3431,9,194107,10,1029000,5,-8050428.649990328,5304859.181508178
FIRST BAPTIST CHURCH,105 MAPLE AVE,KEENE,NH,3431,9,195504,10,1000000,5,-8050373.101564423,5304911.350077154
GRACE ASSEMBLY SHILOH APOSTOLIC CHURCH,16210 SOUTH RD,JAMAICA,NY,11433,3,201007,10,0,1,-8214142.88551527,4968029.093232074
GEORGE D MC CAULEY TRUST,10 TRIPPS LN,RIVERSIDE,RI,2915,3,195105,16,1000000,2,-7942995.879218103,5130389.565630586
ROMAN CATHOLIC BISHOP OF MANCHESTER A COPORATION SOLE,153 ASH ST,MANCHESTER,NH,3104,9,194603,10,150120000,5,-7954343.788109564,5311622.683272246
FRANCONIA COMMUNITY CHURCH OF CHRIST,PO BOX 237,FRANCONIA,NH,3580,9,195504,10,1000000,5,-7987076.505140895,5500278.642395491
HOLY RESURRECTION ORTHODOX CHURCH,99 SULLIVAN ST,CLAREMONT,NH,3743,9,197210,10,1000000,1,-8053327.409530581,5368957.512983486
THE COMMUNITY CHURCH OF W SWANZEY,PO BOX 5,W SWANZEY,NH,3469,9,195504,10,1000000,5,-8052318.409666034,5291733.196375758
UNITARIAN UNIVERSALIST CONGREATION,20 ELM ST,MILFORD,NH,3055,3,198102,10,1000000,1,-7976350.872202961,5286930.564272691
CLAREMONT GRACE RIVER A LIFE GIVING CHURCH,PO BOX 1036,CLAREMONT,NH,3743,9,199310,10,0,1,-8052903.28227066,5369065.173665215
CHRIST THE KING LUTHERAN CHURCH,3 LUTHERAN DR,NASHUA,NH,3063,9,198804,10,1000000,1,-7961019.506652949,5275405.411544566
FIRST FREE BAPTIST CHURCH,PO BOX 101,WILMOT FLAT,NH,3287,9,195504,10,1000000,5,-8003787.898418268,5376316.688835012
BOW MILLS UNITED METHODIST CHURCH,505 SOUTH ST,BOW,NH,3304,9,197410,10,0,5,-7963304.784479445,5338334.981375919
BOW LAKE FREE WILL BAPTIST CHURCH,530 PROVINCE RD,STRAFFORD,NH,3884,9,195504,10,1000000,5,-7920188.964583358,5348807.275203299
BRISTOL BAPTIST CHURCH,30 SUMMER ST,BRISTOL,NH,3222,9,195504,10,1000000,5,-7985588.720146441,5402496.682900423
PLEASANT STREET UNITED METHODIST CHURCH,8 PLEASANT ST,SALEM,NH,3079,9,197410,10,1919000,5,-7929501.841863633,5278752.813925624
UNITED BAPTIST CHURCH-LAKEPORT,35 PARK ST,LACONIA,NH,3246,9,195504,10,1000000,5,-7955288.1113499645,5395866.950676348
THE BAPTIST CHURCH,PO BOX 306,FRANKLIN,NH,3235,9,195504,10,1000000,5,-7975446.623979246,5379826.666019261
FIRST BAPTIST CHURCH,PO BOX 331,LEBANON,NH,3766,9,195504,10,1000000,5,-8043112.733055395,5410370.186567056
CHESTER CONGREGATIONAL BAPTIST CHURCH,4 CHESTER ST,CHESTER,NH,3036,9,195504,10,1000000,5,-7932331.360680617,5305531.61557636
FIRST UNITED METHODIST CHURCH,18 PLEASANT ST,LITTLETON,NH,3561,9,197410,10,1919000,5,-7989497.258787681,5513013.106661651
FIRST BAPTIST CHURCH,PO BOX 641,NEWPORT,NH,3773,9,195504,10,1000000,5,-8034223.760396058,5367864.437204877
COMMUNITY BAPTIST CHURCH,1094 ROUTE 12A,PLAINFIELD,NH,3781,9,195504,10,1000000,5,-8054649.773761717,5393707.897013759
BOW CROSSROADS COMMUNITY CHURCH,6 BRANCH LONDONDERRY TPKE E,BOW,NH,3304,9,195504,10,1000000,5,-7964604.439534453,5332053.648474684
LONDONDERRY PRESBYTERIAN CHURCH,126 PILLSBURY RD,LONDONDERRY,NH,3053,9,196401,10,0,5,-7945375.222014315,5291367.472690427
STODDARD CONGREGATIONAL CHURCH,PO BOX 334,STODDARD,NH,3464,3,200008,10,0,1,-8026702.347681121,5326958.599576253
FIRST CHRISTIAN CHURCH OF FREEDOM,PO BOX 502,FREEDOM,NH,3836,3,200001,10,0,1,-7917329.9461013125,5434464.124420188
ASSEMBLY OF GOD CHURCH,PO BOX 475,CANAAN,NH,3741,9,196408,10,0,5,-8016661.218292078,5411026.140336334
HANOVER FIRST BAPTIST CHURCH,PO BOX 282,ETNA,NH,3750,9,195504,10,1000000,5,-8039601.716315774,5418608.062629916
GRACE CHAPEL,7 SILVER AVE,HOOKSETT,NH,3106,9,196307,10,1000000,5,-7952179.737208546,5316507.745346231
NEWTON JUNCTION BAPTIST CHURCH,18 W MAIN ST,NEWTON JCT,NH,3859,9,195504,10,1000000,5,-7911225.964462647,5291959.350759821
COMMUNITY CHURCH OF SANDWICH,PO BOX 267,CTR SANDWICH,NH,3227,9,195504,10,1000000,5,-7953430.300368117,5437040.776117595
TEMPLE ISRAEL,66 SALMON ST,MANCHESTER,NH,3104,3,201008,10,0,1,-7955057.12340657,5312504.141151708
CHILD EVANGELISM FELLOWSHIP INC,PO BOX 146,CONCORD,NH,3302,9,196908,15,328029000,5,-7962343.09539848,5343798.8254702585
STRAFFORD SECOND BAPTIST CHURCH,534 2ND CROWN POINT RD,STRAFFORD,NH,3884,9,195504,10,1000000,5,-7912413.743429412,5355029.73019021
ST PAULS UNITED METHODIST CHURCH,335 SMYTH RD,MANCHESTER,NH,3104,9,197410,10,0,0,-7953304.620663013,5312921.230131055
GOSHEN COMMUNITY CHURCH,RT 10,GOSHEN,NH,3752,9,195504,10,1000000,5,-8031201.102262549,5357086.657037095
CENTERPOINT COMMUNITY CHURCH,101 SCHOOL ST,SALEM,NH,3079,9,195504,10,1000000,5,-7927897.505362316,5280235.520906914
FIRST BAPTIST CHURCH,PO BOX 93,WOLFEBORO FLS,NH,3896,9,195504,10,1000000,5,-7926463.376362426,5401676.735554293
CHOCORUA COMMUNITY CHURCH,PO BOX 323,CHOCORUA,NH,3817,9,195504,10,1000000,5,-7928662.381583561,5447278.300906907
FIRST CONGREGATIONAL CHURCH,189 MAIN ST,LITTLETON,NH,3561,9,196406,10,1029000,5,-7990049.626101,5513120.131465659
CHRISTIAN SCIENCE SOCIETY,7 EMERSON ST,PLYMOUTH,NH,3264,9,194106,10,1000000,5,-7980987.885591953,5428328.350092508
CATHOLIC DAUGHTERS OF AMERICA,173 MAIN ST,KEENE,NH,3431,9,197201,10,36601279,5,-8045923.216239449,5301258.427705552
THE KINGDOM,18 FAIRWOOD DRIVE,DUBLIN,NH,3444,3,197904,10,1000000,1,-8027090.296106535,5296584.48568927
WONALANCET CORPORATION,LOCAL,WONALANCET,NH,3897,3,195009,10,1000000,1,-7941994.671717905,5451285.059644726
COMMUNITY LIGHTHOUSE,35 ORANGE ST,FARMINGTON,NH,3835,9,195809,10,0,1,-7911110.860109167,5372026.101853336
TRINITY BAPTIST CHURCH,33 LUND RD,NASHUA,NH,3060,3,201606,10,0,1,-7957946.309470621,5273246.019200013
LOUDON CENTER FREEWILL BAPTIST CHURCH,433 CLOUGH HILL RD,LOUDON,NH,3307,9,195504,10,1000000,5,-7951623.362393561,5362723.285426205
COMMUNITY CHURCH-HARRISVILLE & CHESHAM,13 CANAL ST,HARRISVILLE,NH,3450,9,195504,10,1000000,5,-8025662.7349566,5303767.814788446
WATER VILLAGE COMMUNITY CHURCH,370 WATER VILLAGE RD,OSSIPEE,NH,3864,9,195504,10,1000000,5,-7924084.144885704,5416380.119508368
