County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over
Rush County,Indiana,49.13,50.87,8.28,19.71,7.29,11.76,16.04,13.07,9.09,7.67,7.09,97.69,0.6,0.16,0.47,0.02,0.25,0.82,0.5,97.44,29.86,35.99,20.07,8.07,6.01
St. Joseph County,Indiana,48.25,51.75,8.46,19.02,11.31,11.96,14.78,13.11,7.75,6.71,6.88,82.36,11.46,0.35,1.34,0.05,2.48,1.97,4.73,80.54,29.14,31.62,20.56,9.78,8.9
Scott County,Indiana,49.64,50.36,8.68,18.99,9.03,13.21,15.84,13.51,9.66,6.34,4.73,98.64,0.05,0.16,0.18,0,0.43,0.54,0.97,98.16,35.03,35.48,17.72,6.65,5.12
Shelby County,Indiana,49.5,50.5,8.25,19.81,7.86,11.99,17.37,13.58,8.98,6.48,5.67,97.26,0.76,0.19,0.59,0.02,0.5,0.68,1.14,96.69,24.15,32.94,22.31,11.46,9.13
Spencer County,Indiana,50.11,49.89,7.62,20.27,6.89,11.44,16.71,14.26,9.86,7.24,5.71,97.7,0.6,0.22,0.19,0.01,0.74,0.53,1.49,97.07,25.3,34.13,23.49,10.56,6.52
Starke County,Indiana,49.5,50.5,7.96,20.29,7.78,11.12,15.49,13.2,10.27,7.77,6.1,97.52,0.22,0.24,0.2,0.03,0.74,1.05,2.18,96.3,31.88,35.75,20.31,6.8,5.25
Steuben County,Indiana,50.49,49.51,8.05,19.19,10.07,11.89,15.42,13.88,9.66,6.58,5.27,97.19,0.37,0.33,0.4,0.02,0.85,0.84,2.06,96.14,22.31,35.85,24.5,9.92,7.42
Sullivan County,Indiana,53.54,46.46,6.88,17.06,9.36,12.97,16.17,14.07,9.38,7.24,6.85,94.11,4.27,0.31,0.13,0.02,0.33,0.84,0.82,93.7,36.65,35.39,17.06,5.93,4.98
Switzerland County,Indiana,50.42,49.58,7.76,19.94,8.32,11.04,15.8,13.82,10.76,7.2,5.36,98.78,0.23,0.15,0.09,0.01,0.31,0.43,0.86,98.27,34.03,33.37,20.72,7.61,4.27
Tippecanoe County,Indiana,51.31,48.69,7.04,16.66,24.44,12.83,12.53,10.87,6.53,4.57,4.51,88.86,2.52,0.28,4.46,0.03,2.48,1.37,5.26,86.37,31.96,29.97,18.97,9.6,9.5
Tipton County,Indiana,48.89,51.11,7.4,19.04,6.76,11.71,15.42,14.76,10.36,7.11,7.43,98.35,0.14,0.22,0.3,0.01,0.33,0.65,1.21,97.65,22.97,29,23.45,14.36,10.22
Union County,Indiana,49.58,50.42,8.35,20.27,7.46,11.77,15.63,13.31,10.29,6.94,5.97,98.69,0.23,0.27,0.19,0.01,0.16,0.44,0.3,98.48,28.73,37.56,19.51,8.47,5.72
Vanderburgh County,Indiana,47.41,52.59,7.45,17.26,11.21,11.4,15.4,13.28,8.68,7.58,7.73,89.3,8.19,0.18,0.75,0.04,0.4,1.15,0.98,88.73,33.24,31.56,19.32,8.16,7.71
Vermillion County,Indiana,48.71,51.29,7.43,17.8,7.71,11.45,14.89,14.71,10.19,7.71,8.1,98.39,0.26,0.24,0.12,0.02,0.16,0.8,0.64,98.01,34.01,34.85,18.29,7.13,5.72
Vigo County,Indiana,49.13,50.87,7.32,17.35,13.79,11.67,14.31,12.94,8.41,6.89,7.32,90.66,6.04,0.27,1.22,0.04,0.39,1.38,1.2,89.93,37.87,31.46,17.6,6.74,6.34
Wabash County,Indiana,48.5,51.5,7.15,19,9.86,10.54,14.48,13.56,9.71,7.56,8.14,97.38,0.41,0.66,0.41,0.03,0.39,0.73,1.18,96.69,26.11,36.87,22.56,9.35,5.11
Warren County,Indiana,50.68,49.32,7.42,19.81,6.24,11.59,15.52,14.25,11.22,7.53,6.4,99.09,0.08,0.14,0.18,0.02,0.07,0.42,0.44,98.8,26.49,34.08,24.85,7.53,7.04
Warrick County,Indiana,49.13,50.87,7.99,20.14,6.88,11.26,17.45,15.73,9.74,5.81,5.01,97.46,1,0.15,0.63,0.05,0.16,0.55,0.65,96.99,20.31,30.92,24.27,12.84,11.66
Washington County,Indiana,50.03,49.97,8.02,19.92,8.56,12.24,16.24,13.72,9.26,6.43,5.61,98.75,0.13,0.13,0.16,0.01,0.24,0.58,0.73,98.26,33.28,33.79,21.29,6.94,4.69
Wayne County,Indiana,48.02,51.98,7.46,18.14,8.97,11.47,14.82,13.49,9.95,8.2,7.51,92.04,5.1,0.2,0.51,0.03,0.69,1.42,1.37,91.38,34.48,33.4,19.63,7.11,5.39
Wells County,Indiana,49.32,50.68,8.08,20.75,7.73,10.57,16.55,13.3,8.92,6.99,7.11,98.32,0.16,0.19,0.21,0.03,0.43,0.65,1.44,97.41,23.4,34.06,25.35,10.31,6.88
White County,Indiana,49.19,50.81,7.82,19.27,7.73,11.25,15.33,13.81,9.96,7.94,6.89,95.2,0.16,0.25,0.25,0.04,3.19,0.92,5.34,93.32,28.36,34.79,24.24,7.24,5.36
Whitley County,Indiana,49.62,50.38,8.17,19.99,7.79,11.33,16.43,14.48,8.77,6.75,6.29,98.37,0.19,0.36,0.18,0.04,0.3,0.57,0.9,97.83,22.1,32.39,26.11,11.22,8.19
Adair County,Iowa,48.96,51.04,6.67,18.62,6.36,8.46,15.1,12.91,9.79,9.4,12.69,98.91,0.07,0.07,0.23,0,0.23,0.49,0.7,98.45,32.9,37.73,20.78,5,3.59
Adams County,Iowa,49.15,50.85,6.76,18.23,6.14,8.63,14.61,13.23,10.98,10.02,11.4,98.91,0.07,0.45,0.18,0,0.04,0.36,0.58,98.48,39.77,33.76,18.68,4.72,3.06
Allamakee County,Iowa,50.06,49.94,7.03,19.8,6.59,9.59,14.99,13.13,10.48,8.89,9.51,95.88,0.14,0.18,0.27,0.01,2.82,0.7,3.54,95.28,33.49,39.7,16.16,6.72,3.93
Appanoose County,Iowa,47.78,52.22,6.84,18.21,7.45,9.72,14.36,13.02,10.45,9.3,10.66,98.16,0.42,0.17,0.26,0.01,0.27,0.71,0.98,97.53,43.27,36.98,13.19,4.07,2.49
Audubon County,Iowa,47.92,52.08,7.31,19.71,4.54,8.52,13.54,12.33,10.57,10.63,12.86,99.17,0.15,0.09,0.19,0,0.03,0.38,0.48,98.73,35.27,40.04,14.96,4.77,4.95
Benton County,Iowa,49.99,50.01,7.92,20.79,6.29,11.12,17.34,12.39,8.73,7.45,7.97,98.84,0.2,0.15,0.17,0.02,0.11,0.52,0.62,98.36,25.22,34.61,24.35,11.06,4.75
Black Hawk County,Iowa,48.01,51.99,7.32,17.64,15.17,10.58,13.34,13.58,8.38,6.8,7.18,88.42,7.95,0.18,0.98,0.04,0.93,1.49,1.84,87.67,31.52,33.05,19.88,8.49,7.07
Boone County,Iowa,48.95,51.05,7.4,18.85,8.1,10.36,15.59,14.21,9.11,7.76,8.61,98.53,0.36,0.2,0.22,0,0.26,0.43,0.83,98.11,26.86,34.77,24.25,8.12,6
Bremer County,Iowa,48.33,51.67,6.77,19.31,10.86,9.08,14.03,13.62,10.33,7.27,8.73,98.22,0.48,0.06,0.52,0.02,0.1,0.6,0.56,97.9,26.3,34.38,23.62,8.94,6.76
Buchanan County,Iowa,49.67,50.33,8.23,22.05,7.42,10.21,15.1,13.38,9.13,6.98,7.5,98.41,0.27,0.21,0.4,0,0.16,0.54,0.62,97.98,30.2,34.61,21.6,8.12,5.48
Buena Vista County,Iowa,50.1,49.9,7.17,20.15,11.14,9.75,14.71,12.75,7.48,7.87,8.99,88,0.35,0.13,4.33,0.01,5.75,1.42,12.54,82.1,34.54,35.01,19.42,6.02,5.02
Butler County,Iowa,49.04,50.96,6.84,18.86,6.08,9.52,14.41,14.38,9.81,9.15,10.96,98.95,0.08,0.05,0.2,0.02,0.16,0.53,0.58,98.57,31.88,37.42,19.78,6.94,3.99
Calhoun County,Iowa,49.53,50.47,6.23,18.15,5.91,9.02,14.92,13.53,10.12,9.82,12.3,98.06,0.69,0.2,0.18,0.01,0.34,0.52,0.9,97.61,37.17,35.9,17.79,4.2,4.94
Carroll County,Iowa,48.74,51.26,7.44,20.99,6.88,9.4,15.57,12.43,8.59,8.75,9.95,98.87,0.18,0.1,0.34,0,0.2,0.31,0.54,98.59,30.68,34.6,22.29,6.63,5.8
Cass County,Iowa,48.53,51.47,6.51,18.84,6.19,8.7,15.13,13.38,10.47,9.64,11.15,98.84,0.21,0.12,0.14,0.04,0.31,0.34,0.69,98.45,35.01,39.08,16.08,5.3,4.53
Cedar County,Iowa,49.36,50.64,7.32,19.51,6.37,10.34,16.4,14.29,9.53,7.58,8.65,98.47,0.19,0.19,0.3,0.03,0.26,0.57,0.94,97.89,24.6,36.43,25.02,8.88,5.07
Cerro Gordo County,Iowa,48.13,51.87,7.2,18.03,8.59,9.96,15.36,13.97,9.2,8.69,9.01,96.26,0.8,0.17,0.7,0.02,0.88,1.16,2.78,94.68,35.18,31.9,20.23,6.74,5.95
Cherokee County,Iowa,49.33,50.67,6.8,19.42,6,8.09,15.07,14.28,9.97,10.05,10.31,98.33,0.31,0.16,0.43,0,0.37,0.4,0.95,97.81,33.81,36.6,18.97,6.66,3.96
Chickasaw County,Iowa,50.02,49.98,7.07,20.72,6.06,9.13,15.67,13.01,10.43,8.6,9.31,98.75,0.05,0.03,0.27,0.01,0.29,0.6,0.63,98.53,29.11,39.88,20.24,6.84,3.93
Clarke County,Iowa,49.23,50.77,7.65,20.11,7.15,9.96,15.54,13.36,9.14,8.23,8.85,96.64,0.11,0.33,0.35,0.03,1.96,0.58,4.04,94.69,35.81,33,20.79,6.02,4.38
Clay County,Iowa,48.27,51.73,7.32,18.87,7.66,9.94,15.76,13.79,8.69,8.5,9.49,98.08,0.17,0.1,0.82,0.03,0.25,0.55,1.13,97.29,33.23,37.53,17.9,5.61,5.73
Clayton County,Iowa,49.38,50.62,6.95,19.95,5.79,9.72,15.45,13.73,9.87,9.16,9.38,98.93,0.14,0.22,0.11,0.01,0.19,0.41,0.76,98.44,33.9,39.37,17.71,5.16,3.86
Clinton County,Iowa,48.54,51.46,7.71,19.4,7.82,10.25,15.65,13.51,9.84,7.72,8.1,95.87,1.89,0.24,0.56,0.02,0.34,1.08,1.25,95.16,31.77,33.84,22.17,8.15,4.07
Crawford County,Iowa,50.23,49.77,7.81,20.43,7.54,9.73,14.85,12.91,9.59,8.17,8.97,93.1,0.76,0.28,0.49,0.01,4.59,0.77,8.75,89.42,34.36,38.62,18.1,5.78,3.14
Dallas County,Iowa,49.43,50.57,9.86,19.63,6.82,13.47,17.46,13.64,8,5.5,5.61,94.75,0.74,0.15,0.69,0.04,2.79,0.84,5.4,92.41,21.78,29.73,23.11,12.29,13.08
Davis County,Iowa,49.48,50.52,8.5,20.11,6.88,9.68,14.49,12.93,10,8.39,9,98.35,0.18,0.21,0.2,0.05,0.21,0.81,0.71,98.01,37.78,33.6,20.9,4.43,3.28
Decatur County,Iowa,48.89,51.11,6.8,18.4,15.18,8.09,12.41,11.97,9.48,8.62,9.05,96.46,0.98,0.24,0.63,0.12,0.46,1.12,1.7,95.48,44.66,35.62,12.44,3.76,3.52
Delaware County,Iowa,49.59,50.41,7.94,22.5,6.35,10.05,16.67,12.25,9.24,7.48,7.52,99.28,0.07,0.1,0.14,0.01,0.1,0.3,0.66,98.78,31.15,34.48,21.21,7.62,5.54
Des Moines County,Iowa,48.31,51.69,7.57,18.38,8.05,10.42,14.57,14.57,9.74,7.86,8.83,93.69,3.57,0.25,0.59,0.04,0.68,1.18,1.75,92.81,32.01,34.02,20.9,7.62,5.45
Dickinson County,Iowa,48.72,51.28,6.45,16.71,6.2,9.13,13.99,15.65,11.24,10.71,9.92,98.9,0.18,0.21,0.18,0.01,0.1,0.43,0.66,98.42,28.76,35.51,20.55,7.63,7.56
Dubuque County,Iowa,48.57,51.43,7.99,19.22,9.6,10.9,15.27,13.38,8.93,7.27,7.43,97.07,0.86,0.15,0.58,0.09,0.5,0.76,1.19,96.5,28.02,34.9,21.66,8.2,7.21
Emmet County,Iowa,48.56,51.44,6.57,19.44,9.3,8.93,13.86,13.28,9.26,8.58,10.78,97.38,0.24,0.28,0.3,0.01,1.25,0.54,4.31,94.53,33.56,38.73,16.91,6.32,4.48
Fayette County,Iowa,49.38,50.62,7.37,19.08,8.16,9.25,14.69,12.61,9.8,9.01,10.03,97.71,0.53,0.13,0.4,0.03,0.43,0.77,1.5,96.91,37.81,35.72,17.82,4.89,3.76
Floyd County,Iowa,48.31,51.69,7.54,18.99,6.51,9.8,13.69,13.73,10.5,8.59,10.63,98.11,0.23,0.09,0.43,0.09,0.44,0.6,1.31,97.43,35.92,34.68,20.17,5.49,3.73
Franklin County,Iowa,49.08,50.92,6.78,19.1,6.63,9.01,14.07,13.93,9.97,9.77,10.74,94.92,0.08,0.23,0.16,0.02,4.05,0.53,6,93.42,31.67,35.9,19.86,7.48,5.08
Fremont County,Iowa,48.84,51.16,6.88,19.63,5.53,9.11,14.27,14.56,10.19,9.26,10.57,98.01,0.04,0.24,0.24,0,0.96,0.51,2.17,96.85,32.54,32.61,23.53,6.58,4.74
Greene County,Iowa,48.84,51.16,6.97,20.26,5.39,8.57,14.8,13.12,9.28,9.57,12.04,98.16,0.14,0.15,0.24,0.01,0.67,0.63,1.66,97.38,35.74,34.91,19.75,6.31,3.28
Grundy County,Iowa,48.91,51.09,6.43,20.05,5.78,9.04,15.33,13.66,10.42,8.84,10.45,98.97,0.08,0.02,0.29,0,0.15,0.48,0.58,98.61,25.6,38.6,22.18,8.22,5.4
Guthrie County,Iowa,49.41,50.59,6.84,17.96,5.75,8.87,15.2,13.97,10.9,10.17,10.33,98.61,0.12,0.05,0.14,0.04,0.42,0.61,1.06,98.03,32.54,33.96,20.23,6.7,6.57
Hamilton County,Iowa,49.5,50.5,7.69,19.15,6.9,10.08,15.79,13.07,9.3,8.68,9.34,96.71,0.23,0.2,1.46,0.01,0.61,0.78,1.42,96.07,29.06,35.83,22.02,8.19,4.89
Hancock County,Iowa,49.18,50.82,7.38,20.75,6,8.84,15.63,13.93,9.54,8.13,9.8,97.7,0.09,0.1,0.31,0.02,1.38,0.4,2.49,96.66,27.44,41.17,21.2,5.72,4.47
Hardin County,Iowa,48.9,51.1,6.92,19.46,7.63,8.54,14.36,12.9,9.54,9.04,11.61,97.14,0.62,0.13,0.32,0.05,1.24,0.5,2.42,96.11,32.4,38,19.12,6.31,4.16
Harrison County,Iowa,49.12,50.88,7.39,20.15,6.46,9.92,16.09,12.78,9.56,8.5,9.15,98.69,0.08,0.22,0.16,0.01,0.2,0.64,0.72,98.2,30.55,35.45,20.9,8.47,4.62
Henry County,Iowa,50.62,49.38,7.31,18.95,8.68,11.68,16.17,13.73,8.77,6.71,7.99,94.78,1.49,0.24,1.88,0.02,0.52,1.07,1.26,94.19,30.42,34.88,21.84,7.2,5.66
Howard County,Iowa,49.24,50.76,7.36,20.58,6.13,9.58,14.9,12.02,9.3,9.16,10.96,99.06,0.11,0.15,0.17,0,0.08,0.42,0.55,98.64,33.85,36.97,19.24,5.2,4.75
Humboldt County,Iowa,48.91,51.09,6.53,20.05,6.06,8.24,15.62,12.81,9.7,9.67,11.32,98.63,0.11,0.06,0.23,0.1,0.4,0.47,0.96,98.14,30.43,35.84,21.9,6.13,5.69
Ida County,Iowa,48.44,51.56,6.76,20.1,5.69,8.41,14.58,13.49,9.2,10.18,11.59,99.02,0.1,0.06,0.24,0,0.15,0.42,0.47,98.72,33.75,36.41,19.49,5.72,4.63
Iowa County,Iowa,48.72,51.28,7.68,20.16,5.77,10.14,16.78,13.09,9.26,7.9,9.21,98.7,0.17,0.06,0.3,0.03,0.36,0.38,0.97,98.21,26.04,37.2,24.38,8.31,4.07
Jackson County,Iowa,49.26,50.74,7.21,20.17,6.54,9.71,15.85,13.25,9.98,8.66,8.62,98.96,0.1,0.12,0.09,0.11,0.15,0.47,0.6,98.54,34.65,35.91,18.85,6.9,3.69
Jasper County,Iowa,50.4,49.6,7.54,18.31,7.35,11.32,16.09,13.78,9.58,8.19,7.84,97.58,0.83,0.22,0.44,0.05,0.26,0.62,1.01,96.93,26.75,34.12,24.15,8.7,6.29
Jefferson County,Iowa,48.95,51.05,6.57,19.29,7.18,9.2,14.17,21.15,8.65,6.26,7.53,96.02,0.64,0.17,1.7,0.04,0.53,0.91,1.84,94.73,34.46,32.78,17.5,7.07,8.19
Johnson County,Iowa,49.78,50.22,6.89,15.67,23.22,14.4,14.13,12.18,6.06,3.91,3.54,90.13,2.9,0.28,4.12,0.04,1.01,1.51,2.51,88.84,30.88,27.94,18.58,10.72,11.88
Jones County,Iowa,52.21,47.79,6.89,18.46,7.69,11.34,16.54,13.72,9.53,7.98,7.84,96.68,1.79,0.32,0.22,0,0.23,0.78,1.05,96.01,29.21,37.57,20.35,8.24,4.63
Keokuk County,Iowa,48.49,51.51,7.26,20.04,6.28,9.45,15.21,12.45,9.12,9.14,11.04,99,0.07,0.11,0.23,0.02,0.21,0.36,0.54,98.77,36.14,34.87,19.72,5.2,4.07
Kossuth County,Iowa,48.81,51.19,6.72,20.6,5.39,8.24,15.32,13.36,10.25,9.64,10.48,98.76,0.11,0.15,0.35,0.01,0.29,0.34,0.81,98.28,33.9,37.72,18.22,5.49,4.67
Lee County,Iowa,49.46,50.54,7.14,18.55,7.46,10.01,15.65,14.77,9.87,7.98,8.57,94.24,2.8,0.26,0.39,0.06,1.03,1.21,2.37,93.03,31.76,35.27,20.53,7.03,5.41
Linn County,Iowa,49.02,50.98,8.42,18.33,10,12.93,15.95,13.62,8.51,6.19,6.05,93.9,2.57,0.22,1.37,0.05,0.46,1.44,1.42,93.09,22.92,31.26,23.61,12.03,10.18
Louisa County,Iowa,49.73,50.27,8.65,20.52,7.55,11.82,15.74,12.5,9.17,7.23,6.82,93.91,0.25,0.18,0.2,0.02,4.56,0.88,12.62,86.42,28.92,34.98,22.54,8.84,4.73
Lucas County,Iowa,48.6,51.4,7.46,19.43,6.64,9.49,14.2,12.63,10.82,9.09,10.24,98.44,0.13,0.11,0.3,0.01,0.37,0.65,0.87,98.05,39.65,34.14,19.15,4.26,2.81
Lyon County,Iowa,49.6,50.4,8,21.63,6.89,9.69,14.05,12.71,8.23,9.07,9.73,99.13,0.09,0.14,0.15,0.01,0.1,0.37,0.36,98.93,28.62,39.54,20.41,7.05,4.37
Madison County,Iowa,49.35,50.65,8.37,20.22,6.33,10.94,15.52,14.18,9.27,6.74,8.44,98.57,0.09,0.27,0.18,0.02,0.19,0.68,0.75,98.17,26.94,32.57,24.93,7.9,7.66
Mahaska County,Iowa,49.77,50.23,7.94,19.29,9.22,10.56,14.92,13.13,8.6,7.58,8.77,97.2,0.64,0.19,0.86,0.03,0.3,0.78,0.85,96.75,30.45,36.5,21.43,6.89,4.73
Marion County,Iowa,49.64,50.36,7.66,19.33,9.64,10.29,15.08,13,9.09,7.31,8.6,97.46,0.42,0.19,1.03,0.04,0.22,0.64,0.8,96.95,26.52,33.62,23.29,10.19,6.38
Marshall County,Iowa,49.81,50.19,7.89,18.84,7.79,10.74,14.45,14.31,9.57,7.99,8.43,90.44,0.93,0.35,0.78,0.06,6.03,1.42,8.96,88.12,29.06,35.66,21.09,8.67,5.53
Mills County,Iowa,50.16,49.84,7.87,20.34,6.47,10.55,16.66,15.8,9.69,6.54,6.08,97.97,0.28,0.27,0.29,0.01,0.36,0.82,1.23,97.16,26.87,32.72,23.22,9.16,8.02
Mitchell County,Iowa,48.91,51.09,7.31,20.78,5.29,8.64,14.75,11.91,9.75,9.78,11.79,99.27,0.17,0.07,0.17,0.02,0.07,0.21,0.58,98.88,33.8,36.83,19.57,6.32,3.47
Monona County,Iowa,48.51,51.49,6.65,17.94,5.7,8.27,14.21,12.65,10.64,10.7,13.23,98.34,0.08,0.76,0.12,0.04,0.08,0.58,0.7,97.91,37.23,36.64,17.14,4.95,4.04
Monroe County,Iowa,48.7,51.3,7.72,18.84,6.84,10.25,13.86,12.99,9.97,9.07,10.47,98.4,0.2,0.36,0.4,0,0.12,0.51,0.5,98.1,33.83,36.65,18.99,6.27,4.25
Montgomery County,Iowa,47.41,52.59,7.44,18.92,6.29,9.85,14.48,13.85,8.91,9.4,10.86,98.2,0.08,0.35,0.25,0.01,0.68,0.44,1.3,97.6,37.06,36.18,17.54,5.21,4.01
Muscatine County,Iowa,49.52,50.48,8.32,20,8.38,11.69,15.89,13.88,8.9,6.48,6.46,90.72,0.7,0.31,0.83,0.02,6.05,1.37,11.92,85.68,27.52,32.72,21.53,10.96,7.27
O'Brien County,Iowa,48.93,51.07,7.09,19.39,7.06,8.73,14.49,12.87,9.24,9.74,11.39,98.05,0.34,0.17,0.51,0.01,0.47,0.46,1.77,96.83,31.22,39.84,19.83,5.39,3.74
Osceola County,Iowa,48.71,51.29,6.81,20.83,6.58,8.84,16.44,12.07,9.5,9,9.94,98.04,0.11,0.26,0.2,0.01,0.84,0.53,1.78,97.27,34.59,35.78,17.93,6.88,4.82
Page County,Iowa,50.68,49.32,6.76,17.8,7.79,10.13,14.92,13.49,9.3,9.19,10.63,96.11,1.66,0.49,0.48,0.01,0.49,0.77,1.56,95.15,34.52,35.34,18.74,6.86,4.55
Palo Alto County,Iowa,48.64,51.36,6.57,19.16,8.82,8.11,14.14,12.32,9.56,10.32,11,98.62,0.09,0.19,0.31,0.04,0.19,0.57,0.76,98.12,35.49,37.07,18.38,4.3,4.76
Plymouth County,Iowa,49.7,50.3,8.1,21.89,6.58,9.78,15.66,13.58,8.46,7.94,8.02,98.16,0.29,0.14,0.27,0.06,0.46,0.62,1.32,97.45,26.11,33.49,23.88,8.88,7.65
Pocahontas County,Iowa,49.13,50.87,5.92,20.82,4.81,7.03,15.57,13.59,10.54,9.72,11.99,98.49,0.24,0.17,0.17,0.01,0.3,0.61,0.89,98.01,36.1,35.44,18.93,4.8,4.72
Polk County,Iowa,48.52,51.48,8.9,18.14,9.62,14.3,16.36,13.51,8.03,5.74,5.41,88.34,4.84,0.27,2.63,0.06,2.22,1.66,4.4,86.43,23.29,30.84,22.52,11.61,11.74
Pottawattamie County,Iowa,48.86,51.14,7.99,19.5,8.89,11.36,15.9,13.69,9.01,7.38,6.27,95.98,0.77,0.37,0.48,0.02,1.27,1.11,3.3,94.26,27.61,35.03,21,9.52,6.84
Poweshiek County,Iowa,48.05,51.95,6.76,17.74,11.9,9.06,14.39,13.05,9.47,8.08,9.55,96.74,0.55,0.23,1.07,0.05,0.49,0.87,1.2,96.18,30.33,35.14,21.01,7.26,6.25
Ringgold County,Iowa,48.49,51.51,7.06,18.54,6.07,7.5,13.2,12.58,11.06,11.3,12.69,99.07,0.11,0.22,0.16,0,0.02,0.42,0.24,98.85,41.98,35.08,16.17,3.45,3.32
Sac County,Iowa,48.85,51.15,6.79,19.06,5.97,8.4,14.27,13.24,9.6,10.16,12.52,98.53,0.26,0.09,0.14,0.02,0.4,0.57,0.96,98.01,36.63,36.9,16.43,6.38,3.66
Scott County,Iowa,48.92,51.08,8.34,19.6,9.21,12.34,15.71,14.34,8.69,6.06,5.71,88.54,6.11,0.32,1.58,0.02,1.64,1.8,4.06,86.58,27.67,29.99,21.8,11.02,9.52
Shelby County,Iowa,48.95,51.05,7.11,20.6,5.14,8.61,15.76,13.05,9.34,9.49,10.92,98.68,0.1,0.29,0.27,0,0.18,0.48,0.67,98.22,29.74,36.39,22.28,6.86,4.73
Sioux County,Iowa,49.05,50.95,7.94,21.68,13.75,8.89,13.61,11.43,7.66,7.14,7.91,97.33,0.2,0.13,0.59,0.01,1.2,0.53,2.56,96.15,26.51,38.39,22.61,7.13,5.35
Story County,Iowa,51.12,48.88,6.16,15.66,27.43,11.57,12.03,10.93,6.38,4.71,5.13,91.14,1.83,0.16,5.1,0.03,0.6,1.14,1.55,90.3,30.49,29.77,19.79,10.43,9.52
Tama County,Iowa,49.12,50.88,8.21,19.76,6.47,10.08,14.25,12.63,9.88,8.83,9.9,90.38,0.25,6.09,0.18,0.02,1.9,1.18,3.75,89.16,30.13,37.58,21.13,6.87,4.3
Taylor County,Iowa,48.49,51.51,6.75,18.87,6.88,8.65,13.7,12.68,10.1,9.7,12.66,97.71,0.03,0.1,0.3,0.06,1.14,0.66,3.81,95.33,39.79,35.92,17.86,4.05,2.38
Union County,Iowa,47.93,52.07,6.86,17.95,8.18,9.65,14.71,14.14,9.84,8.52,10.14,98.44,0.23,0.17,0.25,0,0.32,0.58,1.02,97.85,37.86,35.75,17.68,5.06,3.66
Van Buren County,Iowa,49.87,50.13,6.71,19.48,6.49,9.4,14.07,13.75,11,8.84,10.26,98.62,0.06,0.18,0.28,0.06,0.15,0.64,0.77,98.08,38.58,38.02,16.54,3.96,2.89
Wapello County,Iowa,48.67,51.33,7.15,17.67,9.34,10.24,14.56,13.75,9.51,8.75,9.05,96.28,0.93,0.28,0.65,0.02,1.05,0.79,2.22,95.25,37.74,36.13,16.01,6.34,3.79
Warren County,Iowa,48.6,51.4,8.18,20.41,9.03,10.81,16.49,14.2,9.05,5.97,5.87,98.08,0.27,0.17,0.38,0.04,0.29,0.76,1.08,97.45,20.45,28.94,27.74,13.54,9.32
Washington County,Iowa,48.19,51.81,8.11,19.25,6.6,10.26,15.61,13.41,8.88,7.78,10.09,97.04,0.29,0.19,0.25,0.03,1.51,0.68,2.73,95.97,27.8,37.69,23.05,6.94,4.52
Wayne County,Iowa,47.83,52.17,6.24,18.6,5.74,8.11,14.47,12.12,10.92,10.58,13.21,98.78,0.06,0.12,0.15,0.06,0.19,0.64,0.71,98.28,42.31,35.17,13.43,4.95,4.14
Webster County,Iowa,50.06,49.94,7.48,18.62,10.55,9.89,14.48,12.96,8.64,8.32,9.05,93.39,3.39,0.3,0.66,0.02,1.1,1.15,2.35,92.37,34.06,35.61,17.75,7.87,4.72
Winnebago County,Iowa,48.86,51.14,6.65,19.27,8.73,8.91,14.47,14.26,8.79,8.45,10.47,97.37,0.18,0.23,0.72,0.01,1.01,0.49,2.02,96.37,29.18,35.92,22.92,7.69,4.28
Winneshiek County,Iowa,49.18,50.82,6.34,18.92,15.31,8.58,14.8,11.91,8.45,7.4,8.29,97.85,0.51,0.08,0.82,0,0.24,0.5,0.8,97.4,28.81,36.98,20.92,7.7,5.59
Woodbury County,Iowa,49.01,50.99,9.16,19.77,10.03,12.22,14.7,12.96,7.8,6.67,6.69,87.48,2.02,1.69,2.41,0.04,4.37,1.99,9.11,83.58,29.95,33.96,20.63,8.37,7.09
Worth County,Iowa,49.63,50.37,7.04,18.41,6.27,9.6,15.79,13.78,9.74,8.8,10.57,98.37,0.28,0.09,0.14,0.01,0.42,0.7,1.57,97.27,31.46,39.45,19.63,6.52,2.93
Wright County,Iowa,49.02,50.98,6.95,18.88,6.22,8.91,14.55,13.72,9.58,9.21,11.99,95.93,0.17,0.18,0.2,0,2.9,0.63,4.93,94.1,32.1,36.42,21.28,5.83,4.37
Allen County,Kansas,48.86,51.14,7.22,19.92,8.84,8.92,14.17,13.31,9.6,8.43,9.59,94.8,1.63,0.78,0.26,0,0.86,1.68,1.93,93.96,40.08,35.91,16.55,4.2,3.26
Anderson County,Kansas,49.16,50.84,7.51,20.2,6.37,9.12,14.62,11.71,10.41,9.06,10.99,97.41,0.32,0.74,0.22,0.02,0.33,0.95,1.09,96.88,36.58,36.64,17.93,5.59,3.26
