STATE,COUNTY,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM,FID
Georgia,Dougherty,81931,22529,7517.4,27.5,9.18,36015,7994,43.96,9.76,23387,6822.2,28.54,8.33,728
Georgia,Douglas,145088,52920,12942.6,36.47,8.92,62719,13253.1,43.23,9.13,29449,10474.9,20.3,7.22,731
Georgia,Early,10582,2364,960,22.34,9.07,4739,1078,44.78,10.19,3479,990.6,32.88,9.36,735
Georgia,Echols,3699,913,420.1,24.68,11.36,1836,456.3,49.64,12.34,950,387.9,25.68,10.49,737
Georgia,Effingham,66282,25763,5961.5,38.87,8.99,27542,6169,41.55,9.31,12977,4910.1,19.58,7.41,742
Georgia,Elbert,19486,5044,1758,25.89,9.02,8760,1935.5,44.96,9.93,5682,1745.1,29.16,8.96,746
Georgia,Emanuel,21706,5477,1988.2,25.23,9.16,9651,2164,44.46,9.97,6578,1921.9,30.3,8.85,750
Georgia,Evans,10282,2852,915.3,27.74,8.9,4957,1003.1,48.21,9.76,2473,890.2,24.05,8.66,754
Georgia,Fannin,25789,6893,2100.9,26.73,8.15,12319,2303.4,47.77,8.93,6577,2056.5,25.5,7.97,755
Georgia,Fayette,120339,51611,9850,42.89,8.19,49303,10017.9,40.97,8.32,19425,7858.7,16.14,6.53,760
Georgia,Floyd,95988,32957,8297.4,34.33,8.64,40147,8626.3,41.83,8.99,22884,7058.3,23.84,7.35,764
Georgia,Forsyth,259937,129667,20639,49.88,7.94,101490,20488.3,39.04,7.88,28780,14400.9,11.07,5.54,768
Georgia,Franklin,23194,7041,2023.3,30.36,8.72,10355,2149.9,44.65,9.27,5798,1826.9,25,7.88,772
Georgia,Fulton,1039531,419534,100973.7,40.36,9.71,429425,104506.5,41.31,10.05,190572,82379,18.33,7.92,779
Georgia,Gilmer,32026,8738,2633.4,27.28,8.22,16228,2885.4,50.67,9.01,7060,2545.6,22.04,7.95,781
Georgia,Glascock,2919,596,322.9,20.42,11.06,1722,338,58.99,11.58,601,287.4,20.59,9.85,783
Georgia,Glynn,84197,25079,7862.2,29.79,9.34,36917,8502.6,43.85,10.1,22201,7410.9,26.37,8.8,793
Georgia,Gordon,57864,18721,5207.9,32.35,9,26905,5406.3,46.5,9.34,12238,4354.8,21.15,7.53,796
Georgia,Grady,25805,6299,2292.3,24.41,8.88,9960,2551.3,38.6,9.89,9546,2285,36.99,8.85,797
Georgia,Greene,19473,5525,1653,28.37,8.49,8455,1925,43.42,9.89,5493,1801.1,28.21,9.25,800
Georgia,Gwinnett,961220,360526,86362,37.51,8.98,425551,89573.6,44.27,9.32,175143,70361.4,18.22,7.32,804
Georgia,Habersham,44680,12944,3467.2,28.97,7.76,20138,3756.9,45.07,8.41,11598,3242.2,25.96,7.26,806
Georgia,Hall,205822,67750,17275.4,32.92,8.39,98251,17983,47.74,8.74,39821,14268.9,19.35,6.93,808
