State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Indiana,Howard,39131,42341,5957,13712,6327,8872,9087,10327,11656,8834,6700,70568,6550,443,1113,18,657,2123,2866,68875,12052,16036,17445,12067,23648,34177,1977,10115,75832,5640,348
Indiana,Huntington,17742,18187,2452,5885,3601,3681,4263,4633,5337,3479,2598,34328,309,100,238,57,406,491,898,33944,4216,8444,7814,5867,8646,16652,363,4500,33540,2389,352
Indiana,Jackson,21475,21918,3551,7684,3347,4888,5680,5581,5921,3959,2782,38815,557,112,1074,19,2111,705,3201,37854,5643,10949,8391,6345,11993,19407,703,5307,39822,3571,355
Indiana,Jasper,16536,16542,2309,6063,2729,3272,4088,4169,4623,3546,2279,30578,237,5,81,0,905,1272,2046,29811,3479,5831,7311,5610,10328,13585,609,4687,31184,1894,356
Indiana,Jay,10282,10216,1641,3757,1767,1968,2270,2684,2774,2148,1489,19812,26,101,95,0,234,230,643,19468,2890,6007,4257,2996,4279,8788,275,2400,18387,2111,358
Indiana,Jefferson,15107,15584,2206,4782,3050,3025,3525,3992,4527,3467,2117,29077,527,65,169,0,207,646,855,28531,5054,5855,6178,4962,7774,13045,426,4648,28223,2468,363
Indiana,Jennings,13770,13587,2153,4541,2480,2728,3221,4030,3838,2648,1718,26311,248,105,14,0,207,472,722,25964,3053,5229,6445,4968,7535,12756,382,3159,24508,2849,367
Indiana,Johnson,75512,78694,12476,27751,13651,18362,20875,20385,18676,13419,8611,139438,3815,381,5829,47,1263,3433,5688,136079,12223,23856,28604,26866,61719,73581,2730,15638,144782,9424,370
Indiana,Knox,18044,17913,2485,5719,4251,3777,4060,4333,5067,3591,2674,33452,976,21,305,19,365,819,802,33046,6221,8100,6549,5783,7987,15836,569,5083,33116,2841,376
Indiana,Kosciusko,39136,39246,5923,14067,6981,9235,8993,9605,10860,7633,5085,72789,461,275,1195,30,1076,2556,6361,68591,7815,15391,16766,13710,23857,36245,1208,8221,69894,8488,384
Indiana,LaGrange,19939,19445,4304,9052,3575,4199,4216,4290,4406,3154,2188,38308,59,7,40,0,154,816,1635,37036,2801,6394,8939,8035,13063,14470,504,5712,22625,16759,386
Indiana,Lake,233341,249015,35002,85598,42332,52398,61170,61114,66500,46052,32190,294504,113614,1247,6834,145,42556,23456,93701,257966,74832,96288,83502,70334,155136,201427,14906,67181,449275,33081,389
Indiana,LaPorte,49309,53063,7758,16910,8319,10935,11402,12969,15138,11464,7477,85425,9039,299,721,26,2311,4551,6887,82243,16454,20719,20716,16769,27431,43898,2398,12467,94855,7517,392
Indiana,Lawrence,22103,22868,3152,7150,3282,4795,5297,6035,6420,5126,3714,43156,176,88,242,7,417,885,766,42732,6195,8702,10206,8151,11645,19194,784,5851,41696,3275,396
Indiana,Madison,60704,64087,9195,20189,10456,13770,14955,16364,17046,13433,9383,109517,9029,206,623,1,1601,3814,5220,106288,21709,26912,26271,18784,29691,52217,2797,17577,114671,10120,401
Indiana,Marion,455415,491930,82520,165607,93578,142504,122070,111359,113542,70524,45641,566748,266769,1988,33943,207,36726,40964,100667,513831,160915,222880,179766,124397,252663,436653,24501,121899,854300,93045,409
Indiana,Marshall,22912,22860,3540,8800,3666,4455,5203,5938,6307,4418,3445,43259,292,119,242,0,833,1027,4704,39875,5620,10733,8988,8335,11806,19368,660,5541,40137,5635,412
Indiana,Martin,4993,4898,693,1571,796,884,1161,1288,1529,1155,814,9616,7,106,28,0,5,129,157,9464,1279,2209,2107,1715,2559,4278,65,1315,9338,553,418
Indiana,Miami,16691,16741,2476,5377,3203,3166,3923,4647,4625,3551,2464,30706,957,214,202,0,389,964,981,30189,6199,7214,7330,5513,7150,13969,746,4849,30596,2836,420
Indiana,Monroe,72555,73657,7754,20985,35333,18593,15505,14273,15289,11070,7410,125065,4740,359,9650,8,607,5783,5160,121723,28198,26115,22841,15941,38741,67762,4337,26894,137035,9177,422
Indiana,Montgomery,19073,18649,2905,6262,3365,3961,4267,4890,5385,3767,2920,35679,328,38,262,14,351,1050,1868,34561,4969,7533,8036,5719,10724,17109,691,4068,34637,3085,425
Indiana,Morgan,34346,34903,4615,12440,5434,6778,8093,10073,10658,7074,4084,66864,162,14,591,0,324,1294,1176,66079,6326,12038,13044,12723,24975,30976,1429,8631,64998,4251,430
Indiana,Newton,6943,6811,876,2345,953,1369,1629,1838,2239,1479,1026,12963,173,19,0,0,368,231,942,12466,1705,3067,3261,2376,3340,5441,461,2126,12849,905,433
Indiana,Noble,23568,23335,3737,8600,4087,4902,5607,6163,6685,4561,2561,44554,238,26,327,33,356,1369,4956,40743,4468,9472,12170,8044,12665,21230,690,5524,42278,4625,436
Indiana,Ohio,2895,2942,367,819,312,624,653,792,1042,736,492,5609,31,5,29,0,36,127,80,5561,704,912,1251,1061,1909,2625,50,748,5416,421,440
Indiana,Orange,9662,9614,1536,3129,1486,1924,2166,2433,2936,2242,1424,18377,462,16,100,0,36,285,145,18282,2939,4135,4404,3777,3987,8009,235,2701,17804,1472,444
Indiana,Owen,10698,10007,1334,3343,1359,2029,2287,2890,3506,2540,1417,19954,58,103,101,0,0,489,269,19895,3023,5196,5192,3666,3606,8705,420,2946,18454,2251,448
Indiana,Parke,7830,7737,1246,2692,1049,1453,1404,2032,2439,1949,1303,14956,139,33,0,0,47,392,196,14847,1908,3510,4084,2441,3577,5781,252,2344,13470,2097,452
Indiana,Perry,8718,8787,1267,2895,1385,1805,1932,2109,2662,2088,1362,16793,167,30,113,0,46,356,240,16767,2583,3767,3600,3148,4385,7430,273,2190,16669,836,459
Indiana,Pike,6021,6136,805,2156,861,1113,1335,1602,1925,1414,946,11740,53,0,69,0,176,119,176,11740,1364,2961,2824,1544,3431,5043,155,1638,11677,480,465
Indiana,Porter,82909,84832,11054,28617,14839,18516,22239,21942,23912,16762,9860,150220,6520,321,2257,78,2540,5805,17267,138025,17115,24547,27445,25967,70220,74903,3447,23098,158788,8953,468
Indiana,Posey,12564,12674,1641,4250,1762,2742,3005,3235,4007,2794,1802,24179,434,14,74,0,246,291,314,24139,2709,4313,4732,3774,9671,11284,400,3067,23966,1272,471
Indiana,Pulaski,6192,6184,698,2292,900,1282,1425,1550,1844,1377,1008,11708,12,31,58,39,178,350,381,11628,1561,3503,2781,1883,2609,5143,361,1497,11481,895,477
Indiana,Putnam,17054,17589,2101,5742,4830,3158,3611,4501,4789,3382,2529,32777,188,65,1001,8,52,552,594,32403,3424,6280,7577,6364,8567,15417,354,5118,32920,1723,480
Indiana,Randolph,11967,12366,1686,4258,1779,2397,2776,3133,3557,2697,2050,23007,105,18,92,0,481,630,895,22441,3215,5538,5832,4370,5347,10310,538,2794,22119,2214,485
Indiana,Ripley,13795,14175,2105,5077,2206,2764,3316,3818,3934,2851,1899,27095,73,36,270,0,138,358,526,26625,3367,5557,5600,4517,8869,12757,519,2762,25833,2137,488
Indiana,Rush,8070,8368,1070,2897,1227,1635,1841,2273,2613,1623,1259,15973,312,3,17,0,38,95,270,15726,2224,3511,3560,3381,3736,6864,405,2320,14852,1586,493
Indiana,St. Joseph,130274,138061,20981,47044,29332,31899,31610,31864,34001,24425,17179,204806,34313,1227,6826,146,7198,13819,24019,192750,39331,53768,52749,37615,74460,118076,5836,34794,247852,20483,496
Indiana,Scott,11465,11913,1763,3714,2120,2378,2737,3438,3316,2483,1429,22607,7,161,66,0,170,367,574,22151,4087,5304,4643,3715,5606,9399,412,4178,21644,1734,504
Indiana,Shelby,21564,22291,3031,7573,3411,4873,5123,5948,6496,4371,3029,41390,345,25,217,7,987,884,1941,40428,4997,8413,10542,7747,12108,20199,698,4954,40953,2902,506
Indiana,Spencer,10151,9973,1330,3377,1359,2029,2332,2673,3139,2316,1569,19500,108,17,70,0,120,309,604,19026,2408,4189,3411,3677,6367,9025,326,2181,19426,698,509
Indiana,Starke,11449,11547,1748,3997,1745,2288,2668,2913,3434,2521,1682,22263,166,70,58,0,57,382,919,21544,3534,5900,4430,4636,4433,8388,525,4135,21478,1518,512
Indiana,Steuben,17568,16782,2119,5491,3438,3309,3465,4519,5179,4173,2657,32924,94,14,193,0,196,929,1288,32158,3804,6998,7591,5528,9304,15199,775,3936,31845,2505,515
Indiana,Sullivan,8889,9638,1276,3033,1578,1916,2232,2527,2566,2051,1348,17571,158,30,157,6,115,490,304,17469,3263,4560,3653,2967,4035,7759,332,2728,16816,1711,518
Indiana,Switzerland,5482,5148,803,1959,687,1081,1271,1398,1479,1151,801,10221,45,0,73,82,45,164,206,10142,1848,2699,2072,1631,2374,4217,218,1481,9319,1311,526
Indiana,Tippecanoe,97842,93689,12863,32592,43621,23885,20338,18554,18556,12808,8314,153907,10642,440,15654,71,5418,5399,16302,143776,32819,36961,32315,23279,50675,87761,3535,33658,179114,12417,530
Indiana,Tipton,7403,7552,929,2475,1052,1455,1648,2171,2244,1753,1228,14402,2,3,80,0,157,311,458,14148,1254,3288,2663,2615,5091,7015,252,1303,13662,1293,534
Indiana,Union,3476,3608,591,1014,568,686,779,1047,1030,825,544,6865,15,0,132,0,6,66,155,6729,430,1926,1461,1266,1993,3247,83,780,6527,557,538
Indiana,Vanderburgh,86966,92140,12492,29212,18071,22587,21104,21318,24987,17267,12068,151690,16965,105,2424,353,2031,5538,5001,148879,30151,39909,32672,28609,43460,80970,4115,22982,165223,13883,543
Indiana,Vermillion,7676,7596,938,2592,1326,1397,1877,2056,2197,1750,1139,14828,109,28,44,8,67,188,200,14742,2372,3844,2920,3172,2935,6122,517,2214,14487,785,548
Indiana,Vigo,50863,52338,7465,16177,15662,11449,11220,11951,12579,9669,7029,90677,6410,26,2079,56,769,3184,2569,89459,19721,22978,20776,12958,22253,44563,2602,15696,95992,7209,553
Indiana,Wabash,14907,15277,1905,4997,2912,2917,3289,3701,4432,3444,2587,28772,279,268,162,11,363,329,769,28461,4316,6659,6857,5409,6012,13011,604,3636,27701,2483,555
Indiana,Warren,4083,4045,523,1346,513,762,958,1141,1235,938,712,7910,51,0,19,0,19,129,165,7765,938,1515,1512,1650,2513,3637,92,880,7759,369,567
Indiana,Warrick,30120,31751,4150,11560,4114,6174,8491,8535,8529,6328,3990,57250,1084,54,1768,4,714,997,1212,56444,4654,8887,9828,11940,26473,28610,904,6329,59529,2342,575
Indiana,Washington,13653,14015,1940,4715,2197,2827,3338,3882,4172,2814,1783,27064,2,10,96,0,59,437,363,26776,3674,7037,5746,3722,7467,11432,444,4540,25189,2479,584
Indiana,Wayne,31339,33425,4551,10867,5953,6721,7446,8231,9071,6762,5162,57943,3187,229,851,1,608,1945,2044,56883,11518,15424,14149,8946,13375,27785,1293,8344,57362,7402,586
Indiana,Wells,13456,13952,2031,5269,2015,2818,3265,3378,3978,2764,1890,26045,206,54,107,0,208,788,842,25702,2943,6119,5580,4870,7863,12669,310,2475,25896,1512,590
Indiana,White,11942,11942,1878,4079,1707,2326,2490,3131,3614,2781,1878,21667,136,141,79,8,1449,404,2068,21234,2935,5385,5545,3792,6166,9709,474,3085,21880,2004,594
Indiana,Whitley,16632,16882,2411,5768,2395,3632,3961,4439,5019,3576,2313,32336,74,65,146,0,41,852,720,31804,3125,7016,6773,6214,10306,15645,733,3068,31040,2474,597
Kansas,Allen,5998,6309,786,2242,1070,1110,1391,1437,1827,1427,1017,11432,53,68,120,133,0,501,464,11065,2291,2837,3097,2049,1821,5033,205,1597,11548,759,709
Kansas,Anderson,3850,3911,651,1474,539,661,880,892,1074,850,740,7481,36,56,3,0,0,185,168,7313,1546,1142,2001,1237,1820,3007,149,890,6779,982,712
Kansas,Atchison,7744,8292,1153,2914,2165,1518,1718,1761,2128,1503,1176,14269,492,59,69,0,153,994,499,14104,1946,3225,2650,3083,3824,7045,281,1964,14836,1200,715
Kansas,Barber,2312,2139,388,756,279,499,401,542,640,541,405,4252,21,67,28,0,8,75,253,4015,880,1125,849,551,1036,1877,48,436,4021,430,717
Kansas,Barton,12491,13310,2002,4522,2236,3066,2683,2585,3823,2637,2247,23446,282,278,83,83,524,1105,3896,20883,4278,6577,5131,3578,6141,11288,368,2737,22446,3355,719
Kansas,Bourbon,7027,7296,1201,2746,1011,1532,1580,1484,2000,1525,1244,13092,418,18,47,0,132,616,398,12839,2526,3543,3605,2286,2159,5726,228,1653,12902,1421,722
Kansas,Brown,4577,4901,720,1835,581,969,1043,1052,1456,1025,797,8065,67,919,20,4,34,369,474,7810,1197,2787,1920,1400,2155,3861,188,1052,8633,845,723
Kansas,Butler,31298,32737,4847,13151,5005,6554,7796,8173,8827,5584,4098,59422,778,498,799,11,351,2176,3088,57247,6826,11217,11238,11112,23190,27940,1166,7249,59444,4591,726
Kansas,Chase,1261,1255,159,422,235,200,233,309,359,341,258,2374,16,20,4,0,29,73,120,2291,329,659,627,334,567,1056,19,261,2272,244,729
Kansas,Chautauqua,1714,1513,207,495,204,357,311,350,522,403,378,2806,38,139,11,0,8,225,135,2745,691,962,733,421,409,1194,82,468,2805,422,730
Kansas,Cherokee,9701,10137,1671,3356,1422,1984,2211,2584,2897,2209,1504,17818,63,404,35,105,46,1367,562,17358,3349,5569,3968,3429,3471,7978,169,2951,17963,1875,732
Kansas,Cheyenne,1307,1299,204,414,169,202,302,238,404,352,321,2489,0,17,0,0,78,22,183,2403,522,613,586,343,542,1037,28,250,2310,296,736
Kansas,Clark,1006,937,162,316,120,140,212,253,333,153,254,1788,13,6,37,0,5,94,69,1725,276,461,440,321,445,865,14,179,1821,122,738
Kansas,Clay,3885,3938,604,1271,508,680,922,883,1050,1022,883,7539,76,73,46,0,0,89,209,7330,1036,1931,2174,1035,1640,3236,88,719,7391,432,739
Kansas,Cloud,4380,4223,797,1371,837,923,910,933,1148,914,770,8205,137,29,8,6,32,186,279,7975,981,2544,2235,1269,1472,3783,136,832,7781,822,740
Kansas,Coffey,4107,4014,506,1322,581,803,899,1028,1290,1003,689,7773,68,16,48,0,9,207,236,7567,1032,1559,1607,1227,2669,3543,162,896,7464,657,745
Kansas,Comanche,843,844,59,306,91,95,237,142,312,282,163,1627,4,0,0,0,9,47,83,1557,262,315,391,370,349,702,29,146,1570,117,748
Kansas,Cowley,16835,17152,2579,6247,3390,3470,3876,3953,4515,3394,2563,29390,917,533,651,44,432,2020,3836,26837,5258,7491,7315,5352,7516,14140,669,4395,30805,3182,752
Kansas,Crawford,19317,18920,2923,6251,6604,4068,4153,4150,4529,3289,2270,34977,814,159,750,0,201,1336,2280,32929,8783,9219,6250,5384,7213,17189,925,5390,33737,4500,756
Kansas,Decatur,1401,1367,180,369,195,267,301,252,476,358,370,2708,10,15,12,0,0,23,91,2637,600,623,653,342,550,1209,54,228,2504,264,759
Kansas,Dickinson,9185,9115,1304,3332,1094,1929,2318,2111,2746,1903,1563,17284,209,95,145,0,104,463,894,16559,2574,3611,4341,3020,4676,8052,221,1925,16647,1653,762
Kansas,Doniphan,3809,3707,556,1198,938,678,787,905,1068,798,588,6906,380,44,10,7,9,160,212,6745,1284,1316,1272,1018,1980,3428,37,911,6905,611,765
Kansas,Douglas,59799,60755,7371,17878,27332,15462,14427,11399,12149,9040,5496,97759,5170,2545,6426,35,1653,6966,7705,93470,17126,20067,20623,15739,39338,62984,2686,15099,111801,8753,767
Kansas,Edwards,1351,1381,186,456,139,335,275,336,464,307,234,2543,1,17,27,0,51,93,581,2064,313,816,738,432,428,1219,25,305,2491,241,770
Kansas,Elk,1223,1264,150,402,68,218,213,288,433,380,335,2310,0,40,11,0,21,105,111,2216,549,650,523,317,444,816,60,344,2204,283,773
Kansas,Ellis,14077,14442,1947,4754,5036,3288,3150,2756,3302,2418,1868,26511,352,60,476,65,207,848,1708,25475,4028,4541,5034,5564,8357,14829,395,2308,26871,1648,774
Kansas,Ellsworth,2705,2587,374,881,335,451,518,696,836,659,542,4934,56,51,40,0,18,193,195,4773,578,1122,1227,807,1539,2383,38,415,4855,437,776
Kansas,Finney,18644,17543,3784,7849,3904,4160,4402,4266,3927,2432,1463,28434,1232,180,1473,0,1842,3026,18204,14687,4209,7741,7286,6599,9967,16517,688,3454,31912,4275,778
Kansas,Ford,17220,15977,3697,6950,3263,4084,4083,3954,3766,2019,1381,27353,646,161,424,26,1811,2776,18547,12983,3456,9141,7317,5198,7874,15108,666,3376,29090,4107,784
Kansas,Franklin,12832,12635,1932,4723,2090,2624,2888,3233,3729,2641,1607,23619,167,83,95,7,485,1011,1112,23084,3010,6350,5250,4099,6316,11666,371,2527,23666,1801,786
Kansas,Geary,13928,14950,4514,6139,3310,4812,2866,2497,2002,1530,1208,18479,5321,273,827,294,890,2794,4772,15788,4893,6884,7356,4125,5604,11950,469,3068,26742,2136,788
Kansas,Gove,1326,1275,212,402,165,317,231,229,422,297,326,2481,18,0,10,0,9,83,54,2446,368,612,652,389,580,1128,34,202,2315,286,790
Kansas,Graham,1148,1286,138,394,179,171,274,223,404,270,381,2224,120,0,5,0,0,85,82,2155,449,759,553,250,412,955,50,246,2221,213,791
Kansas,Grant,3761,3461,844,1521,689,868,674,810,889,623,304,6876,0,10,80,0,98,158,3481,3592,988,1570,1587,997,2080,2841,123,966,6098,1124,794
Kansas,Gray,3022,2914,539,1319,459,625,752,636,771,479,356,5641,44,14,23,19,18,177,969,4827,343,1058,1441,1060,2034,2810,32,401,5029,907,798
Kansas,Greeley,523,603,105,231,100,97,98,120,183,126,66,917,0,21,0,0,147,41,267,859,182,269,369,98,208,490,0,108,1034,92,801
Kansas,Greenwood,3035,2879,366,951,394,422,653,685,988,833,622,5616,2,21,23,0,30,222,237,5430,921,1789,1019,738,1447,2410,67,665,5421,493,803
Kansas,Hamilton,1347,1205,259,551,112,294,472,176,369,188,131,2251,51,0,0,0,209,41,944,1515,235,697,648,283,689,1063,0,360,1926,626,805
Kansas,Harper,2707,2645,394,1026,321,505,612,547,804,619,524,5062,6,74,23,17,70,100,342,4814,851,1497,1355,720,919,2055,65,669,4750,602,807
Kansas,Harvey,16843,16910,2537,6256,3028,3681,3651,3789,4766,3216,2829,30495,531,83,247,77,634,1686,4153,27601,3251,7109,8852,4843,8957,15221,500,3194,30818,2935,812
Kansas,Haskell,1932,2014,348,819,350,401,532,419,567,335,175,3266,0,38,5,0,393,244,1232,2610,413,1078,857,352,1246,1684,49,536,3235,711,815
Kansas,Hodgeman,921,918,120,318,142,118,199,203,348,192,199,1780,0,6,0,0,4,49,175,1611,205,388,364,344,538,820,21,169,1646,193,818
Kansas,Jackson,6546,6560,995,2410,1110,1154,1473,1688,1799,1491,986,11306,18,1075,45,14,84,564,653,10934,1518,2440,2977,2538,3624,5652,238,1334,12116,990,819
Kansas,Jefferson,9450,9274,1334,3304,1237,1727,2140,2537,3029,2081,1335,17915,119,136,3,0,71,480,540,17494,1452,3031,4102,3466,6673,8726,257,1687,17788,936,821
Kansas,Jewell,1436,1386,202,366,145,272,242,275,473,436,411,2676,9,19,5,6,19,88,67,2652,702,771,417,466,466,1067,17,323,2588,234,822
Kansas,Johnson,290949,302286,46075,106624,47256,73894,83403,77481,74042,51800,32660,502549,27752,1573,31199,214,8054,21894,46110,470867,31768,66441,80268,86506,327215,296264,8838,50974,558919,34316,824
Kansas,Kearny,1773,2029,356,852,460,237,396,504,453,317,227,3443,110,1,9,0,204,35,1217,2493,631,1063,669,469,965,1471,28,551,3250,552,826
Kansas,Kingman,3549,3497,410,1244,413,668,796,878,1144,783,710,6808,19,1,11,0,16,191,264,6567,683,1406,1478,1200,2274,3088,128,683,6637,409,827
Kansas,Kiowa,1172,1247,204,433,265,193,209,243,337,294,241,2242,18,21,23,0,48,67,147,2143,274,531,651,345,481,944,25,278,2161,258,829
Kansas,Labette,9679,9918,1590,3420,1375,2144,2074,2500,2893,2135,1466,17348,874,166,16,0,170,1023,932,16705,3473,5015,4290,3277,3342,8443,239,2304,17480,2117,831
Kansas,Lane,763,757,94,303,57,129,188,217,206,170,156,1431,0,12,24,3,43,7,157,1317,244,374,243,293,366,646,12,139,1294,226,833
Kansas,Leavenworth,36369,37665,6366,13824,5929,7581,9810,9116,10015,7036,4357,62191,4792,446,987,13,1616,3989,4788,60392,6129,10926,12039,13372,30984,31583,1788,9080,69933,4101,836
Kansas,Lincoln,1503,1447,181,568,148,208,361,337,477,392,278,2821,8,0,0,0,0,121,65,2756,444,872,556,607,471,1265,23,243,2740,210,838
Kansas,Linn,4877,4754,613,1620,598,788,1240,1131,1523,1247,871,9217,44,17,169,37,16,131,278,8984,1848,2066,1792,1494,2431,3804,146,1330,8738,893,840
Kansas,Logan,1418,1332,237,477,184,290,389,198,419,302,254,2611,0,40,0,8,25,66,170,2478,449,560,717,397,627,1248,8,224,2549,201,842
Kansas,Lyon,15929,16929,2439,5715,5591,3324,3566,3461,3980,2804,1978,28535,718,145,767,0,609,2084,7129,23253,5477,7244,6523,5985,6685,15888,519,3515,30067,2791,844
Kansas,McPherson,13793,14011,1857,4703,2846,2941,3242,3200,3948,2840,2227,26374,443,91,173,0,22,701,1215,25341,2640,6506,6011,3974,7980,13115,196,2866,26138,1666,846
Kansas,Marion,5823,5687,674,2053,1057,1007,1151,1272,1772,1347,1177,10923,113,39,72,0,32,331,446,10632,1354,2916,2998,1755,2039,4992,201,1066,10704,806,848
Kansas,Marshall,4764,4777,731,1721,561,899,1081,1012,1531,1069,936,9112,26,7,40,12,46,298,251,9013,1083,2157,2275,1669,2335,4341,123,620,8884,657,850
Kansas,Meade,1997,2005,346,771,398,387,415,536,501,383,265,3294,23,2,36,0,428,219,898,2966,393,893,1015,768,933,1825,43,369,3458,544,851
Kansas,Miami,16486,16548,2243,6306,2365,2903,3996,4476,5166,3242,2337,31236,264,331,180,0,365,658,1081,30609,2734,4003,5832,6439,13907,14945,259,3702,31109,1925,853
Kansas,Mitchell,3027,2876,450,1076,536,473,625,605,842,708,588,5717,31,44,19,0,8,84,145,5609,998,1482,1486,964,921,2350,54,677,5473,430,854
Kansas,Montgomery,15816,15789,2490,5506,2474,3579,3402,3613,4661,3354,2526,26303,1642,1079,192,34,593,1762,2231,24918,6461,7668,7518,3504,6071,12365,704,4660,27496,4109,856
Kansas,Morris,2777,2675,361,854,332,465,620,611,907,701,601,5228,8,12,42,0,8,154,291,4965,715,1312,1207,747,1471,2345,76,514,5036,416,858
Kansas,Morton,1223,1360,191,501,153,390,219,290,370,265,204,2271,0,5,57,0,9,241,627,1817,361,682,492,404,644,992,17,413,2254,329,859
Kansas,Nemaha,5050,4785,886,1950,769,917,1074,1117,1365,895,862,9473,56,64,18,0,35,189,217,9305,1056,1916,1788,1661,3371,4488,61,693,9352,483,861
Kansas,Neosho,7650,8168,1341,2809,1214,1667,1688,1776,2251,1749,1323,14957,215,74,12,0,40,520,948,14102,2642,3431,4440,2180,2863,6242,197,2157,14084,1734,862
Kansas,Ness,1394,1402,222,422,227,276,176,293,528,338,314,2578,8,2,7,0,172,29,308,2452,323,747,633,401,692,1252,11,237,2629,167,864
Kansas,Norton,2147,2386,385,649,394,458,412,544,686,556,449,4349,8,0,35,0,56,85,144,4261,476,1248,1118,426,1265,2018,74,402,4098,435,866
Kansas,Osage,7822,7819,1119,2706,1167,1448,1695,1947,2556,1733,1270,14926,91,24,38,1,42,519,532,14560,2147,3196,3542,2892,3839,6666,300,1847,14218,1423,867
Kansas,Osborne,1697,1698,227,510,237,394,324,351,567,385,400,3238,29,7,4,0,29,88,73,3193,655,726,818,393,795,1517,35,321,3167,228,869
Kansas,Ottawa,2937,2743,344,1012,358,525,700,711,900,662,468,5466,23,59,45,0,0,87,170,5341,672,1340,1026,1071,1571,2568,68,558,5311,369,870
Kansas,Pawnee,2668,2845,295,761,390,448,625,672,933,741,648,5149,139,14,15,0,123,73,413,4859,566,1793,1268,911,959,2430,51,587,4939,574,872
Kansas,Phillips,2599,2607,377,859,392,517,517,556,809,676,503,4989,63,17,47,11,3,76,173,4869,734,1200,1480,715,1077,2310,46,435,4919,287,873
Kansas,Pottawatomie,11745,12010,2230,5133,1571,2883,3091,2577,3007,1987,1276,22277,391,158,165,0,65,699,1257,21242,2099,3522,4534,4050,9441,10234,217,2678,22675,1080,876
Kansas,Pratt,4580,4575,773,1752,884,887,910,919,1313,909,808,8560,164,25,18,0,18,370,658,8055,877,2299,1930,1645,2134,3936,149,828,8354,801,878
Kansas,Rawlins,1294,1161,160,372,93,291,247,292,366,340,294,2282,14,31,3,0,89,36,187,2189,345,465,511,545,589,1102,11,176,2276,179,880
Kansas,Reno,29347,30616,4141,10748,4912,5952,7091,6919,8427,6564,5209,54595,950,550,330,75,619,2844,5817,50706,8107,14728,12887,10328,13614,25568,1151,6582,54176,5787,882
Kansas,Republic,2254,2261,325,709,302,354,427,479,761,600,558,4372,44,21,16,0,19,43,97,4277,594,1235,1003,837,840,1926,18,379,4327,188,884
Kansas,Rice,4716,4601,699,1605,1048,999,958,991,1358,910,749,8434,178,46,52,29,204,374,1090,7701,1495,2142,1804,1469,1925,4195,208,951,8694,623,886
Kansas,Riley,33222,34370,4884,9474,19706,9117,6719,5415,5764,3956,2557,55957,3544,274,3531,131,903,3252,5176,52599,11524,15656,11193,6736,16548,34037,1741,10943,63548,4044,888
Kansas,Rooks,2280,2522,410,798,303,430,491,525,777,570,498,4604,75,0,11,8,16,88,107,4552,516,1276,1194,771,1040,2080,50,396,4484,318,889
Kansas,Rush,1467,1414,224,418,219,282,245,367,444,366,316,2691,0,0,24,0,10,156,90,2651,545,557,634,707,438,1278,45,234,2756,125,891
Kansas,Russell,3341,3441,547,1083,413,666,705,774,1029,821,744,6250,122,55,0,0,54,301,249,6234,896,1637,1782,1246,1216,2690,132,765,6186,596,893
Kansas,Saline,26636,27007,3975,9325,4699,6115,6148,6566,7730,5111,3974,46864,1509,175,1097,13,1062,2923,6263,42874,6603,13129,11566,7590,13954,24816,972,5470,48492,5151,895
Kansas,Scott,2451,2326,392,969,359,462,517,602,629,480,367,4374,0,0,77,0,209,117,899,3723,593,1328,635,993,1228,2169,21,379,4455,322,897
Kansas,Sedgwick,250312,259059,42766,95932,48627,63823,62381,58561,64343,43508,29430,388489,42116,4592,22026,239,20205,31704,75798,344452,69236,103773,98223,76525,159771,228677,11580,57478,456374,52997,898
Kansas,Seward,11404,10307,2251,4983,2374,2784,2653,2555,2107,951,1053,12449,867,176,568,38,5434,2179,13566,6314,3031,5587,5559,2852,4381,9726,367,2380,18210,3501,900
Kansas,Shawnee,83786,89915,13758,29940,14502,19244,20560,20849,24187,17939,12722,140781,13981,1383,2329,58,6279,8890,22196,127173,20905,36987,32647,27715,53673,77219,3173,18950,160954,12747,902
Kansas,Sheridan,1266,1218,164,466,110,262,301,231,390,288,272,2388,19,15,0,0,39,23,138,2296,267,488,441,380,908,1127,31,136,2293,191,904
Kansas,Sherman,2958,2857,475,1014,501,541,781,553,809,660,481,5225,57,30,52,0,330,121,718,4878,552,1165,1455,692,1769,2579,129,477,5291,524,907
Kansas,Smith,1749,1787,218,511,208,295,351,383,621,483,466,3395,10,15,28,0,2,86,88,3329,567,1051,629,494,790,1487,31,340,3225,311,909
Kansas,Stafford,2110,1900,339,672,323,385,372,494,645,391,389,3790,1,50,0,0,42,127,548,3329,523,1045,827,608,999,1748,61,410,3615,395,911
Kansas,Stanton,1023,977,194,380,136,245,219,204,286,157,179,1842,0,4,0,0,45,109,741,1163,528,293,521,210,448,843,20,227,1608,392,913
