State,County,Agency,Ori,total aggravated-assault crimes (2000-2005),total aggravated-assault cleared crimes (2000-2005),total aggravated-assault actual crimes (2000-2005),total violent-crime crimes (2000-2005),total violent-crime cleared crimes (2000-2005),total violent-crime actual crimes (2000-2005),total arson crimes (2000-2005),total arson cleared crimes (2000-2005),total arson actual crimes (2000-2005),total human-trafficing crimes (2000-2005),total human-trafficing cleared crimes (2000-2005),total human-trafficing actual crimes (2000-2005),total rape-legacy crimes (2000-2005),total rape-legacy cleared crimes (2000-2005),total rape-legacy actual crimes (2000-2005),total homicide crimes (2000-2005),total homicide cleared crimes (2000-2005),total homicide actual crimes (2000-2005),total burglary crimes (2000-2005),total burglary cleared crimes (2000-2005),total burglary actual crimes (2000-2005),total motor-vehicle-theft crimes (2000-2005),total motor-vehicle-theft cleared crimes (2000-2005),total motor-vehicle-theft actual crimes (2000-2005),total larceny crimes (2000-2005),total larceny cleared crimes (2000-2005),total larceny actual crimes (2000-2005),total rape crimes (2000-2005),total rape cleared crimes (2000-2005),total rape actual crimes (2000-2005),total property-crime crimes (2000-2005),total property-crime cleared crimes (2000-2005),total property-crime actual crimes (2000-2005),Latitude,Longitude
New Mexico,BERNALILLO,Bernalillo County Sheriff's Office,NM0010000,6946,2888,4058,8537,3300,5237,470,29,441,0,0,0,452,181,271,108,44,64,6333,696,5637,3344,538,2806,11447,1451,9996,452,181,271,21124,2685,18439,35.054002,-106.669064
New Mexico,BERNALILLO,Albuquerque Police Department,NM0010100,31890,12494,19396,44690,15577,29113,792,169,623,0,0,0,2322,788,1534,464,201,263,39281,3594,35687,27946,3656,24290,141868,13285,128583,2322,788,1534,209095,20535,188560,35.089184,-106.65081
New Mexico,BERNALILLO,University of New Mexico,NM0010200,183,63,120,233,70,163,14,1,13,0,0,0,21,3,18,0,0,0,457,21,436,312,6,306,4515,117,4398,21,3,18,5284,144,5140,35.054002,-106.669064
New Mexico,CATRON,Catron County Sheriff's Office,NM0020000,23,8,15,38,14,24,0,0,0,0,0,0,5,2,3,4,2,2,33,9,24,6,1,5,10,1,9,5,2,3,49,11,38,33.901813,-108.392097
New Mexico,CHAVES,Chaves County Sheriff's Office,NM0030000,492,148,344,589,168,421,10,4,6,0,0,0,59,10,49,19,7,12,1380,57,1323,172,17,155,987,52,935,59,10,49,2539,126,2413,33.361604,-104.469837
New Mexico,CHAVES,Roswell Police Department,NM0030100,3006,739,2267,3686,883,2803,130,22,108,0,0,0,300,50,250,66,23,43,4577,268,4309,835,87,748,15552,2195,13357,300,50,250,20964,2550,18414,33.361604,-104.469837
New Mexico,CHAVES,Dexter Police Department,NM0030200,40,17,23,46,20,26,2,1,1,0,0,0,6,3,3,0,0,0,52,9,43,7,2,5,69,8,61,6,3,3,128,19,109,33.361604,-104.469837
New Mexico,CHAVES,New Mexico Military Institute,NM0030400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.408695,-104.52283
New Mexico,COLFAX,Colfax County Sheriff's Office,NM0040000,16,2,14,18,3,15,0,0,0,0,0,0,2,1,1,0,0,0,11,1,10,7,2,5,27,1,26,2,1,1,45,4,41,36.612962,-104.640126
New Mexico,COLFAX,Raton Police Department,NM0040100,304,95,209,359,114,245,6,3,3,0,0,0,34,11,23,4,1,3,514,148,366,63,20,43,824,232,592,34,11,23,1401,400,1001,36.90456,-104.43978
New Mexico,COLFAX,Cimarron Police Department,NM0040200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.612962,-104.640126
