State,County,Agency,Ori,total aggravated-assault crimes (2006-2014),total aggravated-assault cleared crimes (2006-2014),total aggravated-assault actual crimes (2006-2014),total violent-crime crimes (2006-2014),total violent-crime cleared crimes (2006-2014),total violent-crime actual crimes (2006-2014),total arson crimes (2006-2014),total arson cleared crimes (2006-2014),total arson actual crimes (2006-2014),total human-trafficing crimes (2006-2014),total human-trafficing cleared crimes (2006-2014),total human-trafficing actual crimes (2006-2014),total rape-legacy crimes (2006-2014),total rape-legacy cleared crimes (2006-2014),total rape-legacy actual crimes (2006-2014),total homicide crimes (2006-2014),total homicide cleared crimes (2006-2014),total homicide actual crimes (2006-2014),total burglary crimes (2006-2014),total burglary cleared crimes (2006-2014),total burglary actual crimes (2006-2014),total motor-vehicle-theft crimes (2006-2014),total motor-vehicle-theft cleared crimes (2006-2014),total motor-vehicle-theft actual crimes (2006-2014),total larceny crimes (2006-2014),total larceny cleared crimes (2006-2014),total larceny actual crimes (2006-2014),total rape crimes (2006-2014),total rape cleared crimes (2006-2014),total rape actual crimes (2006-2014),total property-crime crimes (2006-2014),total property-crime cleared crimes (2006-2014),total property-crime actual crimes (2006-2014),Latitude,Longitude
New Mexico,DONA ANA,Sunland Park Police Department,NM0070600,1245,66,120,1586,84,182,22,2,6,0,0,0,159,10,31,3,0,1,2989,108,501,1078,23,185,6803,244,1125,159,10,31,10870,375,1811,31.795942,-106.555046
New Mexico,EDDY,Eddy County Sheriff's Office,NM0080000,2139,44,377,2854,46,493,69,1,16,0,0,0,524,1,82,42,1,7,6639,6,1198,1052,7,250,11617,22,2442,524,1,82,19308,35,3890,32.420414,-104.22896
New Mexico,EDDY,Artesia Police Department,NM0080100,2891,336,619,3489,354,721,18,2,3,0,0,0,387,13,66,27,1,5,10169,68,1736,1078,17,199,11995,289,2285,387,13,66,23242,374,4220,32.457858,-104.306471
New Mexico,EDDY,Carlsbad Police Department,NM0080200,6658,282,1069,8718,351,1408,531,8,80,0,0,0,1199,42,201,111,8,14,12473,148,2356,2751,115,563,38989,622,7399,1199,42,201,54213,885,10318,32.457858,-104.306471
New Mexico,EDDY,Loving Police Department,NM0080300,11,0,8,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,0,9,2,0,2,92,0,48,0,0,0,113,0,59,32.457858,-104.306471
New Mexico,EDDY,Hope,NM0080500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.457858,-104.306471
New Mexico,GRANT,Grant County Sheriff's Office,NM0090000,178,0,48,213,0,60,4,0,2,0,0,0,21,0,7,10,0,3,1370,0,377,0,0,0,824,0,222,21,0,7,2194,0,599,32.783188,-108.265976
New Mexico,GRANT,Silver City Police Department,NM0090100,4465,241,602,5267,263,746,159,3,30,0,0,0,360,5,75,88,5,9,8187,123,1448,1786,47,232,20711,564,3265,360,5,75,30684,734,4945,32.732087,-108.381504
New Mexico,GRANT,Bayard Police Department,NM0090200,529,51,70,537,51,73,14,1,1,0,0,0,2,0,2,0,0,0,555,28,74,29,3,9,1693,85,218,2,0,2,2277,116,301,32.732087,-108.381504
New Mexico,GRANT,Santa Clara Police Department,NM0090300,189,19,28,197,20,29,14,1,3,0,0,0,0,0,0,8,1,1,315,14,75,61,4,13,221,5,68,0,0,0,597,23,156,32.732087,-108.381504
New Mexico,GRANT,Hurley Police Department,NM0090400,45,2,9,54,2,12,0,0,0,0,0,0,3,0,1,0,0,0,326,3,64,37,0,6,399,1,65,3,0,1,762,4,135,32.732087,-108.381504
New Mexico,GRANT,Western New Mexico University,NM0090500,4,1,3,5,1,4,0,0,0,0,0,0,1,0,1,0,0,0,10,0,10,1,0,1,23,0,23,1,0,1,34,0,34,32.732087,-108.381504
New Mexico,GUADALUPE,Guadalupe County Sheriff's Office,NM0100000,107,14,28,122,15,32,1,0,1,0,0,0,10,1,2,0,0,0,163,4,52,33,2,11,226,4,52,10,1,2,422,10,115,34.932644,-104.69177
New Mexico,GUADALUPE,Santa Rosa Police Department,NM0100100,2906,193,302,3024,195,319,53,2,5,0,0,0,6,0,1,0,0,0,1096,13,190,226,9,28,1912,34,375,6,0,1,3234,56,593,34.94059,-104.686
New Mexico,HARDING,Harding County Sheriff's Office,NM0110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,35.85881,-103.850821
New Mexico,HIDALGO,Hidalgo County Sheriff's Office,NM0120000,263,16,31,335,19,43,1,0,1,0,0,0,33,1,5,4,0,1,363,10,68,159,8,25,403,4,84,33,1,5,925,22,177,31.899658,-108.745729
New Mexico,HIDALGO,Lordsburg Police Department,NM0120100,171,11,37,261,17,43,7,0,3,0,0,0,12,1,1,0,0,0,76,3,26,28,1,8,105,1,54,12,1,1,209,5,88,32.34445,-108.713394
