State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Georgia,Taylor,159,115,118,155,74,95,117,69
Georgia,Telfair,159,66,143,124,129,157,44,75
Georgia,Terrell,159,111,144,127,82,147,95,78
Georgia,Thomas,159,83,65,76,22,53,147,83
Georgia,Tift,159,67,110,73,67,73,45,87
Georgia,Toombs,159,117,124,150,105,130,136,91
Georgia,Towns,159,69,12,12,30,60,19,95
Georgia,Treutlen,159,70,116,68,96,151,81,102
Georgia,Troup,159,72,81,135,52,61,114,105
Georgia,Turner,159,113,145,149,109,142,58,108
Georgia,Twiggs,159,158,129,125,104,145,112,116
Georgia,Union,159,21,24,13,19,25,2,120
Georgia,Upson,159,137,122,84,106,64,149,123
Georgia,Walker,159,91,64,93,65,57,48,126
Georgia,Walton,159,41,31,26,51,26,122,127
Georgia,Ware,159,126,92,138,86,112,23,132
Georgia,Warren,159,100,157,119,44,154,156,135
Georgia,Washington,159,48,97,128,32,103,12,143
Georgia,Wayne,159,121,85,121,127,83,13,147
Georgia,Webster,159,74,131,56,41,138,56,149
Georgia,Wheeler,159,8,101,157,103,155,127,154
Georgia,White,159,30,17,19,90,21,121,157
Georgia,Whitfield,159,17,55,39,113,86,107,159
Georgia,Wilcox,159,35,120,112,140,139,43,163
Georgia,Wilkes,159,114,94,85,122,117,69,167
Georgia,Wilkinson,159,116,133,101,46,82,138,169
Georgia,Worth,159,118,117,104,120,102,93,173
Hawaii,Hawaii,4,4,4,4,4,4,4,198
Hawaii,Honolulu,4,1,3,1,1,1,1,234
Hawaii,Kalawao,4,NR,NR,NR,NR,NR,NR,247
Hawaii,Kauai,4,3,2,2,3,2,2,261
Hawaii,Maui,4,2,1,3,2,3,3,323
Idaho,Ada,43,5,3,4,1,5,29,336
Idaho,Adams,43,18,43,27,23,40,6,338
Idaho,Bannock,43,35,23,22,8,18,30,343
Idaho,Bear Lake,43,34,36,18,26,20,3,349
Idaho,Benewah,43,43,37,41,28,41,19,354
Idaho,Bingham,43,36,30,24,36,14,23,362
Idaho,Blaine,43,4,5,2,4,11,27,371
Idaho,Boise,43,18,8,12,17,24,24,380
Idaho,Bonner,43,25,11,15,13,28,38,387
Idaho,Bonneville,43,31,18,5,5,8,32,395
Idaho,Boundary,43,38,6,16,30,32,35,405
Idaho,Butte,43,18,14,23,38,23,5,414
Idaho,Camas,43,18,32,30,32,6,41,429
Idaho,Canyon,43,14,29,25,27,21,37,441
Idaho,Caribou,43,7,27,9,20,10,4,449
Idaho,Cassia,43,32,19,26,22,22,8,456
Idaho,Clark,43,NR,NR,NR,NR,NR,NR,464
Idaho,Clearwater,43,13,13,34,15,42,33,474
Idaho,Custer,43,18,16,20,25,27,1,484
Idaho,Elmore,43,16,26,36,34,19,20,490
Idaho,Franklin,43,39,25,11,29,7,21,498
Idaho,Fremont,43,9,12,14,16,15,11,502
Idaho,Gem,43,12,38,39,19,30,40,510
Idaho,Gooding,43,28,31,29,42,31,14,519
Idaho,Idaho,43,29,9,33,41,34,22,528
Idaho,Jefferson,43,10,15,10,14,3,10,540
Idaho,Jerome,43,8,39,31,35,35,15,547
Idaho,Kootenai,43,11,4,8,3,13,43,552
Idaho,Latah,43,6,2,6,2,1,34,559
Idaho,Lemhi,43,37,20,19,11,33,42,566
Idaho,Lewis,43,18,41,37,31,39,17,574
Idaho,Lincoln,43,26,33,40,40,37,7,578
Idaho,Madison,43,3,17,3,7,4,39,581
Idaho,Minidoka,43,33,35,28,37,26,25,585
Idaho,Nez Perce,43,30,10,21,9,12,36,589
Idaho,Oneida,43,18,22,17,39,9,12,593
Idaho,Owyhee,43,40,42,43,43,38,16,601
Idaho,Payette,43,41,24,32,10,25,28,606
Idaho,Power,43,15,34,35,24,29,2,613
Idaho,Shoshone,43,42,40,42,21,43,18,621
Idaho,Teton,43,2,7,1,18,2,9,627
Idaho,Twin Falls,43,27,21,13,12,17,31,634
Idaho,Valley,43,1,1,7,6,16,26,643
Idaho,Washington,43,17,28,38,33,36,13,649
Illinois,Adams,102,47,44,63,11,21,72,650
Illinois,Alexander,102,100,101,87,74,102,94,651
Illinois,Bond,102,59,56,28,17,33,78,652
Illinois,Boone,102,19,24,17,71,76,67,653
Illinois,Brown,102,16,19,15,28,25,3,654
Illinois,Bureau,102,22,21,50,41,55,71,2
Illinois,Calhoun,102,56,27,32,80,48,68,4
Illinois,Carroll,102,23,9,40,64,28,77,6
Illinois,Cass,102,64,90,74,96,77,14,10
Illinois,Champaign,102,17,41,10,24,27,20,12
Illinois,Christian,102,44,79,88,73,67,75,14
Illinois,Clark,102,43,59,77,94,31,55,19
Illinois,Clay,102,25,53,84,33,53,41,22
Illinois,Clinton,102,15,14,18,15,8,54,27
Illinois,Coles,102,30,66,62,82,44,21,30
Illinois,Cook,102,36,54,7,87,66,97,36
Illinois,Crawford,102,27,58,55,16,64,38,40
Illinois,Cumberland,102,9,68,47,79,15,35,44
Illinois,DeKalb,102,13,23,19,47,20,88,49
Illinois,De Witt,102,81,22,23,56,38,23,53
Illinois,Douglas,102,34,49,27,101,41,8,55
Illinois,DuPage,102,3,1,1,1,2,46,64
Illinois,Edgar,102,67,62,76,97,60,82,66
Illinois,Edwards,102,84,52,33,45,17,16,71
Illinois,Effingham,102,28,28,26,3,10,65,76
Illinois,Fayette,102,32,84,95,95,83,91,79
Illinois,Ford,102,50,46,60,51,39,51,81
Illinois,Franklin,102,89,91,101,90,89,96,85
Illinois,Fulton,102,71,72,73,84,78,45,89
Illinois,Gallatin,102,101,89,89,92,95,28,92
Illinois,Greene,102,83,70,56,89,71,80,96
Illinois,Grundy,102,31,11,14,26,12,100,99
Illinois,Hamilton,102,10,38,69,85,14,2,106
Illinois,Hancock,102,52,25,29,39,42,26,111
Illinois,Hardin,102,102,96,92,102,100,42,113
Illinois,Henderson,102,90,71,57,65,65,12,117
Illinois,Henry,102,21,33,41,36,35,86,121
Illinois,Iroquois,102,92,60,48,69,58,85,125
Illinois,Jackson,102,69,86,36,44,70,84,129
Illinois,Jasper,102,4,35,25,50,50,29,133
Illinois,Jefferson,102,86,95,93,40,86,50,137
Illinois,Jersey,102,74,42,51,60,43,49,142
Illinois,Jo Daviess,102,24,15,12,37,24,11,145
Illinois,Johnson,102,46,34,44,78,97,56,152
Illinois,Kane,102,6,12,3,91,54,31,156
Illinois,Kankakee,102,79,85,83,66,82,62,161
Illinois,Kendall,102,2,2,4,19,3,90,165
Illinois,Knox,102,48,78,97,20,90,19,166
Illinois,Lake,102,5,6,2,14,18,101,170
Illinois,LaSalle,102,78,37,61,34,79,98,175
Illinois,Lawrence,102,85,98,94,83,94,34,177
Illinois,Lee,102,37,18,78,23,40,92,180
Illinois,Livingston,102,68,57,45,8,68,33,182
Illinois,Logan,102,51,65,68,21,47,44,186
Illinois,McDonough,102,49,32,54,76,62,7,189
Illinois,McHenry,102,7,4,8,49,7,93,192
Illinois,McLean,102,12,17,9,2,9,36,193
Illinois,Macon,102,73,92,91,18,85,9,194
Illinois,Macoupin,102,60,83,24,62,52,66,196
Illinois,Madison,102,82,55,80,32,26,102,199
Illinois,Marion,102,97,97,90,86,73,60,201
Illinois,Marshall,102,70,51,39,43,29,39,202
Illinois,Mason,102,77,63,79,55,84,17,206
Illinois,Massac,102,94,93,99,58,91,83,208
Illinois,Menard,102,29,29,20,38,16,27,212
Illinois,Mercer,102,42,31,46,29,30,57,216
Illinois,Monroe,102,1,8,5,4,1,81,219
Illinois,Montgomery,102,66,80,75,53,87,89,223
Illinois,Morgan,102,61,88,98,31,49,73,225
Illinois,Moultrie,102,8,36,22,98,22,10,227
Illinois,Ogle,102,35,26,64,57,32,63,229
Illinois,Peoria,102,80,76,58,7,80,4,233
Illinois,Perry,102,41,74,86,63,88,95,235
Illinois,Piatt,102,18,5,13,6,6,24,238
Illinois,Pike,102,87,61,85,81,72,15,241
Illinois,Pope,102,56,94,52,100,96,58,245
Illinois,Pulaski,102,98,102,53,75,101,74,248
Illinois,Putnam,102,56,20,30,25,61,76,253
Illinois,Randolph,102,65,75,96,77,63,22,255
Illinois,Richland,102,62,48,21,54,36,32,259
Illinois,Rock Island,102,45,39,66,22,81,18,265
Illinois,St. Clair,102,93,87,70,59,74,99,269
Illinois,Saline,102,99,99,100,99,92,61,271
Illinois,Sangamon,102,54,77,43,5,51,5,274
Illinois,Schuyler,102,76,45,34,72,46,1,278
Illinois,Scott,102,63,50,38,13,59,13,280
Illinois,Shelby,102,38,47,67,61,19,52,283
Illinois,Stark,102,88,64,31,30,75,25,285
Illinois,Stephenson,102,39,69,81,42,56,69,290
Illinois,Tazewell,102,33,10,16,10,13,87,291
Illinois,Union,102,95,40,82,46,93,70,293
Illinois,Vermilion,102,96,100,102,93,98,40,296
Illinois,Wabash,102,26,43,37,68,23,47,299
Illinois,Warren,102,55,30,59,67,57,6,301
Illinois,Washington,102,20,13,35,12,5,48,305
Illinois,Wayne,102,72,67,71,35,69,30,310
Illinois,White,102,75,82,65,88,34,53,312
Illinois,Whiteside,102,40,16,72,27,37,79,314
Illinois,Will,102,11,7,6,48,11,37,320
Illinois,Williamson,102,53,73,49,70,45,64,324
Illinois,Winnebago,102,91,81,42,52,99,59,325
Illinois,Woodford,102,14,3,11,9,4,43,328
Indiana,Adams,92,31,53,62,73,48,57,330
Indiana,Allen,92,43,56,32,41,32,34,335
Indiana,Bartholomew,92,32,15,7,23,16,25,342
Indiana,Benton,92,17,38,46,35,29,11,179
Indiana,Blackford,92,74,80,65,34,66,56,183
Indiana,Boone,92,8,2,2,2,3,87,185
Indiana,Brown,92,38,9,6,53,39,58,188
Indiana,Carroll,92,11,13,54,61,25,82,195
Indiana,Cass,92,64,71,50,56,65,45,211
Indiana,Clark,92,66,51,30,54,46,61,215
Indiana,Clay,92,54,55,53,70,49,43,221
Indiana,Clinton,92,61,42,45,48,35,40,226
Indiana,Crawford,92,88,92,83,86,92,42,232
Indiana,Daviess,92,26,60,49,91,63,14,239
Indiana,Dearborn,92,36,18,16,40,50,69,242
Indiana,Decatur,92,39,21,31,68,14,65,246
Indiana,DeKalb,92,30,19,15,33,18,29,249
Indiana,Delaware,92,81,88,44,20,78,6,252
Indiana,Dubois,92,5,22,9,6,6,18,254
Indiana,Elkhart,92,25,35,40,63,57,37,260
Indiana,Fayette,92,92,86,91,49,91,64,263
Indiana,Floyd,92,49,40,17,12,34,7,267
Indiana,Fountain,92,69,34,68,74,60,70,270
Indiana,Franklin,92,27,29,37,29,56,54,272
Indiana,Fulton,92,70,76,63,45,27,15,276
Indiana,Gibson,92,48,43,28,17,11,60,286
Indiana,Grant,92,85,90,77,47,77,17,297
Indiana,Greene,92,59,73,88,84,70,22,309
Indiana,Hamilton,92,1,1,1,1,1,33,321
Indiana,Hancock,92,9,4,10,4,4,76,329
Indiana,Harrison,92,35,41,51,22,51,66,334
Indiana,Hendricks,92,2,3,3,5,2,89,341
Indiana,Henry,92,58,52,38,69,52,4,344
Indiana,Howard,92,87,70,85,15,76,84,348
Indiana,Huntington,92,16,48,52,27,20,48,352
Indiana,Jackson,92,73,44,71,21,30,30,355
Indiana,Jasper,92,41,23,18,67,45,51,356
Indiana,Jay,92,82,87,74,52,59,20,358
Indiana,Jefferson,92,56,62,42,32,62,50,363
Indiana,Jennings,92,89,67,92,44,64,83,367
Indiana,Johnson,92,12,6,11,13,7,77,370
Indiana,Knox,92,77,69,76,42,40,52,376
Indiana,Kosciusko,92,23,27,26,58,17,75,384
Indiana,LaGrange,92,15,47,64,92,68,1,386
Indiana,Lake,92,65,81,35,79,90,92,389
Indiana,LaPorte,92,60,78,84,62,89,8,392
Indiana,Lawrence,92,51,46,36,16,55,21,396
Indiana,Madison,92,71,85,86,36,73,38,401
Indiana,Marion,92,75,82,60,30,84,91,409
Indiana,Marshall,92,21,32,70,65,42,81,412
Indiana,Martin,92,40,65,87,60,21,63,418
Indiana,Miami,92,34,84,89,71,69,49,420
Indiana,Monroe,92,4,14,4,7,38,9,422
Indiana,Montgomery,92,45,30,23,10,54,24,425
Indiana,Morgan,92,47,45,61,8,36,88,430
Indiana,Newton,92,57,59,69,90,67,12,433
Indiana,Noble,92,46,28,47,75,33,55,436
Indiana,Ohio,92,14,33,25,37,53,31,440
Indiana,Orange,92,76,79,75,31,86,16,444
Indiana,Owen,92,55,68,55,76,83,26,448
Indiana,Parke,92,22,39,78,81,75,79,452
Indiana,Perry,92,24,66,81,18,47,36,459
Indiana,Pike,92,29,72,57,64,26,32,465
Indiana,Porter,92,18,10,14,39,24,23,468
Indiana,Posey,92,19,24,24,14,10,85,471
Indiana,Pulaski,92,86,57,43,85,41,27,477
Indiana,Putnam,92,20,25,19,51,43,28,480
Indiana,Randolph,92,84,83,56,77,74,35,485
Indiana,Ripley,92,44,17,41,55,28,59,488
Indiana,Rush,92,42,50,59,57,37,90,493
Indiana,St. Joseph,92,50,61,21,19,71,86,496
Indiana,Scott,92,90,89,72,82,80,39,504
Indiana,Shelby,92,68,36,33,72,44,71,506
Indiana,Spencer,92,33,7,29,26,15,13,509
Indiana,Starke,92,78,63,73,89,87,44,512
Indiana,Steuben,92,6,26,20,50,9,68,515
Indiana,Sullivan,92,67,64,79,87,79,73,518
Indiana,Switzerland,92,80,91,90,83,85,74,526
Indiana,Tippecanoe,92,10,12,5,11,23,2,530
Indiana,Tipton,92,28,20,27,25,13,19,534
Indiana,Union,92,83,37,13,80,61,46,538
Indiana,Vanderburgh,92,63,77,58,9,58,67,543
Indiana,Vermillion,92,72,58,66,88,81,72,548
Indiana,Vigo,92,62,74,67,78,88,78,553
Indiana,Wabash,92,53,49,39,43,31,47,555
Indiana,Warren,92,3,5,48,66,22,5,567
Indiana,Warrick,92,13,8,12,3,5,62,575
Indiana,Washington,92,79,54,82,46,72,80,584
Indiana,Wayne,92,91,75,80,59,82,41,586
Indiana,Wells,92,37,31,22,38,8,53,590
Indiana,White,92,52,16,34,28,19,10,594
Indiana,Whitley,92,7,11,8,24,12,3,597
Iowa,Adair,99,72,37,41,44,48,27,598
Iowa,Adams,99,57,39,54,28,23,5,602
Iowa,Allamakee,99,66,42,69,71,83,40,608
Iowa,Appanoose,99,86,99,97,75,95,75,611
Iowa,Audubon,99,99,31,39,43,63,11,615
Iowa,Benton,99,40,24,59,78,31,82,619
Iowa,Black Hawk,99,67,80,50,12,76,60,623
Iowa,Boone,99,10,27,35,59,22,71,625
Iowa,Bremer,99,7,3,7,16,5,55,631
Iowa,Buchanan,99,25,16,48,63,44,69,632
Iowa,Buena Vista,99,12,82,47,93,65,19,633
Iowa,Butler,99,80,18,46,76,47,65,361
Iowa,Calhoun,99,51,86,71,62,35,92,365
Iowa,Carroll,99,39,6,38,6,6,77,369
Iowa,Cass,99,91,50,51,35,82,24,374
Iowa,Cedar,99,3,8,44,34,8,83,379
Iowa,Cerro Gordo,99,82,60,17,3,53,35,383
Iowa,Cherokee,99,32,44,52,80,36,8,388
Iowa,Chickasaw,99,68,20,32,64,29,31,393
Iowa,Clarke,99,94,83,78,88,87,53,397
Iowa,Clay,99,15,48,26,24,55,12,398
Iowa,Clayton,99,30,23,72,85,72,64,402
Iowa,Clinton,99,76,93,87,33,94,84,404
Iowa,Crawford,99,65,92,76,99,98,44,408
Iowa,Dallas,99,4,1,1,8,1,93,413
Iowa,Davis,99,64,88,56,97,85,42,416
Iowa,Decatur,99,95,98,85,87,90,37,419
Iowa,Delaware,99,24,32,37,15,30,61,421
Iowa,Des Moines,99,70,94,98,56,97,99,424
Iowa,Dickinson,99,43,10,4,7,12,22,427
Iowa,Dubuque,99,19,21,30,86,37,79,434
Iowa,Emmet,99,78,73,65,26,54,26,437
Iowa,Fayette,99,48,51,70,48,84,51,442
Iowa,Floyd,99,38,45,84,70,86,73,447
Iowa,Franklin,99,56,68,91,73,58,56,451
Iowa,Fremont,99,96,56,94,89,67,43,455
Iowa,Greene,99,27,91,79,31,27,38,458
Iowa,Grundy,99,54,4,8,19,7,59,460
Iowa,Guthrie,99,9,59,66,45,32,68,467
Iowa,Hamilton,99,46,38,19,67,38,57,469
Iowa,Hancock,99,5,11,22,25,18,23,470
Iowa,Hardin,99,22,46,40,21,62,58,475
Iowa,Harrison,99,53,64,60,49,28,50,478
Iowa,Henry,99,18,70,42,38,61,76,479
Iowa,Howard,99,36,71,33,51,42,16,481
Iowa,Humboldt,99,45,43,36,54,33,29,487
Iowa,Ida,99,47,55,49,83,9,4,491
Iowa,Iowa,99,21,15,20,36,10,96,495
Iowa,Jackson,99,73,33,64,68,70,85,499
Iowa,Jasper,99,62,74,61,20,49,70,505
Iowa,Jefferson,99,14,22,6,91,56,17,507
Iowa,Johnson,99,6,40,2,1,17,86,508
Iowa,Jones,99,11,49,45,50,59,95,516
Iowa,Keokuk,99,50,67,83,79,68,78,520
Iowa,Kossuth,99,29,9,55,47,21,20,523
Iowa,Lee,99,93,95,96,42,96,98,531
Iowa,Linn,99,28,52,16,14,46,66,535
Iowa,Louisa,99,87,78,86,98,80,87,539
Iowa,Lucas,99,85,61,90,52,66,39,542
Iowa,Lyon,99,16,14,24,61,2,3,546
Iowa,Madison,99,26,7,27,27,43,48,550
Iowa,Mahaska,99,33,76,53,39,51,72,554
Iowa,Marion,99,34,29,11,5,16,47,561
Iowa,Marshall,99,61,81,58,41,99,34,568
Iowa,Mills,99,52,54,18,53,34,97,569
Iowa,Mitchell,99,13,34,57,74,13,10,572
Iowa,Monona,99,89,84,75,95,71,32,576
Iowa,Monroe,99,71,85,77,65,75,63,580
Iowa,Montgomery,99,92,90,80,77,74,9,595
Iowa,Muscatine,99,42,66,63,40,73,80,600
Iowa,O'Brien,99,31,13,23,46,24,13,604
Iowa,Osceola,99,79,19,62,66,41,7,607
Iowa,Page,99,41,65,82,57,69,36,612
Iowa,Palo Alto,99,98,26,29,37,26,30,618
Iowa,Plymouth,99,37,36,15,23,14,18,622
Iowa,Pocahontas,99,55,69,81,94,20,54,624
Iowa,Polk,99,49,58,14,10,57,52,629
Iowa,Pottawattamie,99,83,89,93,60,64,67,637
Iowa,Poweshiek,99,44,47,12,18,40,45,640
Iowa,Ringgold,99,57,35,31,17,88,46,642
Iowa,Sac,99,84,28,43,58,25,21,647
Iowa,Scott,99,60,63,13,30,79,89,657
Iowa,Shelby,99,35,25,34,29,15,14,660
Iowa,Sioux,99,2,2,5,11,3,6,663
Iowa,Story,99,8,30,3,4,4,81,668
Iowa,Tama,99,97,72,73,90,78,62,671
Iowa,Taylor,99,77,77,67,81,50,28,674
Iowa,Union,99,88,75,92,9,91,25,675
Iowa,Van Buren,99,74,17,68,96,77,1,678
Iowa,Wapello,99,90,96,88,82,93,88,681
Iowa,Warren,99,17,12,9,13,19,74,685
Iowa,Washington,99,63,53,28,69,39,94,687
Iowa,Wayne,99,75,97,99,92,92,41,691
Iowa,Webster,99,81,87,95,55,89,91,694
Iowa,Winnebago,99,20,41,25,22,60,15,696
Iowa,Winneshiek,99,1,5,10,2,11,2,698
Iowa,Woodbury,99,69,79,74,84,81,90,702
Iowa,Worth,99,57,57,21,32,52,33,703
Iowa,Wright,99,23,62,89,72,45,49,705
Kansas,Allen,104,89,74,88,56,94,87,709
Kansas,Anderson,104,86,45,81,48,63,48,712
Kansas,Atchison,104,36,63,87,40,93,89,715
Kansas,Barber,104,39,59,65,93,72,46,717
Kansas,Barton,104,33,76,76,52,78,34,719
Kansas,Bourbon,104,80,99,92,25,97,77,722
Kansas,Brown,104,94,50,95,28,74,70,723
Kansas,Butler,104,25,38,13,22,29,101,726
Kansas,Chase,104,39,51,74,12,54,53,729
Kansas,Chautauqua,104,87,101,98,77,99,44,730
Kansas,Cherokee,104,95,103,99,71,87,76,732
Kansas,Cheyenne,104,39,36,28,88,43,6,736
Kansas,Clark,104,39,62,30,41,50,50,738
Kansas,Clay,104,22,21,10,29,38,42,739
Kansas,Cloud,104,83,56,73,67,64,33,740
Kansas,Coffey,104,73,20,43,17,81,60,745
Kansas,Comanche,104,39,16,6,19,45,18,748
Kansas,Cowley,104,93,90,93,34,82,63,752
Kansas,Crawford,104,76,82,67,30,90,104,756
Kansas,Decatur,104,39,35,84,57,59,8,759
Kansas,Dickinson,104,30,81,90,68,58,80,762
Kansas,Doniphan,104,29,53,89,44,52,93,765
Kansas,Douglas,104,4,27,2,3,23,82,767
Kansas,Edwards,104,39,67,49,81,41,23,770
Kansas,Elk,104,39,75,96,82,103,67,773
Kansas,Ellis,104,8,25,16,8,19,65,774
Kansas,Ellsworth,104,5,47,56,80,42,62,776
Kansas,Finney,104,23,97,51,76,86,75,778
Kansas,Ford,104,15,96,37,89,91,79,784
Kansas,Franklin,104,20,61,63,38,56,97,786
Kansas,Geary,104,91,60,86,10,85,102,788
Kansas,Gove,104,39,4,38,94,14,3,790
Kansas,Graham,104,39,89,29,86,36,17,791
Kansas,Grant,104,35,71,18,98,77,37,794
Kansas,Gray,104,7,9,17,84,10,55,798
Kansas,Greeley,104,39,29,50,64,17,15,801
Kansas,Greenwood,104,102,100,78,33,83,91,803
Kansas,Hamilton,104,39,85,75,97,69,5,805
Kansas,Harper,104,101,69,71,96,79,54,807
Kansas,Harvey,104,32,31,5,6,30,84,812
Kansas,Haskell,104,39,86,79,99,65,29,815
Kansas,Hodgeman,104,39,14,24,42,15,24,818
Kansas,Jackson,104,31,48,80,55,51,57,819
Kansas,Jefferson,104,14,7,25,21,20,95,821
Kansas,Jewell,104,39,57,70,54,61,43,822
Kansas,Johnson,104,1,1,1,1,1,56,824
Kansas,Kearny,104,39,102,82,85,84,20,826
Kansas,Kingman,104,104,8,8,69,53,45,827
Kansas,Kiowa,104,39,44,36,72,24,28,829
Kansas,Labette,104,84,95,101,45,95,100,831
Kansas,Lane,104,39,46,61,46,39,19,833
Kansas,Leavenworth,104,10,30,35,23,49,96,836
Kansas,Lincoln,104,39,17,26,70,34,49,838
Kansas,Linn,104,92,78,103,75,101,103,840
Kansas,Logan,104,39,33,32,49,11,16,842
Kansas,Lyon,104,27,77,54,24,73,51,844
Kansas,McPherson,104,11,11,7,7,2,74,846
Kansas,Marion,104,34,34,58,43,22,71,848
Kansas,Marshall,104,38,40,68,36,32,58,850
Kansas,Meade,104,99,88,62,92,55,12,851
Kansas,Miami,104,19,10,11,26,21,99,853
Kansas,Mitchell,104,21,32,22,60,13,69,854
Kansas,Montgomery,104,97,94,97,62,96,98,856
Kansas,Morris,104,39,41,44,39,44,39,858
Kansas,Morton,104,39,65,40,90,92,14,859
Kansas,Nemaha,104,9,5,48,18,5,59,861
Kansas,Neosho,104,77,92,83,58,100,83,862
Kansas,Ness,104,39,58,46,87,26,10,864
Kansas,Norton,104,96,73,69,37,35,9,866
Kansas,Osage,104,28,54,94,15,80,78,867
Kansas,Osborne,104,39,22,59,65,47,32,869
Kansas,Ottawa,104,79,15,42,13,25,38,870
Kansas,Pawnee,104,75,91,91,11,76,26,872
Kansas,Phillips,104,17,79,47,61,12,40,873
Kansas,Pottawatomie,104,2,3,4,20,6,41,876
Kansas,Pratt,104,88,24,20,14,27,36,878
Kansas,Rawlins,104,39,39,9,95,31,2,880
Kansas,Reno,104,37,87,57,31,75,90,882
Kansas,Republic,104,103,52,31,51,33,72,884
Kansas,Rice,104,13,55,52,66,46,73,886
Kansas,Riley,104,3,18,3,2,28,86,888
Kansas,Rooks,104,16,28,27,27,57,30,889
Kansas,Rush,104,39,83,77,63,48,35,891
Kansas,Russell,104,85,12,55,78,71,61,893
Kansas,Saline,104,74,26,41,4,67,81,895
Kansas,Scott,104,6,66,23,79,18,13,897
Kansas,Sedgwick,104,72,72,15,9,89,66,898
Kansas,Seward,104,12,98,60,103,102,21,900
Kansas,Shawnee,104,82,42,45,5,62,85,902
Kansas,Sheridan,104,39,19,12,101,4,1,904
Kansas,Sherman,104,26,70,66,73,40,25,907
Kansas,Smith,104,39,13,72,32,8,52,909
Kansas,Stafford,104,100,6,53,74,66,27,911
Kansas,Stanton,104,39,80,21,104,70,11,913
Kansas,Stevens,104,18,43,64,102,68,22,914
Kansas,Sumner,104,81,49,85,35,60,88,916
Kansas,Thomas,104,78,23,19,53,3,47,917
Kansas,Trego,104,39,64,33,100,37,7,919
Kansas,Wabaunsee,104,24,2,14,16,9,64,920
Kansas,Wallace,104,NR,NR,NR,NR,NR,NR,921
Kansas,Washington,104,39,68,39,59,7,31,922
Kansas,Wichita,104,39,37,34,83,16,4,923
Kansas,Wilson,104,98,93,102,47,88,92,925
Kansas,Woodson,104,39,84,100,50,98,68,926
Kansas,Wyandotte,104,90,104,104,91,104,94,927
Kentucky,Adair,120,32,67,68,87,82,55,928
Kentucky,Allen,120,60,89,84,85,59,37,929
Kentucky,Anderson,120,65,12,38,29,7,56,930
Kentucky,Ballard,120,23,49,62,38,56,93,932
Kentucky,Barren,120,19,54,87,49,63,84,933
Kentucky,Bath,120,100,71,111,97,92,13,934
Kentucky,Bell,120,112,116,114,73,112,117,936
Kentucky,Boone,120,2,2,3,2,2,81,1002
Kentucky,Bourbon,120,69,38,25,48,29,108,1005
Kentucky,Boyd,120,79,79,57,11,73,53,1008
Kentucky,Boyle,120,11,36,9,14,30,19,1010
Kentucky,Bracken,120,87,50,52,46,53,31,1013
Kentucky,Breathitt,120,118,119,113,109,113,110,1017
Kentucky,Breckinridge,120,34,33,28,103,67,17,1020
Kentucky,Bullitt,120,10,18,15,23,13,97,1024
Kentucky,Butler,120,89,37,80,107,77,43,1026
Kentucky,Caldwell,120,51,47,58,25,52,75,1031
Kentucky,Calloway,120,6,10,8,55,24,20,1033
Kentucky,Campbell,120,14,8,12,3,6,3,1035
Kentucky,Carlisle,120,54,19,24,53,37,80,1039
Kentucky,Carroll,120,105,68,43,98,79,78,1041
Kentucky,Carter,120,88,80,98,74,104,2,1044
Kentucky,Casey,120,76,85,86,120,89,10,1048
Kentucky,Christian,120,74,53,92,27,58,8,1050
Kentucky,Clark,120,78,41,34,18,27,115,1053
Kentucky,Clay,120,97,120,117,118,114,62,1056
Kentucky,Clinton,120,46,98,83,113,94,14,1059
Kentucky,Crittenden,120,85,44,50,114,72,29,1064
Kentucky,Cumberland,120,35,65,49,115,86,4,1067
Kentucky,Daviess,120,15,21,18,6,19,47,1071
Kentucky,Edmonson,120,66,27,59,88,69,77,1073
Kentucky,Elliott,120,67,107,110,66,110,41,1075
Kentucky,Estill,120,106,93,97,84,97,111,1077
Kentucky,Fayette,120,4,14,4,12,11,7,1080
Kentucky,Fleming,120,56,31,89,102,78,9,1083
Kentucky,Floyd,120,114,113,99,81,101,120,1085
Kentucky,Franklin,120,48,30,10,44,14,25,1086
Kentucky,Fulton,120,103,102,96,80,100,24,1088
Kentucky,Gallatin,120,104,75,39,61,64,35,1090
Kentucky,Garrard,120,41,60,33,78,50,90,1092
Kentucky,Grant,120,91,57,54,35,41,92,1094
Kentucky,Graves,120,26,32,45,82,44,94,1097
Kentucky,Grayson,120,83,73,104,79,84,45,1100
Kentucky,Green,120,57,63,63,104,42,27,1102
Kentucky,Greenup,120,64,35,46,34,54,71,1105
Kentucky,Hancock,120,27,9,23,13,10,66,1107
Kentucky,Hardin,120,16,16,37,16,8,11,1110
Kentucky,Harlan,120,113,118,112,119,115,112,1114
Kentucky,Harrison,120,68,25,31,51,49,26,1119
Kentucky,Hart,120,42,56,55,86,81,5,1121
Kentucky,Henderson,120,30,82,51,28,28,54,1126
Kentucky,Henry,120,31,51,30,32,26,33,1129
Kentucky,Hickman,120,13,69,27,68,71,1,1130
Kentucky,Hopkins,120,50,52,64,8,39,96,1136
Kentucky,Jackson,120,95,103,105,94,108,101,1140
Kentucky,Jefferson,120,52,24,29,7,46,114,1143
Kentucky,Jessamine,120,18,29,11,20,20,109,1145
