State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Arkansas,Boone,75,19,9,16,5,7,18,62
Arkansas,Bradley,75,65,56,20,45,53,33,68
Arkansas,Calhoun,75,60,46,33,16,38,25,72
Arkansas,Carroll,75,34,4,8,36,13,28,74
Arkansas,Chicot,75,71,68,65,39,74,10,77
Arkansas,Clark,75,10,15,6,6,11,16,86
Arkansas,Clay,75,61,47,63,47,55,27,93
Arkansas,Cleburne,75,49,14,24,12,42,11,97
Arkansas,Cleveland,75,21,24,34,19,20,32,103
Arkansas,Columbia,75,23,58,55,25,43,66,107
Arkansas,Conway,75,37,34,43,26,25,56,109
Arkansas,Craighead,75,7,25,14,2,8,65,114
Arkansas,Crawford,75,8,21,17,37,22,53,115
Arkansas,Crittenden,75,70,72,39,14,62,48,119
Arkansas,Cross,75,66,55,53,68,44,43,124
Arkansas,Dallas,75,38,62,48,42,51,13,128
Arkansas,Desha,75,67,75,73,73,65,46,130
Arkansas,Drew,75,51,40,23,48,41,49,136
Arkansas,Faulkner,75,6,5,5,8,3,72,141
Arkansas,Franklin,75,52,45,47,35,19,36,144
Arkansas,Fulton,75,63,43,50,44,23,17,146
Arkansas,Garland,75,47,23,7,7,21,40,151
Arkansas,Grant,75,12,7,10,13,6,57,155
Arkansas,Greene,75,33,17,41,21,15,21,162
Arkansas,Hempstead,75,29,57,42,57,28,64,172
Arkansas,Hot Spring,75,56,39,36,27,29,45,184
Arkansas,Howard,75,48,38,66,53,18,51,191
Arkansas,Independence,75,11,12,18,17,16,19,200
Arkansas,Izard,75,62,18,31,71,47,1,203
Arkansas,Jackson,75,41,67,68,43,72,22,209
Arkansas,Jefferson,75,68,63,49,24,67,62,213
Arkansas,Johnson,75,24,32,29,55,56,12,218
Arkansas,Lafayette,75,27,54,62,56,66,34,222
Arkansas,Lawrence,75,42,26,51,62,37,58,230
Arkansas,Lee,75,58,73,75,67,73,39,237
Arkansas,Lincoln,75,43,44,58,70,63,41,244
Arkansas,Little River,75,28,31,26,32,35,61,251
Arkansas,Logan,75,50,53,45,52,26,38,258
Arkansas,Lonoke,75,17,8,15,20,5,75,268
Arkansas,Madison,75,59,20,25,63,33,8,277
Arkansas,Marion,75,53,36,27,46,40,5,282
Arkansas,Miller,75,57,49,56,18,36,71,287
Arkansas,Mississippi,75,73,69,69,51,68,30,294
